名称,价格
【天安门酒】  43度  小酒对饮装2瓶*150ml   酱香型白酒,¥120.00
秒杀【京东超市】剑南春 水晶剑 52度 单瓶装白酒 500ml 口感浓香型,¥368.00
【京东超市】洋河蓝色经典 梦之蓝M9 52度 500ml 口感绵柔浓香型,
【京东超市】泸州老窖 国窖 1573 52度 浓香型白酒 500ml （百年品牌 泸州老窖荣誉出品）,¥899.00
【京东超市】洋河蓝色经典 海之蓝 52度 480ml  口感绵柔浓香型,¥156.00
【京东超市】茅台集团 习酒 红习酱1952 53度500ml*6瓶 整箱装白酒 口感酱香型,¥359.00
【京东超市】牛栏山 陈酿白酒 42度 500ml*12瓶 整箱装 （白牛二/牛白瓶）,¥168.00
【京东超市】茅台 迎宾 53度 整箱装白酒 500ml*6瓶 口感酱香型,¥408.00
秒杀【京东超市】剑南春 金剑南K6 52度 单瓶装白酒 500ml 口感浓香型,¥119.00
【京东超市】汾酒 蓝瓷 53度 475ml 单瓶装 清香型白酒（新老包装随机发货 ）,¥99.00
【京东超市】江小白 Se.100 45度 100ml*12瓶 整箱装白酒（小瓶装清香型高粱酒）,¥192.00
贵州茅台镇贵王府世家祝君一帆风顺白酒礼盒正品2瓶礼盒装送礼有面儿年货,
【京东超市】泸州老窖六年陈头曲52度 浓香型白酒 整箱装 500ml*6瓶,¥409.00
【京东超市】洋河蓝色经典 海之蓝 42度 整箱装白酒 480ml*6瓶（内含3个礼袋） 口感绵柔浓香型,¥810.00
【京东超市】五粮液52度普五 500ML,¥899.00
【京东超市】剑南春 剑南老窖2006 52度 单瓶装白酒 500ml 口感浓香型,¥79.00
【京东超市】江小白 JOYYOUTH 100ml*12瓶 40度 清香型白酒整箱装,¥169.00
【京东超市】汾酒 10老白汾 53度 475ml 单瓶装 清香型白酒（新老包装随机发货）,¥109.00
【京东超市】茅台 飞天 43度 单瓶装白酒 500ml 口感酱香型,¥789.00
【京东超市】洋河蓝色经典 梦之蓝M6 45度 500ml 口感绵柔浓香型,
【京东超市】泸州老窖 特曲 52度 浓香型白酒 500ml （百年品牌 泸州老窖荣誉出品）,¥218.00
【京东超市】郎酒 红花郎十（10） 陈酿 53度 单瓶装白酒 500ml 酱香型,¥318.00
【京东超市】剑南春 水晶剑 52度 整箱装白酒 500ml*6瓶 口感浓香型,¥2238.00
〔买2包邮 仅剩200瓶〕茅台镇酱香型 收藏53度500ml纯粮食原浆白酒老酒,¥11.90
【京东超市】泸州老窖 泸州原浆喜庆酒 52度 500ml*6 整箱装,¥109.00
秒杀【京东超市】茅台 王子 53度 整箱装白酒 500ml*6瓶 口感酱香型,¥598.00
宜宾五粮液总厂 华耀贵宾酒 普五水晶瓶 52度 醇品 500ml 浓香型白酒 整箱6瓶装-送XO一箱,
【京东超市】古井贡酒年份原浆 献礼版 50度 500ml*6瓶 整箱装白酒 口感浓香型（新老包装随机发货）,¥580.00
