1,this car is crap,Steven Shannon ,10/08/2016,,1,3,,,1,1,2,3,,,Several problems with this car and the cost to fix them is high. GM needs to recall this car,,
4,Smooth Rider,Carl MOORE ,08/30/2016,4,4,4,,,4,5,4,5,,,This is a very big car that can be hard to park and move around in tight situations.  It's strong suite is it is the ultimate turnpike cruiser.  Set the cruise control at whatever speed needed and keep it between the lines. We have driven accross country twice and cruised with confidence at 80 in Nebraska and other western states.  Be careful in cities and parking garages being big inside means it is big outside as well.,,
3,WHAT A MISTAKE!,The Sarge ,08/25/2016,2,3,2,,,1,3,3,2,,,"I purchased a used 2008 Buick Enclave CXL.  It was well maintained and clean.  My first trip out of town I got a warning that the transmission was hot and it needed to be idled.  I did this several times on my trip hoping that it would not leave me stranded.  Luckily, the trip was only 50 miles.  I called Buick and they advised me that the warranty had expired.  I took the vehicle to a local Buick dealership which could not find anything wrong with the transmission.  I then took the vehicle to another dealership and they did discover a problem with the trans.   I called customer service about this issue and was given nothing but the runaround.  After speaking to 2 ""senior service advisors"" I was still in the same spot.  The Buick is still at the dealership waiting to get repaired (about $3000).  To top things off, I received a follow-up call from Buick.  Why? they never assisted me on anything.  Stay away from this SUV and any other Buick product unless you have extra $$$ and a whole lot of patience and time.",,
1,never buy a 2008,bummedcustomer ,05/17/2016,1,,5,,,1,,5,5,,,"I was so excited, thought i had found my dream car, an answer to not wanting a mini van.I love the layout of this car, but i swear it is in the shop more than my drivewayLeaks water, has had multiple issues including my power steering suddenly going out on mehard to handle this big of a car with no power steering!if it wasn't constantly breaking down or flooding from the rain i would love itbut i literally despise GMC for not recalling the whole car!",,
1,Never again,T ,02/01/2016,1,3,3,,,1,3,1,2,,,Bought this car used. According to car fax it was maintained. Worst car I've ever owned. I have one problem after another. As soon as one thing is fixed another goes bad. I'm exhausted worrying about this car. It depresses me. After this experience I wouldn't even recommend a new one.  I wish I could just get rid of it. DO NOT BUY ONE.,,
3,Not my luck,Dorathy ,11/10/2015,1,3,5,,,2,3,2,4,,,"I bought the Enclave in Apr 2008, I have only 44,500 miles always to it to the dealership for any maintenace to include oil changes. I have to tell you the car is a money pit. I have had 2 recalls on bought the extended warranty. In the last 12 months I have spent $2500. Last December I had it checked out and they flushed and replaced the brake fluid. Front end alignment. So now I took it in for a check for a road trip. Well I found out the master cylinder and booster on the brakes needed to be replaced. The rack and pinion steering had to be replaced, also the the timing chain cover was leaking oil into the engine and needs the gasket to be replaced, front struts and mounts need replacing and the navigation system isn't working and to fix I would have to replace the entire radio system. I needed a front end alignment after they replaced the rack and pinion, another $90. The buttons to turn the fan up or down turned green after the black peeled off. The car has never been in an accident and kept it serviced and at 44,500 kept in the garage,  it falls apart.  The air conditioning  drain hose and the roof drain hoses all need flushing due to blockage. I will never by a Buick again. The repairs costs as much as the resale value.",,
5,Love my Enclave!,Matt ,10/22/2015,4,5,5,,,4,4,3,5,,,"In June 2014, I purchased a 2008 Buick Enclave CXL at around 80,000 miles. It has been a great car. I got it in great condition. Right now it is at around 115,000, and I've only had to replace the spark plugs(due at around 100,000 miles, but got extra out of them), brake pads, and headlamp bulbs. This car was a great buy!",,
2.875,Do not buy a 2008-2009 Enclave,mgaston ,09/25/2014,,,4,5,1,1,,4,4,1,3,"Look at Consumer Reports for its ratings on quality as well but you will have nothing but expensive repairs for the early model years.   GM knows this but fails to support their customer base.   They wanted new customers and got them but we are now leavaing.   In later model years it looks ike they have fixed some of the problems but I would not feel comfortable after this kind of hell.  I have had (2) transmissions (I paid for one $3200), rack n pion steering ~$1600, power steering pump ~$1200, shocks and struts at 75K miles (too early)- ~$1K, several steering related componens~$500 all within six months ($7.5K).   The vehicle is only worth $18K.   Be very cautious.","Looks fantastic, rides nice and quiet, seats 7 for families.    ",Quality.   
2.875,Never Buy GM Again,mgarner1234 ,09/06/2014,,,4,3,1,2,,3,4,3,3,"I bought this 2008 Enclave less than a month ago. Brought it in for a slight humming noise at low speed. After ""evaluation"" they wanted over $2000.00 to ""fix"" everything. Owned a Toyota that had over 216000 miles and never had to put $2000 in to ""fix"" it. The Buick has less than 60000 miles. Called and spoke to the service manager at McKinney Buick as they wanted 50% more than a standard repair shop and they will not budge on their over priced repairs.  Then they wanted us to pay for a loaner car for the week it took them to diagnose the problems. Any other shop could diagnose and fix in 1-2 days. I have always owned Toyota's and know I remember why. If you value $$$ stay away from GM/Buick.",3rd Row,Quality and design are lacking when it comes to any Japanese designed car.
3.875,"$ 48,000.00 Mistake",jasongr ,05/19/2014,,,5,5,1,3,,4,5,3,5,"We purchased our 2008 Buick Enclave in late 2007. It was My wife's dream vehicle until the problems began i.e. Sunroof leaking,trans slipping,rattlle in rear drivers side,liftgate opens on it's own,service airbags light on twice, traction contol light on twice, reduced power on the highway three times,steering wheel rubbing noise,service stability light on,left front stabilizer is loose,air conditioning has been serviced twice for leaking and noise,front shocks replaced,brake rubbing noise,power steering pump leaking,front timing cover gasket leaking,right rear door weather stripping coming loose,noise while driving 50-60 mph on highway.washer heater causes fires, Don't buy this vehicle!","Drive's like a caddy. Comfortable, large enough for the whole family, Good gas mileage, when it is not in the shop for repair's or sitting in our driveway with a bad transmission.","Do Not buy a first year production model vehicle from Buick, Ever!"
2.125,Don't Walk Away... RUN,dblanchf ,02/26/2014,,,3,3,1,1,,2,4,1,2,"Bought this vehicle brand new in 2008. Thank God it came with a 5 year 100,000 mile warranty because we used it. Tires wore quickly even with Michellins and averaged about $1300.00 to replace. Brakes and rotors needed to be replaced and that was just under $1000. I thought that was outrageous until I've heard of people paying more than that for brakes! To top it all off, transmission failed on the freeway at 73,000 going up north with NO warning. Luckily it was covered by warranty, but even the technician said to get rid of it as soon as the warranty expires. I am a believer in the saying ""you get what you pay for."" Not with this car. Save yourself the hassle, stress, and money. ","Comfortable ride, cargo space, safety. ",Discontinue it and start over...
2.625,2008 enclave worth a sac of potatos,100334665 ,01/20/2014,,,4,5,1,1,,1,5,1,3,"My husband bought this car for far more than it is worth, the sunroof leaks water directly into the fuse box which corrodes the relays causing the gages and all the electrical system to shut down. On a 200 mile trip smoke was coming out from the interior and smelled like burnt wires. Took it to the dealership several times only to have them say it is not covered by the warranty or that they cant find a problem. Now at 74000+ miles the transmission has given out. Thank God for the extended warranty. Service engine light comes on and off as it pleases. Had it serviced and the Service Stabilitrakand the Traction Control lights came on. Not worth the money being spent. Save yourself the stress","This vehicle is visually appealing very nicely designed but not worth the money and stress. Vehicle doesn't drive on looks and the engine,wiring and the
transmission
were all poorly engineered.
 ",
2.875,More power steering woes,tychain ,12/07/2013,,,4,2,2,2,,4,4,3,2,"Our very first American made vehicle.My wife's dream SUV.73,000 miles she calls me in tears because she is in a parking lot and can't turn the steering wheel and cars are beeping at her and she has a 2 and 4 year old in the car and pregnant with out 3rd child. (the whole reason for getting this vehicle)We have owned it for 8 days...I drive to the store where she is and I can barely turn the wheel! I check the power steering fluid... its fine.Well, to make a long story short. I checked on the internet and found all the other stories about power steering problems and now, $2200 later we have out car back. THIS NEEDS A RECALL!!!",,
2.75,Liked The Enclave Until Transmission Failed,meycro ,11/30/2013,,,4,3,2,1,,3,4,1,4,"My 2008 Enclave recently required a new transmission.This after only 70,000 miles and several other expensive repairs.Until recentlywhen people would ask me how I liked it I responded, 'I like the way it drives but it's expensive to keep running.Now that the transmission failed, costing over $5,000 installed, I tell everyone this will be that last GM vehicle I will own.I will probably go back to a foreign made brand.It's a shame. ",,
3.375,Steering noise,txhawgfan50 ,09/20/2013,,,4,4,3,2,,4,4,3,3,"I am losing confidence in my 08 Enclave after 2 fairly expensive and out of warranty repairs.Aug 2013- I notice an intermittent whining noise while driving.Take care in and tell mechanic I think brake pad wear indicators are responsible and viola-I need front and rear brake replacement at a cost of $900.Well, I think, at least the whine ill be gone.But no!The whine returns and is more frequent.Then I notice a clear, oily leak towards left rear of car.Take car in and viola- I need rack and pinion replacement on a car with 83,000 miles.This repair comes in at $1100 and not under warranty.This steering issue seems to be a theme with the 08 Enclave.Will never buy GM again!",,
3,Run away from this car!,nanax4 ,09/19/2013,,,5,4,2,1,,2,5,2,3,"Bought used as a GM Certified with very low miles and a clean service history, but have since been in the shop for steering issue, Nav failure., air conditioning stopped working in back, electrical issues, and complaints about the transmission. Now it's sitting in the shop needing a new transmission with no warranty coverage.It only has 73K miles and has been well maintained...I just dont understand how GM can ignore the transmission issues.Just google it and see complaint after complaint about wave plate failure.I plan on giving GM the chance to make it right, but will take additional action if necessary!",Interior comfort,"Stand by your product!
No way it has ever gotten the stated gas mileage which is one of the major reasons I purchased it instead of a full size model.
It has blind spots, and needs more power..."
3,Buick Enclave Lemon,bird30 ,08/28/2013,,,5,,,1,,1,5,,,"I purchased the 2008 Buick Enclave loaded in 2008 as I wanted a Luxury SUV and wanted to support the American Car Maker's in time of crisis.I made a huge mistake!  My car has had every seals replaced since I purchased it and barely has 60,000 miles on it.  The car has been serviced and taken care of routinely by GMC since I purchased and babied since 2008.The engine seals went out at 30,000 miles, numerous times the airconditioning system has been fixed over and over for problems (4+ times), steering gear/drive problems, water pump seals, rear tail gate piston's replaced, leaking sunroof due to drain tubes plugging up from bad engineering, etc., etc. etc.  GMC has not taken responsibitlity for the sun roof and I will never buy another GMC product again.The car is beautiful and comfortable but the biggest lemon and disappointment I have ever purchased.",,
2.25,BAD TRANSMISSION!!!!,msgoodie ,04/11/2013,,,4,4,1,1,,1,3,2,2,"Buyer Beware! I absolutely love the design of the vehicle. It's perfect for my family. As previous posts mention, the wave plate is a problem. The service engine light kept coming on and it kept losing power. I had to keep bringing it in and they said it was fixed and wouldn't have the problem again. Unfortunately, the problem persisted and after having my transmission rebuilt at only 48,000 miles, I just had it rebuilt again at 56,000 miles. Crazy right!! Unfortunately, I'm now out of warranty. I have to figure out how to get rid of this vehicle that has a carfax report with multiple transmission issues. ",,build better transmission
3.125,"Buyer Beware, Extremely Unhappy CustomerÂ",smithe2 ,04/11/2013,,,5,2,2,2,,2,5,2,5,"I am joining this discussion, as we are also having an issue with our 2008 Buick Enclave. We need a new transmission. We have a 3/5/R wave plate fracture. It appears that this is a very common issue with the 2008 Buick Enclave, yet GM does not see a need to do a recall. I see unsatisfied Enclave consumers, on these forums, that are having issues with their transmission. We brought it to the service department, expecting it was still under warranty. To our surprise it was not, due to the in service date of the vehicle. Due to this date, we had missed the warranty coverage by six months. The service department quoted us $4900 to replace the transmission.We had a friend recommend calling GM direct and see if they had any cost assistance they could offer, let our frustration continue. I would like to cover the pain in detail, but there is not enough time. Basically after countless phone calls and two and half weeks later, I was told that they would not offer any help and per our case rep 70,000 miles for a vehicle, was a lot of miles. Imagine my shock that you could by a $50,000 vehicle and only expect to get 70,000 miles out of it. The woman who handled my case was rude and even suggested that maybe I should have bought a different brand vehicle.I did not expect GM to absorbthe full cost, but I was hoping they would split the cost of the repair. I have owned GM vehicles for over ten years and after this experience, I am not sure I will ever buy or recommend another GM product. Any thoughts or help out there, I am open to suggestions.  ",,
5,so far so good...,dpgull ,03/23/2013,5,,5,,,4,,4,5,,,"well dispite all the horror stories I read about a few major issues, I decided to take the plunge and buy a very well equipped 2008 CXL (everything but the folding mirrors, 110volt outlet and articulating headlights). It was a 1 owner car that was dealer maintained and I had access to all the service records.It seems the original owner had already addressed the steering (full replacement) and strut issue, and at 80,000 miles it runs tighter and quieter than the Mercedes M Class it replaced.Also I got an excellent price for the car well below book value.I did purchase a 3/36,000 extended warranty through my credit union which covers all major component, so if that wave plate goes... Update-  I owned this car for 30 months, and put on 40,000 miles, besides normal maintenance the only 2 issues I had (throttle body and rear lift gate struts) were covered under recalls.  The cost of ownership was incredibly good.  I loved the car so much I bought a new 2015",,
3.375,Honeymoon is over. Still working on the marriage,grnmama ,03/22/2013,,,4,5,3,2,,3,5,2,3,"Bought 2008 Enclave CLX new. Have since had warranty replacement/repair of GPS (twice), water pump, sunroof leak, and various small things. Many interior trim pieces broke, were glued on in service, only to fall off later. When the warranty was up we started to have steering problems. Found out it was the rack and pinion steering failing at 75,000 miles, a known design flaw for this platform. I have tried to contact our service rep at the dealership and have not had a return call twice. Had it repaired elsewhere. Too bad this didn't happen before we bought the 2013 Buick LaCrosse 3 months ago!!! Would like a GM representative to contact us.","Comfort features great, chair adjustments, chair heating, heating personalization.","Rack and Pinion steering ****
Interior trim installation permanency"
2.875,So sad this is happening to a vehicle I have loved to drive,grits18 ,01/28/2013,,,4,4,1,2,,2,5,1,4,"Mar 2011 power steering whine and locking up repaired under warrenty. Nov 2011 check engine light on, replaced solenoid under warrenty. Feb 2012 check engine light on, service stabilitrack, service traction control, traction control goes on and off, engine loses power, replaced throttle body covered under warrenty.Jan 2013 check engine light, service stabilitrak, service traction control, traction control goes on and off.No longer under warrenty repair is to replace valve cover and seal as the original is a flawed design and has been re-designed.Cost near $1000.00.GM takes NO responsiblity and no recall as not a ""safety"" issue.No but it is a flaw GM is well aware of!!!",,"GM should stand behind their product.
I didn't expect to purchase a high end vehicle have to do major repairs due to a design flaw."
3.125,A bad investment I still want to love,fortiter ,12/17/2012,,,4,4,2,1,,4,5,1,4,"The Enclave is a great car and I do not like speaking ill about it, but our vehicle has been very disappointing in terms of reliability. We thankfully purchased it under warranty at 30K and it required a new power steering pump, rack and pinion, a radio, and other minor repairs all covered under warranty. Since then, several issues have come up which were not under warranty. The moonroof was leaking and require an $800+ repair for a new seal and replacement of some of the drainage channels. The heating actuator failed to the tune of $400+ in repairs. I was quoted a cost of $200 to replace the key FOB which went bad. Overall, not what I expect from a ""luxury vehicle"" in terms of quality.","Seating for 7, durable leather, strong and dependable engine (at least for now). Extremely quiet for the size the cabin and smooth to drive. Clean shifting transmission. Absent of the issues which have infortunately plagued our vehicle, it is a great family ride. But I cannot in good faith recommend the vehicle to others because our problems outweigh the benefits of owning an Enclave.","Eliminate the 19"" rim option (which I believe already has been corrected). Rubber was over $1400 and there were only two tire options available. As stated, reliability and cost-to-own is an issue from my experience. We have not gone more than three months without an problem on the vehicle. I also believe that Buick should stand behind issues that question the integrity of the design. The water leak problem from the moonroof is something which would turn away buyers and can not reasonably be attributed to wear and tear. Quite frankly, it just looks bad for the quality and does not encourage consumers to speak well about their experience."
2.75,Leaking Sunroofs and Whinning Steering,kcosom ,09/11/2012,,,2,4,2,2,,3,3,3,3,"This vehicle is very attractive. ""Certified"" hah. I purchased it last summer, which it rarely rains in the summer. Unfortunately one rainy day my passenger notice rain coming in mainly from the sunroof and rear interior lights housing, I noticed it in the front, dripping from the visors housing. Apparently the design of this vehicle was not thought out regarding leaks. To top it off the warranty states that leaks are not covered, as if the maker knew it would leak. Not only the leaking the steering in now whinning each time I turn. This vehicle has been one dissapointment after another. My first Buick and possibly my last, sad to say.Mechanic states need inner/outer tie rods:( ",,
4.25,"Nice Car, But One BIG Issue People Need To Know About",falconeddy ,07/28/2012,,,4,4,3,3,,5,5,5,5,"There is a part in the transmission known as the 3-5-R clutch wave plate, or just the 'wave plate'. It has been discussed in depth on many forums for those of us that own an earlier GM, Lambda-designed based vehicle. Outlook, Acadia, Enclave, Traverse; not all model years are affected. The wave plate has an exceptionally high rate of failure, and we've speculated the possibly of reverse installation (it's a large toothed ring). They're covered under warranty up until 100,000 miles or 5 years. After that, you get to pay the $3000.00 (or more) bill yourself. So far, GM has refused to acknowledge the problem, but we're still trying to get them to do something about it. BEWARE OF THIS ISSUE!!!",Quiet Tuning,A redesign for better visibility and less blind spots
4.75,"119,000 miles in 5 years proves this is an excellent car",tinyelvis ,07/24/2012,,,5,5,4,5,,5,5,5,4,"I have updated my Enclave in this forum since newly purchased in Aug 2007. It still rides great. Everything works as well as the day I bought it. Seats are showing minimal wear for the time/mileage. Paint still looks showroom new. Have I had issues? You bet. Have they been resolved? Yes, and not always the first time. Five times a year we head to our vacation home, tacking on 2800 per trip. I can drive the entire 16 hours straight thru...no back or neck or shoulder pain. We easily haul 6 people and all their stuff. Repairs paid by GM: Tranny at 65k; wheel hub assembly at 76k. Repairs paid by me: door hinge; 1 set of rotors; 2 sets of brake pads; Fluids. $1200 for engine gaskets at 116,500.","Interior dash - nearly as nice as my Audi A8L. Cargo capacity is enormous. Switchgear still nice and tactile. Seats showing minimal wear in the leather. Carpets still look good. Hatch opens and closed as advertised. Headlamps are outstanding, although the ""google eyes"" articulation dosn't sweep nearly as far as the Audi. DVD, stereo, everything still works great. Nearly 5 years, 119,000 and still have original battery. Finally had a tuneup, changed all the fluids as a precaution.
The windshield is getting pitted will need replacement. This car has been a joy to travel in, a joy to maintain, and a joy to own.","Very few here. Passenger seat does not move up/down. Hello, GM, passengers may want a change of butt angle over a 16 hour haul. Rain sensing wiper for rear window makes perfect sense to me. Larger, easier to read switchgear would be nice but certainly not a deal breaker. Engine could use a few more horses, and newer models have them. Brakes are excellent. 

I love this Buick. We will eventually leave it at our vacation home as our permanent ride."
3.5,Service Engine Light,msgoodie ,03/18/2012,,,5,5,4,3,,1,3,3,4,I purchased a 2008 enclave used in May 2010. the first time the service engine light came on in Septemeber 2010. Then 4 more times in July 2011. Every few days after the dealership so called repaired the problem the service engine light would come on and the SUV would lose power. That went on 4 times within a few weeks. I finally thought the problem was addressed until now. The light came on again. It's still under warrrantly and been at the dealership for 4 days and I still have not recieved a diagnostic call. I'm almost out of warranty and need to make a decision to either buy an extened warranty or trade it in. I now know why the previous owner got rid of it after just two years.,I love the interior space and the design.,
4.125,Aging Enclave,usabill ,03/13/2012,,,4,4,4,3,,5,5,4,4,"We've had the car now for 4 years with less than 40,000 miles and have run into a few snags - all covered by warranty.1. Both retractable mirrors stopped working. 2. Battery went dead warranty covered replacement. 3. The vehicle one day left me dead in a parking lot and would not jump start. Both ONStar, & car phone wouldn't work but other electrical did. It had to be towed to dealer they stated anti-theft system locked up and ""only"" dealer could reset. This is a worry if I had been out camping in remote location. 4. GPS NAV system disk error - had to replace entire radio system. 5. Water pump failed - had to pull off road and call for tow.",Quite car to drive - very luxurious for driver and passengers.,Electrical systems need to have some sort of backup or override system. Having the vehicle go into anti-theft mode and ONLY dealer can reset is real concern. This aspect alone will cause me to seek another vehicle once time comes because we travel to many remote regions in the desert.
3.625,"Stay away from the 2008 Enclave,Traverse,Acadia",fr8bil ,02/20/2012,,,5,5,3,2,,3,4,4,3,"In '08 models of the GM vehicles sharing the ""Lambda"" platform including Enclave, Traverse and Acadia, GM built the V-6 using a defective timing chain.These chains are prone to stretching which throws a trouble code 1st or causes major engine damage. GM/Buick's solution is to re-program the on-board oil life monitor to advise owners to change oil more frequently which will not fix anything. If the vehicle is still under warranty when the chains stretch, they will be replaced with completely different part numbers.If not under warranty you are screwed for about a $4-$5K repair.GM refuses to do a recall and there should be a class action pn this issue. Cargo door latch, steering squeaks","Styling, interior room, handling, comfortable driving position. Cargo room. ","Replace all '08 engine timing chains via model year recall.
Engine badly needs more power to move a 5000lb. vehicle...add turbo option to preserve fuel mileage which now runs about 19-20 hwy. "
5,The Most Awesome Vehicle We Have Ever Owned!,bob_w ,11/02/2011,,,5,5,5,5,,5,5,5,5,"We bought our Enclave in August of 2007. We have had only 1 problem. The GPS unit just did stop working. Other than that it has been extremely reliable. It rides like a dream and is very versatile. We keep a car for a long while, therefore we spend a lot of time in selection. We drove all vehicles in this class before making our decision. My wife just knew that she wanted the Volvo before we started. 13 vehicle test drives later we are picking the options and color of our new Enclave. If I had to replace it today, I would probably get it again! ","It is a true 7 passenger vehicle. That would be comfort for all 7! The problem is that whenever we go somewhere we always have to drive because everyone loves the Enclave!
We love the amount of room for luggage and vacation purchases. 
The ride and low noise level make it the perfect vehicle for a trip or just riding around town.
The style is the same now as it was when we bought ours. So some people think that we have a new vehicle! But the classy look did attract us to this vehicle right away. And we still like the ""look""!",The only thing that might be nice would be arm rests on the front seats. Other than that I can't think of any.
3.5,Trying to be loyal,manymiles ,12/29/2010,,,4,5,2,2,,3,5,3,4,"Come on GM, where is the quality?We have 48,000 miles on our Enclave.In the last four months we have replaced the rear HVAC unit, steering speed sensor, water pump, rewired the trailer harness (incorrect from factory), replaced a screw that was loose from the air box and rattling (very annoying), and now a tpms is faulty causing a low tire every morning!Trying hard to remain a GM fan but these problems are making it difficult.If we travel very far these days we always take our Acura, VERY DEPENDABLE!!!","Love the looks, soft ride and remote start!","Quality, quality, quality!
For this price range should have a much nicer stereo system.
Buttons and switches are typical GM, cheap! Would also be nice to stop the liftgate at 3/4."
3.125,GM Quality gone?,creeker00 ,12/12/2010,,,4,4,2,2,,3,5,2,3,"Switched over from Dodge/Jeep to GM in purchasing the 08' Enclave and what a mistake that was.Guess next time I will go with a Ford, as GM and Dodge have obviously went way downhill.Car rides better than any I've driven.Seat comfort and features such as dual climate control, heated seats, etc. are great.But, with under 50,000 miles on the vehicle the control buttons have lost their paint, the leather seats are terribly worn just from normal use, the rear climate control has had to be replaced due to non-functioning and is acted up again.Also, the transmission had to be completely replaced after 40,000 miles and the rack and pinion had to be replaced.Poor, Poor quality for $37K.",Dual climate control system.,"Drive train reliability, overall build quality.
 For a $37K vehicle I expect a $37K vehicle, not a $27K vehicle..."
3.5,For Fair Weather only!,EAS ,10/27/2010,,,4,4,3,4,,2,4,3,4,If you live in an area that has rain and/or snow - please reconsider purchasing a 2008 Enclave.  This car is terrible on wet roads.   All else seems to be fairly good; no other issues.,Good looking vehicle. ,
2.375,Regret Purchase,wilson ,10/17/2010,,,4,4,1,1,,1,4,1,3,I really regret purchasing my Buick Enclave.  This is the first time I have purchased a Buick and it will be the last!  Had to have transmission fixed.  It took 3 weeks.  Now having the same problem.  When driving the car suddenly downshifts and I go from 65mph to 45mph and can not do anything about it.  The last time I lost all power steering.  Very dangerous when it happens on the highway.  My car is at the dealership right now and I do not want it back!,,
3,in the shop 17 times!,Dr. D ,10/12/2010,,,4,4,2,1,,2,4,3,4,"I have had numerous problems with my Enclave. It has been in the shop 17 times, towed 4 times and been jumped 3 times. I first had the battery replaced w/in 8 months of ownership and it has been downhill since. The odometer malfunctioned, water pump replaced in the 2nd year and the transmission was replaced after 2 years. The car has leaked, trunk malfunctioned, On Star was repaired and though I know I am leaving out things, you get the gist of my experience. The time spent and money wasted on car rentals is beyond acceptable. The only positive in my Buick experience is that the service center staff were wonderful and empathic; Kim went out of her way to help me out. Buyer beware!","I am so damaged by the lack of reliability, I cannot find any. Maybe the auto start feature......",Self explanatory ie. reliability. Also the front pillar and side view mirror together create a huuuge blind spot for both short and taller drivers.
2.375,Serious Reliability Issues,SunShine ,09/21/2010,,,5,5,1,1,,1,4,1,1,"I wanted to love this car because it has the features that I needed, and it is my first American built car.  Unfortunately, this car has had terrible reliability.  The transmission had to be replaced, several rattle and motor sounds had to be fixed, the air conditioner had to be fixed twice already and it still doesn't work, and I just had to be towed, one week after my 50,000 maintenance, because of brake issues. I was on my way to taking my daughter to the hospital!  I  seriously regret purchasing this car.",Third row seat that an average size adult can use Beautiful lines inside and out Price for features,Reliability!!!!!!!!!!!!!! Smoother shifting at higher speeds Slightly longer seat cushion on second row seats
4.5,Buick Enclave,donald longest ,09/18/2010,,,5,5,5,1,,5,5,5,5,This is a great vehicle. The only things to improve is the small rear window and needs more Hp ,,
3,I used to be a GM Fan.,Doug G ,08/06/2010,,,4,4,1,1,,3,4,4,3,"Mine was preowned but practically new when I got it. Great looks and design concept, but disappointing quality. The gears stripped out in the power seat control and was replaced (I'm not Fat); The entire steering column was replaced to eliminate a persistent knocking; There is a constant rubber- on-rubber squeak when you turn the steering wheel, which the dealer tells me he has brand new Enclaves with the same problem and Buick has no fix; a water pump went out last month; in cold weather the front end cracks and pops and sounds like the FWD drive train and suspension is flying apart; drips oil.  Generally speaking, it's looks good and is comfortable, but is a typical, poorly built U.S. car","Interior space layout and seating; XM/Nav/Reverse-Camera system; Good MPG (Ave. 22 MPG on a recent 2,000 mile trip to Colorado); comfortable ride and quiet, except for of all the squeaks, creaks, and rattles due to  poor fit and finish; V-6 engine will get up and move when you need it to.","Tire size exclusive to Enclave with only one Michelin and one BF Goodrich to choose from, Hi $$. Poor build quality that results lots of squeaks and rattles for a high-end, luxury car. Front end suspense and drive train doesn't have a solid feel. At cruising speed it shifts in and out of OD a lot."
4.625,Enclave Driving for Almost 2 Years,personal ,07/05/2010,,,5,5,5,5,,4,5,3,5,"I read a blog before we purchased who advised to purchase the back-up camera system due to the blind spots.  I took that advise & it was right on.  I'm about 5'5"" and my complaint is the visor doesn't block the sun when it is on the Driver's side.  Lethargic pick- up is my other complaint. There is a 'lag' when slowing down and then gaining acceleration to pass another car.  Also a little thing but important to a woman is the hook on the back of the driver's seat is useless.    ","Love the look.  We've taken several trips of 500 miles or more one way, and it is comfortable.  Drives well and has plenty of room for our golf clubs in addition to luggage.  Easy to store all the items I buy @ Target & the grocery store.  Great overall w/safety bags well protecting the car.",How about devising a visor to protect shorter people from the sun.  Definitely need to beef up acceleration.  Add a usable clothes hanging spot.  Keep the exterior look.  We think it stands out from the SUV 'crowd' with the front grill & styling which is what we were looking for. 
4.875,Love My Buick,Bing ,06/29/2010,,,5,5,5,5,,5,5,4,5,"My Buick Enclave is best riding vehicle that I have ever had.  The Enclave rides so smooth on the Interstate.  I like all of the safety features standard on the Enclave.  People ask me if I like my Enclave, I tell them no I love my Enclave.  Gas mileage in cit could be much better.",The navigation system and the turn by turn assistance from GM is great.,The MPG needs to be improved
3.5,Nice. But.,mhammel ,06/29/2010,,,4,3,4,4,,3,4,4,2,"The Enclave provides a decent ride and comfortable seating for 7 in our configuration. If this vehicle were manufactured by Ford , I'd buy another one. The GM experience is awful (and I mean GM, not just the dealer network).  For instance, I purchased a very small, boat and wanted to add a trailer hitch. The owners manual indicates that a part has to be changed if a hitch is added and the dealer will take care of it.. Not so. The small part is a the entire fuse panel and to correctly modify the electronics in this car to support  towing is so expensive the dealer wouldn't give me a price -there's even a TSB for this but GM has canceled the TSB. OnStar with Bell - no more, gone and more.","HID lighting. Heated windshield washer- whoops no more, Digital display of cruise control speed, quiet ride, OnStar with Bell-whoops no more, dual panel sunroof, versatility - fold down seating, tire pressure monitoring, park assist. ","Standard sound system is poor for a vehicle in this price range.  GM should treat the customer like they matter - I like this car, but won't buy another GM. GM got smart with the new models of the vehicle and added bluetooth. Onstar for calling is a rip- off without the Bell/ Ver. plans. Transmission"
2.875,Transmission problems,rowand ,06/15/2010,,,4,3,1,1,,4,4,2,4,The transmission went on my enclave It only has 97k on it. Have been waiting over 4 wks for repair. Parts still not in! Unacceptable!,,
4.25,Tire replacement,bob ,06/12/2010,,,4,5,4,4,,4,5,5,3,My tires wore prematurely 3/32 at 26k miles dealer offered to buy two and I pay for two 618.00 for two tires so much for G M price matching 208.00 at Belle tire. My question is when I drove it in the dealership my vehicle drove beautifully when I drove out on a test drive it vibrated terribly it has been back six times and still not right. Last visit I was told to drive it 500 miles and come back. Can anybody help I don't have the time and they have driven it 300 miles testing it what is wrong? Thanks  help,,
2.25,Worst car I ever owned,Carol ,05/24/2010,,,4,4,1,1,,1,4,1,2,"Bought this 2008 Enclave as a Certified Preowned vehicle.  Had 51,000 miles at purchase.  So far the air conditioner sensor, transmission & Tire sensor have had to be replaced and there was some sort of electrical short that had to be fixed.  Gas mileage is about 10 in the city and about 18 on the road.  Much less than advertised.  They loaned me another 2008 Enclave to drive on vacation because mine was in the shop and the water pump went out in it.  Transmission doesn't shift well in low speeds.  RPM runs too high.  Worst car I ever bought.",It looks nice inside and out.,Better transmission and better gas mileage.
