5,LACROSSE TEAM IN CT,John Ramsdell ,12/13/2016,5,5,5,,,5,5,5,5,,,"Awesome awesome awesome vehicle!!! Before this car, we owned a 1997 Buick Riviera. We loved that car to death. But the engine blew, so we decided to buy another used car. We looked at six different kinds of cars and SUVs. Not only did we tend to steer clear of other Buicks, just for a change, it didn't work. The minute my husband got behind the wheel, it was love at first sight/drive!!! Lol so in conclusion, we stayed with Buick because we knew we were getting a great car for the money.",,
3.75,2008 Buick Super,stuoliaberomon ,05/31/2014,,,4,4,2,2,,5,5,4,4,"The car is great but has poor reliability. All the engine gaskets had to be replaced due to oil leaks, the oil pump failed which scored the the crankshaft, the key FOB's fail about every year or so (I am on #5 right now) and now the air bag warning light is on. It is in the shop now to find out what the problem is. The day/night dashboard lighting has not working properly for the last few years. The front wheel bearing failed a year ago. The CD changer does not work at times and the radio changes stations without warning at times.I have 55000 miles on it. I bought it new.","It is quiet, peppy and comfortable. I enjoy driving it when it is working.",GM does not have to improve a thing since I will never buy a GM car again.
3.375,Love/Hate this Buick,dulloldad ,04/10/2014,,,3,4,3,3,,4,4,3,3,"Purchased 08 Lacrosse Super in January, 2009.Currently have about 42 k miles.Engine, 5.3L V-8, has been apart twice to replace lifters (GM TSB #06-06-05-001E). considerable vibration when AFM in 4 cyl mode (GM TSB #06-06-05-001E) Clear coat peeled from door pillars, glover box door latch broke, power Drivers Seat gear broke! Memory seats and power recline were not available!Have had same AFM problems with 5.3L in my 2011 Suburban!!Have had 11 NEW GM products and 2 new Jeeps plus several used cars/trucks since 1980.Will not buy another GM product new or used!!",Comfort (except NO memory seats or Power Recline on front seat backs).,"From what I have seen new LaCrosse (now largest Buick) has less interior room and smaller trunk.

GM needs to get it right the first time and not wait for years before fixing known problems."
2.875,too many annoying quirks,guest21 ,06/20/2013,,,2,5,2,3,,2,4,3,2,"cloth interior holds lint impossible to vacuum. Rotors warped after 10,000 miles ( now buy expensive brakes and rotors, to fix.problems with the transmission clunking into drive. took to get fixed, they said it didn't exist. Still clunks into drive after being in reverse passenger locks quit working after 50,000 miles.gas mileage was great at first, now get no more than 20mpg on highway 16mpg townSupposed to come equipped with a radio that tells the name of the song. Nope. My 2006 Nissan van does that.The tire pressure gauge kept going off and the interior light on the gear shifter went out 10,000 miles. door seal leaks sometimes. ","Great Color
Smooth ride
Quiet
sun roof
large trunk
powerful",
4.75,Love it so far!,spinmytires ,08/08/2012,,,4,5,5,5,,4,5,5,5,"I just bought an 08 LaCrosse Super, and so far, I love it.It is roomy, and the heated seats feel great after a long day at work.I like how it isn't over the top with gizmos and gadgets on the dash, but has enough to make me feel I am getting what I paid for.The ride is smooth, and it isn't jumpy when accelerating.I like the shorter stopping distances.I have seen a lot of reviews elsewhere that seem to think this is a sports car.No, this is a luxury sedan.I'm not in my 80's I'm in my 20's, and enjoy all of the comfort, and all of the horsepower.I don't intend on using this car to run the Daytona 500, so, who cares about RWD vs FWD?It's big, comfy and should be great in snow","Large cabin, large trunk, comfortable seats, heated seats, quiet smooth ride, ",I would love an aux outlet.
4.75,Super Lux,lacrosse2008 ,06/08/2012,,,5,5,4,4,,5,5,5,5,"With the Supers being so rare, I had to go check it out when I saw the classified ad at a local dealer. It was love at first sight. I always thought the LaCrosse was sharp, and the Super takes that a step further. Being black with the tasteful chrome trim, including the optional chrome wheels, it gets compliment after compliment. Wasnt sure how I felt about the dark brown interior but it has grown on me. Love the power and ride, but after only a couple of months of ownership, the transmission has had to be completely overhauled. Since its still under warranty, Im taking it in stride. Other than that I have been nothing but happy with it. ","Contrast of Black finish with chrome trim, door handles, grille, wheels and exhaust ports. Just about every option you could want. Good mix of classic and modern design on the interior and Cocoa interior makes for something different. Exhaust sounds great. Nice rumble without being overpowering and the 5.3 V8 will make you foget you're driving a so called ""old persons car"" .","Cant really improve on a model thats no longer being produced, but I wish GM would produce more models of this nature. H.O. engines that sound like they mean business. Also focus more on quality and back it with a longer lasting warranty. Forget trying to keep up with the imports and go back to building good old American style and muscle. The 2008 LaCrosse Super is that last of a great era. "
2.375,Worst Investment I've ever made!!!!!,StickWithFORD ,09/23/2010,,,3,3,2,1,,3,3,2,2,"This car has caused me nothing but problems. The day after driving it off the lot my ""service tires"" light came on. When I had it checked out at the dealersship I was told the pressure sensor was cracked. The dealership refused to pay for the repairs claiming it was my fault. The tires wear too easily due to the faulty rear struts. The car rattles horribly like its going to fall apart, the doors are 2 low, always hitting my head getting in. Now the car whines like a dying cat & I have gone from replacing fluid monthly to daily. The keyless entry hasnt worked since the 3rd month of me having the car. I see im not the only 1 with these issues. Entire car should be recalled. Back to Ford for me",Radio,Recall all 2008 Buick Lacrosse Models. They do not care about what the customers are experiencing with this car. These issues start out small but can become serious quickly. Does someone have to die before Buick takes action?????  Truly Sad
4.25,Good but could be better,g. edmonds ,07/14/2010,,,4,5,5,5,,4,5,2,4,"This is my 5th Buick, but not my favorite.  My '02 Buick Regal was more comfortable to drive. The front windshield is set at an odd angle. I lose my peripheral vision in certain instances (possibly due to sleek design - I checked the 2010 and it does not have this problem) and the self-darkening interior rear view mirror is not dark enough for cars that have high beams &/or maladjusted running lights. Otherwise it handles well and has good pick-up. Car has only 19,000 miles and so far, no major problems. Interior front passenger carpet keeps coming away from frame.  I've had it in for repairs 5 times. ","Dual climate control, electronic seat adjustment, trunk access on front door lock button, remote start, great radio, comfort seating for long drives, heated seats.","Better mileage, longer front seat arm rest, flip-down back seat trunk access, better ability to control darkness level on interior rear view mirror "
2.5,super bad,jeff ,05/07/2010,,,4,1,2,2,,4,2,2,3,"steering arm at 1ooo miles forth set of struts at 36000 rack and pinion at 35000 steering makes noise yet power steering pump whining now buick claims no defect because we drive 2.5 miles of gravel to town. Having a hard time talking to dist. specialist they claim I should know to call them before 24000 miles.  How? I have driven 3000 miles for repairs and they are charging me .35 cents per mile if they would buy me out.  What a sad day for buick, worst costumer sat. ever.  Car is litteraly shaking apart,ruff ride and noisy going on interstate.  rear window rattle door latch replaced Insulation front fender falling out. I have 5 other vehicles that havent had any of these repairs.",pretty to look at peppy but hard on fuel,take picture and blow up car
4.25,su-purr review update,zeke ,04/29/2010,,,4,4,4,5,,5,3,4,5,"Wrote 1st review 03/03/08 soon after purchase.  Car still fun to drive. Only fault is door pillar trim starting to fade but dealer is going to replace.  Sometimes a ""grunt"" from steering when turning all the way left and dealer is watching this too before the warranty rus out. Now have 40,000 miles and still great driver.  This cart is different from 95% of the cars being reviewed on this page.  This is a super not cx, cl, cxl etc. So most of the reviews written here do nor reflect the lax super.","300 horses, sat radio, remote start, overall great performance","HID lights, remote open fuel door,led tail lights, re-engineer sun visors"
