5,Happy camper !,john gomez ,08/28/2016,4,5,5,,,5,5,5,5,,,I purchased this car new in late 2008. It has 120k miles on it. the only problems I have had with it is the valve cover gasket likes to leak after 2-3 years and the headlights got so foggy I just replaced the assemblies with new ones. I change the gasket myself so thats really not that big an issue. Air conditioning still works great and I still get 34mpg highway. The a/c reduces power on takeoff and lowers gas mileage but thats to be expected on a baby car. I had the timing belt replaced at 80k miles along with the water pump and idler pulleys and the old belt still looked very good. I have been very happy with this car and hope to drive it well over 200k miles.,,
4,my wheels,milly ,03/26/2016,,2,4,,,,4,4,,,,Love my white Chevy Aveo that i have had for over 5 years. But was told i need a timing belt at a cost of $550 my car drives great but they were changing my oil pan gasket and noticed my belt was starting to fray. I was surprised because my car runs really good.I have 75000 miles on it. What if i wouldnt have gotten gasket changed i would never have known til it was too late. Not happy about this,,
1,A TRUE AMERICAN MADE LEMON,lemon ,10/25/2015,1,1,3,,,1,3,1,2,,,"Never buy a chevy aveo , it is a piece of crap!! Had to put a radiator in it , transmission , computer, and now head gasket blown!! Nothing but a waste of money wanna take a baseball bat and beat it to pieces.They really need to take theses lemons off the market.I am extremely disappointed and will never buy a chevy again",,
1.5,This Car Sucks,cjk67 ,09/14/2013,,,1,1,1,1,,1,1,3,3,"We bought this thing used in 2011. It had 24k miles on it at the time. Immediately, the battery had to be replaced. Since then, hoses, water pump, and tires have had to be replaced. The gas cap door has fallen off and the driver's side door lock fell in. A piece of plastic near the rear passenger door fell off. It's the worst freakin' car I've ever owned and that includes the Jaguar that was always in the shop. I will never own another Chevy.",None.,Burn the plans and start all over.
2.875,won't buy a chevy again,lcanfield ,08/25/2013,,,4,4,1,2,,2,4,2,4,"I have my aveo for 4 years now and only have 32, 000 miles on it. I have had nothing put issues with this cars electrical system. First my tire pressure light comes on all the time, now I have my oil light come on and off. I was told by the dealer that it is a sensor problem and they cost 257.00. Now my check engine light is on. Of course this is the same problem.This sensor will cost 357.00. So far I have not fixed them and not sure I will. I will have the car paid off in may of next year, then its so long piece of crap car.",The radio I bought for it.,Fix electrical problems like sensors so people won't have to repair them when the car is only 4 yrs old.
2.5,extremely dissapointed,annie53 ,11/03/2011,,,3,3,1,2,,3,2,2,4,"This was my first brand new car.I was so excited, since my husband bought a 2004 Aveo and was getting a solid 40 mpg.Then, I bought my 2008.From the first week when I wound up with the new tire gauge light lit up. ""Really, couldn't they have checked the tires before I picked it up?!?!?""Constant issues with the tire light.Too cold in the morning, lites up, too warm in the afternoon, lites up,and several trips to the dealer when they say nothing is wrong.No matter what I or my husband drove could not get more than 24 mpg in it.Again the dealer said nothing was wrong with it.First set of tires (in both Aveos) needed before 6000 miles.GM put the cheapest garbage they could.",None,"Then, my husbands Aveo lost a timing belt at a little over 60,000 miles.
Blew the entire engine.
Cost a small fortune and Chevy said it wasn't covered under warranty.
I'm approaching 60,000 in my 2008.
60,000 mile service is like $600, which interestingly enough does not include replacement of the belt which is EXPECTED to break after 60,000.


I will be buying something else next time!"
5,3rd Aveo and loving it!,bbben ,08/08/2011,,,5,5,5,5,,5,5,5,5,"I am not sure if some people get lemons, but we are on our 3rd Aveo and have never had a significant problem. I have had both LS and LT models. I now have an automatic LT sedan and average 30 mpg's combined city/highway on a regular basis. I drive normally most of the time but I suspect some people who complain about MPG's just really drive their cars way too hard. I get excellent deals from my dealer and commute 60 miles a day making this car a real money saver. Due to the lower cost of the car I spend much less overall on this car than my friends who but imports in the same class.",drives very well and saves money.,
1.75,The worst car since the Yugo,damonmabry ,07/01/2011,,,2,3,1,1,,2,2,2,1,"We have had nothing but trouble with this car since we bought it in 2008. The cruise control stopped working (again), it gets horrible gas mileage, overheats, the odd sized tires are expensive and wear out fast because it won't stay aligned, horrible road noise, and half the time I press the gas pedal and nothing happens, this car is three years old and it runs like a 30 year old car.I doubt I'll even be able trade it until it gets paid off. This is an embarrasment for the US auto industry and my wife and I are now looking for a foriegn car. I don't want to but I won't buy another chevy again for sure.",It came with an extra floormat.,Too many problems to improve and replacement parts are expensive. Make replacement parts affordable since I am going to need a lot of them.
2,What a rip off,steffie26 ,05/26/2011,,,1,5,1,1,,3,2,1,2,"I bought this car in 2008 when the gas prices first began to rise based on the 24-28 in the city and 36-38 on the highway. So far its barely 20 in the city and 26 on the highways. Every time I take it in the dealership tells me no error codes register on the computer, everything is fine. I had to replace the tires an odd size at 7500 miles. I had had to replace the front end rods and they are squeaking again. The interior is wearing off and the drivers side door handle has snapped off and the back passengers side is ready also. My daughter bought an Aveo hatchback at the same time and has had hers in for acceleration problems 3 times and her passenger side air bags don't register. Lemon",,"Maybe Cheverolet should do something to take care of their customers who have multiple issue with this model it obviously has
many problems. As of now I will not buy another Chevy I'm going back to Hyundai"
2,Think they dropped it in the ocean....,wheiney ,04/13/2011,,,3,3,2,2,,1,3,1,1,"Purchased my Chevy Aveo LT w/ every option (leather, sunroof, etc) and I have had more problems with this car than all my other cars combined in my life.*Chrome Trim pitting and rusting (replaced 3x)*Rear trunk lock cylinder rusting (replaced 3X)*Decklid had to be repainted and fixed due to rust coming through by the license plate (GM said it was a rockchip...really on the back of the car?)* Both rear door hinges had to be replaced* Whole shifter replaced. *Half of the exhaust rusted off and had to be replaced*O2 sensor went out yet never tripped SES light, but was bad enough to cause idling and driving surging. 5 other problems but out of room. All this by 22,000 Miles!",Like car till started having problems at 6 months. ,Start over. Buy something else.
