4,Pizza crap! We were wrong!!!,Kathy Chapel ,08/28/2016,5,4,5,,,,,4,4,,,"When the cobalt was new we had FOB and computer lock up problems, now that we worked through that early on, it's been great! Best attribute ? The deep , big, trunk!!! It's great!!!",,
5,It's been a great car.,Gary ,04/01/2016,5,4,3,,,5,4,5,3,,,"I bought my Cobalt with 100,000 miles on it, so I was expecting it to need some work at sometime or another, and maybe have a leak here or there, but it simply hasn't been the case.  I change my own oil and always do a look around underneath the car to check for issues, and I almost always come up empty handed.  I now have 157,000 miles on the car, and all I've had to change are the brakes, tires, and a couple control arm bushings.  The reliability has been phenomenal.  About the only gripe I have is that the interior is very basic and cheap looking",,
2,Biggest Mistake Ever,backb ,01/10/2015,,,1,3,1,1,,4,2,2,2,"I thought it would be a good first car, and it was okay, but anything but okay.  The day after I got it home it started grinding going to fourth gear every shift and I know how to shift so it wasn't me, and the front speakers didn't work. Took it back into the dealership next day and they had to rebuild third and fourth gear, and put new speakers in. A year later had to go back in for more transmission work because it was hard to get into second, come to find out, second and fifth gear were shot.  suspension sounding like it was falling apart on bumps, and hitting brakes made steering wheel shimmy. Do yourself a favor and don't waste your money on this car, so glad I traded it in.",Great gas mileage,Nicer material.
3.875,An okay car with a few flaws..,danielsmith85 ,09/25/2014,,,3,5,3,5,,4,4,3,4,"I have to say my Cobalt has been a pretty good car in terms of reliability. There's been a few problems but I've had most of them were fixed by my local dealership. At 23,000 miles my power steering pump quit while merging on the interstate, lol wonderful right? (Replaced under warranty) At 51,000 miles my radio would randomly turn off and start working again when it wanted to. (Replaced by GM under warranty) And my door speakers would only work when it's warm outside. (I just had new ones installed from Best Buy.) But besides these things the car has been great. It's fun to drive and has a lot of pep for a 4 cylinder. It's great on trips and I plan to have it for many years to come. ","awesome gas mileage, and performance.",The interior could use a little improvement. Trim scratches real easily.
3.25,Don't Buy!!!,jackieevilla12 ,09/16/2014,,,3,4,2,1,,4,4,3,5,"First off, there is a recall on the ignition switch that is highly dangerous. 
I bought my car 6 months ago, 68,000 miles on it, and it seemed to be in great condition. 
I got the ignition switch replaced by the GM dealership, and 2 months after that the car started having problems. Right now I'm still not sure if it is the battery being drained or if the alternator went out. The car itself is still in great condition and should NOT be having this problem. The first time the battery was drained, nothing on the vehicle was working. Not the remote, not the break pedal, and on top of all that, the key was stuck in the ignition and wouldn't come out until i got a jump start. ","Breaks are good, steering is excellent.","It defiantly should not have been put on the market. Faulty ignition switch, and what ever is causing my brand new battery to fail when nothing is being left on should also be improved."
2.125,"Six years, Too long, Never again. ",sanwich ,06/16/2014,,,1,3,1,2,,3,1,2,4,"I bought it with 3 miles, It was good on gas, Never should of traded my truck for it. I will start this with how big of a P.O.S this car is and build like so.. 2 days in the Door panels get ripped off by other Interior pieces. 3 months in the trunk no longer latches properly, 4 months random shifting times (lag to shift up or fail to shift down when needed). 6 months all Cobalts reduced to 9995 after I paid 15,995 for mine lol.. Speakers, stuts, Exhaust, and hood prop failures.. and then All the recalls started. ""faulty ignition switch linked to 33 crashes and 13 deaths"" No thanks, I have since traded and only got 5k for it ",Gas thats the only great thing about these cars. I went from Missouri to Arizona and back on about 270 bucks.,"GM, needs to go back to the drawing board. STOP making cash cows and make quality. Add a transmission dip stick or even a place to add fluid to. Stop hiding batteries, and get rid of all the sealed crap like trans and power steering "
1.875,Stay away if you want to live. ,addybabyface ,03/26/2014,,,4,3,2,1,,1,2,1,1,"I bought this car back in September w/ 40,000miles. Every month starting a week after I bought it, it flashed ""low engine power,"" I went from going 70mph on the free way with my speed dropping dramatically when I was in front of a semi truck. I've taken it in about 8x for this problem, 5 different part have been put in yet low engine power keeps coming up at the worst times. I'm scared to even drive my car. My car keeps telling me to check my air bags yet when I take it in there fine. Three different shops and the chevy dealer to looked at my car. Its a money pit. I'm now having to trade it in take a loss and buy a new car. But I feel karma will come back at me when someone else buys it. ","Seat belts, the only thing that will keep you safe in the death trap. Since not even the air bags work 100% of the time. 
","Fix the engine, everything about it. It speeds up badly and drops its speed at the worst times. 
Air bags, since they suck. 
The least of my worries, the truck space. The hole is small and hard to fit things in. "
4,Great Car.,markb873 ,08/18/2013,,,4,4,4,5,,4,3,4,4,"I bought a 2008 Cobalt at 77,000 miles in the summer of 2011. Just rolled over 100,000 miles. Had a few common problems. Transmission had to be rebuilt under GM Powertrain, both front speakers failed, lower control arms. This is all things I would expect with a disposable GM vehicle. I noticed in the snow that maintaining a proper alignment was key to driving straight, and adjusting the rear brakes was key to stopping. The paint still looks brand new even after $4,000 of paintless dent removal. The car has always been dependable and I don't plan to trade mine in.","The Higher ratio 5-speed transmission helps me get about 36mpg if I try, and 32mpg if I beat on the car for a week. I like that Chevy still offered this car without options to keep cost down. I was ably to find one without power windows, locks, or an automatic, but could still get the SS spoiler, and Wheels. I praise the balance shafts in the engine. I never had a car i couldn't tell was running.",The transmission needsto be a higher quality. The engine need stronger crank/pistons/rods/and rings. You can't modify the car too much without burning up the motor. I would delete the solid rear axle. 
3.5,Cobalt 2008,cobalt_08 ,04/16/2013,,,3,4,3,4,,4,3,3,4,"Bought an '08 Lt Sedan (4a) in Sept 2011 with 58000 km's on it, like brand new, and fully equipped! Almost two years and 40000 km later I'm still impressed with my Cobalt.The 2.2l engine is very quiet, yet performs flawlessly. I avg around 600km per tank, barely any road noise, sound system is good.Reliable on the highway and good performance during Canadian Winters. The interior is plain, nothing fancy. The ''info'' center is great as you can scroll though Oil Life, Gas Mileage, Outdoor temp. etc... all in all, a great car if your looking for something non-fancy but will get you from A-B.",The spoiler is invaluable when it come's to parking and giving the car a sportier look. Radio controls on the steering wheel are very handy. ,"In exchange for a sunroof I have no interior lights for the passengers behind. The back seats have very limited space, even with the front seats brought forward. The brake pedal has a spongy feel to it, but still gets the job done. The front suspension is very stiff. Have a few concerns with the Cruise control, such as quick and sudden jerks when accelerating up hills, causing slight loss of traction. Upgrade the headlight stock bulbs after buying, as they are quite weak for night time driving. "
2,Run Far Away! ,zwiama90 ,01/07/2013,,,2,3,1,1,,1,2,4,2,"I can without a doubt say this is the worst car I've ever owned. I'm trading it in after a year of having it and couldn't be happier. It has been on a hoist more times than I can count. My boyfriend is a mechanic and is just disgusted working on it once a month. Before I met him I spent $1000+ just in 2 months of having it. The quality is so bad and the car shifts rough. Endless transmission problems that chevy won't fix. Front suspension falling apart at 60,000 miles, bad multi function switch, steering column issues, engine randomly revs in cruise control, and too many more to list. I got stuck trading a grand prix in for this HUGE mistake. Stay away from these ""throw away"" cars.",Gas mileage is the only plus,Everything! More quality
