5,All in all I Love my Colorado,daisy young ,09/23/2016,5,4,5,,,5,5,5,4,,,"Nothing,just test drive it",,
2.875,British Sports Car/Truck,revbeagle ,07/12/2014,,,1,5,2,2,,3,4,2,4,"Bought this truck brand new in Fall 2008.It's now July 2014, less than 65k on the truck-have so far replaced heat shield (5k), headlight (10k), lumbar&blower(18k), ignition (40k), fuel pump (50k), fuel line (55k). The 5-cyl engine must be warmed up or it sputters on the next start (why?). Once it is running it is like a British sports car-I love the way it looks, handles, the engine has plenty of power & low-end torque and sounds great.But it's also like a BSC in that there is always something to fix!Gas mileage is outpaced by full-size models (my 2WD Z71 Crew Cab gets 16/20.5 on flat Florida roads). Lackluster interior w/ no tech. GM knows how to build better trucks, but didn't try.","Performance (not including mpg), Looks, Safety.","I'd love to see some original thinking go into this truck, but it's like GM set out to be mediocre.
(To be clear, I purchased it because of the looks, small size and incentives at time of purchase)
Back seat storage is nil (see Frontier).
Speakers stink on my loaded model, leather seats are comfortable but already have broken bevel with normal usage at 65k.
Why does it require a 30 second (awkward wait) warmup? This non-inflated, good-looking and powerful truck has so much holding it back. I'll be getting rid of it soon. "
4.875,"2008 Chevy Colorado Crew Cab - 130,000 mile review ",dstanzini ,02/19/2014,,,5,5,4,5,,5,5,5,5,"I must say, I've always had Silverado's before but was looking for something a little netter fuel-wise and lower to the ground for my elderly parents to be able to get in and out of.I am rather impressed with this little truck. I've put 130,000 mile on it and the only issue I had was the water pump went at about 80,000, but it was covered under warranty. The only other annoying little issue is that the rear brake squeak after awhile. There is brake dust that builds up in there. This truck has a snow plow in the winter and I tow a trailer for the band and my classic 55 Chevy so I am not easy on it. Towing up hill is a little rough. Gas mileage is decent about 22 hwy and about 17-18 city","Small compact, good entry /exit, decent gas mileage, pretty comfortable. Very reliable Tows well, handles well, stops well. Nice stereo although I wish it had an 1/8 jack input for an MP3 player. 15"" tires are inexpensive to replace",I would put disc brakes on the rear instead of drum brakes. The drum brakes squeak. I would also put and MP3 input jack on the stereo
2,Worst Vehicle I ever bought! Avoid at all costs!,runnscore ,04/19/2013,,,5,,,1,,1,5,,,"I bought my 2008 Chevrolet Colorado used from the dealer with 36,000 miles. Unfortunately I did not purchase the extended warranty. From day 1 I had problems with cold start hesitations. Spent lots of money at the dealership to fix with no luck. I had the truck for 2 years and every 4 months the battery would just die. The dealership could not figure out this problem either. I also had two seperate problems with the a/c just stop working. The last straw was when the truck's battery died when my pregnant wife was driving the truck and I was out of town. Avoid this truck. I am so much happier with my Toyota.",,
4,loving it!!,dirty_mike ,09/17/2012,,,3,4,4,5,,4,3,4,5,"Bought my 2008 colorado used , have not looked back, the 4 cylinder has enough power to pull a 14ft boat or load of wood in the back well.(I don't haul large loads/thats why I bought the 4 popper) the extended cab has enough room for me and my two children in the back 6 and 4. only complain I have is GET a spray in bedlineralong the bottom of the panels, for some reason the tires stick out just enough to kick stones at the truck. So outside that con, if you want 4x4 light towing payload/fun to drive/and not bad gas mielage(20 city 25-26 highway)this is hands down a good buy.","4x4 is smooth as silk, good sight all around the truck(blind spot free)",larger wheel well flares to deflect stones.
1.5,truck awful,marty ,08/05/2010,,,1,2,1,2,,1,2,2,1,"As far as I'm concerned the thing is an underpowered piece of overpriced plastic junk. I have always been a Chevy guy, but this is the end of my Chevy days. My last one was a 2000 sonoma and I thought the plastic was too much. Now I go to open the console and it's like lifting a piece of plastic milk jug, flimsy crap! For sale not driving it junk, junk, junk.","none, it's plain even with all options","more power would be great,maybe spruce it up a bit in the inside. And get rid of the plastic."
4.75,Excellent truck!,silver08colorado ,06/24/2010,,,4,5,5,5,,5,5,4,5,"The truck has decent stock power and performance for the 5 cyl. I had to make some slight modifications to increase its overall power and now I'm up there right around the stock v8. I got the truck with 22 miles on it, and I've put on over 24,000 miles since. This truck has a mean look to it. Even though I have the silver birch color, I would have liked the silver to be a more true silver like the Toyota. The gas mileage isn't the greatest, I average about 260-280 miles per full tank before the ""low fuel"" light comes on. I have the cloth interior which I enjoy. Only issue I had was a loose connection on the 4wd box which was fixed under warranty.",Modifications done.,"improved gas mileage, better interior design (looks cheaply made)"
4.375,Good Midsized Truck,Matt ,06/20/2010,,,4,5,4,5,,4,4,4,5,It's a good midsized truck. It's much better than the s-10 it replaced was underpowered and had too little interior room.  The 4 cylinder is adequate and gets good mileage. Interior is comfortable and has enough room. I like the interior space dimensions. The exterior is attractive. The only downsides are the occasionally squeaky brakes and door gaskets which once in a while make noise on bad roads.  The Colorado is a good truck. Glad I bought it and would recommend to other potential buyers.,Exterior styling Fuel economy interior room Exterior dimensions,"Better brake pads-softer material Slightly thicker seats- they are adequate, but a little thicker is better better back seats- jump seats too uncomfortable "
4.5,Like this truck,A Cossick ,06/06/2010,,,4,5,5,5,,4,5,4,4,"Only owned a few weeks so far - I want to address some of the complaints I read here before buying.  First, the back of the seat does adjust and there is a lumbar firmness adjustment.  My wife is particular about back support and she really likes the comfort.  Second, the rear headrests do restrict view a little, but all you need to do is fold down the seat.  If someone is in back their head would block the view just as much as the headrest - use the rear view mirrors.  We have the Z71 with the 3.7.  The ride is not as smooth as a car but it passed the wife test, she really likes the ride.  Not a rattle or squeak anywhere either (bought it used with 13k).  Overall very pleased so far.","Good ride for a truck, right size to fit in parking spaces, plays MP3 in dash, plenty of room for kids in back, slot in bedliner - put a board there so stuff does not slide forward in the bed. ","These issues are MINOR:  Rear fender flares nicked from stuff coming up off front tires - should probably come with mudflaps std on Z71.  Notice a fair amount of tire noise with windows down, could probably put a highway tire on the 2WD version. Provide adjust to raise seat to provide leg support."
5,Good Truck,TFA ,05/15/2010,,,5,5,5,5,,5,5,5,5,Truck has been very dependable and has done very well hauling loads and the family on long trips.,Exterior Styling,Add rear air conditioning vents
4.75,2008 Chevrolet Colorado LT 4dr Crew Cab ,Pete ,02/06/2010,,,4,5,5,5,,5,5,4,5,"The Z71 PKG is a must have. It gives the truck a better look and better visibility when on the highway. I've put 22000 miles on the truck and was a little disappointed with the gas mileage until I put a Tonneau cover on the bed which increased the gas mileage to 20.4 mpg. I've had no brake issues or any mechanical issues. Truck has popped into 4-wheel high twice when I was making a higher than normal speed sharp right turn into my driveway; but, I can't say for certain that I didn't accidentally bump the 4H button. Anyone else ever have this happen? I wish the 3500 pound towing capacity was higher and the gas tank range was greater; but, all in all I love the truck. OnStar renewal s/b less $. ","The Z71 PKG; the Inferno Orange color; the interior room and comfort (no back pains here). Truck handle like a dream in the snow with the 4H engaged. The oil monitoring system saves a lot of $ and is environmentally friendly. 2nd oil change per On Star will be at around 24,000 miles. ",Can the 3500 pound towing capacity be increased without sacrificing gas mile? I'd also like the gas tank range to greater. 
5,love my truck,love my truck ,11/22/2009,,,5,5,5,5,,5,5,5,5,I'm usually a fullsize truck guy. I recently bought my little colorado and I love it. I couldn't believe how nice a little truck like this could be to drive on long trips and around town. I'm definitely happy with the fuel mileage and the performance. I recently took a road trip through the mountains and I was truly amazed with the power and torque the inline 5 has. The interior has so much room for a truck this size and very fun to drive.I'd would definitely buy it again. ,"I like the fog lights and the dimming rear view mirror with compass,",little bit higher ground clearance
1.5,never again!,jim  baylock ,08/09/2009,,,1,4,1,1,,1,1,2,1,Bought my Colorado in jan 2009. Everyone says gm quality is as good as anyones. So figured id give them a chance. Fit and finish very poor. Orange Peel in paint. Motor knocks on startup. Constant brake problems. Lots of rattles. Terrible seats. Traded it in today for a Honda. Glad to see it go. I will never buy a gm car or truck again.,stereo.,Better quality! Motor that doesn't knock on start up. Brakes that dont squeak all the time.
2.625,Very disapointed,Danny ,07/27/2009,,,3,4,1,2,,3,3,2,3,"I have had a lot of trouble with my truck. Engine noise when starting, bad brakes and air noise in the cab.None of these have been repaired nor I don't suppose they will be as the dealers say. The engine noise is metal tolerance. I've looked all over the window sticker and it doesn't say anything about an engine knock that you have to live with.The last dealer I took it to fixed it for me. It doesn't knock now because the engine is full of oil additive. The rear lug nuts are worn out because the dealer blowing brake dust out to repair a brake petal situation. The doors are adjusted so tight they pop when you open them. Now thats service. Product is probably good. Service lousy.",Like my truck except when I have to take it to be repaired.Warranty is only good as the Dealer and the service,They need to stand behind the vehicles and get somebody that knows how to repair them
3.5,Not As Great,Not As Great ,07/01/2009,,,4,4,3,3,,3,5,2,4,"Hello bought mine used in Jan.09 love how is looks but there has been a few problems since then, found out in the inline 5 motor it overheats or runs hot when you are towing, happened a few times to me already. Motor runs loud, tire pressure sensors always need to be reset. Gas mileage is not as good as I was lead to belief for a 5 cyl it should be a lot better. I love the interior room very comfortable on long trips. Bed lights are always going out but I still Love my Colorado. One suggestion invests in a spray on bed liner the stuff that it comes with stinks.  Hope this helps",Interior room,Better gas mileage
