4,"Almost no problems; 2008 Silverado Reg cab, LB 4wd",C. Henry ,11/28/2015,,,4,,,,,4,,,,"Had to list this as a LT regular cab long bed, 4 wd. Actually is an LS, which in 2008, was just a Work Truck with a chromed front bumper and chromed steel wheels. Mine also has ""Trailering equipment package"", which is the same as ""Towing package"" without the locking G80 rear differential. It has the 4.8 with 4 speed auto. No power windows, no power locks, no cruise control, no power mirrors. Has A/C. The 4.8, thankfully, did not have the variable cylinder engine until a few years later. Then the 4.8 was dropped entirely.I purchased it new in Sept., 2008 at the old GM's fire sales. Truck was made the last week of 2008 production in June 2008. At their best plant at the time, Ft. Wayne. It has very dependable with almost no problems I do all maintenance on it. No rattles or squeaks at 65k.Currently at 65k miles. It has seen all sort of use from heavy urban gridlock to local country roads to Freeway use. I changed out all fluids between 50k and 60k miles. Brake, coolant, transmission, front differential, rear differential, and transfer case fluids. This year, at 62k miles, I replaced the front and rear brake rotors , drums, pads and shoes. The rear drum shoes were almost done, but the front pads could have gone another 10k. Engine consumes almost no oil between 4k to 5k oil changes.Non wear items replaced since new:--Rear shocks were shot at about 40k. Replaced with KYB gas-adjust mono tubes which are great and match the front strut valving well.--Turn signal clicker not audible at 50k. Sound for TS comes from left speaker. Unbelievably cheap paper door speakers replaced with cheap Pioneer speakers. --All good. ( common problem).That's it!I attribute the good reliability my Silverado has had to the fact it doesn't have the things that frequently cause trouble on the GMT's.--No cylinder deactivation on the 4.8 in that era. No piston ring/oil consumption or camshaft problems because of that.--No power locks or power windows which cause many problems.--No Eaton G80 locker rear differential which some people have experienced failure with. With manual shifted 4wd and an open rear axle I have had no trouble --making it through even heavy snow.Due to the lack of any power accessories and being a regular cab, the truck is fairly light. I believe this 4.8 can easily match or beat the ubiquitous 5.3 with extended or crew cab 1500 in acceleration.It has a very wide turning circle, but the use of rack and pinion steering starting in 2007.5 makes it pleasurable truck to drive. Gas mileage is not so good. When I commuted to work, with a total mix of driving, I averaged about 15.5 mpg. Mostly local roads  and shorter trips now. I seldom see more than 14 mpg. It will still do 17 to 18 mpg on infrequent Interstate highway runs. No mileage bonus with the 4.8 over the 5.3.Used buyers may like to know that GM in 2008 and post bankruptcy, 2009 made up different equipment packages that did not exist in catalogs. You may get something that shouldn't have been on your truck ( sometimes heated power mirrors on an LS trim) or not get something that should have been included.",,
4,"Purchased new; 7 years and 90,000 miles later",Rob ,08/23/2015,4,3,4,,,4,,4,5,,,"In my experience this is a good, but maybe not great truck.  Kind of a hybrid between a station wagon and a truck, lots of room and comfort in the cabin, not a lot of bed space.  I've had a few irritating problems, like having to replace one of the seat belt latches and tire pressure warning lights that don't work, but nothing major.  I'm looking for a new truck to replace it and will end up choosing either a Ford F-150 or another Silverado, probably the extended cab though rather than the crew cab model.  I'll just go with the best deal I can find.",,
5,Chevy rocks!,Lee Fowler ,08/02/2015,5,5,3,,,5,5,5,5,,,"I have a friend whom had a older Silverado and put over 500,000 miles, his current is 07 Silverado ands has over 300,000 miles.  @325,000 the transmission was replaced. . He has some oil issue's.  I personally have 08 Silverado with 81,000, only issue. . Actuator driver door.. keep it up Chevy !",,
4.75,2008 Chevrolet Silverado Reg Cab Work Truck 4.8L,11johnathan11 ,05/31/2014,,,4,5,5,5,,5,5,5,4,I have over 5 years and have 45000 miles on it. It has had excellent reliability. I'm still on the original tires. I will replace them around 50000 as they will need it. The only thing I have needed to do was change the front brakes on the truck around 18000 miles and I had to take the truck to the dealer around the 2.8 year mark when the pass door lock stopped working. Apparently this is common because there was another (2007-2012 Chevy Silverado 1500) owner in front of me getting the same pass door lock replaced. Also I had to add some coolant around the 1.5 year mark because in traffic it would start getting warmer as in not in the middle of the gauge where the temp is supposed to be.,Drives great and has been reliable so far.,"Make the door locks stronger. Occasionally it idles rough, starting around 800 miles, so far no issues but its made me wonder. I got a notice letter from Chevy but the dealer (Hudiberg, OKC)told me if they inspect it and find nothing wrong I would owe them the hourly maintenance fee. "
2.375,Trans,squekie ,04/01/2014,,,2,4,1,1,,4,3,2,2,"Have a 2008 Trans went out after 125,000 whats up with that GM ?",,
2.75,Issue after issue,waschevguy ,02/04/2014,,,4,4,2,1,,2,4,2,3,"I have to many issues.@ 40,000 miles went through a set of lower ball joints, 45,000 ran out of oil, 55,000 lost a bearing in the font end. GM made me pay $100 for the ball joints.GM replaced deflector plate to prevent from running oil, GM replaced the bearing.I have stock wheel and tires nothing special.Now have 80'000 and going through oil again, the passenger window does not go down.The dealer put on a oil consumption plan and last time over 900 miles it went through 2 quarts.I'm thinking about calling GM, does any one have any suggestions or ideas.My truck is almost paid off and I don't really want to start over.","I really think the truck is very comfortable and enjoy driving it.
But with the issues I'm not happy.
I have owned several GM's in my life and always been a Chevy guy, but that has changed.
Maybe need to look @ forgein truck or maybe a dodge.
My wife had a arcadia and it was the same year as my truck and had tons of issues with that also.
I hope GM can make this right, hope I can get some feedback on what to do.",
4.25,Somewhat disappointed!,str8dwn ,05/04/2013,,,3,5,4,4,,4,4,5,5,"Just want to say that this vehicle has been a good ride so far. Have a 2008, 97000 miles and BAM!!! get this flashing signal that say's service stabil-track control and traction control, and my engine light flashes....Well, take it to the dealer, they call back saying it is a broken valve spring #3...if that doesn't resolve the engine light they say they'll have to change the manifold....Im sorta lost....can anyone help out????",,
3.25,Quality Issues,08ltxafret ,01/20/2013,,,2,4,2,4,,4,4,2,4,"08 LTZ, 48K miles dash is cracked, door lock actuators working intermitently, interior chrome handles chipping, exterior door handle paint pealing off, interior paint chipping from steering wheel and a/c instrument panel. Under warrenty both d/p window channels replaced due to window squeaking (4 trips to dealer), rear tail light assembly replaced due to moisture (2 trips), carpet under brake/gas pedal comming loose (5 trips), p door lock actuator bad (2 trips). Exterior paint is scracthed with the most minor rub.",,"Improve overall quality of ineterior/exterior parts
Improve exterior paint - needs to be more resiliant to minor scratches
"
2.75,Devastatingly Disappointed,mmc601 ,11/30/2012,,,3,5,1,4,,3,3,1,2,"Decided on my first Chevy after my dad's '93 has over 470,000 miles.Even the original door lock activators still work.I bought my '08 Chevy with 37,000 miles in 2010.Now, dashboard is cracked, vent selenoid went bad, and driver side door lock actuators front and back are bad.Further research has revealed that these problems are COMMONPLACE for this model.Seems that the '08 model is a huge debacle.After learning this, I will try to dump it.What a huge disappointment!!!",,
3,Stay away from 5.3L AFM engines!,GM_Blaine ,06/08/2012,,,4,5,3,1,,1,5,1,4,"I've always purchases only GM vehicles.The latest purchase turned out to be my worst car-ownership experience.The subject truck has an apparent defect that caused carbeurization in cyclinders, sticking rings and incredible oil consumption.The vehicle was back and forth to the dealer for 12 months before I threatened legal action and finally got a warranty piston and ring replacement. The engine had just 60,000 miles at the time of the repair.I have not been able to use this vehicle as i had hoped and I have to look now to trade it in before the rings gum up again in 40,000 miles.GM refused to acknowledge any kind of problem for 12 months!","The body style and interior are great.
It rides well.
I love the design.
","Replace the 5.3l AFM engine before you chase off any more loyal customers.
Don't lie to your customers about known problems. If GM had been honest up front, I would be looking to replace this vehicle with another GM, instead of a Toyota.
What's worse is I have also told all those in my extended family to stay away from GM products. I am an engineer who started out in the automotive sector and the patronizing by GM customer Care has tunred me against GM for the forseeable future.

I suspect there are others out there that have had a similar experience."
