1,Why did I buy,John T ,11/20/2015,3,1,1,,,1,3,1,3,,,"This truck has been nothing but trouble, after 50,000 miles",,
5,Best truck I ever owned.,awesometruck ,06/24/2013,,,5,,,5,,5,5,,,"Low Maintenance. High performance ,good gas mileage. Cannot say enough about the satisfaction of getting a great diesel truck with great support.",,
2.25,Chevrolet Trucks Rot Fast!!!!!! ,noreasterstyle ,01/18/2012,,,3,3,1,1,,3,3,1,3,"Imperial Chevrolet is horrible!! At least their service department is!! I have a 2008 Chevrolet Duramax 2500HD LTZ...a $55,000 truck when new. It is rusting all over the top of the cab. This truck get's detailed several times a year meaning it is taken care of! It has a 6 year, 100,000 rust / corosion warranty. But the service manager, Bill, decided they wouldn't cover it - no reason, just wouldn't. I called Chevrolet and was told its the dealers choice to cover warranty stuff or not - the company rely's on them! Really! As a compormise they would give me a discount to have the rust cut out and/or sanded out!! What!! It is under warranty!! This dealer is awful - their service department is t",To frustrating to think of any,Cover warranty items - don't stick it to the people that buy your cars and trucks!
2.25,2008 chevy 2500 hd,beikegm ,08/31/2011,,,4,4,1,1,,1,4,1,2,"Major disappointment.Transmission problems since day one, door lock actuators fail repeatedly, overheats when pulling a trailer. Had rims and chrome trim replaced from corrosion, and it's doing it again!gm wont replace it a second time.Trying to trade it off but can't find a dealer who will give me anything for it. Learned my lesson after 20 years of being a gm only owner it's time to change.",,
4.625,Best GM Product to Date,rseebo ,04/03/2011,,,4,5,5,5,,5,4,4,5,"I was skeptical in getting another GM product as the prior 3 were trash.I had an 05 2500 Diesel that would do nothing but overheat while pulling my toyhauler and the dealer said there were no issues.I pulled this same trailer from Cali to Ga. loaded down with 13k + lbs and the only thing that was bad about it was my tires wore down after 20k miles.This truck pulls like a dream and has no mechanical issues at all!!!18 - 19 mpg on hwy and 11 mpg while towing with 1 size up on stock tires, could be a little better.If I had to have a complaint it would be that you can't put an 18"" wheel with a 285 tire under the front end without shaving the wheel wells.","towing, torque and nothing but power to spare.",Extend the front wheel well a couple of inches.
3.75,Junk bed,straight working ,10/24/2010,,,3,3,1,5,,5,5,4,4,"I've owned my duramax 2500 since sept. 2008, I use it for work which it has a 110 gallon fuel tank and a weather guard saddle tool box. In one year of use the bed is pushing out and cracking along the sides at the end of the tool box. I've own two Dodge 2500's and never had the problem, dealer states the problem as having to much weight. I think Chevy needs to build a better bed for the 2500's for guys  who use their trucks for work. Also took the truck in three times to have interior tighten up do to rattles. Otherwise truck is not bad for pulling trailers and cruising around, don't put anything on bed rails!!! ","Smooth ride, Duramax & Allison, driver controls.","Stronger bed, less rattles in the interior."
5,Great truck,Neil ,09/24/2010,,,5,5,5,5,,5,5,5,5,I chose this model as it could be converted to also use CNG and now I get about 20 mpg (CNG) on the freeway at 65 - 70 mph. With gasoline it would be 3 mpg better but CNG is $1.53/gal I use it in the mountains (+9000 feet) and it just goes anywhere.  Upgraded to 285/75/16 tires for a snowplow (clearance) - Plow works fine with the 160 amp alternator.  Replaced the catalytic converter in first year but otherwise no problems and I now have 34K miles and 2 years on it. I enjoy driving this truck. Its comfortable and rides easy. I tow a 8000 lb back hoe trailer with ease.,6 speed transmission with the manual gear selection option. 4WD on the fly shift in to or out of 4HI.,A 4WD indicator light on speedometer - the 4wd control is hidden by the steering wheel and gear shift. Larger tires.
2.875,Bad Mistake,Ross ,09/06/2010,,,4,4,2,4,,3,4,1,1,"I bought my 08 2500hd 6.0 L used with 4k miles.  It seemed really nice. Was told another dealership owned and went out of business.  This pickup is a pile of CRAP, nice interior and exterior, but I buy vehicles for them to work. Horrible fuel mileage 12 max no matter what you are doing! Everything rattles, ride is so rough and loud.  My 02 1500 5.3 L had more power and got same mpg pulling as 08 2500hd but way less empty.  Not impressed with dealer either, can't even get in to get worked on. What a joke.  I am going to buy back my 02 with 100k,  10 times the truck.  ",Interior design,"power, mileage, ride, narrow tires look dumb"
3.25,SOLD IT AFTER A YEAR. NOT WORTH THE $$$$,Towing 4 a living ,04/25/2010,,,3,3,3,3,,4,4,1,5,"NOT WORTH THE MONEY. Was not happy with the following; the interior started rattling, air draft on driver side door which the dealer couldn't fix, terrible fuel economy, recall and RANCHO MTRS. in Victorville has poor customer service. So does the Chevy Hotline. I sold mine. Still got my 5.9 Dodge Ram 2500. DON'T BUY THE NEW CHEVY. ",,
4.875,Proud Owner Of A 2500HD Silverado LTZ,DMan ,01/18/2010,,,5,4,5,5,,5,5,5,5,"I have owned this truck sense October 2008. Service has been performed as recommended. I have not had any major problems with this truck what so ever. Minor problems I have had are the belt noise due to the power steering pulley misalignment and the rear tire wear due to factory door sticker calling for 70psi for the rear tires. Dealer took care of all and installed two new tires on my truck. Dropped rear tire pressure to 60psi. No more wear, Love the 6.6 Duramax with the Allison. What a combination. Tons of torque, great performance for a diesel, and quite. Average fuel mileage 18.5 back and forth to work and 22.4 on my last road trip.(12/09). ","Duramax & Allision, ride, comfort, handling, bose sound system, driver controls lay out, LTZ features.  ",Get rid of the tractor trailer chrome front bumper and the huge exhaust tip. Add Auto Selection For the 4X4 unit.  
