1,Stay away!!!!!,Donald Peacock ,08/02/2016,,,5,,,,,,4,,,My family and I love the room and the features.  The eletrical issues are crazy.  While driving the truck will shut off in the middle is the road.  I figured out if I wiggle the negative wire the power may or may not return.  I contacted GM a waste off time.  The only thing they told me was to take it to the dealership and let them run a diagnostic.  I told them that this has been done before and they could not figure out the problem.  Leave GM products alone!   And the rear differential went out at 75000 miles.,,
4,aworth Every Penny,Joe Rouse ,04/28/2016,5,5,4,,,5,5,4,5,,,"This Tahoe has been the best car I have ever owned. Rides good, runs good, looks good, and quiet. I am 71 years old and have owned many cars and this Tahoe is the best...",,
3,Front end failure,TomL ,04/06/2016,,,,,,,,,,,,"My wife loves her '08 Tahoe 4wd LT 5.3L. Like everyone else, the locks started failing. After the 3rd one failed GM made good on the repair of that one.  The front end went and luckily it was under warrantee.  The front end just went again.... not under warrantee.  It's got 130k+ miles and going strong if I had a front end that didn't clunk.  Won't take it on a trip unless it gets fixed and I'm not sure the car is worth fixing.",,
4,08 Tahoe LT,Bryce Holloway ,10/09/2015,5,4,4,,,5,5,5,5,,,"Starting with the cons, the front end clearance is similar to a car, I recommend a leveling kit, the locks are garbage. However it is a very smooth ride even with the 20"" wheels. The fuel economy has not gotten worse or improved, still sitting at 15mpg city/hwy combined. Towing is acceptable, strong power while towing and transmission stays cool during long hill pulls. I recently camped in the back of it for a weekend for a race event and was impressed with the cargo room (me being 6' tall) I slept comfortably. My only recommendation is to life the front end and beef up the brakes if you'll be towing quite a bit. Also, expect to replace faulty locks. Overall, I'm impressed with this purchase.",,
3.125,My LAST Chevrolet!!!,91notchback ,12/27/2014,,,4,4,2,2,,4,4,2,3,"I have and 08 4X4 LT2 model Tahoe.  It is driven approx. 8000 a year.  At about 38000 miles and 4 years old the rear passenger door lock went out.  I replaced it myself.  About 6 months later the rear drivers failed.  I replaced it also and started looking into this issue.  Last week the front passengers lock went out and I contacted GM.  Why I don't know. I guess after 3 out of 5 locks actuators failing I thought they may stand behind their product. I was wrong. They said they couldn't help because my warranty was out. I said no joke my warranty is out, but this seems to be a manf. defect, can you not replace your mistake.  They said nope. About your luck. This will be my LAST GM product.  ",Lack of Reliability.,Stand behind your product and fix defects that are junk from the factory!
4.875,Dependable and solid,exitseven ,06/03/2014,,,5,5,5,4,,5,5,5,5,"This is my second Tahoe. My first was a 1996 and had over 225000 miles on it. I have put 80000 miles on this one. It still looks and rides like it was brand new. The power door lock on the passengers side does not work which is a common complaint with this model. I hope Chevy does something about this in the form of a recall.The third row seat should be an option. I removed it the first day I owned it, however the tracks make it hard for flat objects to fit in the rear. I got it with the Z71 package. Has great towing capacity and the gas mileage is better than with my old Tahoe.The automatic door locks and other automatic features should be abandoned.","Leather seats
Bose Stereo
4WD selector

","Get rid of 3 rd seat
Make one with manual transmission
"
2.875,Nothing but Issues No more GM products,peternew30 ,05/07/2014,,,4,4,1,1,,4,3,2,4,"Have owned many Tahoes, Suburbans. Have to say that the 2007-2009 models are nothing but issues. Rear window defrost electric leads fall off, door lock on front passenger side stopped working. Transmission required rebuild (under warranty) Noticed missing 2-3 quarts of oil between changes. All within <3 years old. After 3 years the engine light came on many times which the remote start doesn't work when engine light is on. Dealer said the Cat Converters where going bad but a month later said the codes said communication issues. O2 sensor bank 2 needed replaced, And very bad design on headlight, try pricing a simple headlight and running light bulb replacement at your local dealer $200-$300. ","Lots of power, good design. Lots of room.","Headlight bulb replacement should be much easier (redesign), why is the check engine light on every other month? Remote start not working because of engine light, bad design. Need trained qualified techs at dealer locations. Lynchburg, Va. "
2.75,Back Hatch Problems ,shannon32 ,03/18/2011,,,2,3,1,2,,3,5,3,3,"Well I bought this tahoe brand new and have had several problems with rotors where worped at 5,000 miles then windshield fluid would just come out for no reason. Now I was driving the back hatch came open which I think this should be recalled and when I pulled over it shut and now it wont open the motor is trying to open it but it stops and then shuts again. I have to turn off the power and open back hatch and hold it with my hand because it wont even stay open by it self. The front dash started to crack for no reason. My tahoe is in exellect shape as far as how I keep it I wash it about every other day and it is in mint condotion other then the factory things that keep happening to me.","I do like the Navagation, back up camera ",I suggest improvements on the back hatch and dash board cracking for no reason. 
4,Chevy Tahoe Door Lock Problems,Tahoe Door Lock Prob ,11/29/2010,,,4,4,3,3,,5,5,3,5,"I've had four Chevy SUVs in the last ten years and planned on buying another one soon.  However, on my 2005 Tahoe I had to replace the fuel pump which I learned was located in the fuel tank.  Cost me over $800.  And recently, two door locks on my 2008 Tahoe (driver's side) quit working.  Cost me over $600.  And looking at this website, it looks like GM has a real problem with their door lock design.  I feel they should do a recall on their door locks.  It they do, and do so soon, and give me my $600 back, I'll be buying another Tahoe.  Otherwise, I've had enough and will start buying another brand...",I loved the under-the-backseat storage available on the 2005 Tahoe - miss it on the 2008 Tahoe.,DUH - under-the-backseat storage....
4,Vibration Issues,RANDY NABAL ,09/20/2010,,,5,5,3,5,,4,5,4,1,"I purchased my truck for $50K loaded. I have been complaining of vibration issues since day one. I have owned 2 Yukons and wanted a change and purchased a Tahoe. The only difference was this truck had 20"" tires/rims. The sole of problem. I have had several places tell me the rims and tires are O.K. after Autoway changed them on my truck 7 times. They had the truck the first 3 weeks I owned the vehicle. If you put the 17"" tires on the truck it does not vibrate. I have been told that the drive shaft is not balanced but GM will not do anything about it. I now have 63K miles on the truck and can't stand to do highway speeds especially with customers in my truck. Everyone but GM notice problem.",The body style is my favorite feature.,"Fix the vibration issue's. I felt the same vibrations in Cadillac and Yukon with 20"" tires. I even won $100 from a Chevrolet sales manager when I bet him that every truck with 20"" tires would vibrate on his lot. After 3 test runs he LOST and payed me. This was Chevrolet dealer on Florida Ave Tampa FL"
4.75,You wont want another truck...,georgeb ,09/12/2010,,,4,5,5,5,,5,5,4,5,"The truck is fantastic. If you love the outdoors, and don't need to climb mountains this is your truck. Off the start power leaves abit to be desired. But once it gets moving, it moves. I modified this truck with camping stuff, water system like an RV, second battery for my radios, and other gear, my own lighting system, took out the rear seats, don't need them. I got the truck with the large 20"" tires, forget about the nav system, onstar and the radio is great...Leather is too uncomfortable, cloth, with neoprene custom covers much better. ","Comfort.... Ive driving this truck everywhere, and it is super comfortable. The ride is abit mushy, by will be putting heavier duty suspension, once I get my travel trailer","This truck will rock, with heavier suspension, slightly higher clearance, and a larger gas tank. Forget the rear seats, or make them close flat..."
4.625,Love Tahoes!,Lina ,08/30/2010,,,4,5,4,5,,5,5,4,5,"This is my second Tahoe. I have had it for 2 years. I am around 60,000 miles. I do a lot of joy riding plus work. The truck is reliable in the snow and rain. It is very roomy in the front and second row. The third row is in the way and should have been an option as opposed to a standard. My 10 year old is the only one that can fit back there. The only issues that I have is the automatic door locks do not work when using the key fob or the button on the door. I have to use the key to unlock the door and reach over to unlock the doors. Also, the defrost coil that connects to the rear window came off and needs to be soldered back on. Those seem like easy fixes. The gas mileage could be better.","MP3, satellite radio, onstar, and spacious interior in front and second row. ",Either make the third row an option or make it fold down flush with the floor to give the trunk space more room. 
4.5,Great Truck - Amazing tow quality ,Eric  ,07/17/2010,,,5,5,5,5,,4,5,3,4,"Very good truck and first American full size SUV I've owned.  I never bought before dude to styling of interior - the 2008 styling is really nice and ALMOST up to European standards but still a little ways to go.  The towing capability with the air adjusted ride is amazing - the truck literally will adjust itself based on the amount of weight added.  Gas mileage is ""OK"" but what I'd expect in a large V8.  not sure the ""switching to a V4"" feature makes any difference.  The review states it's a chore to take out the rear seats - I think anyone in general good health will not have issues removing the rear seats - I've never found it a bother. how often do you need to take them out, really?",Interior design - NAV - stereo is great.  Wood accent is good although I'm not sure it's really wood.  20 inch tires are great and really make for an amazingly smooth ride.  My wife has a very nice luxury SUV and I would rather take my Tahoe on trips due to the ride and overall comfort it provides.,provide more options in terms of rim selection.  Most luxury vehicles allow for 2-3 choices - if you want to get into that range then you need to allow for more choices.  Make the wood trim look more real - if it isn't.  it looks plastic.  
4.875,Love IT,KA ,06/16/2010,,,5,5,5,5,,5,5,4,5,This is my second Tahoe.  The first was a LS. Very roomy easily seats 9 passengers and gives a smooth ride. I got this after trading in a new BMW X5 that rode horribly. I loved the Tahoe so much I upgraded to the Z71 4WD that converts to 2WD. It has all the amenities of a BMW but the ride is what sold me.The Z71 seats less but my kids are grown up now so I don't need as much room. ,"I love how high it sits. Auto remote start. The Bose music system, the comfortable seats and needless to say ONSTAR",I love it any improvements would be a bonus to an already awesome truck.
