4,Beauty is a beast,Jon Film ,09/21/2016,4,4,4,,,4,4,4,4,,,"Bold styling I like, smooth ride, fits lots of stuff in trunk, decent acceleration. Lack of visibility because of high back dash and short windows. Planning on selling/ tradingbecause of this(after two fender benders). Reliability has been excellent at 89000 mi.",,
5,Upgraded from a 09 300m to 08 300 limited,Austingoodwin1234@gmail.com ,09/22/2015,5,4,5,,,5,5,5,5,,,I loved this car from the moment I bought it. Sadly I was hit by someone doing 45 at a complete stop. An my car held up like a tank compared to there's! It's also extremely comfortable an big inside for the cost. Highway mileage is 26-28 city it 17-22. Could be better but I knew what I was getting myself into. For the trim an leather seats an all the features an the low mileage an price I paid. Well worth the cost!! Had it over 8 months an not one problem. Had one recall on it an had dealership fix it free. Great car that's safe an very customizable. I've put the newer bmw/Audi angel eyes CCFL lights with bi xenon an I get nothing but compliments!,,
5,Superb Vehicle,beniciajoe ,05/07/2015,5,5,5,,,5,5,5,5,,,"Great style, great performance and total comfort make for a superb vehicle.This is my second 300, with the first being a 2006 Touring model. The Touring was a more balanced car, delivering everything I needed.But the 300C Heritage Edition give me everything I want. Speed, comfort and reliability. Great highway cruiser, and it pulls strong up to it's 130 mph electronic limit. Nice neutral handling through the turns, and good communication as you approach the car's limit's.Amazing comfort and stereo combine to make the miles effortless.I now have 148,000 miles, and no problems yet - I still have the original brake pads and rotors!Update:Just passed 170,000 miles and the car's still running strong. I finally started to get a little warping of the front rotors at 160K, and went ahead and replaced all four rotors and installed new brake pads. Aside from the typical highway stone chips on the paint on leading edges of the car, it still looks new inside and out.Absolutely the best car I've ever owned.I can afford a new car, but this has everything.",,
2.625,2008 chrysler 300 touring,billida300 ,02/19/2012,,,2,5,2,2,,3,3,3,1,"I have had nothing but trouble with my car and the dealers in northeast Ohio don't know what they r doing!!Leather seats cracked at 28,000 miles,crank sensor seal leaked and had to be replaced 2 x.Lumbar adjustment broke after dealer replaced the leather seat covering, dealer ordered 4 seat covers before I finally got my color.Then motor starts ticking and its the Valves so the dealer fixes and then says a new valve stuck and replaced whole top end of motor,water pump because of their poor work,take car home and it leaks oil so take back for another crank sensor seal :(Very unhappy with quality of car and dealers",Car on the outside is beautiful,
3.375,My 2008 Chrysler 300C AWD,jan56 ,03/04/2011,,,4,4,1,3,,5,4,2,4,"This is my second 300C AWD.The first was the 2006 model and I loved it.Then I got the 2008.What a disappointment.It's noisy and has been having issues since day one.Off and on electrical, the navigation system, UConnect. Additionally new rotors at a little over 12000 miles.It's been a royal pain.While the ride is smooth, the noise level is ridiculous.Being on UConnect, it is difficult to hear over the noise in the cabin.They definitely cheapened this version compared to the 2006.I had planned to stay with Chrysler, but now, I'm thinking not.Unless they've made some major improvements to quality, I'll take my money else where. ","Interior Styling, and V8 pick-up","Sound proofing needs major improvement as do the brakes.
Rotors have short life in stop and go driving. "
4.875,Love this badboy,gattor75 ,11/24/2010,,,4,5,5,5,,5,5,5,5,"I got my 08 - 300 LX used with 57k already piled on him. Right arm started hurting (squeaking), just massaged it with oil - WD40 and that was it. I've piled an additional 18k on his back and he's still running like the day I first  brought him home, good boy! Smooth ride, quite cabin, roomy interior what else? Oh! even my ex-wife loves him though she kicked against the idea when we were married. lol","Exterior design; eye balls, bold nose, heart under the hood, ground clearance, sound of the horn...can't list it all. Interior comfort, quite cabin, data radio etc.  ","Compass, Trip computer, ESP should be standard on all 300s. Afterall my 05 Sebring had it and it hurts to know that an 08-300 does n't have a feature...sad, sad:("
2.625,Do Not Buy This Car!,Mike300T ,04/14/2010,,,3,5,1,1,,1,4,3,3,"Bought car in October 2008 with 30,000 miles on it. After 2 months both tie rods had to be replaced under warranty. January 09 loud ticking noise from engine like lifters going bad. March 09, had to replace tie rod on left side again, Still under warranty. March 2010, very loud clunky sound coming from front end. Took to dealer, report came back that left and right tension arms, left and right sway bars and right tie rod end are shot!!  Warranty covers up to 50,000 miles. I have 61,000. I have a 97 Chevey Lumna that I bought with 63,000 miles on it and it has not had the number of problems like the 300. Every mechanic that I have talked to says get rid of it, problems will get worse.","Killer stereo, aggressive looks, 20 inch wheels, seats.",Use some quality products when it comes to suspension. There is no way that I should be having this many problems with this nice looking product. Use higher quality metals and craftsmanship and you will have loyal customers for life. A quick buck is limited wealth.
4,Fantastic vehicle,Alex Povolotski ,01/08/2010,,,4,5,3,3,,5,5,2,5,"Drove 3000 miles in it in winter time across Canadian border over a couple of weeks. Didn't have any technical issues but for one -- tachometer needle went all the way around the dial and then came back to normal in an instant. That happened on several occasions. Electrical problem, I assume. It didn't rev the engine though, just the needle behaved strangely.  Very large full-size (finally!) real American vehicle. Drives fantastic! Cushy ride. Rides on Merc undercarriage actually. Smooth and seamless power delivery. Chryslers and Dodges are actually known for their powerful engines. Very stylish and comfortable car to drive.","Size, looks, power, cushy ride, interior room.",Good as is.
4.75,300C Hemi Heritage Edition -Cool Vanilla,RichmondVA300C ,11/15/2009,,,5,5,5,5,,5,5,3,5,"Bought this car new in 2009...last one in the showroom. It is the Heritage Edition, so it comes standard with many interior upgrades such as the U- Connect, NAV, MPEG with 40GIG Hardrive, as well as a very sharp camel color interior and special leather seats. In addition, the 300C comes with the standard stuff that really makes the car special...like adaptive cruise control, Bose Stereo with 400W Amp, power steering tilt and pedals, memory seats, engine cuts from 8 to 4 cylinders to save fuel etc. I could go on for days about the standard/added features features on the 300C. I am 6'5"" tall and fit in the car great. Truly a joy to drive, although gas mileage is quite disappointing. ","Cylinder Cutout, Bose Stereo, HEMI, seats, curb appeal, lifetime powertrain warranty. (non transferrable if buying used...FYI) Too many great extras to list.",Fuel mileage is disappointing. I average b/n 17-19.5 mpg and drive 65% highway. Non-transferrable lifetime powertrain warranty.... this needs to be changed.
4.625,2008 300C: A great buy,OceanP ,10/12/2009,,,4,5,4,5,,5,5,4,5,"After a younger generation of my family totalled my Lincoln LS on ice, I was in the market for a replacement. Drove many of the ""reliable"" imports: ranging from Infinity to Lexus. Then I drove the 300C. The others are all great cars, but none offered the classic styling and the WOW effect of the 300C, and the power of the HEMI. The car has been great so far and consistently gives 22 to 23 mpg on the highway runs visiting my kid at college. Great comfort, ride and performance to boot! And unique looks to go with it. The interior could stand to be upgraded a bit. You can see where Chrysler cut corners: But still very liveable inside and out. Just wish the exhaust note was a bit throatier.","Love the HEMI power: 340 horses of them. Interior is very comfortable on long distance drives. Great looking car. After all the years it has been out, it still turns heads!",Prefer to see better build inside for a car of this stature. Power lumbar should have been  standard on the 300C. Desperately miss an audio mute button when u-connect is not an option. Speed sensitive audio volume control wouldn't hurt either.
4.75,Better in the snow than a 4 x 4 truck!,KAO ,05/06/2009,,,4,5,5,5,,5,5,4,5,"Quiet, perfect for a 6' person, 400 + mile trips easy, not fatigue. Gets around better than a 4 x 4 truck in the snow. Would be a tank with Blizzak's! Feels like a luxury car inside. ","AWD, Blue tooth, auto stick, telescoping pedals, heated seats, easy access to control knobs.",Make mp3 & navigation standard on touring models
4.875,My review,Julio Diaz ,03/23/2009,,,5,5,5,5,,5,5,4,5,"I'd been with my car barely a month, but it had been an incredible experience. The ride, the interior comfort plus the looks of the car are second to none. The engine response it fantastic, plenty of power to move the big body.  ","All the gadget inside the car, VES system is great, and the dash board is amazing. Also the Boston Acoustic sound system is awesome.","Rear spoiler should be included, bigger wheels and a mesh grille."
4.875,"Now a fan, but","Now A Fan, but ",12/23/2008,,,5,5,5,5,,5,5,4,5,"I purchased my Chrysler 300 DUB Edition in July of 08 and this car is a real eye popper. Metalic black with grey leather trim and lots of chrome. Oh, did I mention the 20 inch, low profile wheels? I love the vehicle but here are a few suggestions: Should have auto headlights, heated seats and be able to upgrade the sound system for GPS and auto cell phone. One other thing, it is terrible in snow and ice. I need to install snows and the price is $300 per tire. That hurts.","Body styling, great sound system with the giant woofer in the trunk, paint job, interior is nicely designed and very comfortable.","Heated seats, auto headlights, sound system should be easily upgradeable to GPS and auto cell"
4.875,Two in a row,John J. Goran ,11/16/2008,,,5,5,5,5,,5,5,4,5,"I leased an 05 330C with a Hemi in it. I loved this car and was prepared to purchase it. The car was loaded and gave me zero mechanical problems. When I passed by my dealer to look around at the 08's, I discussed with them the fact that leasing was not something Chrysler was pushing. However, I was directed to an 08 300C Hemi with the SRT design package. It has the standard Hemi, but it's own 20 inch rims, handling package, steering, exhaust and other features from the SRT8.  The fuel savings not available on the SRT8 are available on the car I purchased. I love it. Great aggressive styling with multivalve- displacement giving better mileage. Have yet to see one like it on the road.","The engine, leather seats, handling, and look of the car",None
4.75,2 in a row,Paul Eisen ,11/02/2008,,,4,5,5,5,,5,5,4,5,"Have my 2nd. 300C and couldn't be more satisfied. Comfort & performance are the best features. Highway mpg is 27- 28, but have seen 30+ many times. The available power is a plus.  Only concern is the size of the brakes, needs better stopping ability, otherwise it is the best value around for the money. Huge trunk and ergonomic perfection.","Comfort, performance, size of trunk.","Larger brakes, I get a shudder up fromt when hard braking from high speed. Get rid of low mileage self sealing tires."
4.875,Great Car,Jay ,09/13/2008,,,5,5,5,5,,5,5,4,5,"Terrific car. Saved $8000 with demo, rebate. would take over Lex. 350 and Cadillac cts. why pay extra 10 k. getting 28 mpg on highway. love gps, satellite radio. Luxury. Chrysler got this right. Dealer was terrific. leather seats support well. can't say enough good things about this car. 3.5 L is more than enough power. check this vehicle out. ",,"wish park sense was included, memory seats, and side mirrors tilt downward in reverse like previous car LHS however many options more than enough."
4.75,Dream come true,300 Dream ,07/23/2008,,,4,5,5,5,,4,5,5,5,"I saw the 2005 300 and knew THAT was a car.  Once they offered lifetime warranty I felt it was time to get that dream car before they re-design it.  I got the Touring V6 as I do not need a Hemi to say I have arrived, or for the thrill of it.  I have taken two long trips already and find the car very comfortable and economical.  I get around 18 around town and up to 28 on the highway.  The AWD is a must in Alaska.  Knowing that it has the E-class suspension and 4-matic transmission is very comforting.  I hear people think the interior is lacking, but I guess after 5 years of big Ford trucks, it seems quite plush to me.  I did get some upgrades that included extra airbags and the blue tooth.","Styling, roominess, power pedals, power heated seats, U-connect for phone, indiglo dash lights, telescoping/tilt steering wheel, smooth ride, plenty of power, solid feel.","Locking gas door, darker interior color choice to hide dirt"
4.5,Interiors,JAY ,06/23/2008,,,2,5,5,5,,5,5,4,5,"To me the car is flawless except for some parts to the interior.  Why there is only an off-White headliner is beyond me.  Cream or light tan would add so much more class.  The total black dash with tortoise-shell accents is great, but the headliner should either match or be contrasted with something softer.  The two-toned dash looks off somehow.  Also, a body style like this craves darker colors, like maroon metal flake, to show off the lines.  Color selection is so limited. Right now, only black looks good enough to buy.  The dash could be more 3- dimensional, and not so flat, but the blue glow should stay.  You guys are close, though.",styling in certain colors,bland gray interior is boring.  try cream seats and headliner with black dash and console (with tortoise shell inserts) - you'll see what i mean.  now that's luxury.  make the egg-crate grill go away and make the mesh grill standard.  
5,The 300,amarkovic ,06/07/2008,,,5,5,5,5,,5,5,5,5,"Best car ever for the money. I hope they don't change the design, this one is #1 for good",all,"none, state of art"
3.375,Think Crown Victoria,It's a Yawner! ,06/03/2008,,,3,4,4,4,,3,3,3,3,"I just put 18,000 miles on a 2008 Impala LT in 6 months and swapped to the 08 300 LX, both are company fleet vehicles and equipped with fleet packages. Both cars are about the same money but the Impala handled much better. The 300 doesn't hold a center line and is very susceptible to cross winds. The Impala had more features, auto headlights, dual climate controls, flex fuel, remote start as standard. The 2.7 motor in the 300 is okay when cruising but it really works on hills. The 300 is roomier and is distinctive looking vs the rental car look of the Impala. The 300 is boring to drive think Buick LeSabre, Ford or Mercury rear drive cars. I would have rather had a hemi and sport suspension!","Distinctive looks, analog clock, fold down rear seats.","Locking fuel filler Door, Auto headlamps, remote start as standard. Better handling less drifting. 5 speed automatic. Get rid of the ashtray and put in two power outlets."
4.75,Mercedes S430 to Chrysler 300 - Love It,Mercedes S to 300 ,06/01/2008,,,5,5,5,5,,5,5,3,5,"I own a Mercedes S430 that I drive as a personal vehicle and purchased the 300 Hemi, AWD as my company car.  I have driven the car 12,000 miles in the last 4 months and love it.  It is as comfortable as my Mercedes and has many of the same features.  Had I owned the 300 prior to the Mercedes I would never have purchased the Mercedes.  The 300 is just as much fun to drive, has the same comfort level and only lacks some rear seat leg room in comparison.  This won't be my last 300 but this will be my last MB S430.","Hemi, AWD, Auto Cruise Control, Back up warning system, Navigation System, Sound System including Hard Drive for my music eliminating the need for CD changer and storage.",Rear Seat leg room.
5,WON OVER !!!,Terry ,05/22/2008,,,5,5,5,5,,5,5,5,5,"I love my Hemi. I went from an '01 Avalon to this hemi. My Avalon was a little more luxurious than my hemi, but the car handles so much better! It really turns heads!! The Avalon looks so much like the other Toyotas that people didn't know that I had a top of the line car. This one, looks, feels, and is a much better buy. Easy on the eyes and I get as much or better gas mileage as my Avalon. I was a die hard Toyota fan, but this car has changed my mind. I love it.","The body styling, the great handling, and the impressive power!!! You get a lot for your money. What more could you want?",Maybe cooled seats along with the heated seats. But that is all I can think of!!!!
