5,R/T runs great,Ralph j ,10/18/2016,5,5,5,,,5,5,5,5,,,Take care of routine maintenance promptly.,,
4,I love this car!,mike ,09/07/2016,4,2,2,,,4,3,4,3,,,"Seems like I'm the only person that loves this car. I've got the 2008 sxt 2.7 L V6 in black, just a beautiful car and get compliments all the time, and for some odd reason every time a charger sees my car they try to speed by me or just get ahead of me?I find it pretty funny.I bought this with 80,000 miles on it and owned it for about a year and a half now and the only problem I've had mechanically was I had to replace my battery that's it! And of course changed  my oil twice, other than that it runs great and runs quiet and its pretty fast.Electrically I've had some issues I'm not gonna lie like rolling my window all the way down and it took like a hour to roll back up but just happened once.My passenger window had some issues for about a week but all of a sudden it stopped and works fine now.My car just shut off one time at a red light but started right back up and that only happened once last year, I took it to the dealer and they said the car is in good shape and they saw no problems.But this stuff was happening when I first got it but its been a year and a month without no issues it drives great.Maybe I just had to drive out the kinks?I really don't know but I haven't had any major issues at all, its far from a money pit I've had the car 19 months and only spent 150 dollars on a battery.Now these might be big issues for a lot of people who want a perfect car and just love to complain about everything but an issue with my windows for about a week is just not enough to give a bad review! My car shutting off one time on me? Ok I can see why people would complain but it happened once and never happened again I never made it a big deal the dealer said everything seemed good.The good things now.... The sound system is awesome I got six speakers all together and it sounds really good! love the mini fridge up front, Adjustable seats are great, this car also drives really good nice smooth ride with good handle, great exterior look, the interior is a little cheap but no big deal, still looks nice inside.Now the space in this car is great u have a lot of legroom and space, its very spacious.Not the most perfect car but I'm happy with it just a great car and a lot of fun to ride.You guys want a perfect car good luck on finding one because there's no such thing my friend has BMW and my other friend has a range rover sport those are expensive cars and they have had issues with their cars as well.People just love to complain, guess its just human nature.",,
1,"400,000 MILES AND GOING STRONG",David Smith ,11/05/2015,1,1,1,,,1,1,2,2,,,"I bought this car for my daughter after she got divorced in 2013. The car already had 331,000 miles on it. I knew the owner so I had  a complete history. Except for normal maintenance the only thing he had to do was a transmission solenoid because it was starting to leak.  We have spent some money on it this year: i.e; shocks,struts, tie rods, wheel bearing, brakes, tires, an oil pan and the alternator finally went. Not bad for the mileage and certainly expected. The car gets 90,000 miles out of tires, drives great in the snow and on the highway, She has put over 70,000 miles on it in two years with my granddaughter in a car seat the whole way. It is the original motor and transmission.  The 2.4 in 2008 went to a timing chain so no maintenance there. I work in a shop. I never see these for major repairs. I agree with some people that the interior is a bit cheap looking. Dodge did major improvements on their interiors in 2010. The styling is very attractive on the exterior. Like a mini  08 Charger. That being said I am a pragmatist. Dependability is more important to me. My lowest mileage car has 142,000 and we cover almost every make. It still is my favorite.  At 404,000 miles the car shows no sign of slowing down and believe me, my daughter  is not what you would call an easy driver. My youngest son totaled his car. Guess what I'm looking for now?",,
4,Great for the price and looks,Aaron Davis ,08/21/2015,4,4,3,,,4,4,3,4,,,"I have only had the car for a little over 2 months, but I really do love it considering I upgraded from a 2004 Dodge Neon SXT. But sadly enough my neon was smaller yet the avenger yields about the same gas mileage so that's a plus but odd enough my neon was faster than this lug of a car. 2.4L 4cyl engine just isn't enough to haul the weight of the car.. If I was buying this car i'd recommend getting the 2.7L or 3.5L. It doesn't have the performance I was expecting but I like the sleek performance look though and get compliments on it especially since mine has 17' Challenger rims on it. But it is a great family car I would say. Also nice that it has Sirius Radio and the cooler for 4 cans of soda which is pretty neat.",,
1,Death Trap,scle0501 ,11/27/2014,,,1,1,1,1,,1,1,1,1,"I was in a severe accident and hurt very badly - not a single airbag went off. No recalls on the VIN, just a terribly unsafe vehicle.",,improve on safety.
5,amazing. ,chrisbates ,07/29/2014,,,5,5,5,5,,5,5,5,5,"So I guess I'm the only person who had no problems with this car. I bought it used at the end of 2009 with 30k miles (it was a company car for its previous owners) the only thing that was wrong was the plastic that covers the spedometer had a crack, that didn't effect visibility. It was just a crack. I drove this car daily and love itI had the SE so only a 4 cylinder. But it was enough to have a quick start and handled great for me. I made plenty of 1000 mile trips and was great. I skidded on ice and smashed into the side wall twice at 80mph and walked away without a problem. This car is amazing and it saved my life. The trunk never leaked and I had no problems at all. I loved this car. ",Looks great. Feels light even with the 4 cylinder. Saved my freaking life. Good on gas. Basically everything with the car was awesome. ,Less plastic inside? It didn't bug me. Just it would make it feels fancier I guess. 
4.375,nice car,jseve ,06/20/2014,,,3,5,4,5,,3,5,5,5,"You :)Bought this car new and drive to 77000 miles.The only problem was a radio replaced under warranty due to bad hard drive.Other than that tires and brakes.I'm 6'4"" and had no trouble fitting in this car, I liked the heated stain resistant seats.My current vehicle is a 2010 avenger R/T, 3.5 L.This is a great car absolutely no problems,finally had to put brakes on the front at 90,000 miles.Both err r than tires and windshield wipers this car starts and drives like the day I took it off the lot new.","Love the heated seats and the v-6 on my 2010.
Loved the stain resistant seats on my 2008 set.
Both of them handle great.",Dash plastic Scratches easily and could be higher quality.
4.5,Awesome car.,mbdude92 ,09/27/2012,,,3,4,4,5,,5,5,5,5,"I bought this car as a Certified Pre-Owned about a year ago. This has been a fantastic car, I bought it with 61k miles on it and within a year I put 22k miles on it doing mostly highway commuting to college and and work and occasional shopping trips an hour away. Haven't had to do anything mechanically to the car other than the oil and filter change every three thousand miles. I have the 2.7l V6 SXT version.. gets average about 25 city/hwy.. do more highway driving and I'll get about 28. Highly recommend for someone who wants reliability, sport look, and a cheap price. ","cooler in the dash, aux input for my iphone, power seats, roomy, powerful engine","interior looks
cheap and built together like legos.. my only real complaint."
3,Anyone else? ,sonya08 ,09/24/2012,,,4,4,5,1,,1,3,2,4,I loved my dodge when I first bought it. I have driven it a year and 8 months and have started have some sort of problem that I do not know what is going on. I can be just driving down the road and car shuts off. Sometimes it will crank back and sometimes not. It just dies while driving down the road. Is anyone else experiencing this problem? I had to have it towed one time and the mechanic said he couldn't find anything wrong. Someone please shed some light on this for me. ,,
4.75,Great little Dodge ,superuser1 ,09/20/2012,,,5,5,5,5,,4,5,4,5,I absolutely love my Avenger R/T AWD I have had no problems at all and have put around 11000 miles in about a year (now 62000 miles) This car is fun to drive and gets alot of compliments. ,"Leather, AWD, LED interior lighting,",MPG is not the greatest but dodge has improved this in there new pentastar motors for the newer cars. 
