5,Great little car,Steve J ,07/09/2016,4,3,3,,,5,3,4,3,,,"Nothing fancy, but great functionality.  Reliable.  Good acceleration (2.0).  Loves to drive/ride at 75mph on highway -- it glides n sails.  Has 93k miles on it.  Bought it for $10.5k in December of 2009.  Paid for -- resale value $5000 cash (dang good after 7years!).  I changed the alternator ($1000- but that was probably because I drove it in salt-water puddles on the beach in Florida) 3 years ago.  New tires ($450).  Two batteries ($200).  Windshield wipers ($25).  That's it.  Runs like a charm.  I'm looking around for a new car, but no rush.  Lucky me.  Hope I didn't jinx myself.",,
1,Most Ridiculous Car Ever Made,Neal Buck ,08/04/2015,2,3,3,,,4,3,1,2,,,"I can't believe this car was ever made. It's utterly ridiculous. First and foremost, the acceleration is practically non existent. The harder you push down the acceleration pedal, the slower the car accelerates. I think the issue is more with the automatic transmission than the actual torque, though, because it often feels like the car is starting from second gear and then realizes it's not supposed to do that and jerkily downshifts to first. The suspension is a sort of princess and the pea situation with every little bump in the road translating into a spleen-rattling affair.  From the outside, the Caliber looks like a spacious family car, but the inside is fully taken up with the dashboard, which is roughly the size of an eight-seat dining room table. The front seats have a fair amount of leg room underneath the dashboard, but any backseat passengers don't fare as well. And good luck fitting more than one kid's car seat back there. You would think they could have taken a couple of feet out of the dash to provide more room for the back seats. I can only assume the engineer responsible for the Caliber's design envisioned serving a large meal on the dashboard. There can be no other reason for that design. I have only two good things to say about this car. First, we have had to do no major repairs on it since we got it. But I think that's about to change. I believe the suspension and transmission will be requiring repairs before long. Second, the storage space is pretty decent, especially when you lay down the back seats. Overall, I wouldn't wish this car on anyone. Its two small perks do not compensate for a host of design failures and automotive mishaps. This car is actually really funny when you give it much thought. It's like the engineers planned it as a practical joke.",,
4,Had me hooked at first drive!,Rebecca ,07/21/2015,5,5,5,,,5,5,4,4,,,"Yes, it has lackluster acceleration, but overall, I LOVE my car!! Perfect size for driving daily to and from work alone, but also, easily fits 4-5 people without too much complaint. Great hauling capability with the fold down seats (although the angle of the back hatch has gotten in my way a time or two). Gas mileage is spectacular, even as it gets older, still holds well! Have had minimal maintenance (other than normal oil changes, new tires, etc.), two months ago was the first time I had to have something fixed, power steering pump lines had a hole and entire pump wasn't working correctly, but $400 later (the most I have spent on any repair or maintenance), brand new pump, and it is driving as good as new!!Acceleration could be better, and it is not a fan of going up in to the Rockies here in Colorado, but overall, I would say this is a great car, has been great for me, and I love it!!",,
4,Love my car!,Nicole ,07/09/2015,5,4,5,,,5,5,4,5,,,"This car was definitely not my first choice, but at the time I was still in college and dad pretty much decided for me. But I'm so glad we went with the Caliber! Yes, it lacks many of the bells and whistles of a more expensive car/brand. It doesn't have heated seats, or a fancy interior. But my major repairs have been few and far between (and by major i mean nothing totalling over $300). This car is 7 years old and is still going like a champ! It's been so good to me and in turn i've been good to it. I'm constantly surprised by how well it's held up over all this time considering it doesn't have the best reputation. The Pros, in my opinion: Cruise control is an awesome plus. It also hasn't required many major repairs. I don't consider it a very noisy car, and the sound system is pretty good too. My favorite thing about this car is the storage. All the back seats fold forward and i've been amazed at what i've been able to fit in this car! It's only proven to me that I want to continue buying hatchbacks if i can. The couple ""complaints"" i have are: Lackluster acceleration, feels light enough to fly off the road if i'm going too fast (road holding?), doesn't do all that well in snow (totally fine in rain, though) and like i said, no bells and whistles. The one major repair I had other than the breaks is that the cord(?) connecting my shifter to the transmission broke, so my car wouldn't recognize what gear i was in. That was a $300 repair, and that was this year (so after 7 years). Overall I'm extremely happy with this purchase, especially for the money we paid. I might sell it this year but that's only because i'd like to get at least a little money for it! But if money weren't an issue, i'd continue to drive it until it died.",,
2.625,Wish I Had Never Bought It,brandeeboo_92 ,01/24/2015,,,3,3,1,1,,4,4,1,4,"I just bought an '08 Dodge Caliber in August of 2014. I have put almost two grand into it since then...freaking thing breaks down it seems like every six months. I've had to replace the clutch, three starters, buy a new battery, and have had countless issues with the axle and tires. It's not worth the money to buy this car because it's so unreliable. It's comfortable and drives good but mechanically it sucks. ",It's comfortable and handles well in snow and is spacious. ,
2.375,Bad Transmission,baddude1 ,10/01/2014,,,1,3,2,1,,3,3,3,3,I bought it used with 30000 miles on it but I am on my 5th transmission.  One of the transmissions was the wrong one installed.   Why would I buy another Dodge?,,
4,"Good, basic, reliable transportation",wk4x42007 ,12/29/2013,5,3,3,,,5,4,3,4,,,"I purchased this car for my daughter back in 2010. It had about 30K miles on it. She drives 1.5 hours on the highway round trip everyday to school, so I needed good MPG, excellent safety and real reliability.The price was awesome ($10K) and this car has delivered. It has over 90K miles on it and all I've done is change the oil, replace belts/tires/wipers and do brake jobs on a normal maintenance cycle. It has taken her through nasty weather without difficulty and protected her nicely through 2 occasions in which she has been hit by other drivers. For the price, it's been a gem.",,
1.875,Whatever you do DO NOT BUY THIS CAR!,katatomic ,09/09/2012,,,3,3,1,1,,1,3,2,1,"I purchased this car used in 2010 and I loved it at first mainly because it was the first time I had owned a car! My grandmother liked it so much that she bought one also about 6 months later. After that her transmission blew out after only 30,000 miles! She replaced the transmission costing her thousands and guess what? The second transmission started having problems. I thought it was just her car, but then today my caliber's transmission also died and now I have to get a whole new car because it isn't worth having this car anymore. Plastic covers keep breaking off, the AC unit has alway been terrible, had to replace the accelerator. Save yourself the time and money and look elsewhere. ","The sound system was probably the best part. Also, the seats folded down and allowed for extra room in the car for traveling, there is an Auxiliary outlet, and gets pretty good gas milage on the freeway. ","A.C. Unit, the cheap plastic coverings, the accelerator, and most importantly the transmission. See the review for more details. "
2.875,Help me kill my car!,kong4lucky ,04/07/2012,,,3,3,2,2,,4,4,2,3,"I bought this car used in 2009 with 28k miles on it, I have replaced the alternator twice, replaced both thermostats and had to fix the A/C and now it has a bad oil leak (it currently has 81k miles on it). I don't know if this is typical of dodge cars but I do know that I will definitely research any car I buy from now on, especially if its from Dodge. The Caliber itself drives just fine, I have no complaints on its handling, but mechanically its been a nightmare.",The 110 power outlet.,"Stop selling this car, go back to the drawing board and make it more mechanically sound."
4,Hidden Gem,blackwell2012 ,02/29/2012,,,4,4,4,4,,4,4,4,4,"I bought my Cali SXT with a 2.0 liter engine new in 2008. I read about pepole dogging the model, but let me tell you it handles great. I'm a professional driver, and can attest to the cars nimble performance characteristics. I can routinely weave through 70 or 80 cars on a 23 mile early morning busy traffic run. The car is good off the line and mantains manuverability and tractionality at the 70 to 72 mile an hour range. That's about as fast as anyone goes in traffic or highway crusing anyhow. The cabin is comfortable, the Sirius satellite radio sounds nice on the speakers, and you always feel in command.The doors make a nice thump sound when you close them. Well made for the money paid.","You have to get the extended max warranty. I did and never regreted the $1800 cost paid @ $125 a month. I had my first tune up, brakes and rotors resurfaced at 52,000 miles last week. The car was also making creeking sounds at 5mph and 100 rpms. I paid a $100 deductable and Baker Dodge of Princeton ended up installing a brand new transmission. They also replaced the two front struts, left control arm, left bearing and hub, and both back shocks. The warranty saved me over $8,000 in repairs. Dodge's customer service at the dealership and with my corporate case manager was superb. The dealership also paid for my rental car for several days, as they took the time to get the car in tip top shape.","The Caliber has a sun roof and it has leaked when it rains hard. Quality of workmanship, and Made In America Pride, should be a key aspect of every stage of the auto manufacturing process. Dodge corporate HQ, now that they are partnered with Fiat, would be well served to use great service departments like Baker Dodge as examples for other franchises to follow. Corporate could brand market loyalty by making extended warranties available for anyone who owns a Dodge. With the cost of automotive reapirs nearly cost prohibitive for many American families, Dodge should lead the way, and offer monthly payments on large repair bills."
