4,Good family starter,Chad Price ,10/25/2016,3,4,4,,,3,4,4,4,,,"A good vehicle for it's value. Nothing in it is really going to blow you away with class or ""piz-az"", but it performs as advertised. The 3.5L V6 has enough guts to help you get around slow moving vehicles quickly, but again, won't amaze with speed. It averaged about 21 mpg for us, a little under what we thought it would, but not bad at all. The leg room is good up front in my opinion (but I like to sit up close for a 6'2"" male), however the rear is a little cramped for bigger adults, but fine for averaged sized people and kids. I always felt cargo space was a little small but we always had to fit a big dog into the vehicle plus our cargo. (But that's our problem and has nothing against the vehicle.) We had a few electrical issues with the BCM (Body Control Module) that was about $600 fix, at about 75,000 miles, but other than that everything worked great. If your just starting off and have a growing family, this is a great car for you!",,
3,"Loved the car for 8 years, but then....",marmot ,04/22/2016,1,2,3,,,3,4,5,5,,,"Beware of the the water pump on the 3.5L engine.  Search the internet lots of water pump failures resulting in severe engine damage.  I loved this car.  I purchased it new, no problems until 92K when the water pump failed with no warning.  No warning lights, no fluid leaks.  If you're thinking of buying one used with a 3.5L, be sure to have the water pump checked out first.",,
3,Great Car with Recent and Alarming Issues,JJ ,02/14/2016,4,3,2,,,2,3,4,4,,,"I have a 2008 Ford Edge with 55k miles - 3 Times in the Last year when I have been attempting to accelerate- All of my warning lights turn on - My spedometer gets stuck at zero, and I am unable to accelerate above 5 miles per hour for a significant, and dangerous amount of time. Took car into shop and they were unable to find any issues. Looking online it seems many other people have had the same problem and ford is unable, or unwilling to address the issue. Very Dangerous.",,
5,Love my 2008 Ford Edge AWD,D Baker ,01/04/2016,5,4,4,,,5,5,5,4,,,"First owner of this vehicle.  Absolutely love it.  Buying a new one this year just like it.  Great ride, fast acceleration, great radio.  Could do better on gas mileage, Sync system for cell phones and more backward mobility on driver's seat.  Overall a wonderful SUV.  Have never had any problems with it.  At 62,000 miles right now.",,
5,Great Vehicle,Bill ,08/07/2015,5,4,4,,,5,5,4,5,,,"Vehicle currently has 180,000 miles on it and has been an amazing car. Mechanically, no major problems have ever arose. I did have to do the rear wheel bearings at 150k. Besides that and your typical brakes, tires, and tune ups car has been flawless. It does have good power and excellent AWD system. Does great in northern Wisconsin winters. I drive about 60% hwy and average just over 21 mpg with aggressive driving, so gas mileage isn't great but worth it with the quality of the vehicle. Highly recommend if you're looking for an AWD crossover that's well built.",,
5,I usually dont give 5 star reviews,djscotec ,05/13/2015,,,5,,,5,,5,5,,,"Bought my Edge at the beginning of 2009, was a demo with 9000 miles, to this date i just went over 61000 miles. Knock on wood i've had very little problems with the vehicle, mechanically or electronically. the rear tail lights burn out unusually fast, should have a recall on this. the sockets appear scorched. other than that its been basic maintenance on the vehicle. i changed the transmission oil at 50000 miles just to be safe. I also change the oil every 6000 miles with full synthetic mobil 1. the oil still looks good after 6000 miles! the front end seems to be riding hard as of late but it may need some gas struts replaced, most of my miles are city driving and joy riding UPDATE -  had to replace both tie links in the front as they were worn and thats where the clanking was coming from. Had to replace the gas tank on recall and the now the airbag was recalled as part of Takata.  The right rear wheel bearings went on me over the summer but that was fixed also. Still love the vehicle, rides like new with the repairs of the tie end links . still use Mobil 1 and oil looks great.",,
3.125,2008 Edge SEL ,hmayan ,08/30/2012,,,2,2,2,3,,4,4,4,4,"Good car over all. Bought it new and owned it now for 4 years. Pleasant to drive. Interior design is a bit poor. I saw a 2012 model and they made a lot of improvements. Gas millage is worse than advertised which is the biggest drawback for me. I get 16-17 mixed according to computer, from day 1.","I like the SYNC, large cargo space and the large vista sunroof.","Tail lights (brake) failed multiple times. They actually burned the sockets as well. At 63k miles brakes started making gurgling/bubbling noise when pressed. So, had to spent $400 to change the booster for brakes which is unusual. I keep seeing the same complaints in other forums, so I know I am not the only one who had these problems. They should have had factory recalls for these."
1.75,Not so good...,nivek3 ,04/10/2012,,,1,3,1,2,,2,1,2,2,"After never owning a Ford, I decided to give them a try. Initially I thought it was a good car, but little by little I began to hate it. The Build quality is crap. The interior is made of very cheap plastic and fit is poor. Even worse is the air conditioning. I unfortunately bought the Edge during the winter, so the AC was not a priority at that point. Then came the Texas heat. The Air conditioner makes lots of noise but never puts out air. The dealership said there was nothing they could do since it was due to the design. So I now own a VW and love it.",Exterior design.,"Air conditioner, seat comfort, and interior build quality."
3.875,Good Crossover,sea1967 ,10/15/2011,,,3,3,4,5,,4,4,5,3,Now have over 100K on my Edge.Very happy with it overall.Getting 26.6mpg according to computer in mixed driving.,"Heated seats, compass, strereo","Cancel button for cruise control, heated mirrors"
5,A Very Luxurious Vehicle ,robey_1 ,08/31/2011,,,5,5,5,5,,5,5,5,5,"I purchased my 2008 Ford Edge in October 2010; about 10 months ago. So far, I am very happy. There was only one issue that I had which was covered under my auto Tran.This vehicle drives very smooth, like a car, and is very comfortable. The leather interior and the beautiful exterior (powder blue) gives this vehicle a very luxurious look. People cannot believe when I tell them that the vehicle was just under $20,000. Overall, I would highly recommend the Edge as it is like a luxury vehicle without the price tag!","I really like the Sync capabilities; however, I have yet to use the phone setting. I really love the leather seats and the automatc driver side seats. The heated seats are great for winter too. The rear seat fold forward to make tons of room for anything you may need to load. I have moved a few times and the load capacity has really helped keep the trips to a minimum. ",Air conditioned seats would be really great!
