5,Best Snow car ever,John Goodson ,01/03/2016,5,5,5,,,5,5,5,5,,,"Sure it's a hybrid and gets good mileage for an SUV, but, the 4WD, with the motor over the front tires and the hybrid battery over the rear tires gives this SUV a low center of gravity and amazing traction on snow.  Forget about the chains forever with this car;   Oh, by the way, after 100K, the motor is still super reliable.  I spent $500 on the 100K service and had to spend $600 on the hybrid fan after 60K, but other than that its just a $20 oil change every 5K.  A well-built car with great mileage and outstanding traction.",,
4,Very Good SUV hybrid,vincenc08 ,08/23/2011,,,3,4,4,4,,4,4,5,4,2008 Kiwi green Escape Hybrid has been a very good SUV. Had is for 3 yrs and 71K mi ...reliability is very good only a few minor build issues. Good interior room and surprising storage with 2 nd row folded down. Gas mileage is over 32 mpg on HIway 33 city. Sotck tire have ltos of road noise after 30K mi. Eco seat material stains easily...hard to keep clean. There is a way to get them replaced but you really have to dig on the internet. Overall a very good SUV if you can live with some minor quirks.,"Clean dash controls, gas mileage, storage room with 2nd row seat folded, brisk acceleration, value priced hybrid.","Seat material, stock tires"
2.375,Escape Diebrid not Hybrid,scoobykk ,02/28/2011,,,4,4,1,1,,2,3,2,2,"This vehicle has the potential to die on you while driving or parked. There are problems with the parts below that you should be aware of before purchasing. Repair is very expensive.FORD nor your dealership will inform you of known potential problems.For FORD 05-07 owners, these parts are known to fail so get them checked out before the BtoB warranty expires. 1. MOTOR cooling system water pump pn# (5m6z8c419a) TSB (Technical Service Bulletin ) # 07-25-12.2. The Blend air door actuator applications pn# (8L8Z19E616E), will also probably need to be replaced.",I no longer have any favorite features.,Replace faulty known parts at company expense.
3,Typical Ford,CarGuy87 ,04/13/2010,,,3,4,3,1,,4,3,2,4,"This Escape is a Fleet vehicle that gets a lot of use - 25k miles per year. I was initially very happy when the company bought the Escape. The first winter the wrench light kept coming on disabling traction control. The power steering periodically shuts off, which the manual calls ""normal"". Recently this triangle light has been coming on almost daily which indicates a serious problem with the Hybrid system. The shift had to be replace after something broke inside releasing the car from park, resulting in a co-worker getting run over by the car. The gas/elec transition is rough, and the gas engine is loud. I understand its feet and it'll have problems - but this is ridiculous. ","Great sound system, love the blue lighting. Good size vehicle. Good acceleration and handling. Does great in the snow when the traction control works.","Quality! If it can't handle two years of fleet use, what about after five years of normal use?"
3.125,Not great in a cold climate,EyeOnAlaska ,03/19/2010,,,3,3,3,4,,3,3,3,3,"Bought my used 08 FEH awd for my move back to Alaska.  Very disappointed with the mileage I'm getting in a colder climate-averaging 21mpg all- around.  Granted, that's ok for an SUV, but certainly doesn't live up to its billing.   It very rarely goes into EV mode, and even when it does, the engine won't stay off sitting at a stoplight.  This is in temperatures anytime below 20 F.  Below 0 F, mpg drops into the mid teens and it sounds like a coffee grinder on steroids until it finally warms up.  Almost a must to keep it in a heated garage.  You have to be incredibly careful with the gas pedal to not kick it out of EV mode leaving a stoplight.","Comfortable seats, decent radio, good traction.  Still decent mileage for an AWD SUV.","Interior is cheap, even with leather.  Engine is loud and tinny if you're having to use any power.  Gas pedal is much too touchy for EV mode and I wish it had a switch that would let the driver select EV mode."
4.625,"Bulletproof after 65,000",peter ,02/14/2010,,,5,4,5,5,,5,4,5,4,"Comfortable and quiet, except for the buzzy engine when you accelerate hard. 2 1/2 years old now and flawless. Averaging about 28 overall, about 26 highway and 32 around town. If you're coming from a high-powered vehicle, you may not be happy with the slight lag in acceleration when you need to accelerate hard, but that's the only flaw with the system. I have a light foot; it's supposed to learn how you drive, so maybe those with a heavy foot won't have a lag. 100% trouble free, normal maintenance only, which is not expensive. Rides much better with the Goodyear SR-A tires I put on. OE Continentals were hard as a rock. Great snow car. A very satisfied owner. Thanks Ford.","Gas mileage, comfort, roomy interior, build quality, reliability.",Seats stain easily.
5,I feel happy to drive,hilary ,11/26/2009,,,5,5,5,5,,5,5,5,5,"I have switched from a Mazda 5 to this car to get a better seating a storage arrangement.  I LOVE the fuel efficiency around town and feel great about my choice.  Its not as fancy as my mom's Prius with all the electronics, but getting 34 miles to 40 miles a gallon schlepping kids in a big car makes me smile every time I turn the key.  I am proud to drive this car!",Aux input!  Avg MPG digital readout!  Not constantly staring at onboard computer reading...priceless!,better air circulation efficiency
4.125,Not bad...not bad at all.,Chris ,09/26/2009,,,4,4,3,5,,4,5,5,3,"This vehicle is not something you are going to want if you are looking for the drive of your life, but if you're looking to have an economical vehicle that looks pretty good, then this is the one for you.  I did have a couple proplems with some of the features when I first got my car, but Ford was more than happy to fix those up for me.  All in all this is probably on of the best cars I've owned.  I enjoy the smill I have every time I fill up my gas tank.","Gas milage, auido package, handling.",Some of the accessories that come on this vehicle aren't built...well Ford tough so they might have to be replaced over time.
2.375,Wish I had my TAHOE Z71 back,Sandra Kemp ,09/18/2009,,,1,2,3,3,,3,2,4,1,I purchased the hybrid solely because of the price of gas; approaching $5/gal.  I was driving a Tahoe Z71 that had a 25 gal. tank that I had to fillup every 5-6 days. I came from a Cadillac to a geo.  When I accelerate up a hill it sounds like a cheap sewing machine; unbearable. The interior carpet and leatherette seats are cheaply made. I had to brake quickly the other evening and slid sideways.  No traction. ,Gas consumption averages 32 city and highway.  Stereo system is above average.,Get rid of the pinging sound when you accelerate.  Improve braking.  Upgrade the interior materials.
4.875,Proud owner of a Ford Escape Hybrid,Bill S. ,06/05/2009,,,5,4,5,5,,5,5,5,5,The Ford Escape Hybrid does not only get great mileage for a SUV but also has very low pollution emissions. I like the styling and don't feel I compromised on any factors when I bought it. I have kept a spreadsheet of actual mileage and have maintained an overall 31 mpg. The worst case mileage is log distance highway driving at 70+ mph when my FEH got 28 mpg. Around town and using hypermiling techniques I have gotten 35+ mpg.,"Style, comfort (leather seats and leg room for 6 ft people), room to carry camping equipment and 4-5 people.",1)Update computer control so that 2008 can drive up to 40 mph in electric mode only. 2)More and better digital displays (w/o Nav Kit) to aid in hypermiling. 3)Longer warranty on bumper to bumper (currently 3-36000). 4)FEH Hybrid Decals/Accents to add to vehicle to augment green leaf (proud owner). 
4.375,Pleased with 2008 Escape Hybrid ,George S ,03/18/2009,,,4,4,4,5,,4,5,5,4,"I bought this for the boss to replace a mini-van we outgrew. We wanted to downsize but not give up comfort and the ability to haul stuff from time to time. Oh yes, we wanted to use less gas as well.  The Escape Hybrid did all these things for us. It gets a consistent 30MPG which certainly meets our expectations. We have not had any trouble with it whatsoever. Frankly, I didn't expect it to be this good but Ford, so far, has exceeded my expectations with regard to reliability.  As an engineer, I appreciate and respect this as a technological achievement. The shop manuals for it have been enlightening and entertaining. To the boss it's ""push this to go;  this to stop"". It works for both of us.",Seamless hybrid operation;  comfortable on trips; flat screen display and representation of the power functions; ,"HVAC should be simpler, it appears to have too many confusing functions. I prefer to dial in the temp and let it decide how to achieve same. Use the graphical display to incorporate engine diagnostic functions (i.e. OBDII and Ford specific). Dopey-but how about a single swipe feature for the wipers?"
3.875,First hybrid owner,TONY M. ,01/05/2009,,,4,3,4,4,,4,4,4,4,"It was the price that got us in the door. Then it was the vehicle,  and good salesmanship that kept us there. We drove our Escape Hybrid from Spearfish to Rapid City, and we knew that we had made the right decision. My wife says ""It is quiet & relaxing like Grandmom's Studebaker"".","The automatic lights on, for night time illumination. The automatic transmission with seamless shift changes. Lots of head room. It's a friendly, economic, and fun SUV","Our plan was to get an electric vehicle that does not kick in the engine until over 30 to 35 mph, you know, around town driving speed.  There are other vehicles out there that can do this.  Higher electric speed can be more effecient. The hood design could be flatter from the drivers perspective."
4.625,Traded Hummer H2 SUT and Very Happy!,Craig Y in Dallas ,01/03/2009,,,5,5,4,5,,4,4,5,5,"When I bought my FEH in May 2007, I was looking for a more economical replacement for my Hummer H2 that I absolutely loved, that is until I had to feed it!  I was spending $600 - $900 per month on fuel and could no longer justify that expense. I did not want to buy the 4WD FEH initially until I could determine whether I could be happy in the pint sized replacement.  I purchased the 2008 FEH FWD and to my absolute amazement, it surpassed my expectations in every way!  It not only delivers 2.5 to 3 times the gas milease I was getting in my H2 but it had more cargo space and great acceleration. From my home in Dallas, I regularly get 32 - 37 MPG driving to and from Austin.","Comfortable seats, DVD navigation with 1 DVD for entire U.S and Canada, and Sirius XM satellite radio!","More optional equipment for the Hybrid. Not all optional equipment for non-hybrid Escape will work with FEH.  Specifically, I wanted integrated Bluetooth kit and Homelink (garage door opener) rear view mirror. In both cases, wiring harness will not work on Hybrid. Still not available in 2009!"
4.625,"First new car, and happy with the choice",Louise ,12/23/2008,,,5,5,4,5,,4,5,4,5,"I purchased my Escape after having to finally get rid of an 11-year-old Crown Vic. I wanted something that we could take camping and that would be safe/comfortable to travel in but that would get good fuel economy in the city. I have not been disappointed with my choice! The car is easy to drive. Since it is a hybrid that depends on braking to recharge the battery, it tends to get better gas mileage with long, slow stops (at least that's what I've noticed).  I thought that going from a V8 to the hybrid would be a shock, but this vehicle really has some get-up-n- go. The seats are easy to move and clean, and I've never had any engine trouble.","I got a package that included heated seats, which are a very nice addition. I also like the cloth cover that can be extended over the trunk area for privacy. The extra weight of the second battery also provides some extra stability.","I do wish that we would have been able to put a tow hook on it, which I have seen on non-hybrid Escapes. Additionally, the engine sometimes gives this annoying high-pitched whine when it first starts up."
5,An SUV that I am not ashamed to drive,pjl1 ,11/19/2008,,,5,5,5,5,,5,5,5,5,"Took delivery of FEH in 6/24/08. The moment I drove it home I knew this was a keeper. It has plenty of power and yet it gets good mileage. I get about 6.7 lt/100 KM in a small town and 7.1 on the highway. It is quiet in electric drive (stealth mode). We bought an upscale model with most of the toys including the AWD. The ease of getting in/out is also a plus. The front leather seats are very comfortable. Interior lighting gives it a classy look at night. The ownership, to date, has been a pleasure. It is a bit disconcerting at first when the engine shuts down in traffic. I don't mind when the ECON switch (on) shuts down the AC in traffic (I can take a litle heat) I just thnk about the gas.",Comfort of ride. The important controls are easy to reach. The seats are firm yet comfortable. The heated seats work well and very quickly. Lots of storage when the seats are down. Fit and finish are good. Got to love the hybrid best of all. Not too much of a complaint here. Ford got the SUV right.,More colour choices. I wish it had stability control on the '08. Seat belts in back are difficult to get into. Laying down of the seats is a hassle. The NAV system could include a better terrain view. Ford should give a more recent map CD. A rub strip on the side is needed. Get rid of the hood prop.
4.625,6 month evaluation,City driver ,11/09/2008,,,5,5,5,4,,4,4,5,5,"I've had the vehicle for about 6 months. Bought the top-of-the-line and enjoyed it very much. It looks good, get great mileage (31 average). About a month after I bought it, it would start.  Turned out there was a loose wire in the built in security system  Last week, wrench light went on. Had to have a vent to cool the batteries replace. Hope this isn't a sign of things to come.","Looks, versatility, gas mileage.","I put my bike(s)in the back. It would be nice if the material in the back was designed for more ""outdoor"" use. I have to put a cloth down to keep things clean. Bought the plastic liner to cover the back, but it didn't fit at all."
4.75,Traded my X5 - never looked back,Denver ,08/26/2008,,,5,5,5,5,,5,4,5,4,"I drove a BMW X5 4.4 for five years prior to trading for the Escape Hybrid. Gas prices were part of my decision, and I honestly wanted to be one of the voices clamoring for Detroit to get with the program and invest in alternative powertrains. I loved the build quality and engineering excellence of the BMW. I expected that switching to a more pedestrian Ford was going to be full of compromise. Certainly, the finishes are less luxurious (recycled plastic instead of leather dash, fewer adjustments in the seating, etc), but overall, I have been quite satisfied. If I had it to do all over again, I would do it all over again.  ","Zippy, great nav system, good leather seats, decent stereo, consistent 30 MPG.","Why no E85? This should be easy!  Understeer in corners, wallowing suspension, insane hoops to jump through to fold down rear seats (remove and stow headrests, lift and tumble seating surface, fold down seat back). No body side molding?  "
4.375,Love it but it rattles.,Redwoodmeg ,07/30/2008,,,3,5,4,4,,5,4,5,5,"I love the idea of a hybrid SUV and I am happy to ""buy American"" I have had my new Ice Blue Escape (I call her Sky) for about a month and I am getting about 35.5 MPG! I am a high mileage driver and was driving a 2002 Explorer and getting about 15 MPG. That was my 2nd Explorer. I am dissapointed at the hardness of the center console and the arm rests. The leather is a little stiff and I have a rattle in the center console where it meets the dash. My biggest concern is a rather loud noise in the back hatch that appeared after I drove on a slightly rough road in the 2nd week. It seems to be coming from inside the door near the Ford emblem. I don't want to ""accept"" this or get used to it.","Navigation, stereo, moon roof, size, color, and ""greeness""",More supple leather. Much softer arm rests/center console. Tighter connections on plastic interior.
4.125,"New England Ownership after 1 year, 2 Mo",GuzziAlfa ,07/24/2008,,,4,5,4,4,,4,4,4,4,I will echo much of the positive remarks about this vehicle although the one thing that is inconsistent between reviewers is mileage. In New England the weather is so variable by season that I actually charted my mileage for each fill up. In winter months with heat and electric seat heaters I could get 22 - 24 mpg. In the spring I shot back up to 30 mpg. Max mileage reached was 31.5 and that was only 3 times. The economy mode button helps by cutting out the engine at traffic lights so blowers will still work but not AC or heat.  That's ok for short pauses. The one thing inconsistent is the HEV or hybrid display of mileage - it is always higher than reality by 1.5 - 2.5 miles. ,"Hybrid - why else buy it, right? Navigation, upgraded stereo, handling, mileage for a 4 wheel drive, albeit all wheel drive vehicle. Pickup from stop for such a small motor/hybrid vehicle. I can pull away from a light on battery if I want or step on it in a hurry.","Cargo space. The Sable wagon has more! H/L 4 wheel drive and a 2 wheel/4 wheel option. That would improve mileage. Worst feature is the warranty. Better battery life for running on motor only. Ford still has 3 year warranty for this vehicle. Sad, very sad. Hybrid battery has 8 year."
4.875,We love our Escape Hybrid,Bako ,07/17/2008,,,5,5,5,5,,4,5,5,5,"We have owned our 2008 Ford Escape Hybrid for almost one year. It has been a great car. We have had no problems with it of any sort. I had a good test of the AWD last winter when traveling a lonely state highway in a full-on snowstorm. There was 3-4 inches of snow on the road and the Escape handled it beautifully. The Highway Partol closed the road right after I made it through due to other vehicles involved in accidents. Our milage is a very consistent 27 to 28 MPG, whether city or highway.  In very hot weather the city mileage drops if the A/C can't be kept in the ""economy"" mode. If the A/C is not in ""economy"" the gas motor runs all the time.  Great car!  Buy it if you can find one!","Hybrid feature works great.  Excellent gas mileage in stop and go traffic. Lots of interior room. Very good comfort. Nicely equiped with lots of standard features (such as cruise, dual zone A/C, trip computer, fog lights, etc.)","If you can find one at all in dealer inventory it will probably be loaded up with navigation, leather, etc.  Do what I did and save yourself about $3500:  order a base level one.  If you want navigation buy an aftermarket on-dash unit like a Garmin."
4.875,Fifteen Months and Still Lovin' it,lvass ,06/29/2008,,,5,5,5,5,,5,5,5,4,"I bought my Escape Hybrid AWD in March 2007, shortly after they came out. I have averaged 31 MPG with this vehicle, driving 80% city, 20% highway. I couldn't be happier with this SUV. I am impressed by the improvements in ride and road noise (I own a 2001 Escape as well). The fit and finish have been great and it just right for both my 4' 11"" wife and my 6'2"" self. I live in Colorado, it has done very well in the mountains and the power of the 133 HP 4 cylinder backed up by the electric motor is equivalent to the V6 gas Escape I have. I think this vehicle is well worth looking at if you are considering a hybrid SUV and you have a small family (2 kids) like my self. Ford has done a nice job.",Excellent gas mileage for an AWD vehicle. Significantly improved insulation form earlier models. Great in the snow.,"Tow package and DVD entertainment system for the hybrid would be nice. More colors would be nice, too."
4.875,Automotive Breakthrough,Joseph ,06/24/2008,,,5,5,4,5,,5,5,5,5,"I purchased my 2008 last summer, and have no regrets. We've had the orange wrench light come on a few times though.  Although there were no observable problems, they had to replace cooling fans, motors, etc.  I suspect the system detects potential problems quickly. I get around 37MPG in winter, and 33MPG in summer (with AC running most of the time (Tucson, AZ)). There's a squeak sound coming from a motor somewhere.  It sounds like a clutch engaging/disengaging.  They repaired it once by replacing the AC motor, but it has returned. I'm due for my 20k soon, so I'll have them check it at that time.",Definitely the CVT. This performs wonderfully when driving though hilly/mountainous. The mileage is great! ,"Passenger side ""handle"" above the door; full size spare; trailer hitch (for my bike rack).  "
4.875,Great Ford SUV,Tom ,06/20/2008,,,5,5,5,5,,5,4,5,5,"Leather Interior needs to be more comfortable, but overall this is a great vehicle and will buy another one. Very reliable and gas mileage is great even with my lead foot. Finally the US automakers have something to be really proud of. Over 21,000 miles of hard driving and no problems! Highly recommended!","Performance & handling, love the NAV system.",More comfortable interior. Even the leather is rather hard.
5,Just a Great 4 X4 Vehicle,Mike ,06/19/2008,,,5,5,5,5,,5,5,5,5,"I ordered the Escape with all options and it arrived in 3 weeks. The quality is excellent. If only it had stearing wheel controls for the radio and navigation system. It is somewhat distracting to take your eyes off the road to change radio stations, or enter a new destination on the nav system. Other than that the Escape is a great vehicle. Leather seats are comfortable, and the interior is very well dressed up. Rear seats fold nicely flat. Plenty of room for 4 people and luggage for a week in the rear. Tires are quite and smooth, but the continental tires are not good in the winter. Goodyear tires would be a much better choice.","The navigation system is large and full of information. Not a small 4.3"" like the aftermarket units. But the gas mileage is my favorite. Even with the four wheel drive version I am often averaging in excess of 30 miles per gallon which is more than the vehicle is rated at.","Steering wheel controls for the radio are desperately needed, along with 8 way memory adjustable drivers seat. Just to hard to fine tune that seat after someone else drives the vehicle. A bit more sound insulation would help."
3.625,Hybrid vs. Quality,jeb ,06/17/2008,,,3,3,3,5,,3,4,4,4,I was determined to buy a hybrid and I guess I was lucky to get one but I had to pay a premium for it. I am not sure it was worth it - I think you give up quality in other areas. I will have to say that the quality is no where near as nice as the Expedition I had prior. Some of the interior and exterior portions of the car are cheap plastic and scratch very easy.   have a fully loaded model except for the navigation system. I am getting about 25 miles to the gallon but if you like to stay cool during the summer months forget driving in electric mode - the one thing they don't tell you is you won't go electic with the AC on even in econ mode!,The car comes with a backing up indicator that is great - if you use it you should never back up into anything again! And the split fold down seats are a must in this car!,"1) Re-design the way to fold down the back seats, way too many steps to be efficient. 2) add hanger for cloths - there is only one at the back left side which blocks your vision. It should be on the dirver side. 3) the seat belt scratches the walls of the interior and is really hard to get out."
