3.875,Definitely a family SUV,George Torres ,10/03/2010,,,5,4,4,4,,4,5,2,3,"2008 with 37000 miles already on it. First driving experience was very good. Lot of room for the whole family and very comfortable seating.It drives very quite but reaching 70 miles per hours a front road noise surprised me. I have to check with the dealer. My experience with cars is telling me that something has to do with the ball bearings. Also a squeaky noise came from the front of the car. I checked under the hood and looks like the serpentine belt is the problem and since many people already are talking about it in the internet, I do not have doubt that that it is the problem. I will bring the car to the dealer to be checked but if those two problems can be fixed t","Room, Power, Comfort, Blue tooth, GPS",Gas miles without sacrificing power.  A bigger dash board information display.
4.875,The Best SUV You Can Buy,Mike ,08/17/2010,,,5,5,5,5,,5,5,4,5,"I've owned Explorers since they were introduced and have owned several. I have used them for business. They are, absolutely, the best, most dependable vehicle I have ever owned. New or previously owned. I still have the first one I bought. It has almost 290k in mileage on it. Other than standard maintanence, oil changes, tires, brakes, scheduled maintenance, etc. I have never had not one single problem with this vehicle. Not one. I just purchased a very low mileage 2008 limited. And it's like coming home again. Only better. The one that I have is a 99' and it's like the every ready bunny. It just keeps going and I love the new one. These are really fantastic SUV's. ",The Explorers that I've had have varied in model. XLT's to EB's to the Limited. (5 In all) I have felt SAFE in all of them. The best so far is the Limited. Good luck finding one that someone wants to give up.  If you're looking for a really good Family SUV the Explorer is one to look at. ,It's an SUV on a truck platform. Perfect for me. I'm eager to see the 2011.
4.25,Great SUV,SUVLover ,07/20/2010,,,4,5,5,5,,4,4,2,5,"Overall, a very good SUV.  Great power/performance, very good towing capacity/capability, lots of interior room, 3rd row seating that actually can fit 2 smaller adults, nice styling.  4WD cuts in flawlessly when needed.   Seats are comfortable but not as much as others I've driven.   Bad blind spot in the passenger rear corner but can be compensated for by adjusting the side view mirror.   Transmission sometimes has harsh engagement before it warms up when accelerating from a stop.  Brakes get some getting used to since it takes more pressure than most vehicles I've driven over the past 40 years.","Towing capacity/capability, 4WD and dual zone climate control.",Fix the passenger side rear corner blind spot.  Improve the brakes.  
4.625,"very good, I love it!",valeria ,06/04/2010,,,4,5,5,5,,5,5,3,5,"I just love this car, always had a big  car as, Navigator, Suburban, Avalanche, but I'm very happy with is one.",,
2.625,C'mon man!,John ,04/27/2010,,,1,4,3,3,,3,3,2,2,"The transmission is crappy in first gear.  Big clunk when coming to a complete stop.  Pretty much have to stand on the brakes.  No info about automatic door opener in standard manual.  Interior is lame, no place comfortable for the knees.  Biggest right side blind spot on the planet, and no vision through the rear view mirror when the video screen is down. ",Sync is cool,Fix the things I wrote about above.
5,WoW ford hit a home run!!,Ford Lover ,02/22/2010,,,5,5,5,5,,5,5,5,5,This car is amazing!!! I drive it for work all around the city and it gets 18.9 mpgs overall!!! This car has great power and pick up. I like to brag that I always beat those Bmw suvs out of the traffic lights! Its got a very nice interior 9 cup holders but don't use them i pack people it in all the time and love to take it off road!!! no problems and a sunny future together!,I love the sync system its great and the style is way better than the explorers in the past. Great turning radius and handling.,the stability control on ice has this pumping of the gas i don't understand why but it doesn't really help.
4,software problems,classy chic ,02/03/2010,,,5,5,3,3,,3,5,3,5,"So I just bought my 2008 ford explorer last friday, january 30, 2010. When I come to a complete stop it the car jerks. Sometimes when I am at 70mph or higher it jerks also. I talk to ford about it and they said that the software in the transmission needs to be re-programmed. I have a 3 yr warranty, but it is still very inconvenient to have to already take the suv back to get something fixed and I just bought it. After reading the reviews and hearing about all the radiator problems, I guess I better prepare myself for this pretty soon. Ford should be more wise on the certain parts they put on vehicles, because when you have so many other people with similar problems, that's a big problem!!",The chrome on the door handle and shift gear. The room inside the car.. The V8 engine.,Ford you should do better when building these vehicles. It is very inconvenient when you have millions of people complaining of the same problems.  
2.875,disappointed,redstang ,01/28/2010,,,2,3,3,4,,3,3,2,3,"Had a '96 Explorer V6 RWD, 185000 miles and ran good.  Decided it was time to update, now have an 08 RWD V6, 4 speed auto with O/D.  The 96 got 22 mpg highway, 08 lucky to get 20 mpg.  The seat/steering is difficult to get in a comfortable position, steering lever knob way down under, tough to find and tougher to set in an exact position.  Turn signal lever is high behind the steering wheel, fumble to find it.  Idiot light for battery, reset button for mileage, etc is in indiotic position on dash, diappointed obviously with interior design of dash, etc.  The '96 egronomically, was much more user friendly.  '08 ride is nicer and traction control helpful in winter conditions.  ","Headlamps great improvement over the '96.  Tiny console does not hold much, no place for change or small items you don't want to lose in the bottom of the console. Cup holders on the back end of the console can be a nuisance to driver/passenger.  ","Make the interior designers drive one of these for a few years to get an idea of how screwed up the dash, console is. I had very good luck with the '96 Explorer (185000 miles, 22 mpg highway) so went with another.  Am disappointed but I can adjust and hope to get 185000 out of this one."
1.5,Piece of Car,sdexplorer ,01/17/2010,,,3,3,1,1,,1,1,1,1,First family SVU. Thought of buying XTerra but decided to stick with american built.,Lots of room in the interior,"Air Conditioner sticks bad, a lot of outdoor noice heard inside, crappy interior materials. Tire sensor will not reset itself after replacing tire. Big mistake to purchase vehicle"
1,Ford Explorer - poor design and quality,TKenn ,12/08/2009,,,1,1,1,1,,1,1,1,1,"1. Roll-over alarm goes off at 20 mph on straight road. Dealership said it was a ""short"" in the system. 2. Both Vanity Mirror covers broke off allowing the light to stay on and drain battery. Dealership replaced with visors having cuts in the fabric. 3. Tail light assembly missing both attaching screws. 4. Eyelash (decorative trim at wheel area) pulling away from body. 5. Oil changed - but the oil indicator was not reset. Found out the oil indicator only tracks mileage and time - not actual oil life. Second Explorer - same visor problem. Paint failure. Technicians failed to reset oil indicator. ",,"Ford needs to use same dashboard configuration - waste of training, inventory and design. "
3.625,Burrr....my feet are cold!,Lynziee ,12/01/2009,,,3,4,4,4,,4,3,3,4,"This is actually a company vehicle for me. I've had it 2 years and put on over 51,000 miles so I have spent many hours driving in this truck. The major problem with this specific model is that the floor heat on the driver's side does not push out as much heat as the passenger side. So, the passenger is roasting and the driver's feet are still frozen. With no dual zone climate control this is a problem. I took it into the dealer and they said they knew of the problem and tried to redirect the vents but were not very successful. So, if you drive it by yourself or live in a warm climate you are fine. If you drive in the cold and like to have company, this may not be the vehicle for you.",Lots of chrome! Plenty of power. ,Fix the floor heat problem! Cheap interior. 
4.875,Love it!,lynn ,10/05/2009,,,5,5,5,5,,5,5,4,5,"After reading, test driving,etc. etc. I just couldn't talk myself out of getting this Explorer and am so glad I didn't!  I love it, the ride is great, easy for my elderly parents to get in and out, as well as the grandkids! I actually look forward to driving to work! Interior is very nice and easy to use audio system. Can't say anything bad about it!","Audio system, the ride, comfortable seats and easy access to rear storage area.","Maybe make the interior a little more upscale, but then again, it is kind of used like a truck at times!"
5,what a GREAT CAR!!!,tom galvin ,07/18/2009,,,5,5,5,5,,5,5,5,5,"This car has been great from day one no problems very comfortable great power, turning radius, design and everything!! ive only owned fords in the past and have had an explorer before but this blows all of them out of the water!!!",everything!!!!,more trunk space when third row is up.
4.75,Great buy for the money,Robert ,07/01/2009,,,5,5,5,5,,5,5,4,4,"I have had this car for about a year now.  Great pickup with the v6 and good power.  Would suggest to anyone who wants an import.  It just is not worth the extra money when this car is so much less and preforms just as well if not better.  As for the interior not being stiched leather, get over it.  its a ford, not a lincoln.  No problems whatsoever.  Car tells me when to get my oil changed, low tire pressure, low gas, etc.  It has a very smart on board computer.  ",Sync.  Base sound system.  Agressive front styling.  smooth ride.,"go back to old on body frame for increased off road ability.  Then again you could just get an f 150.  Other then that, no complaints."
4,Good bang for the buck.,Harry ,06/15/2009,,,3,5,4,4,,4,4,4,4,"This marks my third Ford Explorer. My only complaint is the center mounted shifter. The previous one (2002) had ample amounts of area for your stuff. Considering the price as compared to a Toyota 4Runner, Nissan Pathfinder or other comperable vehicles the explorer was WAY WAY WAY more truck for the money. It literally cost almost 1/3 less than the two above mentioned rides. I can live with some small quirks for the money I saved.","In a word, SYNC!!!!!!",Go back to an optional column shifter. Then reduce the size of those rear head rests. 
