2,Garbage Truck!,John ,10/05/2016,1,3,3,,,1,3,2,3,,,"This truck is a piece of crap! Ford does not want to help with customer care.  In 29,000 miles I've replaced 3 radiators, 1 secondary cooling system, left rear axle seal, Turbo pick up tube, 2 power steering pumps and a crank seal! DO NOT BUY this truck! Burn it and walk away..........",,
1,Great truck except for the engine,Dee Danner ,07/11/2016,1,3,4,,,1,4,1,4,,,"After having multiple check engine lights come on while driving on the Interstate, I've had it.  Contacted Premier Diesel and Auto in Mansfield TX who told me this 6.4 engine is horrible.  They advised me to sell or trade it.  The engine was made by International not Ford.  They said the engines just ""blow up"" and they have multiple trucks sitting on their property that need new 6.4 engines.  Just bought the truck used in February and having to take a loss to trade it in.  Wish I knew then what I know now.",,
2.875,Another one bites the dust,seehorse ,11/01/2012,,,4,4,2,1,,4,3,2,3,"I bought it in Texas thanks to a blown head gasket on my 05 F350 that left me stranded (5th time) and I had to get my 40' trailer to NM by the next day.Since the repair would have been a 3 day event I bought the 08 F450 off the dealer's lot.At first all was well, the truck pulled better than the 350 and it ran perfectly.It was trouble free for the first 4 years I owned it aside from it's abysmal fuel efficiency (6 MPG towing, the older 350 averaged around 10 with the same trailer).Then, things started to happen.A sensor crippled the truck.Repair.A turbo blew. Repair. Oil leak. Repair. DPE failure leading to blown engine.Currently broken, 66k and 10 days out of warranty.","Pulls well and the interior is quite nice.

By the way, the drop down menu doesn't offer the option but the truck's a 4WD Long Bed with the Auto Tranny.","How about an engine that works?
After 4 Ford SuperDuty trucks with only one living past 75k miles I'm through with Ford.

Unfortunate, as my local dealer is excellent and has stood by me time after time fighting Ford to pay for repairs.
Still, I think I'm buying a Ram once the 450 is running again... I'll never trust that Ford on another cross country trip."
1.75, Piece of junk Stay away dont buy ,snowkartracer ,07/31/2012,,,3,3,1,1,,1,2,1,2,Purchased truck early 07 when first came out I know have 128k miles . truck has spent a lot of time at dealer . many items broke main things are rear end . rear springs. trailer wiring .engine blew @ 106 k .3 radiators. air conditioner panel. replacedcoolanthoses. replaced temp stat.new turbo and hosesreplaced. many other little stuff . Its always fighting with ford they are not real customer helpful there never wanting to stand up to there piece of junk I will never purchase ford againStay away don't buy,,
4.375,tough trucks,ford104 ,06/07/2012,,,5,5,5,4,,4,3,4,5,I hear alot of discussion on the 2008 ford f-450 and a few reviews stated that they had some serious problems with thier vehicles well i work for a company that operates mostly ford vehicles some chevys too.we use these trucks for dump trucks and heavy haul such as excavators backhoes etc and the ford has really outdone the chevrolet in terms of quality and power the ford responds better in the steering and even acceleration we put these trucks through some of the worst conditions there are and have not had a problem with the trucks at all i had one turbo go out thats it so for those of you who need a powerfull trck for towing and hauling heavy loads thr ford is the truck to buy,"my favorite features is the built in trailer brake
the extendable outside mirrors the built in auxillary power switches they are great for powering vehicle warning systems such as lightbars additional lighting etc the features make for a perfect work truck ",i personally think that ford nailed the design of this truck i see no need for improvements
2.125,F450 nothing but trouble,f550owner ,03/18/2012,,,4,5,1,1,,1,2,2,1,"Replaced 3 radiators, one at 17k, then at 34k then at 75k, and then a new engine.Fought with Ford, and wound up hiring a lemon lawyer and received a settlement of 20k, 5k to the lawyer, 15k for a used rebuilt engine, plus a 6 month delay while i maintained payments of nearly $900 a month.I settled, but others should get their money back, i would love to hear from others who may have had success in getting or receiving a settlement.Note: i have 104,000 miles and was out of warranty, they told me to pound sand",everything but the engine,put a Cummins engine in
1.875,Found On the Road Dead,badbadford ,01/26/2012,,,2,3,1,1,,1,4,2,1,"I bought this when my 2005 f 350 blue its motor the third time while stuck in Wyoming with six horses and a family in a motel, the 2008 got me home but over the last three years it broke down seven times, four radiators,two turbos an engine and now another break down and a new engine, now its 2000 miles out of extended warranty.It is unreliable, poorly built and only a fool would recommend it, the ones that do have never used it for long hauls or extensive ranch work which is what it was built to do.....FORD found on the road dead how true is that.Ford should be ashamed to sell this crap and a class action suit should be had. 29 repair items this time around....",Color,Buy the truck back and replace all the motors
5,Good tow unit,nwbucs ,04/18/2011,,,5,5,5,5,,5,5,5,5,I purchased truck about 1 year ago and have not had any problems to date. I have a 38 ft fifth wheel that weighs about14 K and this truck pulls without effort. We took a trip over Blewett pass and it was like there was no trailer behind me. Keep up with the usual maintenance-oil changes and fuel filters every other oil change. I have owned 4 super duties and this is by far the best.,"Leather seats, sound system ,climate control",Fuel mileage is terrible but its only a part time driver anyways.
2.25,My last F-450 review... it's DEAD! re-re-review,peacepunk ,02/02/2011,,,4,3,1,1,,1,4,2,2,"This is my last update on our 2008 F-450.I no longer wish to own this vehicle.Do not buy a 2008, it will leave you broke!As I was driving my kids home after their karate practice, we noticed a strange clicking sound coming from the engine.The sound kept getting louder and louder so I was attempting to find a safe place to pull over in the middle of no where.Too late.The truck just suddenly shut off.I was told by our Ford service department today that we need a new engine.Cost: $16,000 or the other ""cheaper"" option is a partial rebuild at $14,000.""Internal problem"" is their diagnosis.So dissapointed in a truck I used to love.","It was a great truck when it worked.
Now it doesn't.
See my previous reviews.","All the things I hear about the 2008 models is true, just get rid of them!
The only improvement is not to buy one!
Beware!!"
4.375,Rock Solid TRUCK!,usa_dfndr ,05/16/2010,,,5,5,4,5,,5,5,1,5,"Owned V-10 F250 and 2006 GMC 3500HD Duramax.  This truck is superior to all vice three(3) distinct challenges:  mileage/Ford-offered retrofits to resolve&increase mileage ARE NON-EXISTENT, drive-train (transmission/differential)slip especially releasing gas and re- stepping on it to begin acceleration again.  Duramax+Allison transmission combo. FAR superior in this regard.  3rd item is moderate bucking caused w/ 43.5ft 5th wheel Toyhauler atch'd and truck headed downhill w/ cruise control on.  Thought truck was pulling itself apart on 1,900mile cross- country trip.  Glad to date/zero ENGINE problems @ 30,000 miles.  Knocking on wood and saying a prayer for 300,00 to 500,000 miles problem- free.",Towing capacity/turning radius vice former 2004 F-250 Super Cab -- this thing is amazing in relation to competition to include the GMC.,Factory-new 6-speed conversion kit for 2008-2010 model years MUST be offered by Ford FREE! 4.88 rear-end + 6.4L formerly new engine way BAD fuel economy. 30K miles = 11 mi/gal not towing/likely 6.5 towing! I was Deployed from 11/07 to Jun 08//VERY limited miles over that period. Commute truck since.
