4,Very good truck,George Dibble ,06/23/2016,4,,4,,,5,4,5,4,,,Very good truck. I've had this little ranger a little over two years and I've had no problems with it whatsoever. I would recommend this vehicle to anyone looking for a small pick up. The only downside is that it's towing capacity is  Limited by it's four-cylinder engine.,,
5,Easy to work on,Jason ,12/27/2015,5,1,4,,,5,5,3,3,,,"My second ranger, bought first one new in 99 and drove it 14 years. This one is AUTO with CC. It was wrecked, but I've had no issues.  The 2.3L is pretty pathetic, but I get 25+ mpg.  The parts are cheap and it's easy to work on, simple is good. I bought it with 45K in 2010 and put 50K on it. The only thing that broke was the heater/AC fan clicks if not adjusted right after riding on a bumpy road. I've changed front rotors, breaks and bearings, all the shocks and struts, the rear diff fluid, AT fuild and filter, plugs and wires, and flushed radiator. I did cause a steering pump leak by putting radiator flush in it, but they're only 60 bucks. It is  VERY easy to work on, I am not a mechanic. I've towed/loaded heavy stuff and ripped up stumps. She will run. It's really small on the inside. Rangers are awesome and reliable.",,
3,After the new car glow,JR ,05/06/2010,,,3,4,2,4,,4,1,3,3,"  Wonderful to drive when the weather turns ugly, only thing that gives me trouble is sheer ice, with factory tires.   With no load it rides rough, with @150 - 250 lbs of cargo it is a much improved ride.   At a hair over 6' I have room to move the seat back to give myself more leg to peddle room, but I do not need it.  Everything else is too cramped.  If I have a passenger we are riding shoulder to shoulder.    As a short commuter or weekend play vehicle it is wonderful.   SADLY, as a full time ride for me, @350KM/220Mi/week, it is not a good choice.   I choose to support Ford.  I should have bought a Toyota to get the same qualities but with better comforts at a higher cost.","200+ HP gives a lot of pep, especially with a 5 SPD manual. BRIGHT lights, with no apparent dead zone.","  Give the Ranger an F series profile, not a bricks.   Increase cabin width @30CM, height @10CM, rear seat area by @30CM with front facing seats.   FLEX fuel, remote start, etc as available options, same as the F series.   Ranger owners want/need a little smaller vehicle, not one with no options."
4.75,Who needs luxory,Dr. Witt ,04/09/2010,,,5,5,5,5,,4,5,4,5,I love all these people that complain about how the ranger is simple and outdated.  Technology means nothing when your vehicle is in the shop because the state of the art traction control system has a computer malfunction.  This truck is always reliable because of its simplicity which is reflected in the low price. You can easily spend more money for a Toyota Tacoma but at the end of the day the ranger is more reliable and will get you from a to b for less money.  They are also very easy to do self repairs on which also saves money.  If you want luxury buy a lexus they cost just about the same as one of those loaded cushy f150s  ,"manual locks, manual windows, manual transmission (just more things that wont break in the future), old school heating and ac controls, sport wheel wells",This is the only truck that still actually feels like a truck if it ain't broke don't fix it.
3.5,Best value/most honest pick-up out there,Kurt ,04/08/2010,,,3,5,5,5,,3,2,2,3,"I purposely looked for and purchased a base XL 4WD regular cab pick-up. Mine came from a N.C. dealer who used E-bay as the primary sales tool. My expectations were rather low because of the heavily discounted price and the low equipment level, but I was happily surprised. For such an old design, the basic utility and honesty of this truck really stands out. I'm completely satisfied.",Fabulous heating and a/c system. High quality plant (very few stone chips) No-nonsense styling Just the right size.,"Better fuel economy. More power, as well."
4.625,The best small truck PERIOD,jtf ,12/27/2009,,,5,5,5,5,,4,4,5,4," This is my second ranger. There are 2 others rangers my family has (93&98).These trucks are tough and very reliable. The 2.3 DOHC and 5 spd are great choice 24mpg city and 27 highway and plenty of power( 3rd gear wheel spin). The other trucks have no rust and one has over 200,000 miles. I would have kept my 2001 ranger but I like the added interior space of the supercab.You can't buy a better small truck for the money... period",Straight forward design. reliable drive train. Good AC,Maybe put the 2.5 DOHC in. little more space behind the front seats. better wheel design (chrome wheels collect dirt)
3.875,good truck,Pat Bernier ,12/19/2009,,,4,4,4,5,,4,3,3,4,MY Ranger is by far the most reliable new vehicle I have ever owned. Yes its dated and yes its much smaller than all other makes but lets face it most people under utilize their big trucks. I can pull over 6000lbs or throw a 4 wheeler in the back with no issues and my truck payment is only 460$ per month and cheep insurance to boot.  I love my Ranger and would recommend one to anyone looking for a good truck that is inexpensive to own ,5 speed auto simple dash design,more padding on seats
4,"The only compact left, and better for it",BR ,08/29/2009,,,4,4,4,5,,4,3,4,4,"This was my first new vehicle, my first four cylinder, and my first stick shift. I made the right choice. I bought the truck because of what it was, basic, inexpensive, and frugal. The turn signal stalk split at the mold seam at 12,000 miles, but that's not a big deal. It's 2wd but it will make it through deep mud, just don't stop. I've got a K&N filer and a Flowmaster exhaust installed which added very usable low/mid range power. I'm not a Ford guy, I grew up in a GM household. This little truck grows on you, my dad even likes it. Not bad for an old design is it?    ","Decent power, ergonomics are spot on, handles curves better than it has a right to. ","All season light truck tires as standard equipment on 4-cylinder models, not passenger car tires. "
4.125,Ford Ranger 2008 Reg Cab 2W 6cyl,Houston ,07/21/2009,,,4,4,5,5,,4,4,3,4,"Style is thick, brawny, efficient and descendant of the bull dog. Basic model does the job on hauling furniture, plants, groceries. wood, sod, bricks. No space is wasted  Recommend that you get the electrical windows option; I installed after market windows and remote door locks and wished I had purchased the factory options with Ford.  You should also protect your investment and get bedliner with Ford logo.  The white paint is beautiful- like porcelein and reflects the 100 degree southern heat.   For the low price, a very reliable and satisfactory long term investment.  The MPG is really comparable to other 6 cylinder trucks as well as luxury cars! So you are in the ballpark.",Air Conditioning does the job in the closed regular cab-I feel real protected from the heat. The seats are simple grey leather imitation. Seats  do not get hot and are roomy enough and solid-does the job like the rest. Close your eyes and you will not know if you are in an SUV or Lexus!,"You need to up the basic price with options since they are necessary by today's standards. Remote window locks electrical windows, stereo are a must. You must get the best tires, since trucks work hard and are driven hard.  The power steering does not turn easy enough for me."
5,Downsizing worked out!,Norton ,07/18/2009,,,5,5,5,5,,5,5,5,5,"I sold my 2003 Dodge Ram Quad Cab 4 X 4 with Hemi & ordered my Ranger XLT 4 Banger with auto & all options.  In short, I love this truck.  Average 24 MPG, fun to drive and think Ford should put time & effort into the Ranger's future!  I am a happy Ford Customer!","Truck is made in America, Fit & finish as well as quality is great!","Outdoor Temp Readout, Overhead Consol, better choices for rim & tire options!"
