5,Great Cruiser,Mark Bu ,03/29/2016,5,3,5,,,5,5,4,5,,,"The Taurus line is know to be reliable and safe.  I purchased this 2008 Ford Taurus (SEL) 3.5 Lt to offer long term reliability while getting a low purchase price.  Car at 67,000 miles (less than 1 month of purchase) does NOT have a working A/C system.  Currently at dealer I purchased hoping they can find the source of leak. I purchased lower profile and wider tires as it felt boaty and a slight rock back and forth.  Changing the tires to top of the line - Continental Grand Touring Pure-Contact tires made a hugh difference in feeling solid and no sway feel.  After driving it around for one month, I would have to say this would be a great cruising car on the highways.  It is very solid, sound proof and is so comfortable inside.  However, to be used around town or to zip in and out of traffic, this car is NOT.  Mileage is not very good in my book but for a 2008 it actually is good if that makes sense.  If used on the highway, I am sure is would get 25-26 miles per gallon.  True round the town is probably in the 20 mpg range.One thing I did notice about this car was the extensive rusting of the cars frame.  I believe I read about this before buying this car.  I placed it on the dealers lift before buying and would have to say it is the worst rusting of any under belly of any car I have ever seen.  Car was a one owner in the hills of PA.  I will purchase  spray cans of a very expensive product sold buy Eastwood to slow or stop the rusting process.Again, I would purchase this car if you don't have to drive much and if you did, it should be a highway vehicle to get the most out of your money.",,
4,2008 Taurus,Bill ,02/25/2016,4,4,4,,,4,4,4,4,,,"First off im a Chevy guy and my son bought this car and then I bought it from him. My son had the car for 3 years with no trouble at all and he wanted a new mustang so I bought this from him and I love the car. It gets great gas mileage and handles very well in all climates. the acceleration is right up there with my 90 corvette and I must say I am very impressed with the car. Ford has done these engines right and now im thinking of looking into some ford vehicles( just looking cause im a chevy guy). overall the Taurus has performed better than I ever imagined and I wish I had bought it earlier but it was a good car for my son and served him well. Its a 2008 with 81k miles and I feel it will be in the family for a long time. If you are looking for a great family car or just want a reliable ride then this is it, you wont be disappointed.",,
1,beware used,Mark ,02/17/2016,,,,,,,,1,3,,,Many issues with steering rack with this car. Did not show up on research until specifically looked for steering issues. Loose all power steering and extremly difficukt to make turns. This is common problem and ford refuses to issue recall. Had to have replaced 6 months after purchase last year. Avoid this veichle.,,
5,Florida tripper,Cliff ,10/24/2015,5,4,5,,,5,5,5,5,,,"We bought this car with 136000 miles and had it 2 weeks and took a 4300 mile trip to Florida.  We got great mileage, up wards of 34 mpg,  and at 6'2"" I found the car to be very comfortable.   Just don't try to sleep in it overnight...   The car performed flawlessly, smooth shifting, took mountains like they weren't even there.   If you are looking for that big car feel  GET ONE.   Had a tough winter here in Wisconsin and the Taurus did great.  It went thru snow and ice very well,  the traction control kept me feeling very safe.  We have  almost 146000 now and still running  great.",,
5,I call it the Lincoln Light,Charles J. Cates ,08/31/2015,,5,5,,,5,5,4,5,,,"This is a large heavy sedan, more like a Crown Victoria than the ​previous generation Taurus. It has surprisingly good acceleration ""out of the hole"" and merging onto the interstate is no problem for the naturally aspirated 3.5 Liter V-6. When you park the car or pull it into the garage is when you realize this is a full size car. OK,  it IS shorter than my '63 BelAir. It is quiet with little NVH. The stereo system in the limited sounds better than the system in my ""man cave"". The transmission shifts smoothly and seamlessly. I did notice a lack of power pulling some steep grades on U.S. 22 where we live in west central PA. The car was frequently downshifting for more power. The climate control system is easy to set and works well. The leather upholstery is attractive and wears well. The vinyl dash and trim is soft and does not have a hard plastic feel. The size of the display in the dash for miles, mpg, miles to empty, oil life etc. are a little too small for my liking or perhaps I'm showing my age. I'll be interested to see how this car performs in the winter time with front wheel drive and new Falken brand all season Touring radials. Though we have only owned this car for a few months we have been impressed with it. The only real gripe I have with the car is that  there seems to be a corrosion problem on the alloy wheels that I can't seem to get off with anything that I have tried. Since I posted this review originally, we have driven it for over a year. Last winter the car performed well for most of the winter in the Falken All Season Radials but a couple deep snows convinced me to go with a dedicated Snow tire this winter. ( Falken Eurowinter) . I replaced the alloy wheels with a black  aftermarket wheel which draws lots of compliments , retaining the corroded OE wheels for the dedicated snow tires. The Taurus has performed well, with no mechanical issues thus far. It has given 24 MPG on the highway doing 65 to 70 mph on the highways. Around town it gets 15 to 19 MPG.",,
4.25,The most underrated car,rmerch2000 ,02/02/2015,,,5,3,4,5,,4,5,5,3,"I purchased this car used at 80k miles and now have put on another 80k miles. The only thing I've had to do (besides scheduled maintenance) is ....now that I think about it, I haven't done anything besides the usual stuff! Its been a wonderful car and I love it. 

Whenever my friends get inside my car, they are shocked that they are in a TAURUS. Even though the thing is 6 years old, it still has a modern design. ","Buttons. Buttons are hard to find in a car these days. Everything is unresponsive touch screens. 

The car itself is super comfy, but handles better than you'd expect.

The sound system on the Limited puts out amazing sound, much better than my brothers Lexus IS350.

The 6 cylinder engine provides plenty of pick up on the highway","The grill is essentially foil over plastic and can peel off, especially in harsh climates. The heated seats are TOO effective, and they burn out. Not a deal breaker though. 

The car somewhat lacks style, but who cares."
4.25,Excellent Large Sedan,snarlyyow ,12/01/2013,,,5,5,5,4,,4,3,5,3,"I had originally intended to purchase a Honda Fit from the used car dealer. One thing led to another and I dug this Taurus sitting on the lot. It was a handsome design and, honest to God, I didn't even know they still made Taurus'. I did some homework and bought the car a few days later with just over 80k on the engine.It's been over a year since then I've put nearly 40k on the engine in the last 15 months. The Taurus has been through its paces, that's fer sure. And at this point I think I can give it a half decent review.Pros: It's been totally reliable. I've recorded 26 mpg with the AC running. And it looks real nice washed up.Cons: It's abundantly dull to drive.","I love how much room the Taurus has. I'm never embarrassed to ask adults to sit in the large back seats. The trunk is massive, so large that I don't clean it nearly as often as I should. And, as I said before, it looks great even after five years on the market. Apparently it's also really safe though I've luckily not had to test that feature. It has some power if you ask it to but it doesn't seem to like it much. It's much happier to cruise and rides like a champ.",I'm short and the seats on long drives can get uncomfortable. 
4.375,Impressed,jrhd97 ,12/01/2013,,,4,4,4,5,,5,5,4,4,"We traded an '04 Chevy Impala on this in July '09. What a great decision. The Impala was a rolling malfunction. We bought this car with 50,000 miles on it. It rode and handled great then. After replacing the tires with a much better tire the ride quality and noise level both became significantly better. Now with 130,000 miles on it she still runs like new. The only repair transmission oil cooler at 80,000 miles. The drivers side heated seat went out ( normal ) and haven't bothered to fix. ",The room is outstanding! The four of us can comfortably ride in any seat without feeling cramped. The back seat has more room than the front. Our 14 yr old is 6'2 and rides in comfort in the back. The engine has plenty of power. It has no trouble keeping up with traffic in TX with 80 & 85 mph speed limits. The truck has more room than many mid-size SUV's.,The sync function could be easier to utilize. I would like to see better fuel mileage. We get a combined 24.5.
4.75,I'M A BELIEVER!!,steve22406 ,12/19/2012,,,5,4,5,5,,5,5,5,4,"I have owned Honda my entire life and for me to go outside that field, was a HUGE challenge for me!!!But I have to say I am extremely pleased with what I had to go with!My wife's 2000 Honda Odyssey finally bit the dust and I wanted to move her into a smaller vehicle (ie: Accord).Well, where I work, we had no Accords that fit our budget at the time, and I was NOT putting her in a Hyundai or Toyota!So, the 2008 Ford Taurus Limited was my only other option.And let me tell you...What a ride!!!We love the performance and ride!!I only wish it came with bluetooth and a sunroof.But all said and done, it's a GREAT car!! ","Large Trunk, Passenger Volume, Mute Button.","Bluetooth, USB"
4,2008 Ford Taurus SEL AWD,andysamuels ,02/24/2012,,,3,3,4,4,,5,5,5,3,"My 2008 Ford Taurus SEL AWD is a great upgrade from the 2003 Lincoln LS Sport V8 I used to drive. The Taurus has a lot more room in the cabin, a much bigger trunk and AWD. The AWD makes a world of difference: in rain and snow the Lincoln LS was a death trap. Unfortunately the finishing of the trim of the Taurus is not up the Lincoln standard but I guess that is to be expected. I was able to install factory navigation myself so that was a nice bonus. I also bought the Taurus really cheap so I got a lot of value for money (definitely an under appreciated car)","Cabin space, trunk space, integration of steering wheel and audio, AWD, height of the driver seat (you see more further ahead).","Trim finishing should have been more professional, the gear box does not always shift as smooth as it should be (known issues)."
