5,Great Car.  Too bad they are no longer made.,Mary Beth Palmer ,11/23/2016,5,5,5,,,5,5,5,5,,,"This was by far the best vehicle I have ever owned.  I serviced it when suggested.  Outside of oil changes, tires and brakes, it required absolutely no major repairs.  The vehicle was great for traveling with a family.  It has tons of cargo room and is comfortable.  It averaged between 19.5 - 21.0 miles to the gallon the entire life of the car.  One of the top features is the third row seating.  That came in handy in a multitude of situations.",,
5,I love my Taurus X!!!!!,Helene Tomlinson ,10/02/2016,5,5,5,,,5,5,5,5,,,"I have owed numerous vehicles during my lifetime from klunkers to luxury. The Taurus X is hands down my favorite car. Good lines, stability,  acceleration, quick braking. The interior is extremely comfortable and attractive too. Everything inside is set up with practicality in mind. I've owned a corvette convertible,  Volvo, Mazda 5, Volkswagen Passat, Buick Bravado, Ford Explorer, Chevy Blazer, Mercury Sable just to name a few. I LOVE LOVE LOVE my Taurus X!!!!!!!!!",,
4,The what?,Chris ,07/07/2016,3,,5,,,4,4,4,5,,,"People are shocked to see it is a Taurus. The next question they have is, is it a wagon, SUV, what? We bought our Taurus to replace a Durango we had totaled. Wanted something to still get all the kids and animals in but was lower to the ground. It had 203,000 miles on it when we bought it. Drives great! Handles great! Love it! 204,000 miles now in two weeks and still going strong!",,
1,"Dead at 177,000 miles",doublebogey74@gmail.com ,08/26/2015,1,1,1,,,1,1,1,1,,,"Beware buying!  Major transmission issues, water pump is $1200 repair, steering issues, and ours died at 177,000 miles.  Had all maintenance done by a ford dealer and synthetic oil changes.   The water pump will fail, and can cause engine failure.  We thought we were lucky and got it repaired ($1200-$1500), only to have the engine fail 6 months later.  Never used any oil, but the connecting rods are weak on the 3.5's.   I will never ever buy a Ford product ever again.",,
3.25,"end of warranty is ""sell by"" date",conflicted1 ,02/27/2014,,,5,5,2,1,,4,4,2,3,"Purchased used in 2011 with 32,000 miles, for road trips, which it excelled at.Noticed that the driver's side of the second row bench seat did not want to fold.Found that spraying silicone lube in the mechanisim and then exercising it weekly kept it working.The tach would go nuts from time to time, reading 500-1000rpm too high, or 500rpm too low.Ford seems to have expected this and built in a mechanism to rezero the tach and speedo.25 seconds after the engine is shut off, both the tach and speedo needles swing counterclockwise for a moment, then return.When the tach went nuts, up to three start stop cycles, to provoke the rezero process, would correct it.","Smooth, quite and stable at highway speeds.
Roomy and airy feel to passenger compartment and room for a ton of cargo.
Exceptionally easy to use cruise control and auto climate control.
6 disc CD changer, which is now hard to find.
Solid construciton and excellent crash test scores.
Insurance premiums significantly lower than my previous car.
Backup sonar to warn of obstacles with sound alarm much better than watching a TV camera.
","These cars seem to be designed to live through the original new car warranty, and not much longer.
Interior trim looks nice, but lots of flimsy, creaking, plastic.

While I could put up with the tach and seat mechanism issues, what sealed the car's fate was the power steering.
With 41,000 on the clock, I started feeling an occasional hitch in the steering.
Research indicated this is a symptom of an impending failure of valves in the steering rack, a $1,000 repair.

Add in the grief others have had with water pumps, power steering pumps and transmissions, often at only 70,000 miles, and this car is just not worth the bother.
"
3,Safety!,fordcrap1 ,04/02/2013,,,3,3,1,1,,4,4,5,3,"I am the original owner. I got a powersteering failure when it reached 38000 miles, immediately after 3 year/36000 miles warranty.I had it fixed with $850 from Ford Dealer with OEM parts. Six months later, power steering failed again with the exact same problem. Not recommended.",,
2.25,Tranny Trouble,fordnotfun ,02/09/2013,,,3,3,3,1,,1,4,1,2,"We pruchased used in June 2011, in August 2012 had to replace the water pump which was costly ($2100) due to the location of the pump, making labor cost HIGH!Then in December 2012 the transmission was replaced, talk about expensive--plus needing to rent a car for the 2 weeks it took to get it back.Since then, the transmission still is not right, jumping all over--now they are thinking the computer is not working correctly.So, $6200 spent in 6 mos, now looking at more problems--would definitely NOT recommend!!!",,
4.375,This is my first Ford ever...Love it.,nottafordguy ,12/17/2012,,,5,4,4,4,,5,4,5,4,"Just bought with 110k. Well I got rid of my mid-life crisis mobile (a Crossfire) to accomodate a dog and clients. I have a large boxer. She hates bucket seats so this vehicle didn't help in that regard (all six seats are buckets)...but here's an easy fix! I folded the rear seats down. I then duct-taped foam to three planks I got from walmart and wrapped in blanket material to match the vehicle interior. The planks fit over the ridge (where the cupholders are) so they are perfectly flat and sit without moving. I ran three planks across the width of the vehicle, covered them with a blanket and voila' - dog bed. She has the most comfortable ride in the vehicle. This is a good ride all around!","Love all the 12 volt outlets and the audio input under the arm rest. I bought a $25 blue tooth that plugs into the audio and my phone syncs up with the car audio so I can stream pandora and use the Google Maps navigation like the big boys! The hands-free calling works great too. (not sure if I like the fact that it stays active with the car off or not...won't that run the battery down?).

The sound system is really nice and there is no engine noise even when playing through the audio port. 

AMPLE Storage: theres a pop-up on the dash, the glovebox, sunglass holder on the ceiling, and storage bins between the first and second row of seats and room for boxes behind the last row of seats.","City mileage is 15mpg. Could be better. Hwy is 25mpg. 

Molding around the bottom seems kind of flimsy (and in my case, one side is popped out). 

I'll revisit this if I find anything wrong but I have very few complaints!

"
4.5,Bad brakes -available kits don't have all the parts,annabanana1140 ,11/26/2012,,,5,5,2,4,,5,5,5,5,My Taurus X has only 17000 miles and needs new brakes.This is poor design or workmanship as far as I am concerned! Weare searching for a manual but they're telling me it takes a week to get it so I am without a car for a week while I search for an manual that will tell us what the missing pieces are and how to get it apart & back together again.New brakes was supposed to be a surprise when I got back from a holiday trip for Thanksgiving.I'm not happy that they make a functionary part like the brakes so hard or obscure to do a regular maintenance job on- though it seems like very poor mileage for a set of front brakes for a front wheel drive vehicle! Other than that I've enjoyed it.,"Automatic gate lift;power outlet for cooler for summer grocery shopping, ease of making cargo space.","Make the brakes and tires last longer.
I am going to need new tires before the snow hits!"
4,Bad choice for gravel roads,bertajean ,11/06/2012,,,4,2,4,5,,4,5,5,3,"I own a 2008 Taurus X SEL & prior to that owned a 2006 Freestyle SEL.If you are looking for a great value on a AWD crossover style vehicle, this is your best option.The other vehicles in that category are VERY over priced.The T-rex (as we call it) is an overall good value, but is not a good choice for gravel roads.I drive 3 - 8 miles of gravel one-way to work.The brakes & wheels hold gravel like you wouldn't believe.The tires are always going out of balance because of that.The body moldings also hold a lot of dust, so difficult to wash as it always leaves streaks of wet gravel running out.","Best value in the crossover class.
Easy to fold 3rd row seats.
Sliding & reclining center row seats.
Goes through snow no problem.","Wheel design is horrible for gravel roads with gravel getting stuck in the brake mechanisms & wheels, throwing off the balance whenever the gravel is wet.
The body moldings hold a lot of water & dust, so the car always streaks when washed."
