5,Amazing work truck with 4.3,dale ,05/01/2016,,4,5,,,,,5,5,,,"What a kick A## truck!! I used this truck for a whole week straight, major city driving, and merging at least 100 times on the free way.  The truck is a (made in late 07) stripped down model, no ac, no power anything, no cd.  4 Guages on the dash, absolutely basic.  Has the 4.3 Vortec and I am absolutely amazed with the power and handling of this base model!  I mean it really gets out of its way!  Merging and passing is no fuss at all, rarely goes over 3k rpm.  Mileage is at 247k.  Original 4L60E tranny, never rebuilt.  Takes about 5 seconds to go into drive, although no slipping.  Braking power is impressive.  I highly recommend the 4.3.  No fuel management BS no electronic junk, just an old style 4.3 (same hp as my 93 s10 lol).  If your hauling an 8k lb trailer, look other ways.  Towing 4-5k? NO problem!",,
1,AFM Lifter Camshaft Failure at 85K!!,fedcr ,04/18/2016,,,,,,,,,,,,"I've always loved the way that GMC's vehicles look, feel and drive.  We own a 2008 Yukon XL and love it.  This 2008 Sierra Crew Cab SLT 4x4 started consuming 1 quart of oil every 2K miles without any leaks, and then the traction control light, service engine light and many others came on at 84K miles (no warranty).  Took it to the dealer where I bought it, and the dealer said it is cylinder 5, camshaft and lifters need to be replaced, and it would be better for me to spend $7500 on a new engine.  I skipped the dealer and called GM who agreed to cover everything above $3500.  I asked the dealer if the problem with the AFM has been fixed and the dealer said they are not aware of a problem.   Ridiculous.  So I have a brand new engine but have no confidence in how long it will last.  I'm hoping to get rid of this and buy anything other than a GM product.",,
5,Great used truck,Hans Enz ,04/12/2016,,,5,,,5,,4,4,,,Bought this truck used for my 17 year old son. Beautiful fire red . Had 57k miles on it .Got a great deal. Aside from General maintenance have put zero money into this truck. Now has over 90k and he and his band drove from California to Austin and back for South by Southwest averaged 17.5 mpg. With no issues. Still looks new when cleaned / waxed up.,,
3,Lifters lift 2 grand out of my wallet every yr!,A. Russell ,02/21/2016,1,4,5,,,1,2,2,5,,,"I have a 2007 Envoy That I really love, I bought it to see if GMC would be right for us when I buy my brand new truck after graduation. Did I mention, I LOVE my Envoy? Love everything about it, except for the LIFTERS!!!! Every year we have a few replaced. Tisk, Tisk on you GM, you need to figure this problem out. It is too expensive to ignore. WILL NEVER BUY ANOTHER GMC, BUICK, CADILLAC, or CHEVY, until GM comes clean. GM knows that this problem exists and yet cannot seem to fix it, or admit they know something is wrong with their fuel management system.  Thanks for an undependable SUV that breaks down every year because GM's fuel management system is faulty, shoody, and SUPER EXPENSIVE to repair! No, never again GMC. Love my ENVOY, so mad because Yukon has been my dream truck since I was a teenager. You can keep your ""fancy"" looking vehicles and your literally EXPLOSIVE Hcell cars, your defective gas tanks that kill people, I do not trust you GM. I am breaking up with you, and I never want you back. You are nothing but a disappointment, a mirage of what seems to be like the perfect vehicle until you realize you were just dreaming and this mirage you bought into will cost your family two to four thousand dollars once or twice each year. Perfection is impossible, but still, you are completely the opposite and not even close. Lies + perfection=deciet. #ENDRANT",,
2,Lifters at 86k miles,Bill S. ,08/04/2015,1,2,4,,,1,3,3,4,,,"I have had numerous issues with this vehicle from speakers going out (new speakers and radio $600), pressure switch going bad twice ($789 each time), side molding falling off 6-8 times under warranty and now falling off out of warranty (have not fixed), door latches breaking driver and tailgate ($200 for each), catalytic converters needing replaced at 65,000 miles ($1500), and now I have collapsed lifters costing me thousands of dollars.  The truck looks good other than it now needs major engine repair.  Full synthetic oil changes every 3000-4000 miles, light hauling never beyond capacity, all maintenance kept up and serviced regularly never raced or beat on and I am the original owner.  I am very disappointed in this vehicle and will never purchase another GM product again.  I should not have issues like this until 200,000 miles or more are showing on that odometer with correct maintenance.    I have put way too much money and time into this vehicle, cost of ownership outweighs the worth of this vehicle.",,
2.875,transmission dead after 44k miles,jms20 ,05/21/2014,,,4,2,2,1,,3,4,4,3,I bought this truck new and it has been generally fine.Unfortunately the transmission self-destructed 1 month out of the 5 year warranty.I do mostly city driving and rarely tow.The dealer tried to repair it but apparently it was so bad they gave up and put in a rebuilt one.Very disappointed given I've only driven it 40k miles.The dealer was able to get some of it covered by GMC at least but I felt like they should have covered it all since the problem started before the 5yr end date.,,
2.25,worst truck i have ever owned.,trucksucks1 ,03/14/2014,,,3,2,1,1,,3,4,2,2,"Truck has 34000 miles on it. Main turn signal switch went out, Door lock switch out, Airbag sensor out, Master window switch out ($400) for a switch! Truck now will not engage the starter, so it's in the shop again. Do not buy any GMC or Chevy truck! Going back to Dodge.",,
1,Bad Transmission,junkgmcsierra ,03/02/2014,,,1,1,1,1,,1,1,1,1,GMC will not stand behind there Trucks. My 2013 Sierra has ahard banging type clunk noise when shifting to 3rd gear sometime it feels like the powertrain is going to break. After several attemts to have it resolved including a test drive from a GM rep i have been told this is normal condition. GM bulletin # 01-07-30-042G. This truck has less than 9k miles on it.,,Impove on customer service.
2.375,Cracked Dash and AFM Lifters,chuckaggie ,01/01/2014,,,1,4,1,1,,4,3,1,4,Just after the power train warranty expires my AFM lifter sticks.$3000 shop bill later and some internet research I know to watch my oil level like a hawk and never purchase another GM.Also the Massive cracks in my dash remind me of 80's GM.Its nice to see them bringing back the materials from their 80's cars.Don't buy one of these trucks.Buy new and dump them when out of warranty.,"I would say the drain your wallet feature is my favorite.
Knowing that GM is pushing AFM on all their trucks makes my decision to avoid future Government Motors vehicles an easy one.","Fix or Lose the AFM system.
Roll out a small diesel in 1/2 ton trucks. Do a proper re-call for older AFM trucks and restore belief in your product."
3.25,Check carefully before you buy,txcwby ,12/27/2013,,,5,5,1,1,,5,5,1,3,"Overall, i would not buy this truck again due to repair costs. At 104,000 miles (notice it's just outside the warranty) engine heads both cracked - with the mileage and the reported issues about oil usage and AFM related issue, it makes more sense to replace with a GM crate engine than to solve part of the problem. Mileage on E85 is 14mpg in 2wd if you are an extremely light footed driver. With 87 octane, the average mpg (light foot) is 18mpg-19mpg in hilly terrain. As a cowboy and rancher, my vehicle is my lifeblood and cost of ownership and reliability is key.This truck just hasn't met the minimum expectations. Cost for new engine at GM dealer - $7,898.77 ","Interior is well done, instrument cluster is extremely clear, and buttons are all sized for when you have gloves on. ","Turning radius is ridiclously large. 

Body roll/sway when making a sharp turn at >45mph can easily feel like losing control due to length of vehicle and stiffness of frame. 

Oil level gauge needs to be installed - this truck will go from 'ok' to stop engine - low oi pressure without any warning - such as oil pressure PSI gauge showing reduced oil.
That's great for the pump working effectively, but it's nice to know when you're getting low - and based on forum feedback, the AFM engine in this truck can burn 1 quart of oil every 3,000 miles and be considered normal by GM. "
