3,Cheap Door Actuators and Handles,jadams8 ,12/16/2014,3,1,2,,,5,5,5,5,,,"

This will be the 3rd door actuator that has gone bad in less than 2 years on my 2008 GMC Denali. First the drivers door went bad then it was the passenger rear door and now it is the rear hatch actuator. 
I have received lies about the price by calling 2 different parts departments. I called one in Gainesville and one in Louisiana and the one in Louisiana quoted me 300.00 less than the Gainesville area.
",,
4.5,Love it!,Misty S ,03/24/2010,,,5,5,4,5,,5,5,3,4,"Best vehicle I have owned.  Used to love to trade quite frequently, but not anymore. I love my Denali. Gas mileage isn't the greatest but it's a big SUV. What can you expect?",Remote start and remote trunk. Most of the other bells and whistles I don't even use or know how to.,Fold flat or removable 3rd row seats. Better lumbar.
4.375,2 years with 2008  Denali,Jay ,01/03/2010,,,4,4,4,5,,5,5,4,4,"Best SUV I have owned yet. Last three SUV's were Tahoes and a Jeep Grand Cherokee. I am innpressed with the creature comforts. After driving, and towing with the 6.2 liter engine I would never go back to the 5.3 liter engine. My commute is mostly highway and I average 16.5 at 70 MPH. 10 MPG towing the boat. Two problems a sticky back door lock and non sticky gas door cover that keeps opening. I have not had the dealer look at them, as I have yet go back to the dealer with 38K miles in two years.",Never thought I would need a steering wheel heater but it is great on those cold days. Back up camera is great for connecting to the boat trailer on the 1st try. Passengers love the rear seat warmers Engine power and sound.,Needs Bluetooth connection Tougher front spoiler. Touching a snowbank cracks them easily. Gas cap cover that actually stays closed.
4.125,2008 Denali AWD,lgb ,10/31/2009,,,4,5,4,5,,4,4,2,5,We first test drove the yukon SLT to replace our 2005 Denali. We never used the rear DVD player or Navigation in our 2005 so we thought we would down grade to the regular Yukon.  NOT!  Had to go back to the Denali series because the regular yukon didnt compare to the comfort we were used too. So we purchased a 2008 Denali.,Love everything about the truck.  Just need some getting used to. Lots of power and updated gagets.,"Radio/Navigation screen too small and too low on dash.  Heated steering wheel never worked.  Seat lumbar not that great and Miss the zeon headlamps on the old Denali. Oh yea, she's a gas guzzler for all you tree huggers out there sorry!"
4.125,2008 Denali Problems,Sam Samson ,07/18/2009,,,5,5,4,4,,3,5,2,5,"I've had problems with the electrical systems (door locks, wipers, Navigation system,) and now worst of all the brakes. I went metal to metal on the rears after 33,000 miles. the calipers are failing to retract properly - thus Pads wearing out totally prematurely. Normally a car goes thru 3 sets of front pads to 1 set of rears. I've had my car serviced by dealerships only, thus far. When they rotate the tires, I ask them to check the brakes since the wheels are already off. Well At the time of last visit to the dealership, (22,363 miles) All was well-- now 11,000 miles later My right rear roter is shot on the inside only due to a defective caliper. What can I do about it???? ",,
5,Best Ride EVER,2008 Denali ,05/21/2009,,,5,5,5,5,,5,5,5,5,"I traded in my 2006 GMC Sierra 1500 Crew Cab b/c my family needed a more comfortable ride for long trips.  We looked at the Avalanche but really no difference from the Sierra with cabin space and comfort.  The Denali rides like a dream.  My truck had the old 5.3L V8 and felt just a little under- powered.  The Denali with the new 6.2L V8 has plenty of power from towing my boat to accelerating for passing on the interstate (or even accelerating on the interstate while pulling the boat!!)  Average gas mileage for my driving style is the same as the Sierra but definitely sucks more gas in town.  Very comfortable, quiet ride.  I do miss having a ""truck"" but that's what utility trailers are for.","Quiet, smooth, powerful ride.  It's amazing how the vehicle has such smooth acceleration, smooth transmition, and almost ""floating"" ride yet very responsive stearing and handling.  All the bells and whistles with the Denali package is nice too!!","I can't imagine how GMC could make this any better!  This is the perfect vehcile for family traveling, hauling ""big toys"" and general comfortable ride.  Gas mileage isn't great but that is to be expected with a 6.2L V8.  Denali options are a bit sophisticated so figure them out in the driveway."
4.75,Great Surburban,d ,04/24/2009,,,5,4,5,5,,5,5,4,5,"Yes I said Surburban, because after 25 Chevrolets I traded up to a GMC- I liked the Styling better, This is a quantum leap in vehicle quality, styling and interor design. It's quiet, comfortable and roomy. The 5.3 with multi displacement is smmoth- can't even tell when its in 4 cyl mode. Remote start is a hit and the tri zone AC is a winner- everyone gets their temp selection","Drivability, room, 4x4 in snow-great, mileage is better than I planned for- looks like 17.8-19.4  hwy, city is not great at 14.4. steering wheel controls-  see below-love em wrong sides-flip em. 3x3 is the easiest I have ever worked before- 16k off MSRP-9k discount","HID Lights- come on 45K vehicle and you cant put these in, 3rd seat had more room in my 1997- put in back in, the seats need COLLAPSE! better info center- its ok but to much button pushing,cruise controls on wrong side of wheel. FOG - radio ctls on right side. The cloth seats attract everything"
3.5,Misfire Misfire Misfire,Rob ,03/11/2009,,,4,4,4,1,,3,4,4,4,"Vehicle broke down on us 5 times in less than 6 months, and the dealership could not figure out the problem, or lack of trying to figure out the problem.  One day someone got a bright idea to see if any another dealerships are experiencing the same problem, the vehicle will start until it gets hot, but don't turn it off because it won't start up again.  Anyhoo, some other dealer was having that same problem and at last it was fixed.",,
4.625,Great SUV,quikag ,01/25/2009,,,5,4,5,5,,5,5,4,4,"I love driving my '08 Yukon Denali. The power is good, the comfort is awesome and it's just a nice SUV to drive. With the deals out there on these trucks, it's definitely worth checking out. I got $16k off sticker on a loaded '08 towards the end of the model year.","Engine, interior comfort",Transmission could be a bit more as it occasionally does a sloppy shift
4.875,Love this Denali,Saul Boyd ,01/19/2009,,,5,5,5,5,,5,5,4,5,"I have driven and owned many automobiles. The Denali is a pleasure to drive. I traded my TrailBlazer in for the new Denali and the gas is not any worse than my TrailBlazer. It was a nice auto. I looked at every auto maker Toyota, Lexus, and others from outside the country only to find not one could pull me away from GMC. ","Heated seats, heated wiper fluid, power start from outside the Denali. Engine power reminds me of my Stingray. Ride quality, room, power rear door, twenty inch tires, navigation, DVD, stereo, size, comfort, style, and more than I have space for here.","More leg room in third row that I never use for people just buisness books, papers, material, in which case I have them folded down. If I did use it for passengers it may be a little to cozy with the person next to you if you had to stretch out your legs back there."
