5,9 GOOD Years,Linda Carr ,09/10/2016,5,5,5,,,5,5,5,5,,,"I write this note after my 2008 Pilot has given me 9 really good years of reliable, safe and comfortable service.  Other than routine maintenance, I've had no major or minor service emergencies or repairs for malfunctions in the mechanics of my vehicle.  If you're fortunate to purchase a the same model with an owner as anal as myself about maintaining its scheduled maintenance, you can't go wrong.  Take care of your Honda and it will take care of you!!",,
5,Great buy for long term ownership,anh ,07/05/2016,,5,5,,,,5,5,5,,,"Built like a tank. Very sturdy. Bought in 2008 , no repairs required yet just routine maintenance. Paint and interior look brand new 8 years later. Great SUV",,
3,2008 Honda Pilot - Expensive vehicle to maintain,Donna H ,03/11/2016,3,3,3,,,3,3,3,4,,,"I purchased the 2008 Honda Pilot new in Feb 2008.   The driving noise is ridiculous as others have mentioned.   Only get between 25000 to 30000 miles out of any type of tire.    Car now has 150,000 miles on it and it has been maintained by Honda precisely as recommended.    Spent over $3000 for large maintenance items in 2014 and now looking at over $4000 in repairs including stuts, bushings, rear main seal, main bearings and engine fan motor.   Have had motor mounts repaired at least 3 times and have paid for several intermediate inspections (one in Dec 2015 & one in Jan 2016 because of excessive tire wear) that revealed nothing wrong with struts or bushing and now two months later they both need to be replaced and have ruined another set of tires.   Hmmm...maybe it's the dealer's technicians at Clear Lake Honda in Houston?   I have never had so many things go wrong on a car.",,
5,Lots to love about a Pilot,Walkn1 ,02/28/2016,5,5,5,,,5,5,5,5,,,"I've owned respectively a Rambler, a Honda Civic, a VW Golf, a Prius, Smart Car, Toyota Yaris and NoW the grand mamoo of all ----the Honda Pilot.  What a joy!  I feel like a princess and a cowgirl.  My dreams of comfort, safety, reliability, and handling have all been met.  Probably won't need a husband again!  And there's an eco-button which averages around 33 mpg.  Does it get better for me than that?  Get in and get up up and away.  I took a road trip within 2 months of buying it used.",,
5,200000 miles and drives like new,Richard Kling ,11/25/2015,5,5,4,,,5,,5,5,,,,,
5,Incredible vehicle,Tom Horrigan ,11/10/2015,5,4,5,,,5,5,4,5,,,"We've had the 2008 Pilot for 8 years & 150,000+ miles.  It is by far the best vehicle we've ever had.  It is quiet, roomy, comfortable and reliable.",,
3,Rattling noise,yblandin ,10/23/2014,,,3,3,2,3,,3,4,3,3,I have heard this rattling noise for months now. I have even taken it to 2 different Honda Shops and no one claims to hear the noise or even tell me where the noise is coming from.,,
3.375,Disappointed,tedfrisbee ,07/09/2014,,,3,3,3,3,,4,4,4,3,"Car was great for 70K miles. Since then, transmission, power stearing pump, radiator, car now has 85K miles, time to sell. All maintenance done by dealer. Too expensive to run anymore.  I suggest looking at Nissan, ","good size, ",
2.25,Terrible,raystarlink ,08/16/2013,,,2,3,3,2,,3,2,2,1,"2008 Honda Pilot. Very overrated vehicle, especially considering cost,. Heavy low speed steering; adequate power; figgity transmission; plows doesn't handle; mediocre brakes; gas guzzler;terrible stereo system ( good if you like rap- vehicle has a factory sub-woffer ). The following quit before 87,000km.....A/C -$2700 to repair - Honda dealer won't help; brakes $1,100; transmission $1,700; electrical issues $ 500. Honda service very expensive....my previous BMW service was cheaper. When you drive a Mazda, Toyota, or domestic the Pilot feels 30 years older.",Cruise control works well,Honda should get outta this market segment
4.625,Good Deal,rr1959 ,08/25/2012,,,5,5,5,5,,4,4,5,4,"The reason I bought this car for reliability and it has not failed.I used it to haul my tent trailer up down the mountain ranges in British Columbia Canada and it did the job well.Hauling the trailer I got about 20 miles to a imperial gallon at about 70 miles/hr.Handling is reasonable braking is fair, fabricate interior stains easy.Not a lot of negatives other than the cost to purchase it new back in 2008.",,"Cabin filter is a problem to change for the first time, go to you-tube for directions.
"
