5,seat time.....,jagg ,06/23/2016,5,5,5,,,5,5,5,5,,,"no one has reviewed a Stewie here  for 3 years..............I just logged my 100,000th mile driving an S2000. I started with a 2003 for the first 6 years, and now driving my 2008 for 5+ years.       If you fit in this car, and know how to drive it,  you have just found the most economical path to Nirvana.       The car is profoundly reliable. I commute with it in an environment perfectly suited to its abilities, and average 26-27mpg.........If you know cars,   you can tell that it's hand built to a very exacting standard............For the daily grind,   the S is more fun than the NSX,  and a closer match at the track than most would think.     If one truly loves to drive on the raggedy edge, and has the feet to do it, the little roadster is as capable as 95% of all that one can buy,   let alone afford.",,
4.75,Pure bred sports car!,gs5019 ,01/22/2010,,,5,5,5,5,,4,4,5,5,"I have owned too many cars in life, from Porsches to BMW , several Miatas and many more.   This car does the best job at what it tries to be-an uncompromising almost perfect handling car.  I have run it on road courses and it rotates better than anything I have driven.  Balanced, better than average brakes and the vtec surge of power when needed.  I'm sorry Honda didn't continue with production. I was excited about the prospects of a six cylinder. But I'll trade a pound of power for a pound of handling all day long.  This car delivers it! And it has Honda reliability. ","Handling, great cockpit, layout of instruments, seats, short shifts, styling, almost everything!",About 60 more horses and it would be a perfect car! 
5,"Not just willing, eager",dynosaur0 ,08/27/2009,,,5,5,5,5,,5,5,5,5,"I've owned many cars over forty  years: Sunbeam Alpine, Alfa Romeo Spyder, MGB  and BMW 2002, back when. With a family, later, I was lucky  with more practical, fun cars: VW GTI and BMW M3. Last year, I bought my S2000 in rich, pearlescent Rio Yellow.  My wife was worried about the yellow.  After she saw it, she said it was a perfect color for the shape and character of the car. This is the most eager, engaging car I've ever driven.  It doesn't isolate you from the road or insulate you from the experience of covering ground.  This is the most reliable open-top sports car made. Its instantaneous responses to driver input make it the best performance value available.","Transmission/ shifter; the Jekyll and Hyde nature of the VTEC engine; which, contrary to a previous review, does not have less power than previously.  The U.S. formula for computing HP in 07 resulted in an apparent decrease of 3 HP, though nothing was changed.  The unglitzy cabin quality is great. ","A bit more cabin storage space would be welcome.  Otherwise, non-distracting character of the driver-oriented  interior is just about perfect.  "
4.875,One sweet ride by Honda.,RussSeuffert ,02/01/2009,,,5,5,5,5,,5,5,4,5,"From the first day I took a test drive I new I was hooked, that I had found a true gutsy sports car.  I leased my first S2000 (Red) in 05 and this past July I swapped it for an 08 Laguna Blue beauty.  The driving experience, the amount of car for the money, the continual grin on my face says it all. Honda created a winner with the 2000 and although it's production run is ending in this model year (09) this car will live on as one of the few remaining true sports cars on the road today, and one which I will own till I give up my license due to old age!",V-Tec and a terrific gearbox.  And one sweet sound from the exhaust.,I can't suggest any.  I'm very satisfied with the car as it is.
4.625,As good as their motorcycles,gene ,12/29/2008,,,4,5,5,5,,5,4,4,5,"This car is a poor man's world class car. Fantastic handling, hard acceleration, and great build quality combine with bulletproof mechanicals to make what I feel to be the greatest package for the money. This car looks like it could cost twice what it does. I can park this car next to nearly anything else on the road and not feel in the slightest way inferior.",I love a roadster with an adequate trunk and the electric top is a nice touch compared to my Toyota mr2.,"A little more legroom, I'm 6-2 and fit as snugly as possible while still being reasonably comfortable."
4.75,kind of project car,brandon m ,09/30/2008,,,5,5,5,4,,5,4,5,5,I love my car. it is wonderful. It's quick but want it quicker. The steering is wonderful. Takes turns well. ,The suede seats. And the slick body style. It feels good to drive,It might need to be a little bit lighter than it is 
4.875,The Best Roadster,Will ,04/21/2008,,,5,5,5,5,,5,4,5,5,"My Honda S2000 is worth every dollar that I spent.  The S2000 is a true roadster from the ground up. I like to feel the roadway that I am driving on, that is the purpose of owning a roadster. The amazing feature of the S2000 is the driving compartment it holds you in place in cornering and accelerating. I like the design of the controls they are all within the reach of my fingertips. The VTECH engine is a powerhouse coupled with the smoothest gearbox that I ever shifted. The S2000 is a fantastic performing vehicle. The S2000 is a Roadster in a class of its own. Honda needs to continue to manufacture the S2000 for the roadster enthusiasts. This car is the average persons dream for a high per","Power Train; VTEC Engine, Gearbox shifting, fantastic suspension.","Enhance sound system, Convertible with a retractable hardtop feature."
4.125,My Upgrade,blafusel ,03/30/2008,,,4,5,5,5,,5,2,2,5,"Worth every penny! It's probably not for everyone as the ride is a bit on the harsh side. Actually harsher than my Miata (but that's probably due to the Honda feeling stiffer overall). However, the payoff comes in the first corner you take! The engine is amazing. The sound is unbelievable. The best gearbox I've ever driven. All in all I'm very happy with it, but might've liked a variable suspension setup to soften the ride a bit in town. (I'm getting old 8)",Engine. Suspension setup. 50/50 balance.,"Paddle shifters, better head unit and better speakers. Ability to close the top while driving (speed limited, like in Europe). "
5,No Regrets!,rcman ,02/28/2008,,,5,5,5,5,,5,5,5,5,"Drove the Z4, 350Z, Boxster S, Miata, and Sky redline. Went with S2000. Best car decision I've ever made. Loads of fun to drive. Very comfortable even on a 3-hr trip. Excellent build quality. Very usable trunk (w/spare). Top notch handling and accleration. I don't see any problems with lack of low end torque. You get two cars in one: Shift at <6k and it's a tame roadster, shift at 8k and it's a road hungry beast. Gets lots of attention (esp w/top down). I look for every opportunity to drive it. It's my daily driver and couldn't be happier.","The engine sound (intoxicating), seat comfort, ergonomics of controls, fast top, handling, and most of all- the best shifter in the industry","Remove need to have E-brake on to raise/lower top, better stereo."
5,Thrilled,looking4acurve ,02/15/2008,,,5,5,5,5,,5,5,5,5,"I just traded in an '06 base Corvette on an S2000. I thought I might miss the 'Vette, but after almost 2,000 miles on the little drop-top I can honestly say that I'm thrilled with my decision. The Honda feels like it is glued to the road; handling is incredible, much better than the Corvette. The S2000 isn't as fast as the Chevy. But, it's quicker than my 350hp 2005 Daytona Charger RT was, and faster than a base Boxster. Push hard through a curve and the little Honda simply begs for more...and the F1 bark of the engine at 6k+ RPM is a hoot! Fit and finish are impeccable. There's no downside to the S2000 if one uses it for what it was designed, a true, absolutely uncompromising, sports car","Engine note over 6k RPM, handling!!!, and the absence of wind rumble with the top down and windows up. Occupants are comfortable top-down, windows up, at 55 degrees, mid-heat setting with fan off.","How 'bout putting the 2.4 RDX turbo in future models. Yikes, a 'Vette and Boxster S eater for $39,000!?! "
4.75,Mr Practical's review,MrPractical ,01/24/2008,,,5,5,5,5,,5,4,4,5,"This is MY 3rd Honda (and my wife drives an '05 Accord EX). Had an '00 Si, '06 Civic EX, and now the car of my dreams for 8 years,the '08 s2000. The power is intense! The handling is spot on, and the fit/finish is perfect Honda quality. I loved the high-rev engine of the Si, so am excited to hear the engine spin high. There's never a whine though, it's beautiful. I'm 6'2"" and fit tightly. Any taller and it'd be too tight. There is very little truck space, but I haven't yet needed more space. The cabin provides small hidden storage areas: two small ""glove boxes"", a couple small net pockets around the cabin. I'll miss my variable timer wipers and rear speakers, but have gotten over it already.",There were few changes from 2007 to the 2008 s2000. One of my favorite & selling points for the 2008 over the 2007 are the rims. The multiple spoke of <2008 models are just not my style & make it much more difficult to clean. Parts of the interior door panels changed along with minor dash displays.,"Fit and finish is fantastic, no suggestions there.  2 gripes: In 6th gear at 75 mph (highway speeds), the tach is sitting around 4000rpm.  As my commuter car, this is a slight concern of mine. Second gripe is the stereo system. Functional controls, but the sound bites both w/ top-up & top-down."
4.75,It is a keeper,iownans2000 ,01/23/2008,,,5,5,5,5,,5,4,4,5,"If you want a fun car, this is it.  However, it is NOT an every day car.  I have owned several sports cars, the last being a 350z.  The S2000, is much more fun than the Z, has a better road feel and is easier to drive.  However, the inside is tight and there is not much leg room.  If this is your 3rd you will want to drive it often.  However, if this is your primary car, you will wish it had more room.","Seats are great, mid-range power is good, can shift from 1-2-4-6 no problem and well under 5k rpm.  Also, the brakes and handling a just crazy. Honda usually does not have good red color, however the new formula red is the color to have!","the radio door hits my knee when it is open, other than that, the car is perfect in perfect balance for what it is."
4.25,Not for the road!,Honda2000CR ,12/11/2007,,,3,5,5,5,,5,1,5,5,"Beware to all, the CR is only for the track.  If you are thinking about it for a daily driver or even a weekend getaway car, get the regualar S2000. I drove it less then eight miles on a ""standard"" road, felt like I went 10 round with Mayweather giving me kidney shots.  If you are going to use it for what it was made for (track), you'll have a blast.  ",Very tight!,"More horsepower, but an aftermarket super charger can be added for about 5k. (Paxton)"
5,Honda Hits A Home Run,Michael Yeager ,12/08/2007,,,5,5,5,5,,5,5,5,5,"A practical sports car?  I've owned and driven true sports cars such as the MGB and Fiat X-19.  As all true sports cars are supposed to be, they were cramped, noisy, with no room for luggage -- in short highly impractical -- but a blast to drive.  Here is a true sports car in every sense with high-tech handling and more power than all but the most experienced sports car guy can handle.  The S-2000 has changed little, but when you've approached perfection, why mess around.  Honda pays attention to critics.  Although HP numbers have evolved downward slightly, the mid-band torque is now just right.  50/50 balance, a bit light in the rear for traction, but great handling.","Its the handling stupid!  Although this is a smooth and civilized beast with just enough features for comfort and a growl and exhaust note that is very satisfying to the caveman in all of us, it is the solid handling of this ethyl- eater that gets you.  Road feel and predictability are excellent.","I don't feel that the slight weight improvements justify removing the soft- top in the CR.  If the CR's stiffer suspension, ground effects and spoiler were offered as a sports package for the basic S2000, it would be far more practical and would be a popular choice.  Nix the mustard-colored interior "
