4.5,Where are these!,1514mb ,02/16/2013,,,5,4,4,4,,5,5,5,4,"I have been interested in the Hyundai Azera's for a while and finally found a good price on a used one.With 78,000 miles on it I still cant believe how well it looks and drives.What really surprises me is how little these gems sold in America.For the money I don't believe there was a better buy in this class.All cars have issues and for what you pay for this car, and the amenities you receive it is amazing.Ican't wait to buy one of these brand new some day.Great job Hyundai and Kia!!!!!","Engine, interior quality, radio, turn signal indicator mirrors, sunshade, steering wheel, rear end appearance, great interior fit and finish along with exterior.
Also a huge trunk and 28 to 29 miles hwy..","Still a new car to me so not anything at this time.
the only thing others have mentioned was road noise and rattles.
Not that bad in my book."
4.875,Excellent Car,dragonsol ,10/17/2012,,,5,5,5,5,,5,4,5,5,"A few month ago I have bought a used 2008 Hyundai Azera Limited (Canadian Edition) with 68,000km. Since then, I have driven about 10,000km and managed to get a consistent/avarage 28MPG (25MPG city and 30MPG highway). The car looks good, fun to drive, comfortable and no reliability problems whatsoever. I have purchased an aftermarket DVD/GPS unit with rear view camera to replace the factory radio, so now the vehicle is complete.",Everything.,
4.75,The Azera is a great family car!,2hyundaiowners ,08/10/2012,,,5,4,5,5,,5,5,5,4,"Purchased used in 2009 w/17,000 miles. It has been very good with no maintenance issues. I wanted a Toyota Avalon but they cost thousands more for the same car. Also chose this vehicle because we have had such good luck with our Hyundai Sonata. Everyone that rides in it loves our car. This is a nice luxury vehicle with great features that is very affordable. Hyundai has a great warranty & they have always been very good to deal with, we will buy another Hyundai next time-possibly a Genesis.","Smooth riding, comfortable for five adults. Like the rear air vents for our passengers. It has a great trunk. Free Hyundai roadside assistance if you ever break down.","Problems with gas ""spilling"" out when filling-up."
4.5,Still the best value in the land,Ed ,09/21/2010,,,4,5,5,5,,5,4,3,5,"Still the best value.  Bought my Azera only six months ago and already put 12,000 miles on it.  It's a dream.  What a value for the bucks (less than $20K).  And I always get looks and comments.  Minor annoyances: driver's seat doesn't go back far enough; bumps are over exaggerated.  But all in all it's more than likely the best car I've ever owned (and I've owned about 15).  Nothing to think about.  If you're looking for a great car at a great price - Azera's your only real choice.  I'm even thinking about getting another one.  ",Ride (as long as I'm on smooth road).  Look.  Luxuries & Conveniences. ,More extension on the driver's seat to move rearward.  Smoother ride over bumps.  
5,Replaced Michelins with Bridgestones,sgtusmc73 ,09/05/2010,,,5,5,5,5,,5,5,5,5,"OEM Michelins with lots of rubber were driving me nuts with their noise.  Replaced them with Bridgestone Turanzas Serenity.  Holy Crapola!  What an upgrade in so many ways; it drives like a new car.  No more noise and hippity hopping down the bunny trail anymore. And the car drives like it is on a track, unbelievable.  Got the tires out the door for $400.  Great deal; great tire; finally great handling and cruising and silence - blessed silence.  Those Michelins were driving my buggy.  Those are the only Michelins I have ever had on a car and they will be the only ones.  SemperFi","All of the bells and whistles which cae with this Azera Limited with the Ultimate Package which I dressed up with rebadging, chrome on window frames, tinted windows, and a spoiler to touch off the rear end.  This is the best damned car that I have ever owned and it gets a lot of great comments.",The only improvement I would like to make is to upgrade the struts; I think that the OEM ones are not up to the quality of the rest of the car.
4.625,Excessive road noise inside,CALIFGUY ,08/23/2010,,,5,5,5,5,,5,5,2,5,"I've had my 2008 Azera for 9 months, and have noticed the road noise inside the car to be very loud, compared to the 2006 Azera I still own, and my wife drives. I have adjusted the tire pressure on the Michelin tires, and still see no improvement. Both cars have the exact same tires, and maintain the same tire pressure. The dealer says ""it is what it is"", and couldn't explain why both cars would vary so much in road noise. I still have 1000's of miles wear left on these tires, and hope when the time comes to replace them, it will make a difference","Power folding mirrors,automatic adjusting steering column, rear window shade, Satellite radio, 20 gal. fuel tank, dual temp. zones, dual seat warmers, huge trunk, split folding rear seats, plenty of horsepower, leather seats, power moon roof,low cost of maintenance, 100,000 mile warranty.",road noise
2.75,Poor Quailty vehicle no care fromHyundai,Steve ,08/21/2010,,,3,4,1,1,,4,4,2,3,"Guess the frustration is everything gone wrong seems to not be able to be repaired or not covered under Hyundai warranty. In 2 years CD has gone out, not under warranty, head gasket blew, not has a battery discharge short they cannot find and been in shop for 4 times same issue for a month. Hyundai won't return calls to me to discuss the issue and shop says they know it has a problem but don't know how to repair. While I enjoyed this car at once as a company I now have to give Hyundai an ""F"" for consumer assistance and standing behind their product. They are not a brand on my do not buy list for any reason.",Limited in nice yet seating does not adjust to way Americans sit in seating.,Take care of customers when there is a problem. Fix it or replace it.
4.875,Best Car I Have Owned,Leslie ,08/19/2010,,,5,5,5,5,,5,5,4,5,"This is our 5th Hyundai and they just get better each time.  Great car to drive back and forth to work everyday (50 miles so comfort and safety are paramount).  The leather interior is luxurious and the wood trim gives a sense of elegance and opulence in an otherwise very affordable car. Such a smooth comfy ride, reminds me of my Mother's 1978 Cadillac El Dorado.",The rain sensing windshield wipers.  The retractable sunscreen in the back window.,
4.875,Been there Done that,skyken ,07/29/2010,,,4,5,5,5,,5,5,5,5,"Looked at Hyundai in 1986 and didn't buy. Had 2001 Audi A6 which I sold and wanted to replace with a newer model. Drove a Sonata on a dare and enjoyed it but wanted a more powerful luxury car similar to my Audi Quattro which was the best handling car I've ever owned. The Azera that I bought was $6,000 less and 2 years newer than a comparable A6. Mileage at steady 80 is 22 mpg at 53 mph was an astonishing 29 mpg. Very comfortable ride, excellent handling for a FWD full size sedan. The dealer in Delray Beach treats me like gold and has replaced shocks, turned rotors above 30k miles. I've driven all types of cars in my over 40 years and this has to be one of the best. Definitely will buy again.","In Florida we tint windows. Problem at night seeing though. Don't need rear  tint as there's an electrically raised shade. Electric folding side mirrors, excellent stereo. Powerful 3.6L engine. Great transmission. One touch up/down on front windows. We use heated seats in the winter instead of heater.",Need LED display on stereo & A/C. Fold- down seats need larger trunk access pass-through. Brighter interior lighting with ability to turn all on from driver's position. More coverage for high beams. A little tighter on suspension. Passenger wiper clearance between hood and wiper in order to raise wiper.
4,Own a 2006 & 2008 azera,BILL IN SO. CALIF. ,07/28/2010,,,5,5,5,5,,3,4,2,3,"Bought a used 2006 (1st year model) limited edition, with 12,000 miles. Now has 103,000. Gave it to my wife, when I bought a used 2008 azera with 12,000 miles, now has 30,000. I have owned over 25 cars in my life, and these are among my top 3 all time favorite cars. You can't beat the quality and features for the price. Dealer service is the only way to go. They stand behind their cars 100%. If I have to complain about something, its the amount of road noise on the freeway. My 2008 has navigation, but it is outdated, and not user friendly. Hyundai is updating the nav in 2011. Two friends have bought azera's, after driving mine. ","605 Watt stereo, all the power accessories. Quality of construction, comfort of seating, (I'm 6,4"")",Reduce road noise problem.
4.75,Long-Term Update,Drew2931 ,06/22/2010,,,5,5,4,5,,5,5,4,5,"This is a long-term update to my earlier report about 16 months ago when the car had about 20,000 miles. I now have about 60,000 miles on the car and I still love it. No question that this is one of the best cars - definitely the best value - I have ever owned. I have only had only one unusual problem - had a broken tooth on the timing gear, it was replaced under warranty. Otherwise it has been perfectly reliable. As you can tell, I spend a lot of time in a car covering al-ms in technology sales. I often will drive over 3 hours in a stretch and I arrive still feeling good as the car is so comfortable. ","Very comfortable to drive.  All the amenities to make driving less stressful - comfortable driving position, heated seats, good A/C, great visibility, reasonably quiet, good stable handling, excellent and logical controls; great trunk space, great back seat - easily seats 3 adults.","Then only thing I would really like to see improved is suspension performance: big bumps bottom out the suspension which unsettles the car somewhat, however it does not seem to throw it off line.  Minor:  Paint - difficult to keep clean.  I understand this has been addressed starting in 2009.     "
2.5,I'd look at a Sonata,2007SonataLover ,06/05/2010,,,2,2,1,5,,5,3,1,1,"I own a Sonata.  Mine went in to the shop for a recall and I got a 2008 Azera with 20k miles on the odo. It rattles like crazy and you hear the back end. The transmission is terrible and doesn't shift right. There is cheap plastic and door handles are plastic. My Sonata is so much nicer and roomier. I don't understand. Was looking forward to driving this car. Like Hyundai, but I would look at a Sonata.  Mine has twice the miles and no rattles.  Oh, turned the radio up so I couldn't hear the rattles and the Infinity radio is pretty bad too.  This one pulls to the right, maybe it's been wrecked since its a loaner car?",POWER! Love the 3.8 Lambda.  Wish they had that option for the Sonata.  Maybe I should have test drove a V-6 Sonata instead of just testing and buying an I4?,Cheap plastics. New transmission. Get rid of the rattles and cheap fake chrome accents.  More room inside. Front seat needs to go back further. Can't see the gauges due to steering wheel position and can't move it to see any better.  Radio needs improving too. Keep going Hyundai! Almost there!
4.25,Best Car I've ever owned,EGKG ,04/26/2010,,,5,2,4,5,,5,5,3,5,"Previously owned a Pontiac Bonneville, didn't ever think I would find a car as comfy as my Bonneville, but this car has surpassed it in the Comfort Zone! I test drove 7 different cars before I drove this car, and it was by far the best!! The steering is so precise you feel like it's doing all the work for you! The power side view mirrors the heated seats with lumbar support for the driver and passenger, the adjustable pedals, the auto settings for the mechanical steering wheel for 2 different drivers,the back seat has great leg room, I just can't say enough about how much we are enjoying this car!! This is definitely a Luxury Car!!","Seat comfort i.e, lumbar support, heat, adjustable pedals, power side view mirrors and steering column, very smooth steering, jsut about Everything!","The trunk is difficult to close,needs a better latch/close feature, sometimes I think I had it closed only to find out it wasn't. Interior Noise reduction, side view mirrors seem to hold onto rain making it difficult to see our of them during rainstorms. Better/bigger Arm Rest/storage space"
2.875,Unhappy Owner,Mike ,03/17/2010,,,4,4,2,2,,4,3,2,2,"I bought this car used Aug 09. Had 28k miles on it. It has developed a quite load ticking in the engine. Worse on cold days but can be heard always. Tried twice to get dealer to fix under warranty. They refused. Said until something breaks there's nothing they can do. What good is a warranty if they won't honer it. I actually am starting to hate this car.  Its has a noisy, jittery ride. I just have a feeling in another 20k it will be a hunk of junk. I will get rid of it somehow this summer when it warms up and the ticking sound is not a obvious.",decent power.,Very jittery ride.
