5,The best first car!,Thomas Spanston ,11/16/2016,5,4,5,,,5,5,5,5,,,"This car  amazing in every way! It's great on gas, very safe, perfect handling, and an overall incredible driving experience.",,
4,a little car great gas miles,Michael Perry ,07/28/2016,19,3,3,,,3,3,3,3,,,Not good on long trips!!,,
5,Excellent car!,Sunny ,07/06/2016,5,5,5,,,5,5,5,5,,,This my 4th Hyundai Elantra.  I bought 4 new Elantras so far.  The only reason I bought a new Elantra was scratches on body here and there.  This never disappointed me.  Overall aspects of this car's performance is just excellent!,,
5,Pleasantly Satisfying Period of Ownership,FB ,02/28/2016,5,4,5,,,5,5,4,5,,,"I bought this car in April 2008, as my everyday car for school and life. I compared it to the 2008 Honda Civic LX that my cousin had as well as a 2008 Toyota Corolla S that another friend had and for the value and amenities offered on this car, it was excellent. I remember Hyundai changing their whole line of cars in 2007 to rebuild their brand and reputation, so I knew I was diving into uncharted territory going with the Hyundai over the Honda and Toyota, but for 15K out the door (for the automatic) compared to around 18K for the Civic and around 17K for the Corolla during that time and what they had to offer, I could not resist the deal. Another friend of mine went all in with the Elantra in 2007 as well, and he had done a lot of research and ended up purchasing a manual one before me, so after seeing him with his car for a year, that also lead to my reasoning that the car would be a good buy. I finally ended up selling the car to another cousin a few weeks ago and upgraded to something else, but I still miss it, although it may just be fresh in my mind given that I'm still getting used to my new car. The little things mattered to me with this car, such as having 4 wheel ABS compared to the 2 rear drum sets offered in the Honda and Toyota. Fog lights were nice to have since I had always wanted a car with fog lights. Having the overhead glasses compartment, top middle compartment, under radio compartment, 2 tier center compartment, and also the two storage spaces behind the front seats was also very nice. The only thing about the car that I didn't like was that it looked a little boring, or ""rental"" car-ish, but I was able to fix that after I finally upgraded to the 2011-2012 Elantra 16"" alloy rims, giving it the look that the SE had. The interior is very roomy, with good visibility, and I'm a big 6'1' guy. The front seats were very comfortable, compared to when I sat in the Civic and Corolla which were tight for me. Headroom is very good, although I do wish the driver's side had the handle to hold onto which is nice when you want to switch it up driving long distances. My passengers never complained, since the shortest person usually sat behind my seat which I had to push all the way back, but it seemed like everyone was fine most of the time.Another great feature that a lot of base model or step up from base model Japanese cars don't have is heated mirrors, which are very useful in the winter (even here in So Cal), and I took them for granted when I was looking for my new car, which I had to get a higher up model to get. Whenever I drove a lot of freeway, I would end up getting around 31-34 MPG depending on how fast I would accelerate, how much force I applied when braking, and how fast I would be going on the freeway. Combined, especially in the later years, the worse I ever got was 27 MPG, but when I drove gently I would get around 28-29 MPG. In the early years I was running on the stock 15"" steel wheels and afterwards I was running on the 16"" alloys, so those might have affected the fuel economy a little bit. I broke in the car very well when it was new, not pushing it during the recommended period, and had always changed oil myself with full synthetic 5W-20, usually Mobil 1, and in the end, I left the car off at 111K miles, with no issues whatsoever. I just performed the recommended maintenance at my favorite mechanic every time I hit the mileage listed in the Maintenance Book, and overall, the car had been very very reliable. Surprisingly, the trunk is also very large, compared to the same Civic and Corolla as well. I had been able to help friends move with the car, filling everything to the brim. My GLS model came with the auxiliary port, but I ended up using the MP3 CD a lot more due to consistency and quality issues. The 6 speaker system is phenomenal for a cheap car, better than the 2013 Accord LX's system that my family has. I'm no audiophile but I do enjoy my music and all the ranges my songs have to offer, and that is probably what I miss most from that system. Bass was deep and did not sound cheap, but vocals and everything were very clear as well! My friend put a sub-woofer in his, but honestly it was overkill since the stock system is already phenomenal. I have not been in another base model car that has an audio system that is as good as this one. Also, the car is hard to steal (unless there's some kind of new tech that thieves have access to). My friend locked my keys in my trunk once and you cannot put the seats down from the inside of the car. AAA came, unlocked the car, but the standard immobilizer didn't allow us to start the car and the alarm kept going off, so the only way was to get the other spare key/remote I had (Hyundai only gives 2 keys). Overall, the only con is the cheap plastic door panels, but I felt all other pieces in the car were pretty good quality.",,
5,An absolute bulletproof workhorse,Brian ,09/22/2015,5,5,4,,,5,5,5,4,,,"Let's be perfectly clear. This is a commuter car. If that is what you're looking for, then this is the best value there is. My wife bought this car brand new before we met. Now she has a 20 mile commute and mine is 120 round trip, so the Elantra now carries me to work everyday. I plug away the miles, in traffic and at 80mph day after day. There was some sort of sensor problem a couple years back, but that was while it was still under warranty and hasn't repeated. I'm about to roll over 100,000 and it is running like new. I fully expect to get well over 200,000 out of this little beast.Even though its small, i fit comfortable as a large man. I'm 6'5"" and 240lbs. I spend 2.5 hours a day in this car and am plenty comfortable. It fits 4 normal sized adults comfortably.On the professional level, I sell components and raw materials into the Asian auto markets. Hyundai is right up there with the Japanese auto makers in terms of quality control and engineering.  It is built to last.*uodate-march 2016Still eating the miles like a champ. I'm still yet to turn a wrench on this car.",,
3.75,Excellent workhorse for the price,4356pats ,01/19/2015,,,3,3,4,5,,3,4,4,4,"I've had this car since 2008, and have put it to the test. It has 112,000 miles on it, including a 6-day drive from the east coast to the west coast, back to Denver, and back to the west coast. Never driven a car that is this reliable. It's not fast, it's not flashy, but it goes and keeps going. It has literally never left me on the side of the road except once, for a punctured tire. Practical, perfect for a young person, perfect for a small family. It's likable, it has character, and it's surprisingly comfortable and sharp.",,The body work could be more solid.
4.75,My Elantra is a great car,billbond ,08/31/2014,,,4,4,5,5,,5,5,5,5,I bought my 2008 Hyundai Elantra brand new. I have never had a more dependable car. I have never had a tune up and I now have 145K miles on it and it runs great. Just got back from a 10 hour (each way) vacation trip and we had no issues. ,,
4.375,"Has been a great car, bought used with 35k miles",ksh1981 ,05/18/2014,,,4,4,5,5,,4,4,5,4,"This car is a well-built machine. Solid, fun to drive, reliable, modest (well, very modest on gas), A/C and heat are great.I bought the car used from a dealership in 2011, with 35,000 miles. My jeep completely had died and I was desperate. But since then, (it is now May 2014).. no problems. None. I've driven long-distance, I commute to work Mon-Fri, and also worked weekends carrying people and 100s of pounds of equipment up to 2 hours away. In all weather, the car did great. This past winter, the battery finally went. 2 degrees F will do that to a battery! Took the car to Sears Auto..new battery...back to normal!If you think you are ""settling"" for a Hyundai...think again. Test drive one.","Gas efficient, peppy, smooth, nice-looking, roomy (back-seat too), seats in front are comfy, sturdy, big trunk, cloth seats are pretty stain-resistant, handles well in all weather (snow included)car is reliable and just a good car overall","Another reviewer was right about the doors slamming..but you get used to it. Pick-up (acceleration) is not the best, but I drive in NJ, and the car keeps up with traffic flow. Trunk drainage in rain isn't too pleasant. I also suggest more people learn how to drive in snow. The FWD will handle the snow, but may get overwhelmed in a LOT of accumulation."
3.625,Some Issues,ocd4deals ,10/05/2013,,,4,4,2,3,,4,5,4,3,"I bought my Elantra brand new.Since owning it we have replaced each headlight at least twice and each foglight twice.We had to replace the first headlight on day 2 of owning the car.We had the dealer replace it whie it was under warranty but after 36k miles we were on our own.This was the most frustrating until we had issues with the brakes locking up the rear driver side tire.Upon doing a brake job we found that the brake bracket wasn't up to factory specs so when installing brake pads. the pads had to be filed down.With the seizing of the tire we have had to replace the hub assemly, bracket, and caliper. But other than these 2 issues the car has run great and we are at 78k.","Dashboard lights are cool at night.
Very comfortable seating, Roomy and spacious back seats.
Great gas mileage when brake isn't dragging my back tire.
","Headlights, fog lights, and brake manufacturing. My front brakes are good but the rear were not built properly.
The design of the headlight assembly could have been better because we are going through headlights like crazy... no matter if they come from a dealer or after market."
4.375,GREAT CAR OVERALL,happy1989 ,01/23/2013,,,4,4,5,5,,4,4,5,4,Ielantra back in 2008 it now has 136000 on it iv only put one set of tires and breaks and one senser in it other then that just oil changes the car dose have a little bit of road noise but is solid i have to say i trade my chevy in for this car and im happy i did i will be keeping this car till it hits 300000 miles witch will be at my rate in 2 more years ,,6 speed auto
