5,Love it so far,Tyler Turner ,06/16/2016,5,5,5,,,5,4,4,5,,,"I bought the 08 Tiburon GT Limited with 39,600 miles on it. Haven't been driving it for too long but i am loving it, it's definitely way better than the 99 Saturn SL i had before i got my Tiburon. All the reviews i read say it's a pile of junk, clutch goes out, weak engine, etc. I can agree that the engine isn't as powerful for a V6, however i didn't buy this car for racing, i bought it for everyday commuting that has a bit more power than the average car. I can see myself putting some more horses under the hood in the near future. I like the red leather seats, it adds a little more flare to the cars already good looks. Only issues i have is that the previous owner put quite a few scratches on it as well as the American Racing alloy wheels they added to, the sunglasses holder falls down a lot, and the amount space to see next to you and behind you are minimal...but i am used to it now, and like i said before the engine could use some more power. If you're looking for something that's faster than buy another car, don't complain about something you should've done some research on.",,
4,Good car great price!,sandor68 ,02/23/2014,,,4,5,4,4,,3,3,5,4,"Bought a 2008 in January 2014 for $4000. It has over 200,00km. Was looking for second car to drive around instead of my thirsty SUV all the time.I test drove a whole bunch of small cars and at the end it came down to a 2006 Mazda3 and the Tiburon. It all came down to looks and price. Love the Ferrari look and it was $1500 cheaper than the Mazda. Good all around car and handles and brakes better than the Mazda. Love it!",Looks great,Very tight back seats and not much headroom
4.125,Great first car!,jmitchellw ,12/10/2013,,,4,5,3,4,,4,3,5,5,Wonderfully fun yet underpowered and numb. Radiator went out after 5 years.,"auto climate control, seats, tiptronic ","engine, trunk release, styling, build quality, radiator "
1.625,THIS CAR IS A POS,blucas2 ,05/14/2013,,,1,4,1,1,,3,1,1,1,"Hyundai built a cheap car and used cheap parts. I can see the South Koreans that built this thing laughing seeing Americans driving it down the road. Numerous clutch problems, paint fading, four different tries at a e-brake and it's the noisiest car I've ever driven. Stay away whatever you do. This thing is a death-trap. I won't sell it because I don't want to have it on my mind that someone is out there driving that POS. ",Nothing,"scrap the car and start over. It's a junker and the Koreans should be ashamed of making it. Hell, Dodge is a better car than this! "
4.625,tiburon,kysheniuk ,03/26/2012,,,5,5,3,5,,5,5,4,5,i buy this car when it has 10K miles now it has 18K and alternator went off...Hyundai is cheap car and partsis piece of...... my friend mechanic say that hyundai use plastic parts in their engines....,,
3.75,Worst Clutch Ever!,abominablejohn ,12/27/2011,,,5,5,3,1,,4,4,3,5,"I bought a 2008 Tiburon SE V6 in May '11 with 13,000 miles in a Hyundai dealership in sunny SouthFlorida.Over the course of 7 months, I put on about 6,000 miles on it mostly highway driving and driving it up to NYC.I am the second owner of the car and with less than 20,000 miles, my clutch has gone.My old Honda Civic was driven over 100,000 miles without ever having a new clutch.Dealership says clutch is not part of the warranty because it's a wear & tear item.How can Hyundai build a credible reputation for reliable when so many Tiburon owners are complaining of this defect with the clutch?I will send my complaints to all agencies and websites I can.Shame on you Hyundai!",,"Hyundai seriously need to take responisbility to acknowledge the defect with the clutch of all their Tiburons and issue reimbursements for all replacements.


Having to pay over $1,000 out of pocket to change a clutch that stems from a manufacturer defect is wrong and shameful.

I will never buy a Hyundai again and make sure to spread the word to everyone I know of this time consuming ordeal and financial strain I had to go through.


Buyer Beware: the 10-year warranty does no good when you have to spend over $1,000 on repairs every 2 years because of a problem Hyundai has not addressed and is not taking responsibility to notify their customers and dealers to have remedy."
4.625,Most Fun Lil' car I ever Owned!,itztoofun ,09/02/2011,,,4,5,5,5,,4,4,5,5,"I checked several other cars that had the same 'Look"" ,small and sporty Look , without the High price tag! This was by far , the best deal for my money! If you just want to cruise with the top back, have the sport car feeling, and not the high insurance cost! I bought the 5 speed GS model with a sun-roof. I have had more compliments on this car than I have ever had with ANY other car I've owned! Not planning on 'racing' with anyone, just enjoying the ride! Have not had any problems with the car in 3 years !!","Sun-roof! Look of the car is definitely a head turner! The 5 speed just gives you the ""feel' of a sports car ! Kenwood stereo that came with it has been great!","Not made for anyone over 6'!
Back seat is there, just not made for anyone to sit back there over an hour! Its pretty small!"
4.375,08 Tiburon GT Limited,bigboyzclub ,01/29/2011,,,5,3,5,5,,3,4,5,5,"I got this car new from carmax, it was a gift for my soon to be wife, i didnt even know carmax sold new cars, great bang for the buck. at first she said HYUNDAI!!! what but with in a few weeks she started loving it whats not to love leather seats v-6 engine alloy rims, navigation, sun roof, etc. We loved this car unfortunately had to give it to my mom in a trade since we had a baby and there isnt much room for a baby seat.I would recommend this car to anyone and say look beyond the badge on the hood, hyundai makes capable cars for a lot less then most.Take a look do some research and see dollar for dollar they make great sense,trust me im a business man and i always look 4 a value!!!","navigation, stereo system, alloy rims, whats not to like.",It was an outdated style but hyundai has replaced it with the genesis coupe and that car is sexy
4.625,I love my Tiburon SE V6 hatchback 2DR,zachattack ,12/04/2010,,,5,4,5,5,,4,5,4,5,I personally love the car not just for its looks but for its potential if you put just about 5 grand under the hood. the car would be insane on power and speed. needs better rear anti roll bars and better brakes too. if you take a look online youll find plenty of parts for it. i plan on getting my v6 up to 520 horspower with a hella turbo haha new cams and a bunch of other performance parts. just dont look at her like a piece of crap look at her for wat she could be,i have tracked tun suspension i love it the interior is beautifull and very comfortable to sit in. great looks too,better anti roll bars and upgrade the engine not enough power. also better brakes 
3.5,Beware the clutch,Bill ,10/01/2010,,,4,4,2,2,,4,4,4,4,"SERIOUS CLUTCH ISSUES-clutch covered for 12k miles-every vehicle I've owned was a standard, Tiburon clutch is junk, lasted 25k and died. Dealership blames ""driving operation""-bunk!-owned all standards for 20+ years and never replaced a clutch in less than 90k- this lasted 25k-search ""Tiburon Transmission"" on Yahoo and you'll see there is a problem with the design of the clutch-it simply doesn't last- mostly highway, experienced standard driver I would expect more than 25k- good chance you won't get it-BEWARE- I'll never buy a Hyundai again- powertrain warranty isn't worth the paper it is written on","NONE - mucho road noise, underpowered, cheap interior, lousy transmission",Best thing they did was do away with the Tiburon model--now if they could figure out how to build a clutch all would be right with the world
5,Great car! Cool love it!,ohiobob ,07/03/2010,,,5,5,5,5,,5,5,5,5,"I love this car! I looked around didn't like competitors styling. This Car is great deal. I get looks by people in High End cars. Upgrade your stereo speakers and this is great car. Mine gets great mileage. Its good value! its not for everyone! But its great deal. I removed the ""h"" on the lids. And painted the ""H"" on the wheel caps black And it really looksa great now. Its a Super Super Car!","Satellite radio, sunroof, big trunk",better speakers if you like it loud!
4.75,Perfect for my first new car,josexavier ,06/06/2010,,,5,5,5,5,,4,5,4,5,"I've had this car for about 1 yr now with 10k miles on it. It drives nice, rides good. Doesn't have a lot of power, but the styling, inside and out, more than make up for it. Haven't had any major problems with the car, only sunroof wasn't working properly, but dealer took care of it at no charge.","Interior and exterior styling, trunk space is very good, especially with rear seats folded. Like the wheels.","more powerful engine, thats about it. Not the best on gas, but I already knew that before I bought it."
4.625,Suprisingly fun and a great buy!,Importguy84 ,05/30/2010,,,5,5,5,5,,4,4,4,5,"I purchased this vehicle just a couple months ago to replace my 2001 Accord 5- speed. To my surprise this car drives better than most reviews I have read and is far better on gas. Power is not breath taking but I will say it is more peppy than its specs would suggest. I drive about 50% of the time on the highway and the other in the city. I average about 28 MPG, not bad at all. The very slight lack of power of this vehicle is made up for in the corners. This car can really hold its own in the corners. People are amazed by the look of this car and I always turn heads at the traffic light. Interior is bright and really makes a statement. Overall great car, if you haven't driven one, try it out!","Exterior Styling is a real head turner. Interior Styling is eye catching and very bright, makes you feel like you are in a sports car. Corners like it is on rails.","A little more Horsepower, the car feels pretty peppy but I believe that is because the gears are shorter than average. Rear wiper blade. A little more leg and head room in the rear."
4.625,This is my second Tiburon,Donna ,01/18/2010,,,4,5,5,5,,4,5,4,5,"I purchased a 4 cylinder Tib in 2005, then a 6 cylinder in 2009 (2008 model) The car looks great, but could use a few improvements like a remote trunk release and definitely more power and pick up. The instrument panel could stand to be updated as well. The sound system is great and I love the room in the hatch when the seats are rolled down. I get about 21 MPG, and do mostly fast highway driving. I notice a big difference in gas mileage when the car is driven at lower speeds. It's a comfortable car to drive and it's also fun and overall for the price, it's hard to beat. ","exterior, sound system, roomy hatch","remote trunk release, more power"
4.625,My wife gets jelous of my g/f ,Tiburoncin ,12/02/2009,,,5,5,5,5,,4,4,4,5,"By girlfriend of course I mean my tib. There is absolutely nothing I have been displeased about since I bought it. I love to drive it; and I still smile like a 16 year old who just got their first car, every time I get behind the wheel. The interior fit and finish is immaculate for such a bargain car. Besides being slightly under powered for a 2.7 liter V6, I have no complaints. ",6-speed manual; interior fit and finish; fun factor.,"Slightly under powered for engine size, I have driven 2.0 liter I4's with as much horse power."
4.25,Am satisfied,Patrick Kilcoyne ,11/29/2009,,,5,5,4,4,,4,4,4,4,Bought so as not to drive my truck as much and get better fuel costs.,Sleek body style and interior design and layout,Tighter steering and more power
4.75,Love it a year later,DL ,10/26/2009,,,5,5,5,5,,4,5,4,5,"I bought my Tib in Dec 09, so have had it almost a year and have racked up 17k I've been thrilled with this car so far.  It is fun to drive, nice tight steering and adequate pick up for a 4 cyl (although I would like a little more pickup).  The gas mileage varies wildly for me.  During the summer in the city, I averaged about 20mpg, but on the highway I usually get around 32 regardless of air conditioning.  Drove the car cross country twice, and would say if you plan to do something similar, be warned about the base model.  No cruise control!  It does make a difference.  Also, it does seem to have a big blind spot to get used to.  All in all, very happy, love the way it drives.  Fun, fun car","Blue dash lights, overall appearance, steering, nice sound system for factory.","Cruise control and rear defrost on base model.  Some more pickup would be nice.  A bit more power, remote trunk entry"
5,Very Happy Owners,Tina ,10/26/2009,,,5,5,5,5,,5,5,5,5,"The Tiburon was our first Hyundai and the looks and power sold us. Just took it on a trip to W. Virginia from Wyoming  and got between 29 - 32 mpgs. No problems with not having enough power, not much kept up with us. Passed the tractor and trailers very easily. Gets lots of looks. Very comfortable for two to ride in.         ",Wonderful stereo. Seats are comfortable. Great power. We love everything about it!,Truck release on key remote.
4.75,I love my baby,Tiburon117 ,10/20/2009,,,5,5,5,5,,4,5,4,5,"Absolutely love this car! Quick, sexy, stylish, just over all this car stuns people.  Could use more power but hey its a four cylinder.  Almost beat my roommates El Camino with this car.  I've been rear ended with this car twice and both times there was no damage just some scratches where the license plate lights are.  This car drives like a dream. My only regret...well sort of, was not getting the V-6 model but i'm still happy with my four.","The body lines, sunroof, good speakers, great suspension, safety features. oil changes are super easy","more power but i'm not complaining. back seat is small, but was able to cram my six foot roommate and his girlfriend back there"
4.625,Not to bad,jbeach ,09/27/2009,,,5,5,5,5,,3,5,4,5,Fun to drive.comfortable for driver.people like my car when they see it.,"rims,sport car look inside and out, tailights are cool.sunroof makes for great airflow.",More power. 172 horsepower just dose not do it for me. I think for it being that low the gas milage should be better like closer to 30 mpg than 20- 25.speakers are nice but upgraded head unit deffinatly needed.
4,Shark attack,John ,09/12/2009,,,4,5,4,4,,4,4,3,4,"I just bought my Tiburon SE one week ago. The prices that they are selling these things for is crazy, mine is a brand new 2008 SE with 22 miles on it when I drove it off the lot, all for only $16,000. I sold my 2008 Accent SE and bought the Tiburon. It has a sports tuned suspension which makes it very stiff but handles well, interior is very nice with leather and cloth, nice dash layout, but the car does sit very low and so will you when driven. The exterior is outstanding, looks great, nice lines, dule exhaust, projector head lights, 17"" wheels, and it all comes with the best warranty in the business, mine has the remaining 4 years which is still better than GM or Ford.","Seats, Kenwood stereo, rumble of the exhaust, exterior looks.","Fill in the space left over from the original stereo with something other than a Tiburon plate, space the gas pedal and brake more."
4.875,Sold on this one,Sold!! ,08/22/2009,,,5,5,5,5,,4,5,5,5,"My tiburon has 16000 miles and I bought it brand new.  It runs awesome, comfy, and looks sporty as hell. People stop and ask me what kind of car I own, and they are blown away when I say its a Hyundai. Awesome car!","Exterior looks, dual mufflers(sounds cool when it starts up). Interior is comfy and stylish. ""slap"" shift transmission. ",More horse power. Ipod connection for radio. Show how many miles until empty on console
4.875,I LOVE MY TIBURON,Susan ,08/16/2009,,,5,5,5,5,,5,5,4,5,"I just bought a black on black V-6 with 9,000 miles on it.  This car is SO awesome.  It is fun to drive, handles great and looks so much more expensive than what I paid.  People flip out over it, when I stop at a red light, everyone in the cars around me check it out.  I am even getting pretty good gas mileage.  I like the Tiburon so much better than the new Genesis Coupe.  This car was really hard to find.  I found a new one in my area, but the dealer sold it before I got a chance to buy it.  I was lucky to find this one with low mileage at a great price.",The look of the car.  Fun to drive.  Everything in it is straightforward and easy to use.  Great radio.  Front seats have plenty of room.,None really.  I wouldn't recommend this vehicle for anyone that is going to have people in the back seat.  There is NO room.
4.875,the tib,sassthat ,07/29/2009,,,5,5,5,5,,4,5,5,5,"I bought the tiburon sight unseen 3 months ago. I was pleasantly surprised by almost everything about this car. Although the backseat is tiiiny, it has comfortable front seats, agreat look, easy to drive and all the features I wanted. I was in an accident 2 weeks ago that totaled the car (flipped it). I walked away with a scratch on my foot. Fantastic car... really! My only complaints are: size of backseat, pretty big blind spot, a bit bumpy on older roads  Highly recommended... especially after the wreck.","interior look and comfort, trunk space, easy handling (not too sporty or jerky), SAFETY","ipod connnector, ""miles until empty' counter"
4.5,Not so bad...good commuter!!,Jamal ,07/28/2009,,,5,5,5,5,,3,4,5,4,"I must say when I was looking for a car to replace my Pontiac, I thought of the Tiburon. Sporty looking, sleek and stylish. I thought it would have had more torque and ""get up"" but overall it is ok by me. I am a happy camper!","Nice interior, 3 months of XM/Siruis, sunroof, cruise control, Kenwood stereo w/ remote, sporty looking and sleek.",More torgue! 
5,Tops in aTiburon,Vince Cardamon ,07/27/2009,,,5,5,5,5,,5,5,5,5,"Wrecked a red 95 Toyota celica. Had a hold on a loaded Honda civic passed the tiburon dealer, stopped just to take a look. Black on black caught my eye. Kicked over the v-6 and the twin pipe's sound just blew me away sold! Great car.. Great to drive. Lots of people stop and ask what is it!",For me..6' easy to get in and out of (celica was tough)..Like the auto/manual..Body lines are the best! For a 67 year old teenager at heart.. Sharp..fast and Fun!Satellite radio set on the 50s,auto trunk release on key chain...That's it love the rest!!
4.75,WOW!!!,Spencer ,07/15/2009,,,5,5,5,5,,5,4,4,5,"Bought this 2008 used in 2009 a week ago with 40 (forty) miles on the odometer. What a steal!!! The car is sporty/fun/economical.  Anyone driving this car that is over 6'1"" might not have enough headroom.  I got the GT LTD, and it has plenty of power, and being front wheel drive it seems to have more power than I need.  The price cannot beat, and the GPS,Stereo,Auto Air conditioning are all great features that came with car.  I highly recommend this vehicle.","Styling, GPS, Auto Air conditioner, Sunroof, Leather, real head turner.  Switching from automatic to manual transmission.","More head room, trunk release on remote, bigger gas tank, center arm rest to be bigger, ability to open passenger side door with a switch."
2,I wouldn't buy another one,Rae ,07/08/2009,,,3,3,1,2,,1,3,1,2,"I am just so used to my Toyotas that the quality of this car just stinks in comparison.  The consul is already scratched up, it rides really rough.  It jerks and feels like it is out of balance but the dealer says it is not.  It looks like it has some power but it doesn't at all.  I will never buy another Hyunai car again.  ",,
4.75,Update,DonPat ,07/07/2009,,,5,5,5,5,,4,5,4,5,"I now have over 1200 miles on my Tiburon, and thought I'd give an update. I finally broke in the engine, and starting at about 500 miles, my usable power increased dramatically.  The engine now responds much more quickly when I hit the accelerator.  The car is listed at 17 mpg in the city.  That is what I get.  It is listed at 23 mpg on the highway, but on a recent trip I got over 30 mpg at 75 mph.  I still wish the GT Limited had an available 6-speed manual, or at least a 5-speed auto.",See last post.,6-speed manual or 5-speed auto.
4.625,Only one improvement needed....,JeffC ,06/18/2009,,,5,5,5,5,,4,4,4,5,"For the price, you can't beat this car. Sticker was $22,104 paid $14967 plus TTL. Solid build, looks excellent in Black, handles great.","Nice stereo, auto climate control, fun car to drive.","The only thing i can't understand is why Hyundai never bumped the HP/Torque. The same engine in the Optima has over 190 HP. They should have tuned it to around 200-225 HP. Then add a 5 or 6 speed automatic. To bad the 3.3 engine wasn't added, that engine in my 2006 Sonata was refined and fast. "
4.625,"Sharp car, very comfortable",DonPat ,06/11/2009,,,5,5,5,5,,3,5,4,5,"I just bought this car a week ago, so keep that in mind.  I immediately took a 200 mile trip.  The seats are fantastic! Very comfortable.  I have a bad back, and my back did not hurt at all.  The ride is surprisingly smooth, especially given the low-profile tires.  The 4-speed manual is not real sporty, and acceleration is not blazing.  The engine sound on acceleration is sweet.  There is a lot of room under the hatch. The rear seat is for children only, but holds a booster seat comfortably.  If you want quicker response and acceleration, try the SE with 6-speed manual.  I drove it, and it was smooth with great pick- up.  I only got the Limited because my son will learn to drive on this car.","Red leather interior, fantasically comfortable seats, looks, navigation system/stereo, looks, engine sound, looks!",I wish Hyundai had made the 6-speed available on the GT Limited.
4.375,A great coupe for less than $20K,rallyandbosox ,06/02/2009,,,5,4,5,5,,3,4,5,4,"I've had this car since March and have to say it is a fun little car.  First, the engine lacks a great deal of power. I do a lot of highway driving, and the on-ramps kill me with how slow the car picks up speed. 138hp is not enough for the car. While the car is fun to drive on streets for the most part, it's pick up is just ridiculous.  Looks wise, the rear-end of the car is great but the front just looks old-school Hyundai. The headlight revision is an improvement but not much more.  I expected fuel efficiency to be a bit better considering it was a 138bhp 2.0L engine.  Interior is awesome. The ""subwoofer"" is cheap and rattles too much. Seats are great, but don't sit on your wallet.","Alloy wheels, Kenwood stereo, fun to drive on streets. ","Much more power, 5-6 speed automatic transmission, iPod connectivity, better 'woofer', revised front-end, absolutely no modifications available on the market for this car. "
4.875,2008 Tiburon,Omar ,05/09/2009,,,5,5,5,5,,5,4,5,5,"The 08 Tiburon really caught my eye. This was not the Tiburon of yesteryear. It fills the void of an econo sportscar very well. People have asked me what kind of car is it and they are surprised to find out it is a Hyundai. I have an Elantra, which I am pleased with, and had high expectations for the Tiburon. It is what I expected it to be and have been quite satisfied so far. My buddy has a 3-series Bimmer and I can't help rub it in that my car is less than half the cost of his car and looks just as good!","1. Plays the role of sports car at a very reasonable price 2. Interior looks sleek and sophisticated, especially with the blue lights 3. Fun to drive",1. Needs a bit more power 2. Less stiff ride
5,fun to drive tib,lloyd ,05/06/2009,,,5,5,5,5,,5,5,5,5,"Fun to drive, I live in Hawaii and we have a lot of mountain roads. I drive from sea level to about 2700 ft elevation daily, get about 30 mpg so far."" just bought a little over a month ago. Great on corners, smooth ride and has comfortable interior, use to have an elantra but I am enjoying new ride. I test drove a tib when I got elantra a few years back but went with mpg, now the sporty ride. Like the new design of body and head lights.","interior lighting, outside design, smooth shifting, stereo, price.",wish it had a turbo.
4.875,Awesome little coupe,08Tib ,04/26/2009,,,5,5,5,5,,5,4,5,5,"I have had this car for over a month and even though that's not a long time I can't help myself but write a review. The car is pretty quick, not fast but quick for a daily driver.  I like the interior design also over something like the Mitsubishi Eclipse and Chevy Colbalt.  It looks unbelievable at night too.  All in all it's a great car but the engine should be able to put out more power stock.  Nothing a little aftermarket support can't fix though :).","Interior lighting, sound on the stock exhaust, aggressive looks, affordable price.","More power on V6 engine, more backseat room all around."
4.625,"New owner, now hard to find any",LarryC ,04/25/2009,,,4,5,5,5,,5,4,4,5,"Only a few 2008s left for sale in Southern California: only 100 left for sale in USA. Purchased the six cylinder because don't want loss of power with AC on. Dealer gave huge discount off sticker and low 2.9% financing. This car is a bunch of fun to drive, my wife loves it, even though there are physical adjustments with seat, mirrors instead of all automatic features. The Kenwood radio is great sounding and the AC will literally blow you away. I like the sport seats too. Needless to say, it is the exterior styling that recommends the car most. The interior lighting is exciting and I opted for BlueTooth connectivity rather than sunroof, which I never use.           ","Exciting exterior look, red safety light in doors, tightness of steering, good braking. Trunk is good size, and fold down rear seats make for even more carrying capacity.","Power seats, night-adapting rearview mirror. I-Pod connection. "
4.875,Love my Tib,Andrew ,04/19/2009,,,5,5,5,5,,4,5,5,5,"2nd Tib i have owned, last was 2006 GT V6. It was stolen and i replaced with 4cyl GS auto due to budget. Bought new 03-2009 for 13090+ taxes. Can't beat that with moonroof and cruise!!!!","Looks, price, reliability.",Trunk release on remote. 
4.5,You get what you pay for!,LovetheTib ,02/24/2009,,,4,5,5,5,,5,4,3,5,"I have owned both the Tiburon GS and SE. Though I loved the GS for its fuel economy and affordable pricing, the SE surpasses it by miles. I noticed that the only negative reviews about the Tiburon are from owners of the base trim; all I can say is that you get what you pay for! Though I prefer a good old fashioned American V8, the six speed manual transmission that comes standard on the SE makes the most of the 180 horsepower offered by this V8. This car FLIES and the upgraded suspension and brakes(better than the GT) make this car a blast to drive on the back roads! Not to mention - the SE tops out around 150. Hyundai always has and always will make the most car for the money.","6 speed, Looks, 17 inch wheels, the sound of the engine, leather racing seats","Horsepower, Technology (nicer audio, bluetooth would be nice, maybe a fuel mileage readout)"
