5,One of the most under rated small SUV's,Bob Senter ,06/06/2016,5,5,5,,,5,5,4,5,,,"Super reliable, easy to live with, easy to drive and park, carries 5 people with ease, comfortable on long trips and tons of utility and space. Not the pretties SUV ever built but definitely one of the best.",,
1,POS avoid,cetaceans ,09/01/2015,1,1,2,,,1,3,1,1,,,"Do not get. I bought brand new for fiancee at the time and before 40,000 had to replace clutch, power steering, alternator, etc. It had an electrical fire. Not comfortable at all. I am 5'6 and have to sit with knees rubbing the plastic under the wheel to press the clutch. Has so many airbags in little space that if I got into accident they would snap by neck. Two of the doors will not lock- not even manually. Power mirrors stopped working not a fuse. Still can not turn with out feeling like I am working out.  Think 5 recall letters.",,
4.875,Love This SUV,Love My First SUV ,10/28/2010,,,5,5,5,5,,5,5,4,5,I've only owned this vehicle for a couple of months and I'm very pleased. This is my very first SUV. My sister owns a Sonata and my dad owns a 2007 Tucson and I've never heard them complain so I got one. My Tucson is a 2.0L 4-cyl but I like it. Could do a lot better on gas. ,I love how the headlights turns off once the keys are removed from the ignition. Radio is also decent.,Make the center console armrest a little bigger
4.375,Best Vehicle I've Driven,Greg S. ,08/17/2010,,,4,4,5,5,,4,4,4,5,"In driving cars since 1975 the Tucson is the best vehicle I've owned. Does it have shortcomings, of course. But, I knew that when I bought it. As of 8-16-10 I have 36,000 and not one problem. Tires are still very good, oil is changed every 3,000 to 4,000 and lubed. Preventive maintenance is key. The only thing I don't like it that it is noisy from a tire standpoint. Good mileage up to 27 mpg on the highway and about 22 in local traffic. It's just a nice vehicle.   ",I really like the CD and cassette feature. It is one of the reasons why I chose it. Comfortable seating for me and my wife. Smaller people like the back. ,Not sure what can be done but more soundproofing coming from the wheels.
4.125,Does What I Want,DAS ,04/02/2010,,,4,3,5,5,,4,4,3,5,"We bought a used 2008 Hyundai Tucson 4x4, 2.7L V-6 last year from CarMax to replace our 2005 RAV4 after a wreck.  So far, we are satisfied with the Tucson.  I had a chance to try out the ABS, traction control, 4 wheel drive, and stability control several times this winter in New Mexico - it all works well.  At 21k, the Bridgestones are already showing moderate wear, so we'll be looking at new tires probably by 30k or so.  I'm not overly impressed with the 2.7L V-6.  It's short on power and only averages around 19 to 20 mpg, giving us the power of a 4 and the mileage of a 6, the worst of both worlds.  But it's reliable with no mechanical or quality issues.  So far, so good.   ","The safety features give us a confident feeling on the open road.  The Tucson may not be in the same league nor command as much respect as the RAV4 and CRV, but for the money, it's a heck of a good value.  ","I've already mentioned the engine.  I was initially impressed with the dual tailpipes in the rear until I got under the vehicle to check out the exhaust and other parts and pieces.  I was amused to find that the exhaust is only a single pipe and large muffler, with two tailpipes exiting the rear."
4.5,Great buy!,DeeJai ,11/16/2009,,,4,5,5,5,,4,4,4,5,"I bought my Hyndai Tucson in late '08 at a decent ""end of model year"" discount. This is by far the smallest, and only front wheel drive suv I have ever owned but it has proven it self very capable. I have taken it from Washington, to Utah, to Alaska, all the way up to Inuvik,NWT (look it up on a google) and then all the way to New York. It does amazingly well on snow (with some good snow tires)and even handles mud and dirt roads with ease. All around I'm sure glad I bought a Tucson! ","I love the way the shift is set up, night and high without taking up too much room as well as the great factory installed speakers. Just about everything in the vehicle is very well thought out. ",A few complaints I have with this model: The center console is too far back if your on the shorter side making it hard to rest your arm. 
3.625,Comfy but not practical,nomer ,10/15/2009,,,4,4,3,4,,3,5,2,4,"Bought this 10 months ago and am looking to trade it in even though I know I will take a loss.  has tons of cargo space and leg room, but the motor works too hard. Doesn't feel like it shifts properly.  Not very darty--takes a long time to accelerate.  Gas mileage for me has been consistently at 18 miles and less. I have never gotten even 19 mile per gallon as stated.  14 gallon tank is small--feels like I am always at the gas station.  radio and amenities are positioned well for a comfy ride.  Great heat and A?C but is hard to hear radio over it--not strong speakers","Roomy,with lots of storage.  I love the color, too!  It looks good! Unfortunately, good looks is about all it has going for it.","It needs a tougher exterior.  It dings and dents very easily.  Also, If I let the gas get too low, it will only fill up to 7 gallons.  I think the sensor is broken.  Overpriced for such a vehicle that does not seem too powerful, and is a gas hog,  Blind spot is behind drivers seat."
4.5,Not a bad ride,SLU2 ,06/24/2009,,,4,5,4,4,,5,5,4,5,As much legroom as a Ford Explorer but much better fuel economy...,Stylish and nimble handling. The V-6 has good power..,Automatic light sensing headlights and a compass and temp feature
4.5,Best bang for the buck,Craig ,05/31/2009,,,5,4,5,5,,4,4,5,4,"Purchased this SUV after having a 4 cyl 5 speed Sante Fe for 4 years & was quite happy with both service & reliability with Hyundai vehicles. Was looking for something comparable & found the 4 cyl 5 speed Tucson surprisingly similar to drive. Handles very well in the city with great gas mileage. Having purchased a front-wheel drive, a good set of snow tires handled winter driving in the snow well. The highway driving is very good but the engine works harder on hills with 4 passengers and a full load, which is to be expected. Interior noise is surprisingly quiet for a hard working engine as well as very smooth handling. Recommend this vehicle with anyone with kids.Trunk space is a minimum","Low noise interior, Good road handling in all weather conditions. Recommend 5speed with a 4 cylinder. Excellent city driving & good highway driving. ",Base model to have cruise control. 
4.75,My new car is a sporty SUV,Sarde ,04/02/2009,,,5,5,5,5,,4,5,4,5,"I bought this car last week when my 90 Civic gave up the ghost.  My wife and I are just married and we wanted a car we could take the future family and dog camping in. Plus it will be fun for our active/cycling lifestyle. I can fit a tandem bike in it with all the seats down!  It was also important as this would be a family car that it have good safety features, it does! My wife has a 07 Sonata and we love its safety and quality which, is why we considered getting another Hyundai. And it rides so very smooth on my 40 mile daily commute.  It was priced so competitively that we came in under budget, which makes up for the lower MPG. I can live with that now that I have a little more power-v6","High view of the road, cargo capacity, leather steering wheel, leather heated seats, good visibility, phenomenal safety features, rims are standard, fun to drive and a nice 6 disk stereo.","More MPG and power efficient engine like Honda's or Toyota's, better placement of the cargo cover, less invasive wind screen for the sunroof (it blocks much of the view), nicer subwoofer, and a better setup for the trip computer maybe adding a screen somewhere else for mileage related information."
