4.125,Family Vette,ckadventure ,09/19/2012,,,4,5,4,5,,4,4,3,4,"We have logged nearly 50K miles in our FX35 sport/touring AWD. It handles like a big corvette, very tight & sporty feel. We use this vehicle as a daily driver as well as for vacations out of state, as it gets 24mpg Hwy vs 18mpg in our Land Rover. It has some of the quality that Nissan is known for; however, it is pricier to maintaine. Surprisingly, I have had a wheel bearing fail, multiple recalls/warranty repairs & two break jobs all within 50 thousand miles. My wife enjoys driving this vehicle, but I am not sure if I will keep it once the warranty expires. ",Extreme exterior styling does not grow old. Factory exhaust note is aggressive. Good ergonomics. Decent fuel economy for an AWD sporty SUV. ,"Breaks are horrible! I am strongly considering an after market replacement all the way around. They are the weakest point in the SUV. Sunroof has failed multiple times & is noisy. Apparently the wheel bearings do not hold up well. Very random electrical issues. Finish on factory 20"" wheels pitting. Cargo space is TIGHT, just large enough for groceries or a few suite cases for travel & nothing more (unless you have no passengers in the rear seats which fold down) The legendary Nissan quality just is not there & we have owned a few. Cost $50K new, probably would have been better off buying a new Pathfinder & a used sports car."
5,A great step up,schnellerkerl ,04/10/2012,,,5,5,5,5,,5,5,5,5,Traded in my 328XI Sportwagon - Wife just wanted something bigger. And While I never had a problem with my wagon - BMWs are just too non-user friendly. What no dip Stick? - Come-on...Besides the FX looks better than an X5 or X3. Lots cheaper.Had a 1991 Q45 and it was a blast - so I thought the FX might work - And I was not disappointed.Great car one I worked out the APPLE-bluetooth issues and the IPOD connection that was never mentioned in the manual.Now I am working on a slight shimmy that seems to be indicative of the 2008 FX. But its not enough to keep m from enjoying the car. I'm just a little OCD about my vehicles.,Handling and simplicity of the car vs BMW.,"A few more standard amenities at this price would be nice.

A 6- speed manual would be awesome."
4.875,Almost Perfect,Seattle Steve ,11/05/2010,,,5,5,5,5,,5,5,4,5,"Moved from a BMW 5-series wagon; wanted AWD, fun to drive, utility, and reliability.  FX35 meets all criteria: engine is very strong, handling is great, interior is roomy and comfortable, and the back has plenty of room for anyone except those with large families.  Appreciate the small touches such as puddle lights, interior storage,  and rear view camera.  Averaging 20 mpg in mixed city / hwy driving.  Size and performance is very similar to a Porsche Cayenne, but at a much lower price. Engine has a distinctive growl that's very enjoyable in spirited driving, but can be a distraction at times. Purchased used with 25k miles, have driven 5k miles now with no issues.  No regrets leaving BMW.","Acceleration, comfort, handling, and Bose sound system.  Fuel economy is acceptable for a vehicle of this size and performance.  Base AWD model is very well equipped. ","Refine the noise-vibration-harshness of the engine, and add a bit more sound insulation.  Add automatic wipers."
4.375,Dizzy,Dizzy ,03/06/2010,,,5,4,4,4,,5,5,4,4,In this car you can feel every single bump in the road. That was something to get used too. ,The seats are wonderful. The acceleration is beautiful,Better suspension
4.25,"2008 FX35 AWD, Useless AWD",Don ,01/21/2010,,,4,5,5,5,,3,4,4,4,"Recently purchased a used, almost new FX35 AWD and unfortunately I should have done more research on the AWD system. The car features are fine and comparable to my X5, great stereo, etc.  Power is great and a fun drive but in snow you can not make almost any turn at any speed.  Just replaced the tires with brand new very good all seasons with great snow traction rating but the AWD system is simply useless.  Many electronic AWD vehicles when switching to Snow or 4x4 mode lock the front transmission.  FX35 simply lowers the low end power and I guess makes the system engage at lower levels.  Driving this car on snow is simply a scary ride and nothing like my X5, stay out of snow.","Great stereo, nice seats, keyless entry, power and reliability.  Had to add iPod interface, could not believe that the car did not come with it (cost almost $300, parts and labor)","Much improvement to the AWD system, needs to put the car in all wheel drive mode with front transmission engaged. The current system is simply useless. Better visibility, large blind spots. Paint also scratches very easy."
4.375,It handles like a sports car,sean ,12/28/2009,,,4,5,5,4,,5,4,3,5,"The reviews are correct: the FX35 handles like a sports sedan, but with a higher seating position and extra room.  The ride is firm, but comfortable.  You feel some bumps, but it's not harsh.  (I did not have the sport package.)  AWD, snow mode, and ground clearance meant that I plowed easily through a foot or more of snow.  Great in foul weather. You could sleep a night in the seats - super comfortable.  Very zippy engine, with a very nice sounding growl.  Just a sweet vehicle (I drove it new during a 2 yr lease).",Handling with high seating position; styling; seat comfort; AWD great in bad weather; rear-view camera.,"Fix sunroof noise; fix the XM radio display so that it does not cut off text; cruise control senses how far you are from the vehicle in front of you and adjusts speed accordingly - but does not work well in rain, and can't be turned off thus I subtracted a reliability point."
4.875,My 4th infiniti,RickF ,10/14/2009,,,5,5,5,5,,5,5,4,5,"Started with an I30 then a 2005 G35x then 2008 G35x, now the FX35. Handles much like the G35's and not really much difference in gas mileage. Love the look, the feel and handling. You do get used to the limited rear visibility, really you do. It corners and accelerates well. Very comfortable at all speeds. ","The look and comfort. Lots of fun to drive, city and highway. Seats are super comfortable. You feel safe in this car.",Can't drive with my arm out the window!! The door is just a bit too high or the window is not low enough. Drives me crazy. 
4.875,Husband's Car,lijana McDonald ,10/13/2009,,,5,5,5,5,,5,5,4,5,"My husband needed a new car, so I did my homework and found the FX35. I loved the shape and appearance of the car, it's a strong sharp looking car. We test drove the Nissan Murano, but the feel was different than the FX, I like the fact that the FX iss a rear wheel drive. Now... I drive the car every day & my husband drives the 2nd car.",Love the color of my car... Blue Rear backup camera,
4.75,Complete Satisfaction,JackieF ,09/05/2009,,,5,5,5,5,,5,4,4,5,"This vehicle has lived up to our expectations. The car continues to be a treat to drive, to look at and own. A year later, and I still enjoy looking at it and seeing other FXs on the road. It has a very solid ride, and is surprisingly responsive. We love every detail and the vehicle in general. We are sold on the Infiniti line!",The looks and the feel.,"Better organization of the center console, and the passenger floor has a bump in it, by the center console. It makes it difficult for the passenger to find a comfortable spot for their left leg."
4.875,I love my Infiniti FX35!,Patrice Boron ,04/02/2009,,,5,5,5,5,,5,5,4,5,I admire the unique styling on the FX35 it feels like you are driving a sports car with the space of a CUV. This vehicle has been very fun to drive and responsive when power is needed. ,I love the back-up camera and unique styling. ,Increase the height of the side windows to make it easier to use the ATM drive-thru. 
