4,Luxury SUV with great features,Banks 2000 ,07/08/2016,5,4,5,,,4,5,5,5,,,"We are keeping this vehicle long tem because of the great features. It has auto wipers and lights. Plus the stadium seating and glass roof in the 2nd row. We are at 130,000 and I have replaced the normal wear and tear parts. Everything else send solid",,
1,WORST VEHICLE I HAVE EVER OWNED,Lorelei ,03/20/2016,1,1,1,,,1,1,1,1,,,"Computer tells me I am getting ""8.9"" miles to the gallon, and that is ACCURATE. I spend more on gas for this hog than a mortgage payment every month. HORRIBLE RESALE!!! NOT dependable, despite regular maintenance from an accredited dealer. Horrible family car. I have four children, and they always have friends ride with us. Seats are hard and extremely uncomfortable for short drives. I would NEVER recommend this vehicle to anyone. Other jeeps seem to rate better, but as far as this model....big thumbs down.",,
2,Way too small for a family.....,Charlie ,03/08/2016,3,4,1,,,4,4,4,1,,,"I purchased this truck a year ago. As soon as I put car seats in the back, I couldn't sit comfortably in the front. You need touch the dashboard in the passenger seat, you can't even open the glove box. Driving the truck, I can't even see the gauges without sucking my head down because I was so close to the dashboard. And my sons feet are against my seat. And I'm not a big man, just 6:40. The rear storage is not big either. For a big SUV, the layout of this truck is terrible. The transmission was garbage. Had to put a new one in and 100000 miles. Seems like something breaks on it every other week. And the Jeep dealership near me needs at 2 to 3 week appointment to get service done. So if you want to go to the dealership, you need to make an appointment after you break down. Not very convenient. I will never own another jeep again!",,
5,"Wow, impressive.",Jeff ,01/04/2016,,5,5,,,5,5,5,5,,,"We bought our 5.7 Hemi Overland Commander with about every option available in 08 brand new.   I was worried we might have problems with so many options down the road.  We now have 180k miles and besides normal maintenance like brakes or tires, we have only replaced a starter motor and that is it.   We have it serviced regularly and it has been amazing.  More than half the miles are highway, but we also use it to also pull our motorcycle trailer, and a 24 foot travel trailer in the summer.  It is starting to use a bit of oil now, about a quart every 2000 miles, but acts like it has a lot more life in it.  I have owned Acura, Mercedes, Jaguar, Ford, Chevy, Mazda, Honda, etc.  So far this one beats them all for it's reliability and lack of trips to the shop for any repairs, or check engine lights like my Mercedes routinely has.   My Acura Legend ( a fantastic car) is still in the family with 270k (still original motor and trans ) on it, but by 180k it had a lot more work done on it than our commander, like new radiator, AC compressor, etc.  I also had a Jeep Grand Cherokee with a 4.7 V8 and it was great, with few problems until I sold it with 130k miles on it.  My personal experience is outstanding with Jeep as a brand with reliability in comparison to any brand out there.",,
4.25,Acceleration problems, ,06/13/2012,,,5,4,4,4,,4,4,4,5,"Love my Commander...got it new in 2008. This morning I got the scare of my life. Started the vehicle, drove to the back of the house, to picked up my utility trailer. As I was leaving the drive way, the accelerator got jammed. The vehicle went out of control (live on dirt road) and raced full speed ahead. First reaction was to hit the brakes... that helped a little, quickly put it in neutral and turn the key off. Got my conposure, and started the vehicle again. It went right back to a very, very fast acceleration. Turn it off and called dealership to have it tow to be serviced.Has anyone ever had this kind of problem ???",,
3.375,08 commander,l greaves ,11/28/2010,,,4,4,2,2,,4,4,3,4,"Great SUV for Canadian climate. Fuel mileage not bad for a heavy 4.7 v8. Problems with rear diff bearings, front diff failed at 40,000 km had to be replaced. Wife loves this SUV (our 2nd Jeep) will probably purchase extended warranty to ensure Peace of mind over the long run","heated seats,leather seats,sun roof.smooth ride and sure footed traction",better powertrain reliability
4.5,Surprised,Karon ,09/14/2010,,,4,5,5,5,,5,5,3,4,"This vehicle was purchased for my husband.  He had a 2005 Jeep Liberty Renegade.  He loved it but it was time to find a new vehicle.  When I went out shopping to the Jeep place, they showed me this 2008 Commander Limited.  I feel in love with it.  It's nice to have room as a passenger.  We have no need for the 3rd row seats, so that isn't a issue.  I highly recommend this vehicle if you want comfort & fun driving.  The downside, which I was surprised about, is the cargo space.  Not enough.  We are going to see if removing the 3rd row seats will help that.  Otherwise, everything is great about it.  Can't believe we bought a V8, but with a vehicle like this. it's worth it!",Loads of room in front.  Much better ride then the Liberty of course.  Well respected looking vehicle.,"Either remove 3rd row seats or have them optional.  Such a big vehicle, I expected more cargo space."
5,Excellent Value!,brobin ,08/11/2010,,,5,5,5,5,,5,5,5,5,"The Commander compares favorably with SUVs costing twice as much as this one. Many friends have commented ""THIS is a Jeep?"" when they first get in. In terms of comfort, power and reliability it's every bit as good as a Land Rover, Lexus or Escalade.",Power EVERYTHING Remote Start Electric Tailgate Nav & Bluetooth Powerful V8,None
4.625,Love my commander,phranican ,07/19/2010,,,5,5,5,5,,5,5,3,4,"Love my commander. sold a grand Cherokee with 120K miles and said what the heck I'll take another jeep. Love the exterior, based on the original Cherokee and the interior is very comfy, leather is awesome. I purchased with 10K mile, at 32K now, not a single problem so far. I don't gun it, don't brake hard probably why i average 16 mile per gallon. It's a great ride, very quiet. highly recommend if you need a truck and don't want to pay out the rear.  ","affordable, looks awesome/rugged, auto-start (great in winter), 18"" wheels, hard drive/dvd, rain sensing wipers, auto high beams, leather seats, power when i need it and hitch for my mtn bike rack, what else, oh yeah, USA USA USA!    ","Windshield gets a lot of bugs, fuel economy could be better.  "
4.625,So far so great!,psr ,02/22/2010,,,4,5,5,5,,5,5,3,5,"Got this as a hand me down from the wife. I am a pretty big guy, so I appreciate the room up front. I also like gadgets, so the hard drive, GPS and tv screens rock! The kids feel like kinds in the back. As everyone else says, the view in the rear is horrible with the 3rd row up. But, with the sensor and the camera, I fail to see this as a significant loss. Between the windows and the mirrors, I feel the vision is excellent otherwise. Adults in the back seat? Forget about it. Unless they are tiny. The smooth, quiet ride is impressive. Almost spoils you. The outside look is sporty. ","Room up front. Lots of gadgets. Smooth, quiet ride. ","Better gas mileage, of course. Wish there were just a few more inches space in the second row. "
