5,Should have kept this instead of new 2015!,John ,10/31/2015,5,4,5,,,5,5,4,4,,,"This was a great car. 55,000 miles and never a huge issue. Sure just had to bring it in for regular maintenance but with the 7 year warranty coming to an end this month we traded it in for a beautiful fully loaded 2015 Limited. While no transmission issues like a lot of people have, my 2015 has a lot of electrical issues that just piss you off! However, my 2008 was a Jeep and it drove like a truck. Crappy gas mileage but a great all around car, no electrical or engine issues ever. Had a small hole in muffler at the end that I didn't repair because I was getting rid of but it was very reliable. I wish I could get it back and maybe trade it in now for something!",,
3,2008 Diesel Grand Cherokee,osogrande65 ,05/10/2015,,,3,4,2,2,,4,3,2,4,"Great hopes for the Daimler Chrysler spawn. The Mercedes diesel 3.0 V6 remains spectacular. The Jeep QuadraTrak is amazing, when it works. Mine is so unreliable that, in the 77 months that I have owned it, I have not had the use of it for 14 of those months. First the tranny at 35k (in the end Jeep's Chief Engineer diagnosed the problem), 6 months in shop; the rear end at 60k, in a month, centre differential at 75k, 2 months in shop, centre diff again, at 80k. Now at 115k the tranny and centre diff apparently have badly leaking seals and both are being pulled and repaired to be safe (3 months so far). No warranty now so $3500 plus GST.  I AM NOT HAPPY! I will not buy another Chrysler product","Love the turbo-diesel, great power and decent mileage. When it works, the drivetrain keeps this SUV stuck nicely to the road. Comfortable to drive in all conditions. ",Reliability is horrible. Oil changes are expensive but reasonable as they change 10 litres of synthetic oil out (Mercedes turbo specific grade) and extra heavy duty filter. Fit and finish is not bad but could be improved (many squeaks and rattles from about 20k on. 
5,Love the JEEP,disgustedagain ,03/09/2013,,,5,,,5,,5,5,,,"I have heard many stories out there about the poor gas milage of the Jeeps.Please,Do not believe them.Sure, they will drink down the gas in gulps if you are getting it on, which they will do!However in mixed driving to work 25 miles mixed city and freeway, with the smaller V8, the Jeep Grand Cherokee Limited is AVERAGING 19.5 Miles per gallon.On the Highway, it is getting 24 miles per gallon AVERAGE! so, for a 4X4 SUV, I would say that is really good!The SUV rides smooth, nimble, small turning radius, all I can want. With Michelin Snows, it digs in deep snow like child's play.If you want a real nice SUV, this is the one for you!1 year later -  Two disappointments -  The 2008 Limited also lost an Alternator at about 55,000 miles.  Not acceptable. Front and Rear Shocks and Struts replaced at 60,000 miles. The 2007 Grand Cherkoee The Back shocks made it to 115,00 which I consider good. Has 135,000 on the Front Struts which have not leaked, but getting weak.  The original Alternator is still working great on the 2007.   Great!    Jeep / Chrysler could have done better.   This is why the likes of Subaru, Toyota are shining.   The OEM parts are under rated on purpose on American Brands.  They need to step it up!     Jeep , now Italian - We will see.   We love these vehicles especially in Minnesota Winters.   Child's play.",,
4.75,LOVE LOVE LIKE,yesdnyl99 ,05/28/2012,,,5,5,5,5,,4,5,4,5,"This is my first Jeep after loving them since I was little.It's rugged while still comfortable.The speakers are loud and clear, it's comfortable on long trips, and it's quite trusting when you find yourself in bad weather.It swings around to get into parking spaces that other SUVs wouldn't be able to fit into because they don't have a sharp turn.This one does without being scared of embarrassing yourself with having to reverse a million times.SUVs are normally bumpy but this one is pretty fun when it does bounce.The style is masculine but feminine enough for women to drive it without feeling like a guy.","I love the stereo dash looks.
It feels like luxury without removing the rugged look Jeep has.
It has several different options like MP3 CD, 6 CD changer, AUX and Satellite.
","The engine needs to be a little bigger.
While other SUVs with 3rd row seating come with 4.0 engine, they are faster.
Jeeps have a 3.7 and seem sluggish at times.
I wish I could get the 4.0 engine without a V8 for speed.
You end up using more gas but choose one:
smaller engine and slow with lower mpg or bigger engine, speed and higher mpg.
Sometimes you need that speed to get out of the way of the crazies."
5,loving it,jenna77 ,04/10/2012,,,5,5,5,5,,5,5,5,5,I always wanted a SUV and we had 2 paid off vehicles so didn't really want to go buy one. Then we wreckedour truck so we decided to replace it with an SUV. Not knowing I'd be getting an SUV soon I just went test driving different SUVs. Bought this because I loved the ride. I've had it 2 years now. It had kind of high miles when I got it but I work 1 mile from home so the miles are not adding up fast anymore. I love love love it. I've had no problems whatsoever. Does great in our Utah snow. ,,
4.75,Great Jeep for fun and towing,Starguy ,11/04/2010,,,5,5,4,5,,5,5,4,5,"I have the limited 4.7L with the towing package and air brake module. This thing pulls a 28' travel trailer like it was nothing. The trailer has the leveler bars which make it possible with this size. The motor strains some while passing up hill or really steep grades. So if you know the limits it's great. Gas mileage while pulling was between 13 if you push it and 16 if you keep it around 60 to 65 mph. but straight driving highway mileage I've gone from 18 to 25 depending on speed and wind conditions. I have everything except the 5.7 hemi and the trim package of the Overland model. The wife and I love it and are going to purchase it when the lease is up. Safety was a big factor also,solid.","4wd system lets you explore anywhere, safety is outstanding, towing, handling, fit and finish is ok, buying the bumper to bumper warranty, remote start, heated seats front & back, leather seats, sound system","voice command system needs work,not able to have passenger use navigation while in motion,not having the cruise control on steering wheel its hard to see at night,get bugs worked out of 30 gig hard drive so songs dont dump,faster response time for nav. system."
4.75,Love my HEMI GC!,HEMICHICK ,06/06/2010,,,5,5,5,5,,5,5,3,5,I absolutely love my 2008 Grand Cherokee Limited 4wd. It is so much more fun to drive than my IS300 and either of the Acura TL's I had before. It fits my needs perfectly and also is great to drive. Nothing else can really compare to it! My father has owned several Jeeps and I will definitely purchase another one. Next one will be a SRT8 though :),"the HEMI, duh",fuel economy
5,Everything you want in a great package,Jeff ,05/28/2010,,,5,5,5,5,,5,5,5,5,The jeep has been trouble free and reliable. It had a couple of minor issues that required a dealer service visit but they were taken care of quickly. I have the Diesel engine and it performs great and gets about 30% better MPG than the Hemi. It's pretty quiet and very comfortable on the highway. I love the heritage and classic look of the jeep. ,"Living in the city where you parallel park a lot, the back-up camera is terrific. I also like having a roof rack for those trips where I need to move a ladder or lumber. ",Can't think of anything
2.875,Don't buy a Chrysler or Jeep,Joanne ,04/22/2010,,,4,4,1,1,,4,4,2,3,"I am disgusted with the Jeep I have just about the whole car is breaking so far I've has a valve ob, catalytic converter replaced, radio replaced, antenna broke off and ripped up my hood, bearings and pinion gone, brakes gone, unbelievable.  I have a LEMON!  I'll never buy another Jeep!",,Everything
4.875,Love the Diesel Power,New Jeep Owner ,02/03/2010,,,5,5,5,5,,5,5,5,4,"This is my first Jeep (Grand Cherokee Laredo 3.0L Diesel).  I am extremely happy with the Grand Cherokee and look forward to driving it to work every day.  After driving a reliable, but small import car the previous eight years I chose the Grand Cherokee because of it's size and because the (paved) roads where I currently live have so many potholes it is almost like driving off-road.  The Grand Cherokee handles great, has great visibility, and I don't have to wince each time I hit a pothole like I had to with my small car.  The Grand Cherokee also looks great inside and out (silver) and has adequate power for my needs.  I was extremely and pleasantly surprised to get 26-27 mpg!","26 to 27 mpg!  Exterior and interior design, leather, heated seats, vehicle info computer, moonroof, roofrack, tow package, 500 miles between re-fueling, shiftable automatic transmission.",None yet!
4.625,Cherokee is good,Me ,01/30/2010,,,4,5,5,5,,5,4,4,5,"This was my first Jeep purchase, I had previously been driving a sporty 2dr pontiac.  I have been extremely pleased with the vehicle.  It covers all dimensions of what you would want.  It still is a ""prestigious"" vehicle to drive and show off, the off road capabilities are excellent (which is very useful in snow/rain situations, it has enough cargo space to haul a number of different kinds of large items, and the handling at high or low speeds is not that much different than my previous sporty CAR.  I commute a total of 40 miles each day, sometimes i take the highway, sometimes regular roads.  It performs great on either, and my average MPG on the gauge has been steady at 17.1 - not too bad.","Four Wheel Drive, Ipod aux outlet in stereo, stereo sound quality, being able to run over anything/everything.  ","The V-6 that i have is adequate in all situations, it is not slow.  However, as someone who can get impatient waiting for other drivers, i think upgrading to the V-8 is a good idea.  Interior could also appear more plush, but that's not what a jeep is necessarily for. "
4.625,Very happy,tim1975 ,01/27/2010,,,5,5,5,5,,4,5,4,4,"We bought our 08 GC coming off a lease so it had 12000 or so miles on it.  We're now up to 36000 and it's been great.  We bought the base of base models however so we don't have much for features.  The 3.7 V6 could use 30- 40 more hp but for us it works just fine.  We drove from Seattle to Disneyland and topped out at almost 25 mpg straight highway.  Mostly we average 17-18 I think.  I can't talk about rear space too much since I drive most times.  Our girls are 4 and 6 so I haven't heard them complain of space too much yet.  Cargo space isn't great but we knew that going in, but coming from a minivan we knew what to expect.  My wife is much happier driving the Jeep than the Kia minivan.   ",The ride is better than our 00 GC Interior is logical and nice - even for a base model.  Seats are comfortable for long trips.  Dashboard display is well done - Base stereo is decent - xm was nice while we had it.,V6 could use more juice - 
