3,too many electrical issues!,krystal ,07/09/2016,3,2,4,,,3,4,4,3,,,"the motor in the driver window gives out. I think I had it for about 2.5 years. then shortly after, there's a short in the rear window wiper. just starts wiping on it's own. I didn't turn it on and it wont turn off! I would have to pull over and turn off the car and turn it back on a few times hoping to get it to stop.  then in late 2015 the cruise control, radio and all the door locks except the driver door stopped working! (including the hatch! can't open the hatch!) I cared for the car as well as I could. regular oil changes and maintenance. full tune up at 4 years. it was never taken off roading. used it to get to work and to home.",,
4,Jeep Jeep!,KT ,05/24/2016,,4,4,,,5,5,4,5,,,"PROS: The '08 redesign was MUCH needed. VERY comfortable and fun to drive. Feels solid like a tank on the highway. Suspension is remarkable. TONS of storage room, compartments for all your shtuff, the radio sounds like a dream, feels powerful and strong yet safe like an American vehicle should! CONS: Gas mileage isn't very good, but it has a very big gas tank so you don't need to refill as often. Also not very good at making quick sharp turns, feels like it's gonna flip.",,
4,Solid as a rock,E.Roberts ,02/07/2016,,,,,,,,,,,,"I would like to say that we have owned our jeep for six years. We bought it with only 30,000 miles and it now has 112,000. We had to replace the heater core about 8 months ago, but this is about it. My wife travels a lot, and has not had any issues at all. This vehicle, has been a great purchase for us. I will say that the interior colors aren't the greatest because the seats are stained and will not come out. Other than that, no problems.",,
4,2008 Jeep Libert = My THIRD JEEEP,Richard Harrison ,01/04/2016,,3,3,,,3,4,4,3,,,"I read a lot of these reviews and find that some people should write on their maintenance reliability.  If you take care of the vehicle as stated in the Manual, most Vehicles will go well beyond their manufactures warranties.  My first 1986 Jeep Grand Wagoneer, had 135,000 miles on it when I got it.  I sold it with 280,000 miles on it. My 2nd 1996 Jeep Grand Cherokee I still own and it's got 336,000 on it.  This Jeep Liberty was very SUPRISING comfortable. Slips in 2 wheel drive too easily on wet pavement.  However switch to 4x4 and no issues. Mileage I would have figured would have been better then my 96 Jeep but it was about the same.",,
1,Worst vehicle I've ever owned,John ,12/20/2015,1,1,1,,,1,1,1,1,,,"Don't buy this car.  There are too many quality cars available today to waste your time and money on this piece of garbage.  The engine and 6 speed manual transmission are pretty reliable, although poorly suited to the car.  The engine is not powerful enough, has a microscopic power band, and the ratios are just too long.  Below 3000 rpm there's no acceration, and above 4000 rpm it's only good for turning gas into noise.While the powertrain has been reliable, literally every other thing jeep attached to it has not been.  4wd has failed twice for electronics, wiper switches, window switches, door lock switches, airbag sensor, door sensors, gas tank won't fill (replaced twice), shift boot falls apart, seat trim falls apart, spare tire doesn't stay tight and knocks around, wheels seem designed to deliver pebbles to the brake pads, brake pads cannot be secured and rattle constantly, car won't restart when warm, exhaust flex joint cannot be secured and periodically disconnects, entire interior vent system had to be replaced when an internal seal melted and jammed the actuators, multiple hvac fans have failed (noisily), and the list goes on.  And on...I bought this car new with the lifetime powertrain warranty and lifetime maxcare.  Even at $50 per work order and paying $35-$50/day for rental cars while the jeep is in service, it cost me $2000 this year to maintain this POS.  I just dumped the thing yesterday...  I'd kept it for so long because I knew the warranty would protect me when something major failed...  but eventually it bacame clear that the major expenses were not likely to fail, and the car was milking me dry, a few hundred dollars at a times.  At one point this year, I had the car in for repair for three different unrelated issues in one week.  Each time I picked it up, I couldn't even make it back to the house before something else crapped out.  Another time it was in for service for two consecutive weeks, brought it home, and had something else fail the very next day.To wrap this up - do yourself a favor and don't buy this car.",,
4,"383,000kms",dsantin ,10/30/2014,3,3,3,,,3,4,4,3,,,"Still going strong  360,000 kms. Live in heavy snow belt, rusty Ontario- rural. 4x4 excellent-- never stuck- plenty of confidence in snow and mud. Have used in mud, lagoons, ditches, snowy farmer fields, towing, fording water-- works well. Unexpected good manners and ride on highway. MPG fair. Roomy versatile interior. Starts/ runs very well-- NO RUST? Did not get skyroof-- you guys that got it and have problems- shame- This was a first year North American redesign-- anticipate problems with gimmicks. Some little things-- blower gone at 300,000- so what! Rear liftgate hinge thing- broke but found replacement at junkers for $400. Differential rear troubles after 180k but now is good. Lots little things beyond 200k but that's not an issue as it owes me nothing. Heating is disappointing. Overall, I can depend on it and I need all of its features as winter is brutal here.",,
1.25,"The worst vehicle I have ever seen, bar none.",sal42 ,04/08/2013,,,1,3,1,1,,1,1,1,1,"We bought it new in 2008 and it was the worse mistake my family ever made on cars, EVER. On the test drive the dashboard was literally coming out and you could see the wires and tubing under the dash. I pleaded with my father to not buy it, yet he was swayed by the exterior styling. During 3 years of horror (aka vehicle ownership), 3 of the window motors broke leaving the windows stuck in place, the plastics/materials are horrendous and the dashboard popped out twice. Besides that the seats were the most uncomfortable I have ever sat in, like sitting on concrete!!!!! The car is crampt, and the MPG figures are A LIE!!! The car barely got 10 MPG in the city, and maybe 16 or so freeway. ","Although it was by far and away a total junk and a perfect example of why Chrysler went bankrupt, it actually could turn on a dime. Don't ask me why the turning radius was so good and nothing else, but it could make U-turns like nothing!","They should have never built this car, it really is that poorly designed and built. It really shows you why Chrysler went bankrupt. When you see cars this bad you feel like crying. If parts pop out on the test drive on a brand new car, you know it's bad. MPG figures given are a lie, the real MPG for the 3.7L 2WD is about 10 city/16 freeway, and that is no exaggeration. The car is a GAS HOG!!!!! And it's not a very big vehicle either, just goes to show you how Chrysler can't design an efficient and powerful engine if their lives depended on it. In general all Chrysler engines from that era were gas hogs and underperformed for their displacement. Dismal engineering."
4.25,It's a fine vehicle except for one thing...,herc ,12/30/2012,,,5,3,4,5,,5,4,4,4,"My Jeep now has 66,000 miles on it and it has been a very solid vehicle. It has also been stone cold reliable. The only reason I havent rated it 5 stars across the board is because while I like the design of the interior, the typical Daimler mandated cost cutting cheap plastic materials are everywhere. Also, I think some of the exterior design couldve been better. Im not a fan of the giant squarish looking plastic covers over the headlights. Give me the design Bantam/Willys started with..so that means round headlights please. Other than the interior plastic and some exterior design issues I couldnt be happier with my Liberty. ","Visibility, decent handling, 20+ MPG hwy, towing, and it offers the best of a Jeep without being brutal on the road.",Better interior materials. Stop the Fiat-meisters from ruining the Liberty with the next gen Hyundai/Ford Escape look alike. 
2.25,Am I the only one?? 2008 Liberty Sport  4x4,jrramzak ,08/22/2012,,,4,4,1,1,,2,3,1,2,"I bought my 2008 Jeep Liberty Sport brand new. As my first big purchase as an adult all on my own, I could not have been more excited about this vehicle. However, in the 4 years I have owned it, I have realized that this was the worst mistake of my life. At first, it wasthe four wheel drive that took a crap, and having never had a chance to use the four wheel drive yet, i was surprised. Then came the Sky Slider leak, and the interior light leak, followed by all four tires dry rotting out causing me to blow a tire while driving. Yet the tires still had at minimum 40% tread left. Then heater core died followed by the blower motor, then we had to replace a computer chip that was causing my ","transmission to lock up and not shift while driving. Then came the brake issues and now it's the radiator. I don't know what else I will have left to replace/fix on this car. It's has all been out of pocket costs, minus the chip. I keep up to date on maintenance and don't quite understand what's wrong with this vehicle. I'm assuming I have really bad luck and got a lemon. But, I'm afraid to drive this car anymore because I don't know what else will break. Has anyone else been through this?
",
4.375,I love my Jeep but there are a few character flaws,drivenlp ,08/21/2012,,,5,5,4,4,,4,4,4,5,"I actually built my Liberty up with a 3 inch lift kit, skid plates etc. and I believe it improved the exterior stance of the vehicle. Jeeps can get through anything (with the right tires, I highly recommend the BFGoodrich All Terrains) The interior is comfortable and there is A LOT of neat storage spaces, fold flat seats including the passenger seat. I have not had one mechanical problem.Very tight turning radius. What I dont like: I bought the skyslider and it is awesome for going to the beach etc, but it leaks water into my headliner which is now stained and starting to smell.Also this causes quite a bit of wind noise.I believe they fixed in 2009 a bit.","-Well thought out interior storage spaces.

-4 wheel drive is unparalleled. 
-tight turning radius makes off roading and parking lot maneuvering a breeze! 
","Sky Slider roof was rushed to market.
I love the feature but practicality for everyday does not work.
I have had several people look at it, as well as numerous tests on it, and no one can tell where it is leaking into my headliner from.
My entire headliner is now water-stained and if left in the sun it begins to smell musty.

Wind noise at 70+ gets quite loud and whistles.
(again the skyslider). "
