5,I'll have a Kia please,DGB ,11/17/2016,5,5,5,,,5,5,5,3,,,The only problem I have had is with the computer system and 6 months after purchasing my car they reset the computer because the car was shutting down (not completely) when taking off after a stop. I recently had the same thing happen (5 years later) took the car in and they said that there were no indicators or upgrades to the computer system...I explained the first time and so they reset it again and Yay I have my car back :) It runs great and I love my Kia.,,
4,Terrific car,LPCBuckeye ,09/03/2016,5,4,5,,,5,3,4,4,,,"I bought this car new.  It now has 125000 miles.  I am very pleased with how well this car has done.  I consistently average 29 mpg in mixed driving.  While first gear is a little tricky, the car shifts very smoothly.  I won't be winning any drag races but if I am passing someone on a 2 lane and drop to 3rd. I get around them well.  The car handles very well except on wet roads.  I have tried different tires but the results are minimally different.  I have to be careful and not try to stop quickly or turn quickly on wet roads or the car will fish tail.  On dry roads it handles very well and the ride is smooth.  Visibility is very good.  The stock radio is fine for me.  The road noise is not too bad.  What I love the most about this car is how reliable it has been.  I have had no major problems at all.  Have replaced the battery 2 times and the tires 1 time.  I started going through oil at @105,000 miles.  I had to top it off about every 1600 miles.  I just had the car looked at and the plugs and belt replaced.  My mileage was 123,500.  The man was able to fix the oil leak problem with a very minor tightening of something but I don't remember what.  The problem has been solved.  I am very pleased with how well this car has held up since I drive it for work so am in it a good bit.  I also bought an 07 Kia Rondo with the exact same engine and it is doing well also.  I intend to drive this car until the wheels come off.  I am very glad I bought it.",,
5,Best car I've ever had!,MARK A PETERSON ,03/01/2015,,,5,5,5,5,,5,5,5,5,"I bought this car new in 2008 and now have 93,000 miles on it. The only maintenance items I have had done were rear brakes at 75,000 miles, front brakes at 90,000 miles and new tires.  Oh, forgot about the new battery at 46,000 miles (thought that was too soon).  I have had the oil changed at 3800 miles on average and changed transmission fluid once.  It won't stop being dependable.  Love it!",,
4,Love my car,yellowbus1 ,01/05/2015,,,3,3,4,5,,4,4,4,5,"Love my Kia have had it for two years now with no major issues im at 65000 mil... get 20-28mpg, its fun to drive and handles well. I have only had a few problems that were all covered under worriment, there was an issue with the sway bar Waring out and the power locks going out, also have had to replace the radio and visor on the passenger side. all little fixes so over all a grate car that has done me well and i plane to drive to the ground. The one major disappointment that was not covered is the TPMS sensor going out and kia refusing to fix saying i caused it ",not a lot of extras in it like the usb port and driving a manual ,fix the visor issue 
2,Do Not Get a Kia,barbararoberts ,09/04/2012,,,5,5,1,1,,1,1,1,1,"I bought my car brand new in June '08.The main reason I bought an Optima is because all the safety airbags on it.it really did seem to be a safe car on the market at that time.Since then I have seen a main complaint that the airbags DO NOT deploy when there is an impact.That gave me a really big concern.Well, now my car is cutting off with me as I start down the road and I have been told it is because I have used aftermarket oil filters.BULL!!!!!They put Kia oil filter on and guess what?It is still cutting off with me.I came to a T-intersection one day and it desided to cut off.When it did NO BRAKES, No Power Steering and I had to pull out IN FRONT of another vehicle that was coming and just luckily there was noone coming in other lane so that vehicle could go around me.And I guess that I forgot to mention that my 10 yr old SON was in the car with me.I have taken my car down to the Kia shop in Myrtle Beach, SC every Tuesday for the last 2 months and it also stayed there for 1 full week during that time.NOTHING HAS BEEN DONE EXCEPT A KIA OIL FILTER PUT ON...I""m considering this car to be a LEMON and I have told Kia that it will be on them if this car kills me and my son until it is fixed or replaced.I have been dealing with Wes and Bob at the Kia Service area in Myrtle beach, SC which has been very nice to me but something has to give.I am fixing to list this car under the Lemon Law with my lawyer.The safety of this car SUCKS!!I need help with this.Someone else higher up the ladder needs to step in on this case.Wes has a case number already out with the Technical staff but something has got to be done.I can not have mine and my son's life in jeoperdy like this. THIS CAR IS DANGEROUS.I have dropped it off AGAIN at the Kia Service area this evening (09/03/12) for the ump-teenth time so it can be checked out again tomorrow.I will travel ANOTHER 45 min to check on it tomorrow.My days off from work should NOT be spent at the Kia Service area.",,
4.75,Reliability could get 6 stars,bklyndriver ,07/16/2012,,,5,3,5,5,,5,5,5,5,"I've had this car, as second owner, for three years. It has never been a problem. All I've done is replace the brakes and tires. It's still got less than 35K miles, but so far this is the best around-the-town car I've ever had. It is surprisingly fun to drive, handles great. Downsides: I don't get the mileage I thought it would get - seems like I fill up a little too often. At about 30, I can feel the gear shift. There is absolutely no style to this car - it is super generic. These things don't detract from how good the Optima is.",Everything about the driving. Excellent radio in the base model. ,"Styling is terrible, but new models are lovely. Cleaner shifting."
1.75,Stay away from Kia,i_hate_kia ,01/12/2012,,,3,3,1,1,,2,2,1,1," 1 BAD EXPERIENCE , I will never buy another , motor locked up with only 46,688 miles , they piece together another new engine because kia was to cheap to send a complete motor it runs for 10,00 miles and the oil light starts coming on at ideal. I ended up letting the dealer buy the car back and bought a Toyota camry, almost forgot car was out of service for 47 days the first time and the next time well its been 3 weeks today and its still not fixed 1/11/12 VERY BAD EXPERIENCE ","The car looks Great , thats about it.",Can you spell ( RELIABLE ) To many problems with these cars 
2.75,one thing after another,bobbyhill ,12/31/2011,,,3,3,2,2,,4,4,1,3,"iv had my car for just over a year, i bought it off my dad and he got it new in 08! in the last year i have had nothing but problems with it, first it was struts and sway bar links and bushings, then wheel bearing, and now the newest thing is my headlights like to burn out, replaced the passenger one 4 times now, at $25 a bulb for h11b its getting expensive, had it to the dealership and they want me to spend a bunch of $ to replace the headlamp assembly! iv been reading up on this and it seems it was a real issue in some of the older optimas, 02 especially! oh yeah, when i had it in there to look at headlight they told me the shift module had to be replaced, at $700 i passed, NOT IMPRESSED!!","the car drives well on the highway! 30-35 mpg with 87 NO alcohol, if im using the 10% blend that most gas stations have now i get 23-25 only!! ",warranty the car forever cause as soon as the car hit 100k i have had to put over $2000 into it and that number is still climbing! doing the altinator tomorrow to see if that makes the headlights stop blowing up!!!
3.375,A fair car for the price,patdaddyt ,11/15/2011,,,3,3,3,3,,4,3,4,4,"We've had our car for 3 1/2 years now, For the last few months our car has really bad road noise like a wheel bearing is going out or somethings wrong with the new tires we just put on the car.tom. we're going to get it checked out a kia dealership maybe they can fix it.","Sunroof, 6Disk CD Player.","Leather seat comfort, less plastic material, more head room."
4.125,Awesome Optima LX,ex_green_beret ,06/05/2011,,,4,2,5,5,,5,3,5,4,"I've had my '08 Kia Optima LX for nearly 3 years, I bought it new when gas went to $4/gal back in '08.I got rid of my Hemi Ram and bought the Kia thinking I'd keep it for a little while and trade up later.It now has 107,000 miles on it and has proven itself an EXTREMELY reliable little car.I've done nothing to it except change the oil and filter religiously every 5k miles, had one brake job done at 75k miles, replaced the battery at about 60k miles, put on a set of new tires at 72k miles (I put on Kumho KH16's since that's what it came with), and flush/fill the radiator every 45k miles.I did almost all the maintenance myself. IT'S THE MOST RELIABLE CAR I'VE EVER OWNED and I love it!",,
