4.875,Love my Rondo.,fargsnalt ,05/31/2015,,,4,5,5,5,,5,5,5,5,"I bought my Rondo in 2012 with about 63,000 miles.  I just passed the 100,000 mile mark with no major problems.  We have changed brake pads, air conditioner coils and tires in that time.  Gas mileage is not great, but cargo room is good and we can take 7 people in it.  Third row seat is fairly easy to get to, even for a 6'6"" person like myself.  ","3rd row seating
cargo room
interior ",Gas mileage
4.875,Never Had an Issue,Kerensa ,02/24/2015,,,5,5,5,5,,5,5,5,4,"I was trading up to this from a 2005 Ford Focus that I absolutely hated.  I needed something a bit more roomy with better visibility.  I bought this used with minimal miles on it.  I sold it 3 years later because I needed something with AWD in it, otherwise I would have kept it.  I did routine maintenance on it and never had one issue with how it drove.","V6 engine, roomy, great visibility",Traction control was overly sensitive if you had it on
1,WHAT A LEMON,jskayaker ,02/12/2015,,,1,1,1,1,,1,1,1,1,"I bought my 2008 Kia Rondo used with 19,000 miles on it...I really liked the car it suited my needs for hauling kids, dogs, kayaks and camping gear...but now at 51k miles the engine has locked up.  I had the car serviced regularly and keep up on oil changes the whole nine.  This is very very disheartening.....I still owe 9800 on the car and the new engine will cost 4800 to replace.  I will never buy a KIA every again!  I will also tell anyone buying a KIA to think again.  ",,
4.625,Great First time car,cmede ,02/03/2015,,,5,3,5,5,,5,4,5,5,"I bought this little guy used about 2 weeks ago. I came from a giant Nissan Altima all plush and built for long drives. I got into this Rondo and fell in love instantly! The seats were spacious for my bigger size, the leg room was great and the overall feel of the car felt like quality. I never thought I would buy something that looked like this. I think it's not the nicest to look at. It reminds me of a wagon. But the way it grips the corners, gets up to highway speeds and truly is a hoot to drive. I was worried the 4 Cylinders was going to be a problem on the highway. I was mistaken. For my first car that I bought. I recommend it to anyone. It really is quality with the low price.","The best part about this car is the heated seats, The ",I wish the back windows were tinted. The clear windows make it so I can't ever have anything big that won't fit in the secret storage being left in my car. 
2.125,SO Disappointed,drivingmom2 ,03/09/2014,,,3,2,1,1,,3,4,1,2,"We bought our Rondo new in 2008. At the time it was exactly the car we were looking for, as it had the third row stow-and-go seats. We had reasonable performance from it for the first five years, although it did have a few factory recalls in that time. HOWEVER, two months after the five-year warranty expired, the engine failed. Despite the fact that I had followed the warranty maintenance schedule, KIA Canada would do nothing to assist us with this matter and we ended up having to have a second-hand motor installed. Apparently KIA create disposable cars and are not prepared to back their products. Like a previous poster, I too am a bit embarrassed about having recommended KIA to friends. ",The interior configuration is great for a young family.,KIA should build vehicles that last longer than the warranty period...
4,"$2,000 A/C repair @ 45k",anjay ,06/25/2013,,,5,3,4,3,,4,5,4,4,"Background: I bought the car off-lease in May '09 with 16k on the odometer. With the exception of so-so gas mileage, I though I'd scored an excellent deal. Then, in 2012, just after the 5-year warranty expired, I learned from my [very reliable] auto tech that the A/C compressor clutch had failed and would cost $2,000 to repair. This is a huge cash outlay for a relatively young vehicle w/ just over 45k. I'm embarrassed to tell anyone b/c I've been hyping the Rondo as a great value for four years. I won't be doing that any more.","Great functionality. I can haul all kinds of things around in the roomy interior. Lots of glass with great view and sightlines. Easy access for kids and oldsters. Comfy interior.
","A/C worked well -- until it failed and I got a repair estimate for $2,000. That amount happened to be what I owed on the car."
5,I'd buy another one in a heart beat.,joel41 ,04/26/2012,,,5,5,5,5,,5,5,5,5,"I can't say enough positive about this car. I bought it as a demonstrator with 10,800miles and paid $220 more than a 10 year old Honda CRV with 110,000 miles on the same lot.Head and leg room as well as visability is better than my Dodge Caravan.Rear seats lay all the way flat which is great for hauling and camping. Doors open all the way which allows to load a box the full size of the door in the back (unlike my dad's Buick. With the V6 engine, there is more than enough spunk to get up to spead on the freeway. On a country road, I had it up to 110 mph and was still accelorating. It can be ""fun to drive"" when I want to.","Head and leg room is great. I
am 6' 250lb and have more than enough room. Dad is 6'2"" and had more than enough leg and head room in the rear seat.
The heater can cook you out even in zub zero. I never could get warm in the Caravan. Great versatility. I haul a lot of boxes, people, dogs and camping gear. It is great. ","I was not impressed with 27mpg. My Caravan frequentlly did better. 

I was also dissapointed when the break pads needed replacing at 30k miles. The dealer said it was because they they no longer use asbestos in the break pads. Now, with 56k miles, it feels like the pads need replacing again. I am use to getting at least 50-60k miles on break pads."
4.125,Love the car!,Jay Dee ,10/26/2010,,,3,4,5,5,,5,5,1,5,"I purchased my Kia Rondo in May 2010.  My Saturn VUE was totaled, and fortunately, I got a good deal and was able to pay cash for the Rondo. This car is fun to drive, especially easy to access if you are short or disabled. There are two problems I have with this car. Gas mileage stinks! My SUV got better mileage than this! I get an engine knock when the A/C is on.  The compressor was replaced (under warranty) but the noise continues. ","This car handles well, is comfortable to drive and I can take it anywhere.","Move the air intake away from the grill! The engine suffers lack of power, as it is located up against the hood/grill."
4.875,Love it,z24racerchic ,10/21/2010,,,5,5,5,5,,5,5,4,5,"I had rented a car in 2008 and they gave me a Rondo.  When I first saw it I thought what the frig is this thing, but I fell in love.  In July 2010 I got a 2008 with only 25,000 miles on it for $11,000.  Was thrilled.  The dealership was 2 1/2 hours away because I had a hard time finding a good one around where I live.  I love my Rondo.  While many say its nothing much to look at I like how it looks.  The performance is awesome.  I have taken it on two trips into the mountains and it doesn't hesitate.  The V6 has a lot of power.  The interior is very, very roomy and I love the compartments for extra storage in the back.  There is plenty of room to haul things.","Power, roomy interior, easy to reach all the buttons, storage compartments in back, headlights are very bright, ability to see out very well and sit up high like you are in a bigger SUV. ",Only thing I do not like about it so far is there is no low gears.  I am used to have a Low 1 and Low 2 with my other vehicles for going down the steep hills around my area especially in snow. All wheel drive would be a nice feature also!
4.875,It Keeps Going,A Great Family Car 2 ,09/25/2010,,,5,5,5,5,,5,5,4,5,"I doing a follow up review on our Rondo, we have owned it for 1-1/2 years and still love it.  We replace our Ford Windstar mini van and never looked back.  This has been a reliable vehicle, we have over 22,000 miles on it now, been to CA from WA Twice, we got over 27 miles to the gallon fully loaded with a car topper on it.  Great power over the mountains! Things we had done to vehicle:  Tinted windows, Mud flaps & Cross bars for roof rack.  Future Items:  Trailer hitch. We have the 7 passenger version had every seat filled, still great power!  We Would still buy this vehicle if we were looking again!","7 Passengers, Stability Control, High mini van style seating, Middle seat I can sit in comfortably with leg room (I'm 6'2"")  Cup Holders, Automatic Headlights, Sport Shifter.","The biggest bummer of the vehicle, it doesn't have a trunk light, but I put in a motion sensing battery operated light. "
