4,BEWARE!!! Engine dies - Steering wheel locks!,C.B. Dunlevy ,06/25/2016,4,3,4,,,1,1,4,4,,,"■ 2016 April 23	I brought my car in for the regular “The Works” package maintenance to Kia of Dayton.  Thereafter, my car ran a little rough.  I did not think much of it until my car began “pausing/hesitating” as I drove it. ■ 2016 May 25	I was driving to an interview and thought the car was going to die on the highway.  My car has never behaved like this; and, again, this was after the most recent routine maintenance on April 23, 2016.  In addition, sometimes when I put on the brakes, the car stops and then lunges forward.  This does not happen all the time; it happens intermittently.■ 2016 June 10	I had my two twin granddaughters in the car.  We met my husband for lunch and then went to Kettering Hospital to visit a relative.  While driving in city traffic (going approximately 35 MPH), I gradually applied the brakes to stop at a stop light.  When the light turned green, I realized that the engine had died.  This concerned me as this has never happened.■ 2016 June 13	I brought my car in to the dealership and described what was occurring.  A diagnostics was performed and the car was driven.  The Tech advised that nothing showed on the diagnostics and that when the car was driven, no issues occurred. ■ 2016 June 18	I drove from my house to the local grocery and back to my home.  As I went to make a right-hand turn from, I gradually braked, made the turn and then realized the engine had died because my steering wheel locked!  I had the air conditioner on, the radio on and was singing to it, so I did not hear the engine die.  Further, because I could not steer, I went into the other lane and thankfully, no one was in the lane or I would have hit them.  In addition, if someone would have been behind me, they would have hit me as they would not have expected me to turn and suddenly stop—especially since I did not have my foot on the brake after I turned. ■ 2016 June 20	I took my car back in to Kia of Dayton and reported the June 18, 2016 incident.  I told the tech that I was very concerned about these incidents and relayed that I considered these to be very dangerous and life-threatening.  I also called the Fixed Operations Director, and relayed that my car has been running rough since I got it back on 4/23/2016, feels like it is pausing/hesitating when I drive it; died while I was driving it without warning on 6/10/2016. (I had put on the brake for a stop light and did not know it had died until I tried to accelerate.)  I advised that the diagnostics done on 6/13/2016 did not produce anything and that I thought maybe all of this was just  an odd happening, so I continued to drive the car.  On 6/18/2016, when I was right turning, the car died and the steering wheel locked and that I considered these incidents to be extremely dangerous and life threatening.I called the National Highway Traffic Safety Administration (NHTSA) and provided information regarding this issue.  I wrote the Fixed Operations Director a letter documenting the incidents and my concerns and noted that I had copied the NHTSA.2016 June 22	the tech called and said that they ran another electronic diagnostic and have driven the car over 50 miles and nothing shows up on the diagnostic and they cannot reproduce the incidents.  I reiterated that I do not feel safe driving the car.  I asked if any of the incidents were recorded in the car’s memory.  No.  I asked if the sensors in the car were able to record things like this.  No.  So, the sensors are not sensitive enough to record such incidents.  I asked him what might cause the car to pause/hesitate while I am driving and he said that it might be the spark plugs.  I asked if he checked these and he said no as that would mean that they need to tear apart the car to check these.  I also asked about the fuel filter and the same thing applies.  He said that tearing apart the car and looking at it will cost me.2016 June 23	I called and left a message with the Fixed Opertions Director around 12:30 pm advising that I would like to speak to him regarding my car.  Since I did not hear back from him, I called Kia of Dayton and asked for the corporate office # and was given 1.270.783.8080.  I called and spoke with a woman named Tricia.  I explained to her what was going on with my vehicle and she suggested that I call and speak with the General Manager of Kia of Dayton. I called Kia of Dayton and spoke with the General Manager and conveyed my concerns about how serious these incidents are.  He offered to do a trade in with me. Unbelievable.  I advised that I am the only owner of this vehicle, that she has run fine until 4/23/2016. I am currently waiting for Kia Corporate to look into all of this as an internet search documents that the issue of Kia's suddenly dying while being driven goes back to at least the 2001 models.  Query as to how many ""accidents"" have occurred that were attributed to a driver when it was a product failure!  BEWARE!!! And, I love my car.... :-(",,
4,"Some problems, but good car",mountaineer6 ,04/07/2014,,,4,3,3,4,,4,4,5,5,"I bought my 2008 Spectra about 2 years ago with 18,000 miles Certified Pre-Owned. Only major problem I've had is the front end is so out of whack (sometime shaking violently at highway speeds other times not and knocking noise), and no one can seem to fix it. Was told it was probably the tires, so I replaced them for the problem to resurface as soon as the were worn in. Now I'm about to drop another $500 to replace the front struts and hopefully resolve the issue. Kia says that it isn't covered under the warranty (because apparently the struts on a car with 40,000 miles should go bad.) Get 30mpg, SO FUN TO DRIVE, kinda slow but peppy, maneuverable, good visibility, ugly but sporty look.",,
4.375,Best Valued Commute Car!,themagicfarmer ,05/02/2013,,,4,4,4,5,,4,4,5,5,"Bought my 08 Spectra (with 18K on it) from an official Kia dealer about a year ago. No disappointment so far. The car has all necessary functions, basically powered everything, Air conditioning and so forth. It's built cheap but in a simple and neat fashion, plus designed with safety and accessibility in mind. Spacious, driver's seat, back seats and truck, every where.Kia's service center is excellent too. They perform everything necessary, and never charge for pointless services, like mandatory car wash if serviced which many Honda dealers do. It's the type of shop you want to rely on. (my dealer is located 3 mins from where I live, I'm happy!)To sum up, isn't it an ideal commute car?","Practical design. More than enough power, if you get the manual. Spacious storage. AUX plug. Dual 12-V power outlets. ","If any improvements suggest higher price, then seriously, nothing. 

Of course, if not, who would mind stuff like better look, more power, more accessories, more steel, bigger and the best if it prints money. "
4.875,2nd Time Around,cph0857 ,10/27/2011,,,5,5,5,5,,5,4,5,5,"I totaled my '07 Spectra about 3 weeks ago and was heartbroken. This car had been flawless with no problems. My collision was at 40 mph, with an immoveable object. (Tree) Yes, I was sober.My Kia took great care of me in the accident, crumpled all around me with no serious damage to the passenger compartment. I wish the exterior panels had not been so damaged, but I will trade the totaled exterior for the protected interior any day. I walked away with just a tiny cut on my finger from the broken glass.I found an 08 with 5,000 miles and we are settling in nicely. I expect to have a long and happy life with my new Spectra.",,
1.375,Lemon,Disappointed ,11/11/2010,,,2,2,1,1,,2,1,1,1,Bought this car less than a month ago and has already been in the shop twice. First mistake was buying used but I guess they saw a sucker coming. I got a lemon. Service dept. tells me its bad spark plug wires and spark plugs. Really every two weeks. They cannot replace them all until defective if under warranty. Really? Bet my warranty runs out first.,,
2.125,Disgusted,Tony ,10/09/2010,,,2,2,2,2,,2,2,3,2,"Do not believe any favorable since they must be written by all of the useless salesmen who cannot sell the Kia Brand. Tires horrible, front end struts and steering arm, water sloshing, bad paint job, rear end noise. Never again. Buying Chevrolet.",,
1.625,Terrible trans!,disgusted ,09/18/2010,,,2,2,1,1,,2,1,3,1,"First transmission replaced at 17,000 miles, 2nd at 23,000. Water ""sloshing"" around somewhere in the dash/floor area that ""can't be fixed"". I like the warranty, but when the car's in the shop, you're stranded. No rental, no loaner, just stranded. I paid $950 for a used Mazda 626 with 175k on it and it's way more reliable than this!",that i can one day pay it off and get rid of it!,buy American!
4.75,Wanted a Wagon,Greg ,09/13/2010,,,5,5,4,5,,5,5,5,4,Overall i like the car it's got good power and a lot of features for the money. It has a quit cabin and  handles bumps in the road like a more expensive car. I have been on a few camping trips with this car and it was a joy to drive.,"My favorite features are the good power, the good looks and the interior looks like a more expensive interior.","I would like the drivers seat to adjust lower then it does, i sit too high. also i don't no what it is but i am having trouble getting used to the clutch but i can jump into a new honda for example and i can work the clutch perfectly with zero learning time, i work in a garage so i drive many cars."
4.875,My only Problem is Humming Noise,Dwight Judd ,06/17/2010,,,5,5,5,5,,5,5,4,5,I enjoy driving the car it has great pick up. Now the problem that I'm having is when I'm driving the car and the wind is blowing at the passenger side of the car I'm picking up a high pitching humming noise inside the car sounds like it's coming from the driver side dash and window area but not sure. ,My wife is short and she loves the way the drivers seat goes up. And our son is tall and there's room for him in the back. I also like that pad on the driver sides floor board.  ,Make the seats electrical because she has lupus in her joints and it makes it tough for her some days
5,I love my KIA soo much!,James ,06/04/2010,,,5,5,5,5,,5,5,5,5,"OMG, where do I start. I bought it new NOV 07, I got to choose the one I wanted any color anything. Took one look at my white EX 5spd rear spoiler, and I was hooked. So long story short 2 1/2 yrs later and car approaching 60,000 miles on it now, not a thing has gone wrong. People always comment on my car, and how clean and good it has held up! I take care of my car but don't baby it! I think it handles really well, and at times I feel like I'm in a sports car. The rear spoiler makes it look so much better and 5 spd Overdrive, I don't have to always down shift up hills (only when some trucker or slow car gets in front of me. All and all At least take a look and consider!",The whole thing! The fact that It hasn't been in the shop (only for routine work) ,I'm happy with what I got!
