2,Waste of Time,Natalie ,07/29/2016,,1,2,,,3,3,4,5,,,This car is not worth the money. Kia's are not mad to last.,,
5,great small SUV for the price,Will Heater ,06/06/2016,5,3,3,,,5,3,5,3,,,"this vehicle has FWD, but with good snow tires it was the best winter auto ever. MPG not great. Having a 2.7 L engine worth getting less milage. I would buy another Sportage. Only been in the shop twice in 8 years other than routine  brakes , oil and filter,etc.",,
5,Love my 2008 Sportage,Joan ,05/04/2016,5,,4,,,5,4,,3,,,"There isn't a more reliable vehicle. I've had the car for eight years and never had a problem after more than 90,000 miles. No GM car I've ever had can match that record. No car payment for the past four years and only cost has been regular oil changes. In eight years, changed the battery once and the tires once. Would buy again but the new model does not have the fold down front passenger seat.  Thinking of buying a Buick Encore which does have the fold down front passenger seat but not confident it will be as reliable.",,
5,mountain road king,"Tony M, ",04/05/2016,,5,5,,,5,5,5,5,,,"I had tried my kia sportage 4 wheel drive 6v from las vegas to salt lake city  and back after two days, had feeling of confident that it works well in up and down the road, zigzag was not a road threat at all, it can be maneuver easily and controlled, engine power is excellent, it will not turn you down, At first I am not confident about her performance, but with long driving, I can testify that it is a quality SUV, I don't blame myself for having Kia brand.",,
3.625,Have I really become a Kia fan???,dmblystone14 ,07/11/2013,,,3,3,5,5,,3,3,4,3,"To be fair this is actually my girlfriend's car but I drive it almost as much as she does. Everything about this car is average: the interior, the exterior, the performance. Nothing impressive. But I have actually become a Kia fan because of the reliability. We've had this thing on several long road trips with no problems. Other than maintenance items and a transmission fluid change at 45k miles due to hard shifting this thing has never let us down. I have a rear-wheel drive V8 and am looking for an 4WD SUV for winter. I just might get a KIA Sportage of my own.",Reliability is the only thing I really like about this car but that makes everything else much more bearable.,"All of the improvements I'd recommend they've probably already done on the newer models of the Sportage. These include nicer interior, especially more comfortable seats. A more powerful engine and better handling. But like I said if you want a used SUV that is reliable I would definitely consider one of these."
3.5,Non smoking Campers view 2008 sportage.,4wheels2move ,12/28/2012,,,3,3,4,4,,4,3,5,2,"This review do to recal on the 2007 sportage Going home from the dealership my check engine light went on. I read the manual. I checked for recalls on the web. I found one recall for brake sensor and took the 2008 kia back . I told them of the recall. Kia checked thecomputer and told me they had never had five sensors bad , reset my computer and sent me home. Light came on just down the street. I told them I thought it was the brake sensor. The computer said steering. They replaced it. Almost home check engine light again.I told them brake sensor gives false codes. They replaced pitch,yhaw, finaly the last the sensor a brake sensor done. When cruise control stopped working. Problem fixed","Good Visability from drivers seat. Adjusteble drivers seat. Good ground clerance for rough dirt roads. Dual automatic select transmision, Drive or select the gear wich is good on steep down hill dirt or snow roads allowing compresion breaking with disck breaking. Fold flat back and front passenger seat. I can camp in the car and not share a tent with bears. More accseserirse are standard than compotition. Rear ac/heater is under front seats, a plus in hot/cold climates. roof rack with crossbars holds safari rack and up to 100 pounds cargo for week long trips. Controls are intuitive and easy to accsess. 6 bevrage holders. Good leg and headroom for front and back seat passengers.","Back seats should recline. Better plastic on the interior. Add center arm wrests in front. USB port for mp3. More padding in seats for long trips. Somthing I have never seen in a car, Smokers portals that can open and turn on cabin presure to expele secound hand smoke and other oders. One by each window and one by each ash tray. A hot water dispenser for coffe and tea. A cold water dispenser for premixed beveages. A small ice maker to keep ice chest topped off . A built in air compressor for tires and raft with led lights and emergany light."
3.5,"Vehicle is Passable, Service Stinks on Ice",wschlagel ,07/13/2011,,,5,5,2,3,,3,5,2,3,"Vehicle had defect issues with respect to door handles. Within one week, three of the four door handles broke off in my hand.Dealership claimed there was a recall, but used a recent ice storm to slither out of replacing the door handles.Wanted to charge me $500 per door.When asked about the fairness of doing such a thing, dealership shrugged me off and told me ""you shouldn't have bought a used car"".Vehicle performance is marginal.Acceleration isn't that great, almost no power.Vehicle doesn't seem to handle speeds above 75 very well.Mileage is terrible, but probably good for SUV.Vehicle is roomy, and interior laid out well.","Vehicle is very roomy.
Seems to hold together well, other than door issues and lack of power/fuel efficiency.","Issues with vehicle would not be a big deal if dealership (University Kia in Huntsville, AL) didn't resort to such underhanded tricks to weasel out of their obligations to repair a defective car.
Truly horrid salesmanship and customer support - they really don't care about the customer once the sale has been made.
One would even say their sales process is abusive to the customer.
There is much more I wish to say about this - however, I am limited as to how many characters I can use, here."
4.75,GREAT VALUE!,nikki1274 ,02/23/2011,,,4,5,5,5,,4,5,5,5,"Great car all in all. I bought it in Feb 09 for $15,000. I was looking at used cars and found this to be cheaper brand new than the used 4 cyl. 07 Ford Escape. I love the way it drives and it looks awesome. VERY SPORTY!!! My only complaints are the tires wore out around 20,000 miles and it cost around $700 to get 4 new ones! Kia told us that the tires for this vehicle are expensive and thats just the way it is. Gas mileage is my other complaint when i fist bought the car I was getting almost 23 on the highway and after replacing the tires with ""gas saver"" tires I now get about 19.5 highway. No one seems to know why the mileage has gone down. Except for those things I LOVE THIS CAR!",,
3.75,Solid & Reliable,sanford ,02/28/2010,,,2,5,5,5,,4,3,3,3,"I bought this car in July 2008. I was in a bind, had to get something quick, and couldn't afford hefty car payments. I got a good deal and went with it. For the price, it is a good car. Sturdy, reliable, solid. I have put 28,000 miles on it in 19 months and have not had it in the shop once- we won't mention the trip to the body shop after a silly accident in the snow, will we? I read reviews before purchasing but, worried about gas prices, still went with a 4 cyl. Not a day goes by that I don't wish I had paid the extra $800 for a 6 cyl. The interior is made with lots of rock hard plastic but, for the price, I would recommend this car to someone low on money yet desirious of an SUV.",LOVE LOVE LOVE the size of this little cutie. It is perfect for me and my daughter. The cargo space is nice; the rear seats go down so easily and perfectly flat.,The center console is laughable. It is so low one cannot rest his/her arm on it w/o falling over. Improve gas mileage which is quite unimpressive given its low-powered engine.
4.375,Great Colorado SUV,Jule ,02/18/2010,,,4,5,5,5,,4,4,4,4,"I bought the Volcanic red Sportage in May of 2008 after much comparison shopping for a small suv. Test drove the CRV,Rav4, Rogue, and Outlander. Based on price, comfort and mpg it came down to the Outlander and the Sportage.  Rav was uncomfortable and noisy! Outlander didn't have a light colored interior and was priced a bit higher so went w/the KIA and got it for the same price as a 2007.  I get 25-30 mpg(city to hwy). It has 18,700 miles and 3 oil changes on it.  Runs great, no problems. Good in snow,rain and mountains. I scaled down from a Windstar minivan and am very happy w/my choice! Recently rented a Sorento and it was even more comfortable, smoother ride and quieter on the hwy Go KIA","Roomy front and back. Like the option to open just the back window and not the whole hatch back. Like how the lights go off when I forget to turn them off when I turn off the vehicle. My old vehicle had a ding sound to remind me but I like the ""lights off on their own"" better.",Needs a front armrest and a keyless entry would be nice.  Couldn't hurt to boost the horse power and make it a 5speed but then the price would be higher I presume.
