5,Love,Chuck ,10/02/2016,5,5,5,,,5,5,5,5,,,"Have had-14 caddys,4 Lincolns and 7 Mercedes and this is the finest car I have ever owned!",,
4,Ride in style,David Ross ,09/27/2016,5,4,5,,,5,4,4,4,,,"84000 miles on this car begore first repairs!!!! It rides like a dream. Jumps to highway speed quickly even with a full passenger load. Great mileage even by current standards (31 hwy). Always a joy to drive,",,
5,Great vehicle,Fred kilgore ,09/21/2016,5,4,5,,,5,5,5,5,,,"Very quite, reliable, great handling and peppy engine with good gas mileage.",,
5,LOVE THIS CAR!,Kristin Martin ,08/29/2016,3,3,5,,,5,5,5,5,,,Excellent choice for every kind of Buyer. Love this car,,
5,Would be a return customer,cielosf ,07/29/2016,23,5,5,,,5,,5,5,,,"This car rides like your on a cloud. Not a canyon carver, that's what my Corvette is for. If you want a super reliable, comfortable ride, you can't do better than an ES 350 Lexus",,
4,Delilah D'Lexus that's what I named her!,Teri ,01/26/2016,,5,5,,,,5,5,5,,,"I would recommend this car to anyone especially those who drive a lot and enjoy travelling in comfort. Pros....pretty much everything. Steady. Smooth. Reliable.great looking interior.everything at your fingertips as far as controls go. Cons: sits a little too close to ground therefore it tends to bottom out on steeper inclines/declines. Can be a little hard exiting car at times if your taller than your average. I'm now looking to buy my 3rd Lexus, I'm hooked on  and spoiled to a Lexus. I'll miss Delilah D'Lexus but I know her sibling is awaiting for me.",,
3.625,Kinda disappointed ,carmoo ,04/15/2013,,,3,4,3,4,,4,5,3,3,"I have driven an Acura TL for the last five years.Let me unequivocally say that the TL is a superior vehicle except in one area.The lexus has a plush and very comfortable ride.The panel on the Lexus is completely dull.The low roof line really compromises us guys over 6 feet tall.The lexus lacks many features that are standard on the TL, like satellite radio.Upgrades on the lexus like land navigation are very expensive to add.This is not a sports sedan, lots of body roll in the curves.Decent power and excellent fuel efficiency for a v 6.BE AWARE:the paint job on this model really sucks!Two paint chips the day after I drove it off the lot and there are more!Loud engine!","Standard fog lights
Nice sizes trunk
Excellent gas mileage
Nice exterior ","Better quality paint
Engine too loud
Low roof line
Better sound system
Better up to date dash
Front brakes
Too much body roll in curves"
3.125,"Like other first-time Lexus owners, disappointed",swa_tech ,11/02/2012,,,3,3,3,3,,4,4,3,2,"Based on the opinion of a friend, purchased a 2008 ES-350 w/ 56k miles from Lexus dealer. Immediately experienced transmission shift flares, abrupt downshifts. Software update didn't fix it, transmission was replaced. Other issues not yet addressed: soft engine knock (piston slap?), timing chain rattles briefly when engine not started for several days, plenty of interior rattles, and of course paint chipping. While baffled that a car costing over $40k new would exhibit these technical issues at av'g miles, I must say the dealer service (Sewell in Dallas) has been exemplary so far. ","Smooth ride, good fuel economy, lack of wind noise.","General build quality, interior appointments quality, durability of exterior finish, powertrain integrity, etc., etc.
Build and deliver a car that is substantially more than a Camry with better insulation."
3,Toyota Lexus quality slipping,yankster53 ,07/04/2011,,,3,2,2,3,,4,4,3,3,"Not happy here, ES 350 and paint chips all over the hood, this car is primarily driven by 56 yr old stroke victim who drives 3 miles to Krogers few times a week, it is 08 and has 27K miles on it.Tires are shot, rattle inside that has been there for a long time. Leather seats are not holding up, gas mileage is good for the amount of power it has.This will be the last Lexus/Toyota product...I go back to 1976 Celica, 80 Cressida, 90 Celica, 2005 Sequoia 2006 Scion XB and they would be sorely mistaken thinking I would ever purchase again from them. Nuf said...",Gas mileage vs power,"go back to the way it used to be, stop using plastic internal parts."
3.375,2008 Lexus ES350 engine troubles,JJ ,11/10/2010,,,2,4,2,3,,4,3,5,4,"I bought the car new and have had an engine noise from the beginning that sounds like a valve lifter. Lexus started out claiming no noise, then no abnormal noise, than piston slap and finally less than premium gas in the tank.  I have all gas receipts and they're all premium.  The NCDS (National Center for Dispute Settlement) funded by Toyota wasn't interested in the evidence disproving the Lexus claim.  The noise had gotten worse and Lexus refuses to address the issue.  The value of this car will be greatly diminished at trade in time.","Good looks, good power, great gas mileage.","Toyota needs to address this engine issue.  Various dealers have told their customers that the noise was from fuel injectors, timing chains, and mine said piston slap and less than premium octane.  This appears to be another Toyota cover-up."
