5,Noname,owleyes11 ,09/30/2016,4,5,4,,,5,4,5,4,,,"First owner bought this car for his wife, but she didn't much care for it, so after six years, the odometer read only 9,800 miles.  I bought it at premium price from a Lexus dealer.  After two years and 28,000 miles no problems.  All scheduled maintenance was performed.  Replace front bumper  2 or 3 times, but that is because of pilot errors.  I am a loyal  Lexus owner.  My previous car was a '98 LS400 with 390,000 miles it and spent 4,000 dollars on my third 90,000 mile checkup.  It was time for a change.   I gave this car to my niece and bought this newer car and expect 250,000 more miles of satisfaction.",,
3,not perfect but i love it anyway,bennette ,06/19/2016,4,4,2,,,5,5,4,5,,,"Bought my 2008 used with 101200 miles on it in February 0f 2016. Had prepurchase inspection done at a lexus dealership. On the way home both head lights went out. Shortly there after i noticed that whenever i was stopped the car would idle very roughly. Took the car to the lexus dearership where they kept it for four days and could not solve the problem. I have tan interior and allthough it's beautiful to look at it is hard to keep clean my drivers side door shows a lot of wear. Believe it or not I still i love my LS, the excelleration is awesome the gas mileage is awesome and i look forward to years of reliabilty. No car is perfect but this one is REAL close. Will up date has the years pass.",,
2,My first and last LS,Krish8395 ,05/08/2016,1,3,3,,,1,4,3,4,,,"I have owned this car for little more than 4 years, bought it at 60k miles and now it have 146K miles. Great car till it comes to front suspension issue, its a money pit. I have had my fair share of BMW ownership as well; however, my Lexus tops BMW in repair bills. I have put over $5K just in suspension work and no this car has never been in any accident. What happened to the legendary reliability? I guess it is only legend with this car, even dealership acknowledges the inherent issue. Shame on you Lexus for charging premium price for this junk as well as premium price for parts.Update: Dealer recommended to replace brake activator assembly for $3,706.91 for making noise,, they always refused to fix it when the car was under warranty because it was character of LS460 and didn't cause any danger to its occupants. Interior of the car has started to melt in Houston TX heat. Just Google yourself ""Melting Toyotas"". Lexus has refused to fix 2008 and onward,,, they are only doing recall on 2007 LS460. The most disappointing car I have ever purchased. Lexus LS460 sales has dropped 2007 - 35,226 to 2015 - 7,165 (US sales).... Keep making cheap cars Lexus.....",,
5,My 3rd LS,Jim L. ,02/06/2016,3,2,5,,,4,5,5,5,,,We bought it used with 66k miles on it in Aug 2013. Now has 72k and nothing has went wrong. We also have an 02 LS430 with 112 on it and the only thing that broke was the driver window regulator.  Way way more reliable than the 7 BMW and one MB S class we have previously owned.     The car is super quiet and gets great mileage on the highway.   The Mark Levinson in my 08 is much better than the ML sound in the 02.  The stereo is absolutely fantastic!  The other thing I like is it has a chain driven timing belt so no more expense of replacing the timing belt in the previous generation.  I highly recommend this car.,,
5,"""The Best Luxury Car""",Murphy S. ,01/03/2016,5,5,5,,,5,5,5,5,,,"I have owned or driven various cars such as Mercedes, BMW, Audi, Acura, Lincoln, Cadillac etc. and Lexus is the most luxurious, smooth riding and reliable car not to mention a great value.  Lexus vehicles are not flashy but they have a conservative, luxurious presence that says quality.",,
4.25,08 LS460 - somewhat dissapointing,jeffstephan ,03/15/2015,,,5,5,3,5,,4,5,3,4,"have 65,000 miles on one.  Levinson amplifier went out at 60K.  Found a repair shop in NJ to fix it for $700.  It is 3000 if you go to dealer.  Navigation is slow to put in addresses.  Cannot change address while driving.  Hard to jump start car as battery is very close to firewall with plastic molding above it that needs to be removed.  Driver's side window switch went bad at 45,000 miles.  Found a used one on ebay for $125 and fixed myself.  Paint scratches very easy like others have mentioned.  Sound of speakers is excellent.  Decent mpg for V8.  very comfortable on long drives and safe.  Suspension sags into corners when driving spirited.","Sound, quiet at hwy speeds, leather seats high quality, head liner high quality, auto closing doors and trunk, wooden steering wheel, heated steering wheel.",Prior BMW just seemed more reliable sadly.  I love Toyotas and lexus and feel I had more problems with this than german cars.  Had other things wrong too but forgot to mention them all.  Seems like seats take longer to heat up as car ages in winter time.  Put battery in better place in the event you need a jump start.  Navigation system computer did not have a fast enough processor.
4.25,Broke,Fred ,08/31/2010,,,5,5,2,2,,5,5,5,5,"Car has been in the repair shop three times in less than 2 years.  Brake problems.  What a pain for a $75,000 Car.",Classic,Build the Lexus like you did in the Day.
3.5,A Disappointing Update,Rick S - updated ,08/29/2010,,,4,4,2,2,,3,5,4,4,"Now that I have had this car for 2 1/2 years, I thought I would add an updated review.  This is our 4th Lexus and I am disappointed in the overall quality of the car.  Aside from the recall, I have had a number of mostly minor quality- related issues since my last review, including an issue with paint chips on the front of the car and a blown out speaker in my expensive Levinson stereo.  If I had to do it over again knowing what I know now, I would not purchase this car.  I expected uncompromising quality in a car I could drive for 10 years like my last 2 (less expense) Lexus vehicles.  Now I worry about expensive repairs down the road.  I am thinking seriously about getting rid of the car.",Comfortable car with incredible fuel economy for a V-8 (on highway; terrible fuel economy around town).  Bluetooth works great.  It is difficult to point out too many highlights when you bought a car for it's quality reputation and then find yourself disappointed in the car's quality.,Overall quality is clearly not the same as previous Lexus vehicles; Navigation needs to do a better job of phone number and address look up - it is quicker to print out something from MapQuest before leaving; voice commands mostly useless - quicker to push buttons
4.75,Another Home Run,Mike Chadwick ,05/06/2010,,,5,5,5,5,,4,5,4,5,"This is my second LS, the first was a 1995 LS 400, I ran it for 15 years. This car is very much the same, just much more advanced, smooth and powerful.  Lexus is getting pricey is the only bad thing, but once you're used to this car no other even comes close. I tried to find a more economical replacement but there are none on the market.  The German cars that are in the same league are unreliable and even more overpriced than this one, and because I keep my cars forever they're not an option for me.  If I leased it wouldn't matter, outside of how much time you care to waste in a car dealership. ","Ride, power, silence, luxury, Levinson stereo, simple controls, no mouse type control. ","Leave the navigation functioning while driving, having to stop to input data is a real downfall.  Aftermarket fix has the potential to do real damage to the car.  No override this year, big mistake.  Another example of the lawyers ruining our world. "
4.875,2008 LS 460,ken ,11/15/2009,,,5,5,5,5,,5,5,4,5,"We went with the Black, with Tan Interior. Great car, I get total strangers coming up to me and telling me what a great looking car I have. That never gets old. Rides great, very comfortable, easy to use nav, love the back up camera and sensors, door auto close and trunk auto open and close, heated and cooled front seats and heated rear. Fair gas mileage, about 17 in town and 19 on Highway. This is well worth the money, will never own anything else.","Parking sensors, Nav, auto close doors and trunk. Lexus service department.","I got the upgraded wheels, they are very soft and will bend at the slightest bump of a curb. First week I owned the car I went through a drive through and bent a wheel."
5,Truly amazing car!,LSfan ,09/30/2009,,,5,5,5,5,,5,5,5,5,My wife and I originally went into the Lexus dealer looking for a new GS.  The salesman took us for a ride but said upfront that the car may be a little small for me.  I am 6'5 and broad shouldered.  He was right and the car was a bit cramped.  While we were waiting for him to return with the keys my wife saw the LS460 and said she loved how that one looked.  I of course responded that it was also the most expensive!  When our salesman returned we said we would also like to drive the LS.  Of course there was no comparison and we bought the LS.  It is just the perfect car.  So fast and incredibly comfortable.  The interior is the nicest we have ever seen baring none.  Highly recommend it!,"The high horsepower engine is amazing, blue tooth and hard drive are great.  Mark Levinson sound system is truly unbelievable.  19 speakers!  Remote controlled window and sunroof opening is great too.  ",True Iphone/Ipod connection not just an mp3 jack.  Some better wheel options and something with chrome.   Mp3 downloading ability instead of just wave files.  That is really it.  Love everything else.
5,2008 Lexus LS460,Irfanski ,07/05/2009,,,5,5,5,5,,5,5,5,5,"Great car, smooth and comfortable ride. Great mileage - have driven ~5200 miles and have gotten ~22mpg in city and ~30.5 mpg on a 475 mile trip from NC to KY via the Virginia/WV mountains. Worth every penny (since I got it for a discount buying a new 2008 as the 2009 models were coming in).",Love driving it on the highway. Very smooooooth. Love the interior comfort & am content with the outside styling.,Nothing major. Nav lockup bugs me. Of course I don't intend to fool with it when I'm driving but the front passenger should be able to control it...
4.625,"Great car, but still has some issues",tommyguy ,06/23/2009,,,5,5,5,5,,5,4,4,4,"After a year with this car, it has been very dependable.  However, like  with most other owners, the side wind noise drives me batty.  And calls to Lexus say that it is a design problem, that nothing can be done about it, and the problem won't be addressed until about the 2011 model year.  Bummer.  Also, the complete lockout of nearly every navigation feature while in motion renders the system nearly useless.  Don't waste the money on this.  Buy a Garman instead.",Excellent sound system when the wind noise doesn't overpower it.,Fewer doodads that I rarely use and concentration on the basic comfort and quality issues.  Front seat does not have a tilting seat... only up and down and back and forth.  Just the back tilts.  I like to be able to adjust in this way and expect it on a car this expensive.
5,"Overall great, needs a few improvements",Lexus Lover ,03/29/2009,,,5,5,5,5,,5,5,5,5,"First off this is my fourth Lexus.  The car is great as far as comfort, handling, and performance.  My major complaint is the difficulty of modifying the navigation system while the auto is in motion.  I understand the safety ramifications, but when you have a passenger in the front seat this should be disarmed.   I was pleasantly surprised with the gas mileage...I've actually hit 33 miles per gallon with this car, which to me is unheard of with this large of an engine (and considering how fast I drive).  The navigation system is not logical.  The Acura RL I recently traded in was very intuitive, this one, the driver actually has to arrange his thoughts before hitting the ""talk"" switch.",Retracting mirrors when the car is locked.,"Allow the navigation system to operate while the car is in motion. And make it more intuitive: i.e. to program a previous destination, allow the driver to say something like: ""Navigation"", ""Previous Destinations"", (and choose the desired location), then say ""Enter""."
4.875,Bimmerman blown away by LS,mkgupta ,02/06/2009,,,5,5,5,5,,5,5,4,5,"I have owned a BMW 3 series, 540i, MB SL 500 and a Porsche 911 C4S.  The LS is no Porsche of course but it is the ""Porsche"" of luxury sedans in my opinion.  The ride, power, and luxury are at the top and the reliability is a good feeling to have.  The performance is very good for a large sedan, not as good as the 750, but pretty close. For the money, the LS 460 L is by far the best purchase I could have made in this segment.  unbelievable car, go and get your own yow won't regret it.","Soft close doors, Marc Levinson, HDD that rips CDs, rear seat recline, leather headliner, chrome trim, parking guidance, rich leather and wood trim, and adjustable air suspension package.  ","Front end needs more refinement, wider wheels to enhance appearance.  After market wheels are available in 10"" width."
5,Ultimate Comfort,APAXCGI ,02/05/2009,,,5,5,5,5,,5,5,5,5,"I just bought my 2008 LS and am extremely impressed. The two things that absolutely stand out are the following: interior styling and fit and finish, and the smoothness/quietness of the ride at any speed. Clearly Lexus is well known for both of these attributes but on a daily basis they continue to impress. I shopped the 7, S550, A8 and all of them are very fine cars but none of them though outdo the LS is the aforementioned categories. AND - the LS is 20k less than all three of those models. Bottom line : An extremely fine vehicle in every sense that tries not to scream ""I am rich"".","Interior, smooth acceleration, Mark Levinson audio, navigation, styling.","I added the ""touring"" wheels to my short wheelbase at extra cost. They should make this an option instead of an accessory."
5,3 month review,TONY ,11/25/2008,,,5,5,5,5,,5,5,5,5,"Purchased in Sept. My first Lexus and am still excited to drive it everyday. Very quiet and comfortable and it has plenty of gadgets. The sound system is unbelievably good. I am currently getting around 27 mpg, mostly highway. I haven't had any problems or have had it serviced yet and so a good service visit will put it over the top.",Mark Levinson sound is number one followed by all the other gadgets.,"When you switch modes (ex: map to audio) it always reverts to prior mode, I would like it to remain in the mode that you are working in."
