5,"Works Fine, Last a Long Time",Thomas Owens ,06/03/2016,5,5,5,,,,5,5,5,,,"This was my first luxury SUV, and I really enjoy driving it.  Although it doesn't have the bells whistles of my wife's 2013 GS 350, it drives great, is easy to maintain, and gets great mileage.  Of course, I've had the Oil and Filter changed, and tires rotated every 5,000 Miles, plus any other factory recommend maintenance items.About six months ago, I was with the Director of Aviation, and the Chief Pilot of a well known German Automobile Company.  I asked the director of aviation how many plants they had around the world. He counted them up and said about 13.  I then asked him which one had the best quality control.  Without blinking, he responded, LEXUS.",,
5,Great Hybrid SUV,Karin ,01/30/2016,26.7,5,5,,,5,5,5,5,,,"Loved this car from the minute we bought it new.  Nearing 80,000 miles and no complaints! Only some paint chips on door edges.  Not buying a new one though.  Don't like the new design and new screens.  No more touch screens - uses a mouse!  OMG!  They went backwards!",,
4.75,"Great Vehicle, fantastic mileage",lexus_gta ,09/15/2014,,,5,5,5,5,,5,5,5,3,"I bought this used about a month ago with only about 60 K km. (less than 40K miles) on it. After much research I decided to use only REGULAR gas in it since it seems that Premium is more about performance than fuel economy. I'll probably throw in an additive every three months or so. Having driven it about 2500 km. (about 1500 miles), I'm averaging 8.6L / 100km. which is just over 27mpg. And that's on REGULAR Gas. My 2010 2.4L 4 cyl. Hyundai Santa Fe could not even begin to to approach these numbers. Couldn't be happier because I got a great deal on a car that was just inspected by Lexus and had all the brakes done by Lexus, and is practically new. My best vehicle ever!","Interior room and comfort, quality of leather seats.
Great HID headlights. I live in the country and immediately noticed the difference in illumination between this and the Santa Fe.
Fuel Economy.
Power liftgate
Rain sensing wipers",Can't think of any
5,Excellent Vehicle,ramskifast ,08/27/2013,4,3,4,,,5,5,4,5,,,I bought this vehicle with 64K miles on it.Now I have 102K.My worse tank was 24mpg and the best was 29.25mpg.I seem to average between 25 and 27.50 with mixed driving.  High speed highway (75-84) is only around 22.When I get the higher mileage it's usually when most of the driving is at lower speeds as you would expect.I noticed a review of this vehicle by someone stating poor mileage. There was either something wrong with the vehicle or it was due to poor driving habits.Way too many people blast up to the light and hit the brakes.Then they hit the gas hard taking off.Dumb-de-dumb.If you use softer driving habits you will get 26-28.You have to be thinking hybrid.Smart drivers will see the good mileage.Navigation works well with two exceptions.  First is it's incredibly dumb that a passenger can not program the vehicle while the car is in motion.  Second is the warning notice which displays for 5 or 6 seconds everytime you hit the NAV button.  There should be a way to stop it from doing that.,,
4.75,Reliable but the buy a self-battery jumper because the starter battery will die on you,greyhounds3 ,03/16/2011,,,5,5,5,5,,5,5,4,4,"I bought this used and the hybrid system was not explained to me at the dealership.I had to go to another dealership which took the time to explain the hybrid system to me.(I stayed a customer at that dealership)The starter battery dies in cold weather on a regular basis and also will die if the vehicle has not been driven for a week or so.Do yourself a favor and purchase a chargeable self-battery jumper, which will save you a lot of time waiting for AAA.I bought the hybrid to get better fuel economy.I haven't seen the fuel economy of the Rx400h go above 26.The features and gadgets are simple and easy to use, and the seats are super comfortable. ","Seats are comfortable.
Gadgets are simple.

Decent fuel economy.

I love the power rear-door mechanism and the button on the hatch door to close the door is easy to reach, even for little petite me.

There's pretty good room in the cargo area and the back seats fold flat.","Sticker price!
Real pricey.

Fuel economy is not what I expected or was hoping for.

The starter battery drove me crazy.
The starter battery dies easily in cold weather.
It also dies when the vehicle has not been driven for a week or so.
Don't bother waiting for AAA:
buy yourself a self-jumper."
5,Wonderful Car,slo-jim ,11/03/2010,,,5,5,5,5,,5,5,5,5,"My RX 400h has been the very best, most reliable vehicle I have owned; buying my first car in 1967. Gas mileage has been super, averaging 28.5 MPG since day one. it is solid, very comfortable, has lots of power and a joy to drive. I recommend this car to anyone who wants a quality, energy efficient hybrid!","The hybrid system and fuel economy, combined with a luxuriant vehicle.",The navigation system is a disappointed. I understand they made major improvements with the 450h. I am getting one in a few weeks - we'll see.
5,New to us,John ,03/27/2010,,,5,5,5,5,,5,5,5,5,"We purchased a 2008 pre-owned certified 400H with 18,100 miles on it. It is pristine. Have driven it a week now and am getting 28.2 MPG around town and on the highway combined. Have had no problems. It is fun to drive and is very comfortable. I see some reviews stating poor mileage. Not here. If you want to drive it like a regular car, quick acceleration, high speeds, you will get the performance of a regular car. I had to learn to drive the hybrid properly and it is great. It has plenty of power, amazing actually. The only down side so far is the audio on AM stations.  FM is excellent. AM sounds ""tinny"" though. So far, e love the car.","Navigation, hybrid MPG. Quick response and fun to drive.",Audio AM should be improved.
4.25,Poor gas mileage,jfinley ,10/17/2009,,,5,5,5,5,,5,5,1,3,"This is a very nice car, but I challenge anyone out there to prove they are getting better than 22-24 mpg.  Better, I challenge Lexus to prove it.  My fiend with a V8 truck gets better mpg.  Shame on you Lexus, shame on me for buying.  ",ride quality,"mpg, nav"
4.625,Combination of fun and milage,Dr Var ,09/01/2009,,,4,4,5,5,,4,5,5,5,Great for long rides and everyday drives. Absolutely love the feeling of CVT and can see the vehicles on the other lanes disappear in my mirrors with out the feeling of gear change.,"Fuel economy, ride quality and CVT.",
4.625,2008 Lexus Rx400h Review,cduluk ,06/25/2009,,,5,5,5,5,,5,4,4,4,"Purchased a used 2008 Rx400h AWD a few weeks ago with about 40k miles. I had a 2003 Lexus Rx300 which was nice, but I needed an upgrade. The Rx400h is definitely an upgrade as it has many nice features. The 0-60 time of ~7 sec is very good for a v6 SUV, and the acceleration is very quick. My only complaints are the lack in seat comfort and lack of advertised gas mileage. I'm getting around 23mpg combined vs the 30 as advertised. Also the fact that the car doesn't have the new ""smart key"" feature as the rest of the 08 Lexus lineup has. But other than that, i am very satisfied! ","Automatic rain sensing wipers, larger HD navigation screen, back-up camera, AFS turning HID headlights, power rear liftgate, Bluetooth system, voice activation, telescoping steering wheel, quick acceleration in times of need, the fact that it's silent under 20mph!","better mpg, nav being able to be used while driving, comfortable seats, better voice activation with more commands, more exterior color options (no dark blue??)"
