5,Great car,Mariah ,12/01/2015,5,5,5,,,5,5,5,5,,,,,
1,"Surprise, Surprise!!!",Causality of a Bad Design ,10/18/2015,,,,,,,,,,,,"Bought 2008 CX-7 in '08 with no miles. Had no issues until June 2014 after driving the car 2.5 miles and the car started to overheat. I parked the car and took it to the dealer the next day. Diagnosis, the engine needed to relaced. Never had a check engine light warning or any other indicator for that matter. It is now October 2015, a refurbished engine and new  turbo later, the car still does't work.  The car has been operational maybe 4 months in this timeframe. A car salesman who was a friend  told me to trade it in after paying on it for 3 years back in '11 because he said these engines were bad. I wish I had listened. Mazda should be ashamed of themselves. This model's engine was a lemon.",,
3,Let me tell you!!,lykeisha ,09/14/2014,,,1,4,4,2,,3,4,1,5,I got this car with 18k miles on it and I initially loved it despite the premium gas and the gas mileage it was great.  We took it on family trips from Ohio to Florida on 3 occasions.  60k noticed an oil leak-engine ouil cooler was defective-not covered under warranty but Mazda was aware that this was a known issue and was doing nothing about it.  Cost-$600+.  White smoke out the exhaust-Vent kit needed-known issue not covered.  Cost-$700+.  At now 98k all of a sudden rattling took it in low on oil by 4 quarts?? No oil light came on or service light came on?? A week later guess what same thing..and the engine is blown!  Talk about Angry... I still owe on it and I am just going to junk it.,"Body, turbo, torque, and the driver seat adjustment!",I had contacted Mazada when the engine oil cooler went out because the mazda dealer I got my car from said this is a known problem and they were not going to be making this model anymore because of all the issues.  I asked if they were going to take some kind of responsibilty-  Answer was-No!  Even though I was still under warranty.  Mazada needs to take responsibility by fixing the problem of charge or offering trade-in for another mazada and taking car of the remainder of the car loans people took out in an effort to buy this vehicle.  The interior was always horrible from the ceiling to the carpet!  Tires were too expensive.  Pretty much done at 60k.
4.25,Turbo gone!!!!,nichele ,08/01/2013,,,4,5,5,3,,4,4,4,5,"I bought my 2008 CX7 with almost 5k miles. I really enjoyed driving it....until the timing chain had to be replaced at at 40000 miles, which I thought was a little soon but it was covered.About a year ago, I had to have the engine mount replaced, some bearings were worn and there was an oil leak. That was not covered over $1000 worth of repairs. The CEL came on over the weekend. Took it to the dealer ,turbo engine done....timing chain again, The car needs almost 9000 dollars worth of repairs..are you kidding me!!!The service rep told me that I did good for having 95k miles on the car without anyhing major happening before now.Going to get rid of this car!!!",,
1,Engine Failure CX7 @ 70K miles,ruby23 ,05/02/2013,,,1,1,1,1,,1,1,1,1,"We bought a Certified CX7 2008. A year and a half later the car is completely giving out. We take MAJOR care of all our cars with Synthetic Oil, so when they told us it was due to ""Sludge"" it was definitely a slap in the face. The engine needs to be replaced at only 70k miles. We talked to a mechanic and he told us that the turbo overhearts the engine turning everything into sludge and even melting it. Although we have a platinum coverage, the insurance is doing everything they can to blame it on us. I've been looking at reviews and it seems ALOT of you are having or had the same issues! It's horrible to keep paying for a car whose engine dies of its own malfunction. Its time Mazda owns up!",None anymore!,"Improve your engines and remove the turbo, its over heating causing malfunctions and melting. "
3.125,Engine Failure,mazdasrjunk ,04/05/2013,,,4,4,3,1,,3,3,3,4,"We bought a 2008 CX 7 with 62,000 miles on it in April 2012 they replaced the vvt adjuster and chain at that point. It is now March 2013 and 14,000 miles later and the vvt is out again, the turbo is out and after a $3000 quote to repair it my dealer calls back and says ""well we made the repairs to your car but it is going to need an engine"".That is supposed to cost $6,000. No helpis being brought from Mazda the issue is being pushed to higher up in the world of Mazda.Needless to say Mazda has not impressed me.They are telling me this is caused by ""sludge"".But in the next breath my dealer tells me ""sludge"" is normal in this engine. I wonder how this will play out. ",,"Fix your engines so they last longer than 76,000 miles before needing replacement."
1,Mazda Builds CRAP!!!!!! Buyer Beware,jimjaq1 ,03/20/2013,,,1,1,1,1,,1,1,1,1,"Mazda's design engineers have the heads in a very dark hole. The turbo charger they put in the vehicle does not lubricate itself and fails quickly. At 70K the timing belt has stretched and failed causing a complete rebuild of the engine (BTW, Mazda won't cover any of that, wait until you get to deal with their warranty people). Mazda has design a vehicle that is very noisy inside, bad visibility from anywhere inside the car, terrible air-conditioning, the car rides like a stage coach, and worst of all Mazda does not back its warranties and hides from its responsibilities concerning its products....buyer beware","There are NO redeeming features in this vehicle. Please buy a Toyota, or a Ford, but DO NOT invest your good money on a Mazda product, it would be throwing you money down a rat-hole","The company should make bottle caps, it appears that's the extent of their mechanical and electrical prowess. PLEASE heed this review, you'll regret your decision, it's only a matter of miles."
5,Love my baby!!,loveliladi ,01/09/2013,,,5,5,5,5,,5,5,5,5,"I purchased a 2008 CX7 in Oct 2012. 3 days after purchasing it I too had white smoke coming from the exhaust. I returned it to the dealership and they fixed it with no questions asked. Other than that, like everyone else, the gas consumption is a little low but it also depends on how you drive. If your always driving like a bat out of hell then of course your gas consumption will be less than someone takes their time or goes a slow, steady speed. The interion is comfortable (sometimes I feel like Im in a cockpit in a spaceship lol). The back is very roomy and everyone says they love it back there. This is my first SUV so I ma love, love, loving sitting higher. Great purchase so far. ",,
4,Fun car to drive but too many issues.,colgezgini ,01/05/2013,,,5,5,1,3,,5,4,4,5,"I will edit this review with details; in a nut shell, it is very fun to drive, good steering and suspension response on all kind of roads. It is agile and has road holding that is better than all of its rivals.Its brakes are also impressive and despite they are little difficult to dose, stopping distance is beautiful.I am 6'7"" and I fit inside comfortably.Actually, I have a friend who owns an BMW X6 and a 2010 CX-7 and he likes dynamics of CX-7 more than X6. His words are ""CX-7 is like extension of my body, obeys all my orders perfectly"".",,"Now the complaints:

1- Terrible consumption. I like playing with my toy a lot, so if push turbo, my mileage goes as low as 15 mpg. Highway driving, I average 21 mpg if I drive around <80mpg

2- Material selection for interior is also terrible. Shiny plastic is easy to scratch and steering wheel leather is completely torn in less than 5 years. Color of plastic components on the cars is also faded. I also had a white smoke coming from my car but the dealer replaced the components after little fight. I understand that is was a design error."
4.625,"Owned for years, still love it",lurking444 ,11/09/2012,,,5,5,4,5,,5,4,4,5,"I purchased a 2008 CX-7 new, in 2009. It was a ""demo"" model so I got a good deal. My car only has 25,000 miles on it so far (yeah, I don't drive it all the time). However, I do love the sporty feel, the moderately large cargo capacity, and the styling; it still looks cutting edge.I don't drive it much because my wife and I also own a diesel VW Jetta, which gets better than twice the mpg of the Mazda. I've averaged about 18.5mpg on the CX-7 in the years I've owned it. I love the sportiness of the vehicle, but you'll have to make a judgement about whether poor fuel economy is worth the love of the road/drive. I'm happy with my decision to buy this car.","The turbo engine has got plenty of kick when it 'spools' up.
The auto-manual transmission (I have the Grand Touring edition) is great.
The leather seats are comfy and still look stylish.
I like the Xenon headlamps (again on the Grand Touring).
The exterior styling, especially in my Black Cherry color, is striking.
The AWD gets me where I need to go, even in 2 feet of snow (I tested it, more than once).","MPG, MPG, MPG. How many times can I say it? A compact SUV should average better than my observed 18.5 mpg average. My minimum for my next car is 20 mpg average.

The alignment (wheel alignment) is easy to 'knock off'. My alignment destroyed my tires in only 20k miles.

The Mazda installed GPS is poorly designed; my wife's iPhone is more reliable and accurate, with a better interface."
