2,Wish I'd never bought it!,Kathy ,09/10/2015,2,,,,,2,,2,3,,,"Rusting! Thought that was a thing of the past! 90,000 miles the accelerator pedal went limp & SUV stopped moving. Had to have it towed. Now the transmission went out at 128,000.  2 yrs. before that cruise control went out. Friends' vehicles that aren't Mazdas have 200,000+ miles w/ no issues.",,
1.75,From new to now problems continue,gz408 ,03/04/2012,,,3,3,1,1,,1,2,2,1,"-4K miles Transmission cooler leaking (replaced under warranty)-8K miles Hard shifting (serviced under warranty)-22K miles transmission stuck in 2nd gear (covered under warranty)-24K miles replaced front brakes and rotors (pulsating and noisy)-Window regulator failure-26K L+R Tie rod end replacement (warranty)-35K engine knocking/tapping (warranty)-35K Serpentine belt tensioner failure (warranty)-46K Transmission shifting hard (not fixed yet)This vehicle is horribly built. Interior is noisy from all the cheap plastics. Suspension and ride quality is really bad too. I would not recommend purchasing this, you're better off with a Kia!!",MP3 Hook up,"Ride, hard plastic interior, drive train, suspension...pretty much everything!"
3.125,Fuel Pump Sensor/computer is shot,phxbarb ,02/02/2012,,,2,3,3,2,,4,4,4,3,"Everything has been fine until now. Nothing major. Yesterday driving along fine.Park. Go to store, come out.Starts, shakes, stops.Starts, shakes, moves a little, stops.Absolutely no warning anything wrong.Now a bill for $600 to get a sensor thing installed.What the?",,
3.75,Window Regulator Should be Recalled,swflmazda ,11/18/2011,,,3,4,4,4,,4,4,4,3,"Ok.. So not a bad car as my first mazda purchase.I am totally surprised there hasn't been a recall on these, that all but one of my power window regulators have snapped.Really poor poor poor design and cheap materials. Dealership wants me to pay for labor, will cost be around $800. No-way since this is faulty equipment. not standard wear and tear.. Also gas pedal gets stuck.Incredibly dangerous. Not sure what's worse; windows that do not work or a gas pedal that gets stuck.Other than that.. seems to be a decent car.",Drives smooth. ,"Better equipment for the windows and better balance for car tires.
The steel belts will separate in the tires if you do not rotate every 5K miles.
That is not a lie. They will separate and your life will be at risk.
"
4.125,Swap the Continentals !!!,pennypincher ,10/09/2011,,,4,4,4,4,,3,4,5,5,"Do yourself a favor and swap the crappy Continentals for Michelin Latitude (as Ford did for model year 2009 and on) or, for less $$, Khumo AST, or anything else that is more of a highway tire (less agressive treads) The noise reduction will be AMAZING !!! My wife thought we had a new ride. Always rotate the tires (front/rear, no X pattern) at EACH OIL CHANGE. The Tribute (Escape) rear suspension is soft (to avoid the jerkiness in turns) so the tires tend to chip off on the edges. So, diligent rotation will save the day. All in all the greatest value of my driving experience !!!","Low Fuel Consumption
Low insurance rate
Low resale value (Great when you buy used !!)
Inexpensive maintenance: no timing belt, drum brakes in the rear, long life spark plugs.","More comfortable seats. 
Standard cruise control
STAY AWAY FROM CONTINENTALS TIRES !!!"
4.875,Death Machine ,mansonslayer ,09/19/2011,,,5,4,5,5,,5,5,5,5,"I have mine since 2008 and only thing i had to replace was the a/c/evaporator, even when it's a v6, the fuel comsumption is lower than many others 4 cld i had. maneuvability is awsome and the anti skid is good. I had a few changes done with the horsepower and now i run 1/4 mile in 12.5 sec.","love the style and power , faster than most v8 and quicker than 4 cld. cars",they should add more external features like mudflaps and spoilers. and more factory gauges.
1.5,Never buy a Mazda,mlloyd1986 ,04/11/2011,,,1,1,1,1,,2,2,3,1,"This car a crap. Within the first week of buying this car the paint had already started chipping. Had to bring it in to Mazda and they corrected the paint job. The seat belts went for no reason at all. Mazda ended up replacing the all four seat belts. The transmission went while I was on the highway going 60 mph and I only had 51,000 k on my tribute. Then my car wouldn't stop stalling and it was because my radiator was leaking coolant. That ended up having a recall and they replaced that TOO. This car is junk. Everything is wrong with it. As far as I'm concerned this car is unsafe. They should invest most care and money into this car instead of constantly fixing it's non stop problems. ","It's ok on gas. Although I've been noticing it's been getting worse and worse the more miles I put on it, but I only have about 52,500 k right now. I don't understand why. My car is very well maintained and up to speed with everything. I can not wait to pay off my loan for this hunk of junk. A toyota will be my next car. ","The seats in my car are white and black. You would think considering making white seats in a car they'd pick a fabric that was more a stain resistant or a better color that hid dirty better. The car does not corner very well at all. The car has no horse power. My car is very loud and I've brought it in twice to be looked at, and still they've found nothing........... My window is going on the drivers side. This car is just falling appart more and more everyday. I wish I didn't buy this car. It is by far the worst car I have ever owned.
Do not buy this car. You're better off walking. Atleast you'll be safer........... This car is unsafe and I don't feel safe driving it AT ALL."
3.875,"Great at first, now problems",Disappointed ,11/14/2010,,,4,5,4,3,,2,4,4,5,"Buyer beware. There is a problem with this vehicle and gas pedal getting stuck. If you go to the NHTSA website, you will find 9 complaints on gas pedal getting stuck. I submitted mine today, making it 10. It gets stuck in deceleration position, but going 60+mph, this is very dangerous. Once gas pedal gives, the SUV jerks forward.  I drive this car a lot for business. I bought it in Nov. 2007. I have driven 68,000 miles on it. Radio stopped working, a short circuit. Had to buy aftermarket since Mazda charges $800 plus installation for stock. Battery had changed at 65,000 miles.  I find it very comfortable for my 6/7 hour trips, but the gas pedal getting stuck has scared me.",Very comfortable in long trips. Good gas mileage. Manual is fun to drive. Square shape instead of the silly bubble is great. Looks rugged. ,"gas pedal gets stuck, driver needs to use abnormal foot force to accelerate again. 4 cyl engine is extremely weak. Tires that Mazda sells it with are of very poor quality/dangerous in rain/snow. Stock radio is so-so. Cheap rear wheel drum brakes. Mazda compromised safety to save a few bucks."
3.875,Long Commuter,Marcel ,10/25/2010,,,4,4,4,4,,4,4,3,4,"I have a 112 mile round trip commute to work.  I like the handling, the styling inside and outside, and the summer gas mileage (28 mpg highway).  City mileage is low in the winter, (around 20 mpg.) Front brakes and rotors have been replaced 3 times since taking ownership, (65,000 miles). See some rust starting on back doors.  See rust starting on tail gate jam where weather stripping comes together by latch.  I wash and wax weekly.  It's quiet, decent power, Hydroplaning occurs on water-soaked highway roads, need to slow down under 50 to feel safe.  Handles okay in winter.  I use snow tires on all 4 wheels in winter.  Don't like the anti-skid feature.  ","Cruise, radio, fog lights, interior & exterior styling, paint, power locks & windows, pop open rear glass hatch. MP3 port. Easy to change oil and filter. Drain and fill transmission fluid.","disc brakes, brakes that last longer than 10,000 miles.  move the dome light controls to over the rear view mirror."
4.25,Rust Problems Here Too,ChicagoDriver ,10/17/2010,,,5,5,2,5,,4,5,4,4,"So I hate to say anything bad about my 2008 Tribute, which we just traded in last week, and I loved owning.  It was a simple car without any fuss, and perfect for me!  The only bad thing about it is the rust.  I noticed a few other reviews mentioning this, and i found it a little too coincidental that we all have found the same rust problems.  Mazda must have gotten cheap on their materials, or they stared buying steel from China.  I bent down to check on my tires one day and I couldn't believe how badly rusted out the wheel well was.  I traded the car in a week later.",Great for long trips!  Easy to zip around town in.  Not a fussy car!,Use better materials!  I would have kept my Tribute forever it it hadn't started rusting out after 2 years.
4.75,Cool SUV,NFNA ,09/20/2010,,,5,5,4,5,,5,4,5,5,Had a terrible accident in a sedan that opened my eyes to the fact that you can just kill yourself down on the ground. Switched to Tribute after my car was totaled and have had very good experience with it. They could have used better quality material but I guess then it would have been more expensive. Overall I find it a great deal for the money. There is little noise in the cabin while driving. I get very good gas economy. My advise is to use the plus fuel (mid grade) it gives you far more mileage for the price. I avoid the premium fuel since the car is not designed for it and may damage the engine in the long run. ,"Stereo is great, AC is ice cold, Plays burned MP3 CDs! ","Better quality material, reduce noise in the cabin"
3.875,Rust problems,Mazda lover ,09/10/2010,,,5,4,3,3,,4,4,4,4,My 2008 Mazda Tribute have been working fine until recently that I found that the rear door seems and rear fender are rusting. The exterior face of the fender is peeling off and the inside is rusted. My vehicle has less than 60k miles. I usually wash my car during winter almost weekly to avoid this type of problems. The vehicle also has been in a garage all nights so I don't get why  only a 2.5 yrs old car is rusting. I talked to the dealer where I bough it and they told that has a rust 5 yr warranty but covers everything that can make or made a hole in the body. They need to take pics and send it over to the regional warranty guy for approval. I'm trading in for a real Japanese car.,Interior and cabin space,Body quality and reduce cabin noise.
