5,Certified used,Frank Allen ,08/10/2016,5,5,4,,,5,5,5,4,,,"Bought with 26,000 miles, rear drive car was a bargain in Minnesota because demand is higher for all wheel drive.  But this car with traction control had no issues with ice or snow.  Trouble free for  6 years of pleasant driving.  I'd recommend getting MB Tex upholstery instead of leather if you plant to keep the car for a long time.  Leather shows wear at about 75,000 moles despite great care.  Be careful front end is close to ground and can scratch high curbs.",,
2,Steering Wheel locked,Harry ,07/22/2016,,,,,,,,,,,,"This model will give you sudden steering wheel lock without notices nor alerts. Easy cost you $1,600 to prepare only at dealership.",,
5,Drives and rides like you are on cloud!,Tom White ,06/25/2016,,,,,,,,4,5,,,This has been a outstanding car.  Drives and rides like a dream. Feels like I'm just gliding along when on a trip.  Outstanding milage 28-30 mpg. on a day trip of less than 100 miles. Mpg varies as we go through the mountains.,,
5,Have it for 7 Years and loved it,Raj ,08/05/2015,4,5,5,,,5,5,5,5,,,"Have it for 7 Years and loved it , No Major repairs except once had an issue with Key and costed $1000",,
4.75,pay and shall recive ,lane13 ,10/19/2014,,,5,5,5,5,,4,4,5,5,"I have had the car 8 months now and still in love with it. Bought it used with 42k miles. Mars red with the tech2 package. So glad I got it with the tech 2 package. nav, bi xeon head lights, and amazing sound system is a major plus! Cant wait to put the 4matic to work with this Utah snow! My only down fall is that the c350 doesn,t come with 4 matic. Would have liked a bit more power.","4matic, head lights, sound system, v6, the color, the exhaust note when romped on, and cant forget the design in and out!",I understand the staggered wheels are for handling and all.. But its all wheel drive. I think I might be going threw tires more often. Also wish MPG was a bit better. its a 3.0 not v8.
3.5,Benz-no-More?,benznomore ,11/20/2013,,,4,4,4,3,,3,4,3,3,"Keep in mind that my C230 - 2008 has only 62,000 Kms, is driven lightly and garage kept.Yet...time to move away from Benz once and for all.To date:both electric side mirrors replaced ($700 each), both gas tank pumps replaced a couple of times (fuel gauge still goes out once ina while), side mirror full of water (looks like fish tank), tire blown sidewall, amongst others and just today car would not start leaving all scratching heads..$$$$Not to mention Benz's outrageous cost of ongoing service...$500-$800 each annual visit.","style, finish, ride.","improve engineering of components >my fault....never buy the first year of re-vamp!
follow BMW's lead to include servicing over warranty period...this is one thing that has driven me away as a Benz repeat customer.
"
2.875,"Car on ""mute""",kleyva ,01/31/2013,,,1,5,3,2,,3,4,3,2,"From the mystique of the Mercedes-Daimler-Benz corporation comes a middle-of-the-road midsize sedan that does not surprise the owner in any way.This is my 1st MBZ, I have never driven one before owning this one.Fairly comfortable, very good looking exterior, with adequate power.All of this in consideration of the $30K plus price tag.When you buy the symbol of quality and luxury, that is exactly what you get just the symbol.Purchased CPO and added 2 yr warranty.","6 speed manual transmission, Heated seats, fantastic good-looks.
Added K&N filters (2) which for me has made this car bearable.
Mercedes-Benz dealership has always been accomodating, always providing a new loaner car at no charge.","In the first year, car was towed twice to dealer, once for a failed engine pulley, and then for a broken key or ignition switch.
Base stereo has no midrange sound and no way to adjust for this.
Performance from the 3 liter is average.
Gauges look like they belong in some long-gone Chrysler product, and smaller increments are decorative only.
Airbox and filters were improperly designed."
3.875,C300 is Hott!!!,Taras ,02/01/2010,,,3,4,4,4,,4,4,4,4,"This car is awesome!!! I am 6 foot four, and I have room to drive as well as I can fit in the back seat. styling is awesome, interior is a little bland, but not bad. Car is FUN to drive, corners like on rails, great highway speed, not bad off the line either. I have owned a E class, Hummer H2, Lexus GX470 , Acura CL type S as well as various other cars. I LOVE THIS CAR !!!! Highly recommend!!!!!!!! :)","Exterior looks, flip up navi screen.","Interior. Horsepower, tourque."
5,C-300 16 month Review,Sarge ,01/10/2010,,,5,5,5,5,,5,5,5,5,"Thinking of a C-300 Luxury sedan?  Read this 16 month, 26,000 mile review first.  Terrific comfort, rock solid construction, very good mileage, and great dealer support!  Reliability has been excellent - ZERO problems.  Overall 25 mpg. A recent 1400 highway trip yielded 28.5 MPG @ 77 mph. My wife had neck surgery a few years ago and she really enjoys driving this finely crafted, smooth automobile. ","3.0 liter V-6 coupled with the 7 speed automatic delivers more than adequate performance, respectful fuel mileage, and smooth, seamless shifts.  German engineering is 2nd to none!  Steering is delightful. Ride quality in the Luxury C-300 is smooth and controlled, not harsh like the Sport edition. ","Rear leg room is a bit cramped for our 6 foot son.  Cost to move up to the E class is an additional $25,000.  For a couple this car is ideal.  We have fit 2 or 3 in the back, but no more than 90 minutes at a time. "
4.875,Great Car!!!,houcutx ,11/26/2009,,,5,5,5,5,,5,5,4,5,"Love the car. Very nice looking and fun to drive. My first MB and I'm very happy with it.  I had a Saab 9-5 and a BMW 3 series, this one is better.","Performance, design, class",More comfortable seats.
4.25,German engineering with a bit of fun,Rick ,10/07/2009,,,4,5,4,5,,4,4,4,4,"When you buy a C 300,or a 328, or A4, you're buying a good German engineered automobile that delivers sporty and capable driving dynamics without being a performance car, enough features to please most drivers but no luxury amenities (unless you add optionals that will shoot up the price), and comprehensive maintenance/service (every 10k miles or so). It's a very good car that makes me look forward to the E550 or E63 AMG. ","Design, cruise control, stereo, handling, pretty good all around.","A little more torque and hp would be nice, look at the 328 for seat comfort (front and back)"
