5,What an awesome machine,Hila ,10/11/2016,5,5,5,,,5,5,5,5,,,"This is my first review I ever write on any car. I have owned more than a dozen sports car throughout my life, and I bought my 08 Mercedes E63 AMG 2 years ago. Until now, the power of this car still surprises me. I have owned more than 4 BMW M cars, until my first MB car before this one, which was the 1999 E55 AMG. I must say that I originally bought my E55 based on a good deal solely (my previous M car had really drained me and I took a loss when I sold it), and I did not know much about these cars, as all BMW fans will tell you, MB is a ""Grandpa"" car (nothing close by the way), but I was also just sick of pouring endless money in my 04 BMW M3 (within 6 months it was driven 3000miles only with more than 4k$ in repairs, and not once tracked). I took that E55 monthly to the drift track for more than a year, expecting it to fail at any moment, and drove the car to an astounding 287,xxx miles, with ALL components remaining stock expect for the water pump. The car was so reliable and with so much power, but it was time to upgrade as the body style was getting old, that is when I finally decided to upgrade to the w211 model. And man,  was I surprised, it is like a somebody stuffed an angry a T-Rex under the bonnet. Superb acceleration, and brute force, I have taken out, from a full stop, more than 3 Lambos (Gallardo I should say), countless Maseratis and the likes by just pushing on the gas. Forget the power, but the styling is great, and the massive 6.3L naturally aspirated was more attractive to me than all the turbo systems they introduced in their later models, or superchargers before. I cannot stress how comfortable this car is, and if you control yourself enough to drive it normally (which is very hard with the engine rumble and people wanting to challenge you all the time), it is surprisingly good on gas at more than 25mpg on highway. I have to mention couple of things though, as all MBs, the AC vents just do not follow your command, it just blows sporadically across all vents (I had that same problem with E55, although not as noticeable), but I also heard of this with most MB owners I have met (I guess cooling is not a priority in Germany, but man we're in Texas, it would be nice to have Gulf Specs cars here (Gulf specs are cars that are sold in places like Dubai for example, and they come with bigger Radiators, compressors, water pump.... to deal with the desert heat), especially because mine is Black on Black. I noticed a big difference in cooling when I drove one there, the oil temperature would not bulge over 100c, while here it routinely goes to 113c, driving normally, with more temperate weather. Also, although my E55 had 287,xxx miles in the end before I sold it, the suspension was still stock !! Yes, stock. All bushings, control arms... except for the shocks, were stock and surprisingly holding pretty well after years of driving and putting more than 70k miles on the car. The w211 seems to have more sensitive suspension, I'm not sure if this is because of the air-shocks, that put more strain on the suspension for the sake of your comfort, or just the brute force that this car puts into action, you feel like the front end is going to lift in the air. Also, everybody that lives in Houston knows what kind of obscenity they call roads here, really embarrassing, but most of my bushings were nearing the end of their lives at 68,xxx miles which not a lot. These are the only draw backs I have noticed so far, but it will take a lot more to get me off this car, and I am planning to keep driving it past my old one and more.",,
5,2008 E350 4Matic A Pleasure to Drive,Domenic ,05/06/2016,,,,,,,,5,,,,"I bought my car 2008 MB E350 4Matic with 94,000 miles on it and its a great car. I have owned Cadillacs,Lincolns,BMW,Corvettes,etc but I wanted to go to a Benz as everyone told me I would love it. Well they were right I love this car and I will buy another one when this one is done. Only draw back is expensive for oil changes and such but hey you wanna Benz you pay the piper....LOL :)",,
5,Benz,Scott Ottum ,04/28/2016,5,5,,,,,5,,,,,,,
3,"Merry Christmas,not.",Patrick ,02/03/2016,3,4,5,,,2,5,3,4,,,"Bought a 2008(it's 2016) E350 Sport with 51,000 miles for Christmas. Car is so clean ,looks as if it rolled off the showroom floor. Test drive I notice a slight roar. (I've had many luxury cars with performance tires. I get it,you may hear this until the tread heats up. Skip ahead 4 weeks: Roar has become so load you can hear it over the radio. Take it in to MB dealer where I purchased. It needs a rear diffrental unit at a cost of $2500.00.Talked with Mercedes USA....Basically,if buying a used Mercedes make sure it's a Certified Mercedes. My friends motto is: If you can't afford a new Mercedes ,most likely you can't afford a used one.",,
2.75,not practical,glue2u ,02/07/2015,,,2,4,3,2,,4,3,2,2,"Little disappointed with the car. I own a 2005 gs300 and that car shifts, rides and seems way better than this 60k  e class. I was very disappointed. Burning smell coming from vents, car shifts strange, non-digital dual climate control, cheap interior, dash is not bright, no H.I.D headlights for 60k, Navigation is Not user friendly.  Cruise control gets mistaken for turn signal.  Too many unnecessary features. Does not ride as good as my 05 lexus.  ","The styling, the wheels, the pano-roof, the way it screems luxury and class when your in it. ","If you buy something more expensive, then you expect higher quality materials and workmanship.  I'm just overall disappointed. It may be my last one. "
5,Mercedes E-350 2008 Accident,forego ,10/08/2014,,,5,5,5,5,,5,5,5,5,"Best Safe Highway Car I ever owned. Recently in terrible accident with semi truck on I-10 just outside of Phoenix, I believe the E-350 2008 not only save our lives but we all walked away without series injury. Looking to buy same model and year again. 

Great highway gas mileage with power.",Safety,
3.25,"""Finest engineering MB car....""",inftell ,08/09/2014,,,4,4,3,1,,4,4,2,4,"Iowned 2008 E-350 class. I have maintain this car perfectly. Since purchasing the car I had several annoying problems which where fixed at the MB dealer ship at inflated prices. However the last episode was the Break down of the car REAR DIFFERENTIAL AT$4300.- COST.This is an extreme case of part breakdown which can not be justified especially when buying ""fine engineering car.....""",,
5,Perfect car !!!,gottlieb ,09/01/2013,,,5,5,5,5,,5,5,5,5,"2008 Bluetec E320 is the best everyday car!averaging 37 mpg highway, 30 mpg combine, plenty of power, handling is excellent,best interior design,comfortable in long driving, perfect ergonomic design, perfect car.","highway mileage is 37 mpg at 70 mph, with ac on, 32 psi tire pressure, windows closed,
one accupant, 7 speed transmission. 
excellent handling, very nice interior, ergonomic is superb.",gps navigation is hard to operate and no exact address.
4.875,Drive all day!,laselva ,04/19/2013,,,5,5,5,5,,5,5,5,4,"I liked this car and purchased this car 5 years used with only 32,000 miles on it, 7 weeks &3,600 miles later, I love this car! It's quiet, well mannered (sport package) looks great, and wants to run at 80mph all day long...in fact it did. I just drove from Orange County to Sonoma last weekend and it was perfect. Quiet, great range (27.2 mpg at 75-80 mph with the a/c on) comfortable and solid feeling! I can't believe you can get all this car for the price of a Toyota Camry. The 7 speed automatic handled the I-5 grapevine with ease (rarely needed to brake coming down, and kept the cruise control on uphill)","keyless go (especially running errands), sunshade, sport package, xenon headlamps, sirius radio (great on the open road), large fuel tank (over 500 mile range)","iphone/ipod plug in on the dash, instead of glovebox. Navigation system showing not just when to turn, but where to turn."
5,Best Car I have Ever Owned!,350guy ,11/03/2012,,,5,5,5,5,,5,5,5,5,"I am writing this on the 5th anniversary of the day I took delivery (11/2/07) of my 2008 E350. The car has 102,150 miles today, averaging 20,000+ for 5 years. Absolutely remarkable car in every respect. Outside of normal maintenance items, only one repair for $198 in 5 years. I would get another one but this one feels almost new. Smooth as silk on SCal freeways, quiet, great handling, looks like new, engine positively purrs. I can't believe how well it has done over time. Follow the maintenance took the letter, drive it smoothly, park out of the sun and the result is simply amazing. I will buy another for sure. Can not imagine parting some day...","Freeway cruising, so smooth, so stable, been to 120 mph many times on way to Las Vegas and 85 mph routinely, gets even more stable as the speed goes up. Love the quiet inside, satellite radio, smoothness of the car is compelling...German engineering is superb, and Mercedes is much better mechanically than any of the 4 BMWs I have had including two 7 series...","other reviewers complain about the Command system, who cares, the sound is good and I just listen to iPod or Sat Radio anyways, didn't purchase the car for the stereo... system has been nicely upgraded, it is in my wife's 2012 ML350"
