4,08 mb gl550,Stephen Buha ,10/31/2016,,,,,,,,,,,,"78,000 miles",,
4.75,"Towing beast, embarrasses many pick up trucks, absolute serenity  ",fuscus ,04/28/2015,,,5,5,5,4,,5,5,5,4,"Bought used one year ago at 100.000 km (60.000 miles). Towed a 30 ft, 6500lbs travel trailer for long distances (Alberta to British Columbia). Absolute towing beast, gobs of torque, the smoothest auto ever, very smart when trailering. Towed the same trailer with a 6.2 V8 Gmc truck and it sucked. Reved it up all the time to keep pace, fuel economy was horrible. This one just sits at 2000 rpm, 3000 at worst when going o steep uphils. Fuel economy is the same as a Sequoia empty when towing, better than a sedan when empty. 1100 kms on a tank frequently (650 miles). Quality all around, comfort is supreme. Built like a tank. Problems?Hid light, rear electric hatch lock replaced, turbo oil leak. ","Diesel diesel diesel! Air ride, leather, rear camera, intelligent auto.","Wobbly ride sometimes, more diesel engines! Where is the Cdi v8 from Europe?!"
4,"2013 was a very Bad Year, and 2015 wasn't good.",cc57 ,11/11/2013,,4,4,,,1,5,4,5,,,"Purchased new, our 2008 GL320 ate us out of house and home in 2013. When it hit 80,000 miles, we had multiple, expensive repairs with each being about $1,500 to $1,800. In this order, left front air strut replaced, turbocharger replaced, fuel pump replaced, right front air strut and air compensator valve replaced. Both the turbo and fuel pump failures left us stranded and required towing it to the dealer. Unfortunately, we did not purchase the extended warranty as I thought that a diesel would be bulletproof. Obviously, I was very wrong.In 2015, we had to replace both rear air struts and a leaky fuel injector that was causing strong fuel odors inside and outside.And since 2015 we've been experiencing a strong exhaust smell inside the vehicle, when stopped, even when the AC recirculation switch is on. I've had the exhaust smell investigated multiple times by a local Bosch certified auto shop to no avail.My tire dealer is looking at that again today while it's up on the lift and if they don't find anything, I'll take it to the dealer next.",,
1.25,GL320-LEMON,gl320_lemon ,06/19/2013,,,1,3,1,1,,1,1,1,1,"Owned GL320 for 2 years. Nothing but problems.Very cheaply built, cheap and nasty components and plastic, e.g. some sort of plastic covering film started piling off the steering wheel controls.Fake wood trimmings, face leather, etc.Later on Idiscovered that it has common base and components with Jeep.Mercedes Customer Service is famously the worst (watch the Top Gear) and in deed it is! ",None,Do not buy
2.625,Check your sanity before you buy,hutsul ,04/21/2013,,,3,4,1,1,,4,4,1,3,"Had car for 4 years. Numerous issues-failing suspension, rear hatch, electronics, etc. Nice car when it's running. I'm convinced they are lemons from the start. Now at 110000km steering rack needs to be replaced. Mercedes staff see you as a money bag, no help, would not stand for their product. Mercedes should be ashamed of building such a poor quality product. In order to preserve my sanity moving to Lexus- boring is goooood!!!.","Diesel fuel economy, spaciousness, outside design.",Stop pretending it's a Mercedes - place Lada sticker on the windshield.
4.25,It's not that bad if you're previous car was a Range Rover:),swfreeride ,03/28/2012,,,5,5,4,1,,5,5,5,4,"Trust me when I say all European luxury SUV's have these kinds of issues.My previous car was a Range Rover HSE and a V8 Tuareg before that.Both had multiple air suspension issues, engine oil leaks, sensor failures, steering column replacements, etc...Friends with X5's don't fair well either.My RR even needed a drive shaft replacement.Fact of life unfortunately, if you want the luxury and style of the Euro SUV's the price you pay is well beyond the window sticker.The key is to enjoying the vehicle is pick the brand with a nearby dealership that treats you well and expect to spend your free time there:) - I tried the Lexus route for a year, just too bland and predictable.","Styling, quality of materials, performance, comfort.","Build quality seems great given the fit and finish, so it seems the major issues are with the EU suppliers of system components and the over-engineered systems.
Most of the EU cars source from Bosch and other EU parts companies for control systems, sensors, etc... hence the same issues across all brands.
I wish the EU makers would maintain focus on design and quality whilst reducing the engineering complexity to improve reliability."
3.75,Worst car I ever owned,Done with it ,11/29/2010,,,5,5,1,1,,5,5,5,3,"This car could be great if only it wasn't constantly returning to the dealer on the back of a tow truck.   We bought it new and within 6 months the front engine gasket blew out.  Two months later the same thing happened, but this time the leaking oil caused a serpentine belt failure and we lost the steering -- not good when driving down the road in a 3-ton SUV.  A few months later the power steering pump failed.  Today we discovered oil all over the garage floor.  Absolutely unacceptable reliability. As soon as the Mercedes dealer patches the thing back together it will be off to the BMW dealer to trade it in.","Interior space, power, handling and ride.",Competent engineering and assembly
3.375,Good looks - Inferior Quality Electronic,ChildsPlay ,10/15/2010,,,4,4,3,3,,4,3,3,3,"My spouse & I both own SUVs. He drives a Lexus GX470 and I the GL450. The GL450 is a competent vehicle with ample cargo capacity for transporting our large dogs & medical equip. However, I have had to make numerous trips to the dealership to remedy electronic and suspension issues. I do feel very safe inside the vehicle.  However, I must admit that my husband's Lexus seems to handle the snow better than my GL and his vehicle has been completely problem free. I have trepidations regarding the cost of maintaining and repairing this vehicle once the warranty expires. The Navigation system and bluetooth integration are vastly inferior to the Lexus. ","Ride, cargo space, acceleration, handling are all good.  Not as smooth a ride as the Lexus GX470, but still good.  ",Gas mileage poor. Electronic system of inferior quality. Navigation system archaic (takes 2-3 times longer to input address then with a Lexus system). Side mirrors too small.  Seats too firm. For this price I should not expect frequent visits to the repair shop. Study Lexus electronics and improve
3.875,A Real Dog,chazzjr ,10/07/2010,,,4,5,4,1,,4,3,5,5,"Always thought I would have it made when I could afford to buy a MB.  Well after 25 months and 9 repair trips not including 5 service trips, I traded the dog on a GMC.  If this vehicle would have run well I would have kept it but it did not.  Small things like senors, computer software and large things like new rack and pinion steering and power steering pump were just too much.  Beware of your warranty's end.  Repairs are very expensive and time consuming.  In discussing the issues with the MB reps in USA and Germany, I found that they were more concerned about themselves than the problems I was having.",A dream to drive on the highway.  Great body style and good fuel economy.,"More comfortable seats, fix the tire wear issue and get some customer satisfaction training.  Stop listening to all your marketing BS and start building client relationships, better running vehicles.  Arrogance is not a virtue."
3.75,Great Vehicle with poor reliability,Pieter ,09/27/2010,,,5,5,1,1,,5,4,5,4,"I put 20,000 miles on it (the vehicle had about 6000 miles on it when I purchased it), and had it in the shop about 8 times. The compressor for the airmatic suspension went out at just 7000 miles. All the doorlocks failed and had to be replaced just 5000 miles later. Then the radio went haywire. Also the park tronic went bad and had to be fixed. At 25,000 miles the rear shocks were leaking and had to be replaced. These were just the major repairs. I just traded it in for a Lexus and hope to have better luck now. The great thing about the vehicle was the diesel engine. On long road trips I would average almost 30 miles to the gallon WOW ! I will miss this part. ","Fantastic Diesel engine. Comfortable seats, quiet highway ride.",Improve quality! A $70K vehicle needs to be reliable.
4.875,Mercedes GL 320 CDI,Ed Jette ,07/21/2010,,,5,5,5,4,,5,5,5,5,"I bought the 2008 MB GL CDI used with 14K miles on it.  I have 50K on it now.  I bought 4 Blizzak snow tires for it and it makes it go through any conditions like a tank.  I had the air suspension replaced under warranty by MB.  No other problems.  On a ski trip to Vermont one night got down to -10 degrees.  Failed to start without putting in a bottle of 911 diesel fuel treatment.  Started right up after that with no more problems. What a ride, 2 adults, 5 kids loaded to the hilt with a roof rack and still got 23 miles per gallon. ","Solid, quiet confident ride.  A true MB. Over 25 MPG on the highway with a full load, Amazing.  I would take the diesel over the gas any day",I wish the second row bench would slide to give a little bit more leg room when no one was in the third row
4.875,Satisfied Owner,irongate ,06/28/2010,,,5,4,5,5,,5,5,5,5,"I have 53k miles still enjoying the SUV. Tires are not MB fault, read about that excessively like MB makes the stupid tires! Michelin and others don't make a 19"" speed and weight rated tire for this SUV so forced to buy brands like Continental that only last 27k miles.  Same problem for a Cayenne or other performance SUVs with big wheels. Side mirrors need to be bigger. Get the real leather for excellent comfort. 3rd row seats are the BEST of any SUV, comfortable with great leg room for a trip, knees are not at your chin like others! park sensors,stereo sound, gas mileage for big SUV is terrific. Get 20 to 21 mpg driving hard in town 24 mpg on hwy going 75 mph, 27 to 28 mpg at 55 mph.","Luxury SUV with awesome gas mileage, interior design, 3rd row folding seats that go flat with a button so easy to load suitcases, large items,etc., sound system, park sensors, easy to drive and very comfortable for road trips. Great safety like 3 rows of airbags! cup holder cools, excellent ride.","Side mirrors too small, add lane avoidance or lane change safety sensors, rear exterior design a little van like- copy Range Rover's rear design."
4.625,A Good but not Perfect SUV,steveman ,03/26/2010,,,5,5,4,4,,5,5,5,4,"I've had 26 months to live with the truck.  Best SUV yet, with my 2001 Denali being a very close 2nd.  Friends don't all agree.  Real 3rd row is great.  I don't quite agree with other posts though, about how good this vehicle is in ice, mud, and snow.  Could be I'm not using the settings properly, but with all the snow this winter, did not feel confident in real bad weather.  Although I'm at almost 28K with the original Michelin's, it is appalling that they're about gone.  It is expensive to maintain.  The 20K service is more than an S550's major service.  I checked.  That is absurd for a diesel, and MB should be ashamed of themselves for that.  For the record, I got bluetooth mod for free.","Torque, 7-speed transmission and I'm fine with it's location.  Quality of the interior bits, real 3rd row, Sirius option with a better than average factory HK system.  Bluetooth that will disconnect immediately as long as you re-boot your phone when leaving the car.  I heard the complaints. Legroom F","MB, get real with the service.  Should never be more than $100, ever! WAY better wear with tires.  Niggling warranty repairs, which would scare me to keep it past 4 years. Any yes, like almost everyone else, the side mirror sizes are just stupid.  One friend comments, What does MB classify this car?"
3.75,Not so happy with my GL450,TEaves ,01/07/2010,,,4,4,3,3,,4,5,3,4,"I haven't been as satisfied with this Mercedes purchase.  I've had the car in the shop over 18 times since I bought it for various annoyances including the pump that raises the vehicle on difficult terrain, the hatch latch, the motion/obstacle sensor system, etc.  The leather interior stains easily, even from picking up color from clothing.  And the customer service at Mercedes Benz could care less so I'll be moving on to something else after I get a few kids off to college. ",,
5,Best for tall people,Tall One ,01/04/2010,,,5,5,5,5,,5,5,5,5,"Finally a vehicle for folks over 6'3"" tall.I am 6'8"" tall and this is the only vehicle that even came close to comfortable all things considered. No sedan was even close. Great mileage and is the fastest vehicle 0-60 that I or any of my friends have ever seen. 20K miles so far. Tires are still good.Only problem was a fuel sensor to replace. We are leasing this one. Plan to buy a 2010 with P2 package. The gas version leaves the diesel version in the dust {respectfully]Power lift gate is great for wife.","HK sound, handles great on the BR parkway. Great mileage for weight and HP. Rear camera comes in handy. Heated seats are great on cold days. Very quiet. Only difference between 30- 120mph is things go by faster. Highway patrol can't touch this.","More up to date Nav, who needs a cd player with sat radio. Wish options were more a la carte. Can't understand why front brake dust is terrible, but rear ones stay clean. Keyless go will be on our next one. Thanks MB. No American suv even comes close to the Gl. I have been a Ford man till now."
4.875,Need a Slush Fund to own this one!,GL320 Owner ,08/21/2009,,,5,5,4,5,,5,5,5,5,"CONS: A MB service tech told me 18 months after I purchased my GL320 that you need a slush fund keep this car on the road, addition to the already known cost due to regular service maintenance. Oh...how he was right! I have had the air-suspension module replaced twice. Tires-they are only good for 20-30,000 miles and at $1200 for a set of four it gets expensive, and let me just add there are only two tires to pick from-the Continentals and the Pirellis. Windshield-twice now at $989.00. I love the Bluetooth while driving, however it disconnects when the car is turned off and the door is opened. Then you cant use your phone for about another 5 mins while its still disconnecting. ","PROS: Ive owned her now for 2 years, she has 70,000 miles and I still love this car despite these issues.I love the ride, lots of interior room and I get better fuel mileage that was stated! ","Tire manufactures should make a better and longer lasting tire. The current V rated tire isn't needed on this vehicle, I don't know anyone what would drive over 120 mph in any SUV."
1.875,"Overpaid, Underachieved! Dont Buy",alleers ,08/17/2009,,,2,3,1,1,,1,1,4,2,"I purchased my GL 320 with 115 miles in May. During the 14 months it was in the shop 25 times for repairs. I had the following items fixed or repaired, DVD, parktronic sensors, new struts, mystery oil lights, battery, computer upgrades, air temp sensor, hatch corrected, would not come out of gear, sideview mirror pivet replaced and this is only part of the list.I called MB to file a complaint for buy back or compensation with NO LUCK.Several attorneys said they will not deal with MB because they don't recognize they make lemons. We took a loss to get out of this car and avoid lawsuit. BTW, maintenance is $450 and tires are $1200. Tires last 15,000 miles. Look around at other cars before buying",gas mileage,"dvd needs wireless headsets, expensive and frequent maintenance, needs air vents in 3rd row, tires should last longer than 15,000 miles, navigation system/radio controls should be updated for the price paid, can get more, hi-tech features on lower priced cars"
4.875,Super Truck,A.C. ,07/28/2009,,,4,5,5,5,,5,5,5,5,"Great performance, acceleration, handling etc. Considering its weight and size mileage is suprisingly good. usually 18MPG+ on the highway driving at 70+ MPH. ------------------------------------   - It has been fixed now but the rear hatch would sometimes open without any input from the remote. ",- Power/handling - Styling - Comfort/size - ,- Not enough interior storage. - The garage door controls should not be on the rear view mirror because it moves when you adjust it and needs re- setting. - Had to pay an extra $450. for the Bluetooth telephone.
5,real value,barbaqued ,05/08/2009,,,5,5,5,5,,5,5,5,5,"I really like the car. The handling is excellent and so is the fuel economy. The cabin is quite and stays cool even our Arizona summer. There was an issue with the radio that took three tries to fix. Apparently a window switch was interfering with a speaker and causing distortion. The navigation really needs some help so does the i-pod interface.  If you have ever used a Garmen you will be frustrated with Mercedes navigation.  I have pulled large trailers without problem. After 20,000 miles I am planning to buy a 2009. ",Towing capacity and rear folding seats,NAVIGATION!!!!!!!!!!!!!! Radio features
4.75,Great SUV with diesel,GB19 ,04/14/2009,,,4,4,5,5,,5,5,5,5,"SUV has been great so far. Fuel consumption has been v. good (23.5 mpg avg. so far over 6K miles, 26+ mpg on longer hwy trips - I used to avg. 16.5 mpg with my old Sequoia!).  Seats are very comfortable (feel hard at first, but are great on long trips). Ride quality is excellent + acceleration with the diesel is v. good for a large SUV, but be sure to make a cutout if installing non-MB rubber mats, otherwise you will limit the travel of the accelerator pedal!  Interior is v. nice (especially with real leather), exterior looks good, except a bit minivan- ish from the rear. So far has been reliable except for a problem with the charging of a secondary battery.  Main gripes are with stereo/nav.",Acceleration and fuel consumption with diesel.  Ride quality.  Interior styling and front end exterior styling. Comfort of heated leather seats.  3rd row seats fold into floor.,"Make iPod controllable from Nav screen, not just from steering wheel controls.  Make voice-control capable of controlling satellite radio.  Improve address input on Nav.  More storage (e.g. sunglasses holder).  Faster opening rear hatch.  Backup camera needs to switch on quicker instead of warning."
2,Oil leak causes stirring wheel to lock,NJG ,04/01/2009,,,2,2,1,1,,3,2,3,2,"With less than 6000 miles on the car has had issues with tire pressure, brakes, warning lights and then mother of all car stopping all together in the middle of a busy rd. due to an oil leak that caused the stirring wheel belt to come off. Dealer took close to 2 hrs to send assistance and cannot figure out where the leak is coming from. I will never ever buy MB. Their service stinks for the money one pays. Anyone even remotely considering this car should really burn their money than risk their children's life in this car.  ",NONE,stop selling this car if not able to provide the service to customers.
4.625,It's OK,It's OK. ,02/20/2009,,,5,5,5,5,,5,4,5,3,"I've had the wagon for about six months now and it's a good car. I haven't had any problems to speak of. The seats are firm, but not the most comfortable, I could drag a house down the street with this thing, but won't any races, and my mileage is excellent (avg. 21mpg hwy/cty), all typical of a diesel. That said, everything electric about it is inferior to the domestic wagons. The power lift- gate is slow and doesn't always close, the nav. is a pain to use and slow in responding, the rain sensing wipers typically do what they want, even on a sunny day, and the front parking ""see dead people"" and want to warn me about it. If you're thinking about a 4wd wagon, check out the Flex, cool & cheap.","Sirius/XM radio, windshield washer button, front ambient lighting, the sound of the diesel engine when you punch it, the red button that sometimes closes the lift-gate, the sound of the nav. in Spanish, the white stitching on the black leather interior & dash, big brake pedal, excellent high beams","Quit letting the Germans pick the seat comfort. Why can't we have the base model like the rest of the world? Go back to the mechanical shifter in the center console. I miss the hood ornament, bring that back along with the 80's style driver headrests.  Bigger rearview mirrors. Huge blind spots."
4.75,The perfect SUV,Andy  ,02/10/2009,,,5,4,5,5,,5,5,4,5,"This is my wife/family car, we owned this GL320 CDI for more than a year and I love this SUV. Every time I drive it, I enjoy the ride. I drive a 335 convertible, but the handling, feeling and cornering of this truck is incredible. I strongly recommend this vehicle for big families, and if it's diesel more. ","Self leveling, paddle shifts, the torque of the engine is incredible. All electric features first quality.","AMG version, navigation not friendly. DVD bad access."
