1,"Don't Drive Away With This Car, Run From It!!!",Exhausted Mini Owner ,09/21/2016,1,2,4,,,1,2,3,3,,,"So, when I was in the market for a new car, a Mini Cooper S Convertible caught my eye.  I have always liked Minis, and this car fit my personality to a 'T' (or so I thought).  All was well, for about a month.  I took it to the shop after I bought it to have them look over an issue I was having with brakes squeaking.  I need new front brakes; also, there were about $3000 worth of repairs that my car needed because I had holes in my oil line, and all other types of issues.  This took me two trips to the dealership to get all of these taken care of.  We will consider those my fault for buying a lemon, without taking it to the dealership before buying it.  With those repairs out of the way, over the next two years I have taken my Mini to the dealership over a dozen times.  I have had the wiring fixed, I have had a new throttle body installed, I have had to have the entire front end realigned and fixed because rain was just coming right into my convertible top, and had this weird possession episode where my tachometer was telling the rest of my lights and functions to freak out and come on at random.  I breaks down at random, and then will work for a couple of weeks, only for the issue to come up again, or another one to rear its ugly head.  I purchased my car in Jan 2014, it is now Sep 2016, I have paid for my car more than twice now!!!!!  Don't walk, run, run far far far away from this car.  The times it does work, I love it, it is so fun to drive.  But, if you are the type of person that wants to know if you are going to make if from point A to B...ever, don't buy it.",,
1,a blissful honeymoon led to a nasty divorce,stanley m heath ,06/12/2016,1,2,3,,,1,3,5,2,,,"BMW seems determined to make Mini owners tethered to their Mini dealership service departments. There are no instructions for owner maintainence and the instructions for resetting the stupid computer for things as simple as inflating the tires are either incomplete or unintelligible. Oil change intervals of 15,000 miles are too long and only contribute to more trips to the dealer in the long run as the engine wears out. Every Mini owner can attest to the utter worthlessness of the run flat tires. Harsh ride and expensive to replace I put conventional radials on and it made big improvement. For a ""sports"" car with all the electronics I""d expect and oil pressure gauge and a temperature gauge at the minimum, but apparently BMW engineers knew better. I bought my Cooper S with 13,000 miles and never got the Email regarding the recall for timing belt tensioner replacement until mine imploded at 30,000 miles. The local dealer was willing to replace mine, but up until that moment I'd never had oil consumption problems. Since then it burned through 2 qts. in 5000 miles. Coincidence? I think the fragments from the tensioner ruined the internal parts of the engine. The driving experience is indeed exhilarating, but beware the dealer cost for service can offset the fun factor real quick. I will not buy another Mini or any other BMW product or recommend them to anyone else. Run the other way",,
2,So much fun - and oh so not worth it in the end...,Scott England ,12/08/2015,2,4,3,,,1,3,4,3,,,"Look I'll make this brief and simple. If you are reading this and other posts you should have an idea now that the Mini is a blast to drive. And you will pay and pay for the constant repairs to enjoy that go-kart feel. The reliability on these cars is abysmal - period. Something is always leaking, breaking or needs replacing. The little turbo simply just eats things up and you will be in the ""repair"" tunnel of hell once things go south. And they will sooner then later. I simply can't recommend these cars until BMW makes a significant commitment to improving quality. Save yourself heartache and go get a new Mazda Miata.",,
5,mini car with GIANT aspirations fulfilled!,Chris ,12/01/2015,5,5,4,,,5,5,5,5,,,"This car is a great car ive driven both the type s and reg mini cooper and they are both fun but the type s is way more fun!  Like the description on the page before says, "" like a go kart for adults"", NAILED IT!  The car is absolutely a blast to drive yeah ok for the first split second there's a tttiiinnnyyy bit of lag(maybe til like 1200-1500 rpms) but after it pulls harder and harder, also noise complaints??? The only noise i heard was the great roar of this four cylinder turbo screaming down the road as if it were warning the other cars to get out of my way!!! This car has GREAT POTENTIAL compared to any other cars, whether price range or in its class!  Lastly as for those who complained about the ""stiff ride"", one question for you?, Have you ever rode in a car with performance suspension before???, yeah its supposed to be stiffer for handling purposes!!!  So quit being a stiff yourself and just drive the darn thing like its meant to be driven!!!  Moreover this might be a ""mini car"" but its a GIANT KILLER that i feel has fulfilled GIANT aspirations!!!  GREAT CAR!!! (In my own opine the only thing that would make this car better would be a blow off to hear that ppssshhh, to give the car a bit more attitude like pppsssshhhhh please get out of my way!!!)",,
3.375,Fun to drive comes with a Price!,theminicooper ,02/06/2015,,,4,5,2,2,,4,3,2,5,"I purchased this car brand new! My dream car back then! Today, I am regretting it. Now at 100 000 miles, I already had a few major issues. Twice I had a coolant leak! Which cost near the 1000$ mark to get repaired. Now I have an engine had gasket leak. This car leaks from everywhere basically. Very expensive car to own! You need a special tool to remove sparkplugs! 
I also had electrical problems! Driving along and all of a sudden, Windows goes down and doesn't want to come back up, Headlights flashing like a police car.. car alarm going off as I unlock car...  
Very fun to drive!! Looooooove the driving experience but problems are becoming ""unforgivable"".
Would NOT recommend!!","-Window opening from keyless entry fob
-Sunroof
-handling
-overall look
","Reliability!!!!! I talked to the guy who purchased the (2004)Toyota Corolla I had before this Mini and he was up to 180 000miles and had No issues at all except basic oil changes...  Which also, an Oil change on a Mini, is very expensive and cannot be done anywhere (Full synthetic + unique oil filter)"
3.75,"Too many problems, excessive oil consumption ",bill_jones ,06/15/2014,,,5,5,4,1,,4,4,2,5,"I owned a 2008 Mini Cooper S, until recently when I traded it in with 75,000 miles. I bought it new and it was a fun car to drive.It had lots of leg room for my 6' 4"" body, but in terms of maintainability it was the worst car that I have ever owned. After 36,000 miles, I was continually plagued with either a ""CHECK ENGINE"" or ""SERVICE"" light and as a result I was forced to bring it to the dealer/car repair shop to get it analyzed. Furthermore, it had ""run flat"" tires...a terrible experience!To summarize my MINI experience:after 50,000 miles it turned into a lemon. To the future owner...stock up on SYN 5W-30 motor oil...you're going to need it! ",,
4.75,Great Car - but here's what you need to know,watermelon4 ,01/21/2014,,,5,5,4,5,,5,5,4,5,"Great car but the S models tires & susp R harsh except on smooth roads. When time to replace them, buy softer tires & the car will b so much more enjoyable. U feel every bump w/OEM tires. Recall for timing belt tensioner & they replaced w/main crank seal, no charge. Paid $60 for new timing belt. No chatter anymore like it did on really cold starts. The auto trans is a worry. Seems to not know what gear it wants when U slow & then accelerate-bucks like a horse - I expect it will fail one day but so far at 55k, ok.The computer tells you 2 have service at like 40k & dealer charges $200 just to check the vehicle over, no maintenance -I wouldn't recommend it if you can find someone else 2 check","Great looking car and drives great especially with the softer replacement tires.
If you live in Florida where the roads have no expansion joints, then you will probably be ok with the OEM tires.
Great design interior and exterior but not 100% sure if the big speedometer in the middle is that great of an idea for function.
Lots of room in the front seats and head room, so taller people can actually use this little car.
Better legroom than my old Cadillac but person in back seat has to be a kid.
Gas mileage is decent at about 30 mpg with mixed use, but mainly highway.
","Softer tires for sure.
Also, the dealer will offer to replace your W/S wipers at about the 24 month mark & will ask around $80 to do it.
Buy them yourself at Walmart for $15.
Mini should provide a manual on how to get into the computer module and reset items for those who want that ability, but a lot of that stuff is on line on videos on Youtube.
Windshield will collect very small rock chips through the years, maybe get some sort of wind deflector?
Apparently Mini will charge $300 to replace the battery.
I replaced it for $99 after watching some videos on Youtube.
Seems like Mini is trying to make the maintenance non-owner friendly purposefully $."
3.625,"Mini now, Maxi$$$$ later.  Horrible resale value!",wildmini ,08/28/2013,,,3,3,4,5,,5,2,2,5,"My 08 Cooper S (6 speed auto) ran at 226 Degrees.The Thermostat is computer controlled and works to keep the temperature HOT.In turn, this cokes up the oil in the Turbo models, and causes a lot of build up in the engine from carbon.I found my Turbo model had excellent fuel economy until you factor in the amount of High-Quality synthetic motor oil I had to constantly replace.People try to say their Mini doesn't use oil, just look at the exhaust pipe on any of them, they use plenty of oil.I sold mine at 77K after a series of replacements.Heat kills & every trip is a risk after you get significant mileage on these.","I loved the way it drove, quick & responsive.
I wouldn't let a young inexperienced driver have the keys to the Turbo model without some close supervision.

Extremely quick on the take-off.

Steering is immediate and over-steering is possible.

The car drives like a Go-Kart and then some.
Holds the road well at high speeds & you can stop & turn on a dime, so to say.

","Make them to where they don't lose so much of their value in such a short period of time.

Run flat tires cause the suspension to send you straight to the Chiropractors in town.
You'll need spinal decompression if you drive on roads with bumps or potholes.

It's a noisy vehicle, and the Panoramic roofs all seem to leak air and make a lot of noise as you drive.
I've been in several different ones and that seems to be typical except when brand new.

I took off the 17"" wheels & tires and put on oversize 16"" wheels & tires and then could really enjoy the ride.
Lost a little on the corners but then you don't need to turn that sharply anyway."
4,Did I buy the right car ,kongsi ,05/14/2013,,,5,5,3,3,,5,3,3,5,"Well I was looking for a bigger car , but saw this MINI at BMW of Dallas and fell in love with it.I was surprised , how good the service was when I bought it , this Ali really went out of his way to help me choose the right car.Then usually I feel the car gets lesser as the time of purchase goes by , but they upgraded the car to certificated the car and replaced things that were getting worn , like the run flat tires.The car is a blast to drive ,the only thing IÂ´m not sure of how hard the ride is and how loud the road noise is. It can wear me out .The price is a little high ,because some things are so much plastic , but there are allot of features on it .",,
4,"Fun to Drive, lots of limitations",jasonbum ,08/16/2012,,,5,5,3,3,,5,3,3,5,"I bought this car used and I am perhaps the wrong demographic to own such a car. If it wasn't so fun to drive, I would hate it- if that makes any sense at all!Noisy on highway, base engine strains when pushed. Automatic trans is clunky on downshifts and has trouble making decisions. This car had some type of solenoid problem before I bought it and found that out later. Very finicky about fuel- Mini will almost spit out anything less than 93 octane. Carbon buildup problems exist and on such a tightly built engine, that becomes worrisome. The Mini, for me, is like someone that you just date but wouldn't marry.","Handling, Visibility, Easy parking","Base engine needs more power, Auto trans needs to be smoother and more decisive, Sunroof sticks when hot, needs more effective sunshade, "
