4.25,I love it!!!!,sherellem ,12/27/2012,,,5,5,3,4,,4,4,4,5,"I love the car. I am a small person so it fits me well. I get compliments everywhere I go syaing how nice the car it and how it's perfect for me. Ity's has great speed on the highway which I love, but the pick-up is a little slow. It's excellent on gas (which is a plus at these prices). Its warms up fast in cold weather, but fishtails a little in the snow (which I do not like). Overall, for the price, it's worth it. I love it a great deal. A few little adjustments and it would be perfect!!!!! I recommend it.","I adsolutley love the blue lighting, espcially at night, makes the car look and feels sporty. It has that race car look and feel. The sounds are awesome because I do like to bump my music every now and then. ",The rear-wheel drive isn't good. Causes me to slide in the snow (which scares me to death)
5,Awesome Car,FOSGATE ,07/18/2010,,,5,5,5,5,,5,5,5,5,I just got the car its an 08 GT brand spanking new and where in 2010. I was skeptic at first but when I test drove the thing damn that thing hauls. I'm glad I got that Eclipse GT. Def get the GT V6 not the 4 banger cause then you'll be missing out on all the fun. The cars got speed its quick and peels out which to me is a good thing lol. You just gotta know how to drive it if you don't want it peeling out when you need it. The exhaust and engine sound good too and the rims are nice. Def. great car to buy,"10 inch SUBWOOFER and the 6CD changer Rockford Fosgate Stereo. Also the 18"" rims and the fact that the motor packs a punch.",Add more Horse power and maybe make it rear wheel drive. But all in all the cars great 
4.75,Excellent Car,Rob ,09/22/2009,,,4,5,5,5,,5,5,4,5,"I used to have a 98' Eclipse GS, lasted 11 years so I decided to trade it in for a 08. I have never been happier with my car, it's stylish enough for me and affordable, gets good gas mileage in my opinion, and is a smooth ride and yes I'll admit I've had it at its max 155 on a interstate, it rides very smooth even at that speed. If only it didn't have so much weight in it. 3550 lbs is a lot for a sports car and makes cornering devastating on your tires unless you take them extremely slow. Corning can use some work but even my last Eclipse turned like a Semi-truck so I'm used to it. All in all, I love my car and it attracts attention.","Stock sound system, smooth ride, sleek design, comfortable seats, interior lights at night pleasant on the eyes.","No back seat room, WEIGHT! You especially feel it in cornering and accelerating, Turning radius, Navigation would be a wonderful feature. Stock radio should be able to hook up with an I-Pod as well."
4.125,"Sleek, Fun & Fast",JC Frenzy ,04/23/2009,,,5,5,4,4,,4,4,3,4,"Overall, the Eclipse is a nice sports car with some punch.  I have the V6 GT SE, so mine has a few more bells & whistles than most.  It's a fun ride, not great in the snow, but not a death trap either.  I threw an intake on it to give it a bit more oomph and a nice engine sound.  With a few mods this will be a beast.  Stock, it's definitely a solid buy.",The stereo,"Turning radius, seat A/C - not just heat"
3.5,Huge Turning Radius,Keith ,02/05/2009,,,2,4,4,4,,3,3,4,4,"Overall, I am very happy with this vehicle.  I think the interior could be ""spiffed up"" a bit, but generally it is ok.  The blue dash is great at night.  The only real issue I have is that for being such a small car, it weighs a lot, and the turning radius is that of a Super Duty Pickup.  Allow yourself plenty of swing when trying to fit into a parking space!",,
4.875,Eclipse Design Saved My Teen Driver,Eppie ,02/02/2009,,,5,5,5,5,,5,5,4,5,My daughter was in a horrible accident yesterday in her 2008 Eclipse.  I bought the car for the safety rating and airbags.  She and her passenger flipped end over end 3 times before coming to a rest 50 ft from the highway on the roof of the vehicle.  They were going 75 (the speed limit on this hwy).  They both walked away with minor scratches.  THANK YOU Mitsubishi for your excellent car - it saved my kid's life.,6 airbags!  Safety ratings,N/A
5,Love this car,Laurie ,11/16/2008,,,5,5,5,5,,5,5,5,5,"I love the way this car handles. The four cylinder engine performs great and gets good fuel economy. The handling, performance, look and feel of the car give the impression of riding in a high end sports car without the high end price tag.",The Rockford Fosgate stereo system the car came with is awesome.,None.
5,Perfect Sports Car for the Money,INDIANA ,10/15/2008,,,5,5,5,5,,5,5,5,5,"Great little car. No complaints. The interior is a lot nicer than the last three Chevys I owned. Limited view when looking over your shoulder, but not a big problem. After all, this is a sports car. Seems to be easy to get in and out of. Well laid out dash and controls.  VERY comfortable seating.",FUN to drive.  Good looks.  Good mileage. And did I mention; FUN TO DRIVE! ,Locking gas cap.
4,Mitsi B,silverdust cd ,09/13/2008,,,4,4,4,4,,4,4,4,4,"Love the car.  Have had lots of sporty vehicles in the past 20+ years and really enjoy my SE.   So far I have 20k miles on my 2008 and have not had any problems.  Insurance is very reasonable, gas mileage is great (30 mpg), and I don't see many on the road so I get lots of looks!",Nice balance between sporty handling and comfortable ride.  Seats are much more comfortable than my Altima and RSX. ,"The interior temp is always warm.  I don't know if it's the engine heat radiating into the interior, but I find I have to use the air condition, even in cooler weather.  "
4.5,All around great car,chris ,08/24/2008,,,5,5,5,5,,4,4,4,4,"I am very happy with my purchase, car has been flawless so far. Great performance for the money and awesome styling. Visibility is a major problem though. Car also likes to get silly when pushed hard in corners when flooring it. Car should have at least came with a LSD or AWD. Interior also should have higher quality. Although nice enough for most people the interior materials don't belong on a 30K car. All around Great buy with a lot of potential. Just with a CAI performance and engine sound is night and day. In the end you get a little more than what you pay before.",The styling and the overall profile are great. I love the the overall balance of this car. Its not the best in anything but really shines as an all around car for the street that you can tolerate to drive everyday,"Bigger brakes, better tires, tighter suspension, back to Infinity sound system, stop going bigger on the engines and put a 3.0 turbo in it! AWD or at least a LSD Please"
4,Traction questions on 08 Eclipse,carnut ,07/12/2008,,,4,4,4,4,,3,5,4,4,"I have owned my Eclipse gs for about four months now with about 4,000 miles on it and found it to be fun to drive, good acceleration and a great sound system but I am noticing that in wet weather the car loses traction around curves and slides and wonder what it will be like in winter driving with snow and ice other than that the car is pretty nice.","comfortable seating, sound system",I think traction control should be on all models and also veh.stab. ctrl.
4.875,Prior owner of '96 Eclipse in love again,'Dorf ,05/20/2008,,,5,5,5,5,,5,4,5,5,"I love Eclipses! Use to have a '96, and recently an '08 Versa (DULL ride). Just got this 2008 Eclipse GS in Rave Red (beautiful color!). What a difference between the Versa and this car. This car makes driving a THRILL again! Love it!","Style, comfort, ""one with the road"" feel.","Well back seat I guess, but what do you expect? Really no complaints here, maybe they can shed some pounds and make the 4 banger more fuel efficient. But really no complaints at all. So happy with my purchase."
3.75,"Big Engine, Sloppy Car",fiveskin ,05/16/2008,,,2,4,4,5,,4,4,4,3,"This was engineered as more of a pretty car than a useful one. It weighs too much for a sport coupe(>3500 lb), the turning circle is ridiculously wide (40 ft) and that's pretty much SUV territory. It also has numerous blind spots such as wide pillars and tiny side windows. The side mirrors are also too small. You will definitely have problems parking this car in a tight space. There is a noticeable under steer. The interior also suffers from cheap looking materials even with the leather option. The plastics are all over the place such as the door handle and middle dash, it almost feels like you're sitting in a toy-car. The rear seat is expectedly only useful for storage. It needs a new design.","Torquey V6, GT Exhaust, 18"" Rims, Interior Lighting, Exterior Door Handles, GT Pedals, Acceleration ","Turning Circle, Exterior and Interior Restyling, Weight Problem, Improve Visibility, Improve Handling, use Better Plastics and Softer Leather."
4.625,Beautiful Vehicle - What a Looker!,Paul ,05/04/2008,,,3,5,5,5,,5,5,4,5,"This is the second Eclipse that I have owned. This one is a true looker! Performance is a big plus. Fair gas mileage. Fun to drive, corners well, 4 cylinder is plenty fast. Excellent sound system, leather seating is a bit stiff but overall comfort is fine. Very quiet interior, which reminds me of a cockpit of a race car! Must know how to drive this vehicle as there are plenty of blind spots. Pricing is modest, the warranty is one of the best out there, period! Not to mention the safety features are incredible, what with 6 air bags and steel- reinforced doors. Overall, what a beautiful vehicle at a very affordable price! Mitsubishi and Toyota are one in the same as far as value vehicles.","Front and rear spoilers, sound system, safety features, modest pricing, power sun roof, leather seats, blue instrumentation (light show), quickness, front-wheel drive, over-all looks, leather-wrapped steering wheel, corners well, warranty that is second to none! What a rush to drive this vehicle!","Locking gas cap, interior could be better equipped; manual center console has common-looking screws, not many instruments to look at or play with. Eliminate some of the blind spots. Gas mileage could be better, especially in the city. GT model only accepts premium gasoline. "
4.75,Traded a Lexus RX330,TONY ,04/25/2008,,,4,5,5,5,,4,5,5,5,Traded 2004 Lexus RX330 that I absolutely hated. Fell in love with the first time I saw it. I can afford a much more expensive car but with gas prices going through the roof I chose to opt for a 4 cyl that runs on regular gas. ,"Styling, comfort, economy, killer sound system.",Torque steer is a minor issue on the 4 cyl. 
3.75,sad but true,mamiya ,04/10/2008,,,2,5,4,4,,4,4,3,4,Had the car since Feb 08 and finding too many little things that bother me every time I drive it! Should have rented one first for a week before purchase.,"Color sunset is beautiful,sound sys is great, seats comfy, handles awesome, looks are a 10.","Interior materials scuff too easy (seat backs, console, doors), 2.4 motor noisy, heat system to long to warm up, needs sound dampening, better carpet"
5,A very fine car!,Silvergirly ,04/01/2008,,,5,5,5,5,,5,5,5,5,"I needed a vehicle that I could rely on and saves me gas.  I fell in love with the Eclipse!  Lets just say this car drives real smooth.  For a 4 cylinder, it has a lot of get-up and go!  I got the SE edition that includes the sunroof and the awesome Rock Ford Fosgate sound system (includes a subwoofer in the trunk).  It also has the nifty front and rear spoilers that makes the appearance very sharp.  So far I can tell a big improvement between this car and my truck I owned.  I am very glad to have purchased this vehicle.  :)","The design of the exterior, quiet ride, and the sound system.","Well, the only dislike is that their isn't a lot of little compartments like in my other vehicle for things. "
