1,Never buy Nissan!!!,Douglas DelPorto ,10/31/2015,1,1,2,,,1,3,3,3,,,"All these Nissan SUV's had a major problem with the transmission cooler inside the radiator leaking and result being destruction of the transmission.  Class action lawsuit resulted and Nissan ""slithered out"" of responsibility with clever lawyers.  Result was only a fraction had a small portion of the actual cost covered.  Very few of the thousands of affected Nissan's got a small percentage of the cost covered.  The real sad issue is that Nissan did everything possible to NOT stand behind their products.  It is an unhappy tale that so many thousands of Nissan owners were abandoned when this problem happened.  Even the dealers are ashamed of Nissan.",,
3.125,Radiator / Trans Problem,joeferr1 ,10/23/2011,,,2,3,2,3,,5,3,3,4," I like the Engine Power of SUV no Question ask. But when I read all the BAD REVIEW on this SUV, I feel very BAD. The RADIATOR problem for this vehicle the way they made it design flow. What I did to my TRANS hose that connect to the bottom of the radiator, I Disconnected & Bi-pass the hose & connect to trans Cooler. I thick the Nissan installed the VERY BAD R A D I A T O R...",,
4.75,Driving in NY city,alainw ,08/19/2011,,,4,5,4,5,,5,5,5,5,I own a 08 LE and an 1998 LE pathfinder. The 08 has 16k miles on it and the 98 110k. They both are great but absolutly not comparable.The LE also has the navigation and DVD package. I never was able to achieve better than 12m/g in the city in any condition in the 08 where it is 16 m/g on the 10 years older PF. My 39 m lease on the 08 will finish in 7 weeks and I will bargain buying it from Nissan Bank. Having said that I am definitly pleased overall. But I still prefer the built and drive of the 10 years older PF (08 is built on a truck frame while 98 is a car based SUV). I find that nothing is plastic inside of the latter and the plush carpet and in it are better quality. ,"Looks, kelyess, music box, navigation, acceleration and speed. No problem with anything. Doesn't dent easy at all (having witnessed repeatedly people opening their car doors on my car enough to rock the car but no dent it. Excellent AWD feature. The front seats are very comfortable. No transmission problems or feeling the road like some other reviewers. No leaky roofs or falling ceiling. Very very quite cabin. Superb power for a 6cyl can accelerate my way 8 lanes right post toll to make a near missed exit without compromising on anyones safety or driving. It's great on bumps and potholes, never slowed down and never broke anything.","DVD can't be started unless u turn of the car or may be this is the only way to reset it. Voice recognition is useless always in error, while on infinity cars it never second guess you.
The second row seats is loose, their is a humid smell when u fist turne the A/C. Paint scratch very easily. The 98 low gear is better and the older truck did much better in the 12/26/10 NY storm. I hope the 2013 path is rebuilt after the 98 to 2004 pfs and I will definitly buy it. I can't believe the the 98 is much better on fuel. Tail gate cloth with a loud baby startling ear drum breaking sound."
5,Best family 4x4 ever!,hatchy4 ,02/01/2011,,,5,5,5,5,,5,5,5,5,"Picked up my 2008 Pathfinder SE with Premium package only 42K's on it, drove 134km from home to get the best deal, the drive back was a real pleasure, mixed road conditions, snow, freezing rain, the works, and the Pathfinder handled it easily. All the instrument features are intuitive and extremely eay to use, no need to reference the owners manual. Dual climate control and heated seats are fantastic the lcd screen is a great size to view all the information. Really for how much kit you get its great value for your money, full side curtain airbags and Active head restraints, considered an LR3 but am extremely glad I went with the Pathfinder, the build quality is superior inside and out!","To many to mention them all! I love evrything about this SUV, Lcd screen and information centre, heated seats, Dual climate control, the power of the engine. Runner boards to help the kids climb in. On a long run of mixed driving averaged 13.3 / 100kms that is much better than my old 02 escape that was averageing 16 / 100.","Second row is a little small for large adults but perfect for the kids, in fact it has alot more head room than my old Escape so I don't have to worry about knocking my kids heads when lifting them in."
4.75,super bulletproof,addy ,12/04/2010,,,5,4,5,5,,5,5,4,5,"This is my 2nd Pathfinder. Used them for company vehicles. '08 has 132,000 miles and '06 has 185,000. Can't wear them out. Cheap to maintain also due to no timing belt (chain). Super reliable, durable. Engine goes and goes. Body integrity is super! much better than the big Armadas made. So much better than anything I have driven. Fuel mileage from 18-23. Pulls everything I hook up to it. Very comfortable seating position.   ",reliability!!!!!!!,rear door handles are weird for short people.
4.875,Used '08 Pathfinder SE V8 2WD,Kdubnyaya ,11/02/2010,,,5,5,5,5,,5,5,4,5,"We have a baby on the way and needed to upgrade from a Scion TC. My family only buys Nissan and have loved them. Her Pathfinder is really nice. It has 42K on it and has no squeaks or rattles. The 310 HP and 388 FT/LB Torque you can feel when the gas pedal is dropped to the floor. Just running around town in rush hour traffic it is getting 15.6 mpg. Which for a big V8 is to be expected. We bought an extended warranty that last for 3 YR or 36,000 miles. Will cost $50 for any issues that we have and Oil Changes are 50% off. Incredible vehicle and because it is a Nissan we will enjoy it for years to come.","Get up and go HP, 3rd row seating, excellent ride and our Black Pathfinder is beautiful!",More leg room for second row.
4.375,Great but popping noise! Help,vrjack ,10/28/2010,,,3,5,5,5,,5,4,3,5,"I havens had any major problems since purchasing my Pathfinder in 2007, but this clicking noise it getting to me! Has anyone else had this problem? Was it fixed? I took it to the dealership for oil changes and I was sure to mention it every time. Its noticeable when I am coming to a stop or slowly backing up. The best way to describe it...it sounds like the little toy lawnmower with the balls inside that pops up as the child pushes it! Yeah, that popping sound more so than clicking. They said that Nissan hasn't recognized it as a problem at least the las time I asked about a year ago. I haven't had any problems driving it or anything.","heated seats, mirrors,and steering wheel. camera, system. I love the fact that I can let the third row seats down for strollers, and other bulky items","more room. it's almost like the truck should be a little lower because if you are tall, you won't have much room in the back seats..you need more ""drop"" or leg room"
4.75,"100,000 miles and 0 (zero) problems!",v880118 ,10/02/2010,,,5,5,4,5,,5,5,4,5,"This has been the most reliable vehicle I have ever owned. My wife uses it to commute between Denver and Grand Is. Nebraska and she puts about 1,000 a week on it. We have towed over 5,000 lbs for 2,000 miles; excellent, it averages 17.8 mpg, has had no mechanical failures, and is still on the original brake pads and rotors with no warpage! I don't baby it, and I have to floor it often for that happy feeling. It rips in a straight line!. Seriously folks, this has been a great ride and will be for the next 100,000, I have no doubt of that.   ",The 5.6 engine is amazing and the 4wd works excellent in heavy snow. I can't complain about almost 18 mpg. ,A couple of rattles but less than my 2010 Silverado.
2.125,Worst car in this size,ROBER ,09/27/2010,,,4,5,1,1,,1,3,1,1,"In two years 5 problems, the roof leaking, solenoid, valve, airbags, battery, window and two problem with solutions. Mechanical service, Maroone of Miami is the worst thing in this matter. The final point is new car with to many problems, what's next ","Need 91 octane, 15 mpg",
5,MPG After Two Years ,ohlode ,08/25/2010,,,5,5,5,5,,5,5,5,5,Regarding MPG on my 2008 Pathfinder S 4x4 with automatic transmission.  After two years and 28K I consistently get 18.5 mpg mainly around town and usually with a small mix of expressway/freeway driving.  I use 87 octane only.  A/C or not it gets the same mileage.  On trips I've averaged 23 mpg.  Hope this is helpful.  I chose the Pathfinder over the 4 Runner because of the deal.  About four thousand cheaper and the base 2008 4 runner didn't even have the 3d seat as standard.  Towing capacity was 1K more than the V6 4 runner.  So glad I picked the Pathfinder.,Everything.  The rear seat combinations are awesome.  Grandkids sit in the 3d seat and are not right behind you.  The power is more than adequate for the size vehicle.  I tow a 2000# boat and a 3000# travel trailer regularly with no problems. ,"The ride in this entry level S 4x4 is a bit soft.  Would prefer a slightly stiffer ride.  Overall, about the best vehicle purchase I've ever made.  "
