1,"NEVER!!!..Ever, Ever, Ever buy!!!",Jeff ,12/04/2015,2,2,1,,,1,,2,2,,,"I concurr with everyone who has had problem with this Van: interior quality is Cheap- mirrors/visors easily break, AC zips sues, Driver & Passenger Windows stop working but the very rear vent Windows work..changed out motor, controller, fuses (inside & out) and still don't work; rear end went out, power steering pump went out, rattling, siding on interior seats started coming off.  THIS VAN is HORRIBLE!!!! Do not buy, New or Used !!!!!!!",,
4,Why the fuss?,Barry Blank ,08/12/2015,4,5,5,,,5,4,5,5,,,"Its 2015 and I guess I'm the odd ball out. I have have 40,000 logged miles and no problems with one exception Last month (July 2015) the variable windshield control stopped functioning properly. That's it, pure and simple. I'll take this one issue in 8 years any day.This is our 2nd Quest *first one is a1994 still running - we use it for hauling. Very happy with both vehicles.",,
1.875,Never Buying Nissan Again,cmadd78 ,03/06/2012,,,1,1,1,1,,3,3,2,3,"We bought a NEW Nissan Quest in 2008. When we first bought we enjoyed every aspect of it. About a month later the problems began. The windows would whistle as we picked up speed (dealership claimed it was normal), we had some problems with ac not working properly (dealership fixed), and then a few years later the cheap car starts having more and more issues. The passengers side mirror cover on the visor falls off, the body rattles, the passengers side window motor quit working, the brake disks warped and had to be replaced, you so much as sneeze on the thing and the paint will scratch or the body dents. Features are nice but van is built too cheap. Cant wait to get rid of it!! ",Built in DVD player and roominess,"Nissan needs to use better fasteners on the body that keep it from rattling so much. They also need better seals around the windows to keep the noise down. Basically stop being so cheap with your parts. I thought it was a great price for what I was getting, but now I realize what I have gotten. I learn from my mistakes and this is definately a mistake I wont be making again when I buy another car. I understand sometimes things happen, but with this vehicle they happen far too often. Goodbye Nissan....."
3.75,Made cheap,haynie3 ,01/17/2011,,,4,4,3,4,,4,4,3,4,"We bought our van in 2008 thought it would be great to own a brand new vehicle. Well within 1 year the mirror visor broke off and the arm rest fell off and the rubber seals on side doors came off. Well today i was driving and there was a flapping noise, I looked back and it was the metal insert on top of the van,where you would have the racks at flapping on the side of van, i had to pull over and get before it hit someones vehicle. It just seems like the veichle is made cheaply, when only having a short time.",I do like how the back seat folds down.,
4.625,Very nice minivan,leeman391 ,03/27/2010,,,5,5,4,4,,5,5,4,5,"Previous van was a Mercury Villager which I liked very much, and so wanted to buy the Quest.  However I didn't like the center Instrumentation so when it was updated to the left side I was very pleased and started looking to buy one.  The van is the nicest looking minivan and has a well laid out interior design and trim.  It drives very car like and it is easy to exceed the speed limit.  ","DVD player, smooth and powerful engine, car-like drive ability.  Very modern looks.",Split rear seats and reposition middle seat cup holder.  Add 3rd row heat/cool controls.
4.875,A great mini-van with style,Jade1023 ,03/08/2010,,,5,5,5,5,,5,5,4,5,"Having had 3 previous Town & Country vans, we had had enough of the maintenance/repair issues.  We also were looking for more exterior style.  We bought this van and promptly took a very long vacation.  The performance of this van was far superior to our previous vans.  We are sold on this van.","Interior room,  exterior styling.",Gear shift obstructs the controls for the radio.  
3,Lemon???,kehaunani ,11/08/2009,,,5,4,4,1,,1,2,2,5,"Well within the first year and a half, I had to take van back to dealer for quite a few fixes.  There was a missing piece in the braking component, they replaced it, they had to replace the seals for the sliding door and hatch, the visors broke off just by opening them, they were replaced. My van was bogging while driving,check engine light came on with that,car had to be towed back to dealership, they had to change out the cylynoids. The a/c came on when it felt like it.they changed two major components for the a/c.  went to p/u van after a/c repair, van would not start. end result, could not lemon law. didnt have 3x for the same problem.traded van in for a 2009 altima.wish me luck! :(",roomy,:(
4.75,After 8 Months,Esteban Salceda III ,10/03/2009,,,4,5,4,5,,5,5,5,5,"My Quest is Awesome. It gets great gas mileage that ranges between 27-30 MPG on the highway. Tons of space. Phenomenal acceleration. Maximum performance is obtained by using 5W-30 Valvoline SynPower Oil or Castrol Edge (Synthetic Oil). Have not had any problems with it at all. Absolutely the best Mini-Van option on the Market. I got a great deal, that Ford, Toyota, nor Honda could match. The fold down rear seating options come in handy for moving days or hauling delicate items. Would buy again it opportunity arises. Great amount of features for base model. This van gots it all.","Performance, can hang with any car. Speed, Acceleration, Handling, etc.",Make the tire size a more common size. The 225 65R 16's are not common and difficult to find. Make the rear wiper blade cheaper to change. Slightly Darker tints would go a long way as well.
3.875,One Year In,Tony ,06/27/2009,,,4,3,3,5,,4,4,4,4,"Lots of space.  Got a good deal on it, so it was a great value.  Drives very much like a big car.  Good power and pretty decent gas mileage (18 city - 24 to 25 highway).  Agree with others that the body structure is a little loose.",Engine.  Suspension.  Value.,Can't understand why the 2nd row seats are more comfortable than the 1st row.  The mild body squeaks and creaks will likely get worse over time.
5,Road champ,brooksfam08 ,03/11/2009,,,5,5,5,5,,5,5,5,5,"I traded in my 2000 Quest SE which we loved dearly.  I thought it would be hard to see it go but na, I don't look back anymore because this performance and ride surpasses the old.  Our 2000 model was fully loaded but this is definitely a upgrade.  This is our 3rd car and it is hard to stay out of it.  I got a unbeatable deal which made it very affordable which Honda didn't offer.  For the options I have in the Quest SE, the only honda model that could compare is the Touring but the price was ridiculously much higher.  Nissan Delivers.","I love the Handling, performance, Sky roof panels, Navi, bluetooth, engine is a beast and quiet, driver visibility, extra room for passengers and behind 3rd row, power lifegate and side doors.  We also love the Bose audio, Dvd and multiplay modes for kids to be kids.","Rear windshield to pop out like the 2000 model, cabin chair windows to roll down and maybe also some under floor storage bins. "
