4,Warm Slippers,Rimantas Aukstuolis ,10/09/2015,5,4,4,,,4,4,3,5,,,"We bought the car new in 2008 and now have 111,000 miles. Normal maintenance, replaced part of exhaust system. Otherwise totally reliable.The ""expert"" review is critical of the ride smoothness. Let me be clear. This is the most comfortable riding car I have ever owned in over 40 years of car ownership. I attribute it to the French, Renault heritage of the chassis platform. If I have a criticism of the suspension it may be that the smoothness of the ride does sacrifice some handling characteristics in that it is not nearly as sure footed as my Honda Civic or Subaru Legacy (rock solid). Build quality appears cheap but is functional and durable. Exterior I believe is classic. Smooth lines. Subsequent model years have messed up a fundamentally clean style. Interior is nothing fancy but comfortable seats, roomy with well placed controls. We bought a hybrid Honda Civic the same time we bought the Sentra for about $8,000 more. Honda was built better with higher quality components, inside and out and better gas milage but we sold the Honda and kept the Sentra for ""around town"" transport. It's just more comfortable, easier access, more capacity and almost as reliable and trouble free. Like an old pair of well worn slippers. Update: April 2016- still going strong at 115,000 miles. No issues. Great for around town. Maybe I'm too conservative but it probably is still OK even for long trips.An additional thought. I have experienced relatively poor handling in snow despite using winter tires. A tire store (which has also done repairs and has an incentive to find things wrong) did note an alignment problem in the back end which they said could be fixed with shims but the process of fixing it could rapidly escalate if they broke any of the fittings which were corroded. I opted not to fix and drive on, being careful in snow (with winter tires) and not noticing any appreciable, unusual tire wear. I mention this as there have been other postings which refer to the same alignment problem.At October 2016, 119000 miles still going strong. Headlight burned out and I had garage replace all front lights because change meant removing headlight assembly, not just twisting out a socket as on other cars. Also developed hole in exhaust ahead of catalytic converter. Garage rewelded and saved me $1900 for new converter. My old Honda had stainless exhaust which is significant. Passenger side auto door lock now buzzes when I unlock. Annoying. It will fail at some point. Repair isn't worth it as it would require disassembly of inside door panel.",,
4,Snappy Sentra,Steve Rich ,08/12/2015,3,3,4,,,4,4,3,4,,,"This 08 Sentra is called the big mans little sedan,four six footers will be content. Rocket launch acceleration is not in this cars DNA, but hyper milling is the order of the day, every day, and that's how I drive it, it makes me feel like ""Cool Hand Luke"". Car has been very dependable and very predictable,which is good! One Big Secret to NISSANS is; any CVT Nissan produced from 03-10 has a 10 year, 120,000 mile warranty on the transmission (I called Nissan direct and they read the memo to me over the phone...twice). They had some bad CVT parts out there and wanted to cover their bases! Well done Nissan. I would like to see some better sheet metal designs come out of Nissan, hopefully Carlos will do that (CEO of Nissan). Nice car, I have put about 30,000 miles on it with no problems, well ok the factory tires could be better! Also this 08 Sentra has a nice seat height!",,
4.25,"Reliable, economical and not bad looking",silverelan ,12/27/2014,,,4,4,4,5,,4,5,5,3,"Wife and I bought our Sentra new and have been very happy with it after 85000 miles. Just change the oil, follow the maintenance schedule and slap on some new tires as needed. 

I love the smooth CVT with no shift points, the engine power won't win any drag races but gets the job done. I have taken the Sentra on several West Coast road trips over mountain passes and even fully loaded we make it thru just fine. Good gas mileage on the freeway though I struggle around 23-25mpg in the city. Newer cars will do better in town but thats to be expected.

Plenty roomy inside and the interior has held up well over the years. 

Overall we have been happy with the vehicle.",,
4.375,Two years and going strong.,psych0student ,12/20/2013,,,4,5,3,5,,4,5,5,4,"I bought my 2008 Sentra second hand exactly two years ago; figured I'd give it the credit it deserves by writing a review. Overall, I truly love this car. It's a perfect size (even when moving back and forth from school), very economical (I get from Buffalo, NY to NYC on one tank of gas), reliable, and easy on the eyes. It's at 36k now, so I realize Nissan is going to abandon me for the most part warranty-wise, but I'm not worried because it's been an angel so far.","I love the CVT (the noise doesn't bother me), the interior room (I'm 6' and could still wear a top hat if I wanted to), the economy, and the styling.","Admittedly, the build quality is questionable (it's manufactured in Mexico), and the interior fit and finish could be a little less plastic, but for the money, this car is tops."
1.375,2008 Nissan Sentra Problems ,tblaha ,12/18/2013,,,1,1,1,1,,1,2,2,2,"Just bought a 2008 Sentra May of 2013 with 67000 miles on it and now have to replace the engine at 83000. Have been in contact with nissan and they WILL NOTstand behind it, said we are 2nd owners of the car.... I not sure what to do from here",,"Not to buy a Nissan look elsewhere GM, Ford or Toyota"
2.5,CVT TRANSMISSION,pswanee ,10/06/2012,,,3,3,1,1,,3,3,3,3,"This is the third transmission installed on my 2008 Nissan Sentra. After 67,672 miles the first one broke down where the car had to be towed 95 miles to the Nissan Dealer. The second one broke down at 68,845, only 2 weeks after getting it back, 173 miles. Nissan extended their warranty on this CVT transmission, because of the problems, from 5 years 60,000 miles to 10 years 120,000 miles. Since the transmission broke down at 7,672 miles from the initial warranty, the BBB advised the Lemon law cannot be applied since it is after the initial warranty 5 years 60,000 miles even though it was extended. Nissan being aware of this will not buy back the vehicle but just keeps replacing the transmissi","until 10 years 120,000 miles. The CVT transmissions on this car keeps burning up where they no longer work. It is very unsafe and unreliable to take on any long trips. They are aware of this problem and just keep replacing it with rebuilt transmissions. Buyers Beware!!!",
2.375,Poor servide,phobbs1 ,09/25/2012,,,3,3,1,1,,2,3,3,3,Do not buy a Nissan if you ever expect to need parts. Tree limb fell on car damaging roof. Have been waiting for roof and attenna for over seven weeks. At four weeks wrote Nissan customer service but no response. Also talked to dealer where I purchaes Orland Park Nissan Illinois and was told nothing they could do. Its now 8 weeks and still back order.,,"Respond to customer needs in a timely fashion, not just care about sales."
3.125,Good basic transportation with suspension issues,vtgeoboy ,09/07/2012,,,3,3,3,3,,4,3,4,2,"I bought a used 2008 Sentra with about 60k miles.Overall it is a good car, very spacious interior, and good gas mileage (35 mpg on highway).However, there have been suspension issues.As you can see on some Nissan owners' forums, the rear wheels are permanentlyout of alignment.This is an easy fix - a tire shop can install a shim kit.If you don't do that, you will burn through tires. Soon after that, one of the front wheel bearings started making a loud rumbling.That was replaced, but the ABS sensor was rusted into the hub and had to be replaced - ABS sensor is $200.Fuel filler door stopped working - plastic cable end broke.","Lots of interior space compared to competitors, particularly in the rear seat.
good gas mileage, engine and CVT transmission work well.
Generally quiet although the CVT can make a clicking sound.",Reliability and general comfort of suspension
5,I love my Sentra!,jessbugg ,08/06/2012,,,5,5,5,5,,5,5,5,5,"I bought my Sentra used from a dealership in early 2010, it was originally a rental car so had a few extra miles on it. I have put over 40,000 miles on it mainly driving back and forth from TN to FL for school and I have never had any problems. It's a great car, gets good gas mileage on the highway and I have not had problems with an ""uncomfortable ride"" I only recently replaced my tires & brake pads but the car has 70,000+ miles on it now. I've had no issues with the engine or anything under the hood, but I do get regular oil changes and maintenance checks since I do so much highway driving. Everyone always thinks my car is newer than an 08, I love it!","I like the electronic gas meter, I also like the electronic tire pressure light (although I often have to remind my mechanic to reset the light when I take it in), I love how roomy the car is being a college student I transport a lot of things from my home to school and I can cram a ton of stuff into the trunk and backseat",I wish I had gotten a model with cruise control since I do so much highway driving but honestly that's my only complaint
2.75,2008 Sentra 2.0 Pro's N' Con's,ronjr69 ,02/24/2012,,,2,3,3,5,,3,2,2,2,"Pro's, Nice color (Onyx Blue) good paint finish, decent stereo, decent mpg (31-34 mpg @ 70 mph), quiet ride, roomy, good AC, adjustable cupholder, reliable (so far)Con's, No ABS standard, no cruise control, hard seat's, aux. in should be in center console, drivers seat should be centered behind steering wheel, steering wheel should be a softer material, can't read LCD displays with polarized sunglasses on, oversteer, can't fit my foot between brake pedal and center console to reach gas pedal (have to push tippy-to and is uncomfortable on long drives), lot's of body sway when windy or near trucks at speed, bland performance, handling, car is seriously under engineered, can't believe no ABS ","Stereo, quiet ride, decent mpg, reliability.
Overall, I get out of this car pretty much what I expect from a lower tier vehicle, am surprised that there is no standard ABS, or cruise control, I've driven it about 15K and no major problems (I noticed the brake light had come on after my first maintanence oil change), there is a recall on this, will get it fixed, can't find a leak and it stops O.K. (for no ABS), I would have prefered a Ford Focus or Fiesta, or a Chevy Cruise, but they did not offer me financing, Nissan went out of thier way to help me purchase this vehicle, I paid too much, but that is expected.","Make ABS Standard!, move brake pedal to the left or make it smaller, ditch the CVT and add a 5 spd standard, softer material for steering wheel, LED's instead of LCD for radio display, center drivers seat behind the steering wheel (I thought it was me, but my friend noticed it almost immediately) if you include power windows/locks, int wipers, it's a no brainer to also include cruise control, move aux. in to center console, it's untidy to have wires dangling from your dash, make center console higher so it can be used as an arm rest, lower ride height so car doesn't sway out so much in turns and has lower profile in wind and truck turbulance, lower driver's seat."
