5,Great truck,Eddie ,10/31/2015,5,5,5,,,5,5,5,5,,,I bought my truck new in 2008 and now have 80000 miles on it it still tows great and I have no problems with this truck i love it and I would buy another one,,
5,time to buy it,designbo1 ,06/06/2012,,,5,5,5,5,,5,5,5,5,"Well my lease is finally up and as stated before I'm buying this truck!!! Nissan tried their best to sell me another one, but they couldn't budge me from purchasing this one. One fine truck. 50K on it and not one issue what so ever. I'm stuck on this one and hopefully it will last many, many more miles.. Fantastic truck... Heard Nissan will be coming with Turbo-Charged version in 2014,, If it's anything like this it will be a winner!!!!!Ride is still outstanding, performance is second to none and it rocks!!!","Ride, Comfort, great features. ","Provide storage on both sides of truck, not just on left side. "
3.75,Not Very Happy,rangerdeppe ,01/14/2011,,,4,4,2,4,,5,4,3,4,"I bought a 2008 Pro4X new from Nissan, and it has not been one of my better vehicles.It's had numerous recalls, the gas milage is terrible, the locking differential has never worked, the driver's seats squeeks loudly, the rear doors rattle, and now the rear bumper is rusting.This is the last straw for me.Since the truck is 3 years old, and has over 36K miles, Nissan will not fix the bumper.I can't believe it!This truck was nearly $40K, has never been in any kind of accident, and Nissan won't cover rust?!They told me that the rust warranty only applied to body panels, and bumpers were not covered.The rest of my truck still looks new, and the rear bumper has a big rust spot!",Power and ride quality.,"Better fuel economy, tighter cab, better warranty and customer service!"
1.75,Bad trade in value/bad gas mileage,Julian Martinez ,12/03/2010,,,1,1,1,1,,4,4,1,1,"Bought 2008 Titan new paid $ 28,000 for it 1 1/2 yrs later with only 14,000 miles I tried to trade it in for a new truck they offered me $ 13,200 trade in,what an insult. I wish they would have told me this when I purchased the truck. Wish they would have said when you come back to trade your truck in you will get a  big screwing.Truck depreciated $14,800 in 1 1/2 yrs wow. Worst fuel mileage ever. Bad resale/trade in value. Wish I could talk to a Nisan representative.",,Trade in value gas mileage
4.125,Mixed Feelings,Truck Dude ,11/06/2010,,,5,4,4,5,,4,5,2,4,"The 5.6 puts you a quick stomp away from instant gratification. A good mash when you are not loaded will put you in the back seat. The throaty exhaust note is hard to beat. 390 lbs of torque makes the Titan the best tow rig I have ever driven. The suspension is spot-on. The interior is quiet and the seats are awesome. However, the truck has it's down side. The sloping front end and flared rear fenders make judging distance in a parking lot quite difficult- rear blind spots swallow a Caddy with 10ft to spare. The turning radius isn't exactly competitive. Fuel economy is worst in class- mostly highway, I avg'd 14. I got 17 mpg hwy with a tonneau cover and 10 mpg with an enclosed trailer.",The sheer power is the best thing this truck has going for it. ,"This sounds stupid, but the paint is incredibly easy to scratch. Aside from that, the best change would be some modern tech in the intake/fuel system to boost the MPG. 17 should be the average, not the absolute best. I saved serious cash by trading her for a small car AND an old truck for work."
1,Horrible,m951 ,10/30/2010,,,1,1,1,1,,1,1,1,1,"Not reliable at all. The worst gas mileage. Barely any horsepower. Isn't very good for towing. I hate eveything about it. I upgraded to an 08 tundra and do not regret it one bit. It has way more horse power and towing capacity and is more comfertable, a lot of fun, and much better on gas. Its offroading capabilities are also much better. The tundra has a bigger bed and a much nicer look.",Nothing at all,Everything
4.375,My first Nissan,Dave ,10/11/2010,,,4,5,5,4,,5,5,2,5,"Bought the truck during a hail sale. Had my eye on it for at least 3 months but wouldn't jump on it. When the truck got hail damage, they knocked $4000 off, and I guess I couldn't say no.  I have not been disappointed since. Sure, there are some small issues (interior material choices, not having all the options) but it doesn't detract from it's drivability, or my comfort.  The interior cab is so huge, I usually work remotely and can plug in a laptop, rest it on the front center console, and use my back seat as my office space.  With room to stretch my legs and work comfortably, no passenger car has ever come so close.  I am driving her into the dirt. And that says it all for me.",Crew cab room. I can fit 6 adults in the cab and we're not talking smallish gnomes here. ,"If anything, rear under the seat storage compartments would be nice. That was one feature I loved with the new Ram trucks. So much storage. "
4.875,Awesome Truck!,Jeff ,10/01/2010,,,5,5,5,5,,5,5,4,5,"I've had a couple other trucks, Ram Crew Cab, Ford f150, but this truck has been absolutely fantastic.  I love the power to tow, looks cool, drives great, lots of back row space.  I have never met another titan owner that didn't love their truck.",,
4.75,Titans rule!,Bud ,09/28/2010,,,5,5,5,5,,5,5,3,5,"Bought this truck used with 6500 miles on it at a Chevy dealer that was going out of business, got the deal of a lifetime to say the least.  The Titan is smooth, fast, reliable, and comfortable with the captains power seat.  The only issues I have had were a bad A/C condenser fan, leaky radiator cap, and I fixed the A/C drain tube myself.  No squeaks or rattles, solid brakes, handles like a smaller truck. The paint and plastics quality is sub par, other than that and the 12-13 mpg there are no downsides to owning a Titan. ","Engine power, transmission smoothness, ride quality is great even with cheap OEM tires. Tons of storage, the Tow Package is great, ergonomics are excellent. ","Paint quality, interior and exterior plastics need improvement.  "
4.875,2008 Nissan Titan le 4x4 perfect truck,CHUCK ,08/14/2010,,,5,5,5,5,,5,5,4,5,"I purchased my 2008 le nisstan Titan 4x4 and never had any problems. I drove all the other makes, Ford King ranch f-150 was the 2 nd to last before the Titan. The Ford dealer said he would knock $10,000.00 off the sticker price for me. A deal was almost struck, but first had to drive the Titan. The dealer had what I was looking for, and once I drove it, there was nothing to compare with the others. They took off $13,000,00 of the sticker price. Wow! I drove it home. This is the only truck next to perfect. You won't go wrong with a Titan le.","Add back video camera. That is all needed. Great truck. This is the only truck a women or man will ever need to look tough but cool, come and collective. ","Add back video camera. That is all needed. Great truck. This is the only truck a women or man will ever need to look tough but cool, come and collective. "
4.25,Love the power,JB ,08/14/2010,,,4,5,5,5,,5,4,2,4,"Purchased in Feb 2009, got a great deal (left over from 2008) and haven't looked back since.  This is the best pickup I've ever owned, hands down.   ","Smooth riding (due in part to long bed), strong performance, and lots of room for passengers or cargo, or both.  Good stock stereo with MP3 connection, comfy seats, great storage in back seat.","Exhaust/engine note is both a favorite and a not-so.  Throaty but annoyingly loud on long trips.  Also, no power mirrors in this package, but power everything else?  Still my fave pickup ever, go Nissan!  "
4.625,City boy truck,jimbo ,06/17/2010,,,5,5,4,5,,5,5,3,5,"Titan is my first full size pickup. chose it over cookie cutter Ford F150, F250 and GMC/Chevy. i liked all those truck appearances but too common.  Fell in love with the Titan FFV 2wd LE crew cab. it's sneaky big. Interior is huge with lots of hip and leg room. Has more rear/front leg room than wife's Suburban.  Locking Leer bed tonneau makes for a huge weather proof trunk! Heated seats are large and comfy. Rock/Fosgate stereo is awesome. a/c is great.  Truck rides great, i even put a 2 inch leveling kit on front to level the look.  just a great vehicle for everyday city use. it will never get in the mud or go hunting, but can carry 20 sets of golf clubs i bet.  ","Huge power/torque, sound system, rear leg room, fender storage, interior storage, backup warning, seats, instrument panel, ease of use.","not really fixable, but A pillar blind spot is pretty large/dangerous.  gas mileage is not great, but i knew that when i bought it.  same as my old 4runner and suburban, so i am ok with that."
3.75,Love the Power,maurice ,05/31/2010,,,2,3,4,5,,5,4,2,5,I bought my first Titan in 2004 the first year king cab version. I loved it. It got me a couple of tickets and I Learned. They are good trucks hard on the gas but has the power. The only problem I have really had is the 04 and the 08 I have now are hard on rear tires. I don't spin the tires they just seem to wear on the back only. They a just good trucks.,the 5.6,change the interior look. Put the toolbox on all models.
4.75,"First truck, last truck",Erik ,05/28/2010,,,5,5,5,5,,5,5,3,5,"Got back from a deployment and I got to purchase my first truck, I looked at the Ford, Chevy, and GMC first but fell in love with the Titan. I've had It for about a week, two days ago I drove a thousand miles to get home for leave and I couldn't have been more comfortable.","Sound system is awesome, Interior comfort and room, bedliner and rail system, driver side lock box","Gas mileage leave much to be desired, maybe a 4.8 v8 option"
