5,Great Truck,Ankur ,07/23/2015,5,5,5,,,5,5,5,4,,,"I purchased mine in 2009 with 17000 Miles on it. Today I am at 174000 miles and still going strong. Not best fuel economy but with 4wd, that is what you expect. Only repairs have been bad bearings on front. Aside from that all routine maintenance. Just replaced the full suspension recently and the ride is much better now. The older it get, the move vibrations you feel, but mainly over 70 mph. Really vibrates after 80 mph, tried wheel balancing several time, breaks and alignments, but i think it is just its age now. Would recommend the truck, but am hoping they redesign soon before i buy another car. I am looking at 4 runners due to much better fuel economy on 4wd versions.",,
5,CAN'T SAY ENOUGH!,graysith ,05/26/2014,,5,5,,,5,5,5,5,,,"After major disappointment with my previous 2005 Jeep Grand Cherokee, I turned to Nissan's Xterra, and will never turn back.In the 5-1/2 years that I've owned mine I've had no trouble other than a cracked in-tire air pressure sensor, but that's it.Drives great, super in snow and weather, dependable, trustworthy and comfortable.I needed something able to get through IA blizzard conditions; this baby does it!Have 113K miles on her (80% highway), and plan on keeping ""Bear"" for at least double that!No regrets whatsoever; I highly recommend Nissan for quality, performance, strength and durability.Leaves Jeep floundering in the dust, let me tell you that!  *Update*  It is now 2016, and the Xterra has 146K miles on her.  Still going strong at eight years old!  Replaced a rear wheel wheel assembly when mine loosened and eventually forced the ABS to kick in all the time, but that's it.",,
4.375,"Off road ready, but still stock",petarvn1 ,03/01/2013,,,4,5,5,5,,5,2,5,4,"Bought certified 2 years ago, Our Xterra has seen dirt, water, and 110 on it's speedometer. We had no problems driving it on light offroad courses, and it's big enough to seat 4 in the back (please dont do it though!) The MPG's aren't too good, but it's good enough for what it is. Surprised at it's speed, though, since it outsprints most family sedans to 60, and the 21+ gallon tank will last you 350-ish miles. Biggest problem are the rear seats. The front ones are soft, and big, but the rear bench feels just like that. a park bench. don't spend more than 4 hours in the back of it, or your back will hurt.","The V6's power, off road capabilities, looks, sound system","Interior could be more comfy, a 6 speed Auto box, better MPG's"
4.125,Great SUV,az_ryan ,04/02/2012,,,3,5,4,4,,5,4,4,4,"I got my Xterra S used and love it. The V6 engine is powerful and the ride is smooth and quite. The exterior styling is really nice looking.The interior is pleasant looking and roomy, but very minimal. There are lots of plastic panels and very few bells and whistles you would expect. It would be nice to have more features. The biggest disappointment was the terrible factory sound system. One of the first things I did was replace the radio and speakers with an aftermarket system. The rear cargo is very nicely thought out with adjustable tie downs on the floor and roof, storage under the floor, and rear seats that fold down flush making lots of room for dogs or hauling. Cleans up nice.","Strong engine, nice styling, great cargo area.",Improve base sound system. Add more features and refinment inside.
4.75,2 yrs and still running great,nick_ole ,03/27/2011,,,4,5,5,5,,5,4,5,5,"Fun SUV to drive... hugs the road like a champ with smooth acceleration and strong brakes. Mine is a 4x4... haven't taken it off road yet but looking forward to it. Got mine a yr old at a steal and even if I didn't, it's still worth the money.It's expensive to maintain though...tires cost 200+ a piece and maintenance at the Nissan dealership which I recommend, is still expensive. But all in all, haven't had mechanical issues yet @ 66000 miles. This is my second Nissan after my 2004 Maxima SL and Nissan hasn't failed me yet.","Everything except MPG and sound system... Had to add after-market sound system for $2,000 and I've been all smiles since.",Improve standard sound system that comes with the vehicle.
3.5,Pretty Nice truck,kev2011 ,01/25/2011,,,3,3,4,4,,4,3,3,4,"Ive been a maxima owner for the last 10 yrs and this is quite a switch. im starting a biz this spring and need the towing. i hope it is up to the task. the car rides nice for a truck but is uncomfortable for long drives which i do every day. the armrest makes me twist my body to use it. the seats are ok. the roof rattles over bumps. the stereo is not even close to the BOSE in a maxima. adjusting to much less creature comforts has taken some time, but i do like the truck. snow is no match for it. i pulled my 20ft boat with it this summer and hardly noticed i was towing anything. i hope its half as good as my maxima. ",i like the front and rear exterior design. ,dont like the all plastic rear cargo. everything slides all over when i drive. the roof rack rattles. 
4.625,Safest Small SUV Money Can Buy,ssnman ,03/30/2010,,,5,5,5,5,,5,4,4,4,I bought my two teenagers each a new Xterra. Each now has lived through a horrific accident. One side impact the other head on. Both vehicles totaled. Both cases i am absolutely amazed at the sturdy frame construction and impact resistance the Xterra has. I was told by all professionals involved that both survivals were miracles. That may be but Nissan makes one heck of an SUV. That from a grateful Dad.,,Better advertising. Every parent should know how safe this vehicle is.
5,Awesome!!,kolzilla ,03/12/2010,,,5,5,5,5,,5,5,5,5,I just recently bought my Nissan and Love it. It's so comfortable and handles the road like I was driving my Mustang. I wanted something a little bigger than what i had which was chev blazer and with a little more horsepower. Even tho I got a used car with low mileage it's still a great purchase. I recommend this vehicle to anyone..,"Stereo System, Steering , GPS , Seats, way it handles the road","none, love it!"
5,Nissan Is #1,Beverly Edwards ,01/16/2010,,,5,5,5,5,,5,5,5,5,This is 2nd X-terra - my first was not a four wheel drive - but she traveled extremely well - the one i own now is a four wheel drive and i love her even more - i can not imagine owning another vehicle but if i do somewhere down the line - i promise it will be a Nissan - i will never go back to any other vehicle - Nissan is the best made auto!!!,Everything!!!,None
4.375,Work horse,NatG83 ,11/05/2009,,,4,5,5,5,,4,4,3,5,"Engine is powerful, but could be more fuel efficient if given cylinder deactivate. Never strained even with full load. Cargo area is durable, but scratches easily. Ride could be smoother if Live-axle and leaf springs were traded for independent suspension. HVAC works surprisingly well, considering there are only vents in the front of the truck. Vehicle is great in weather even when in RWD mode. Use 4WD, and nothing stops it.",Awesome V6 Power. Flat load floor with many hooks. Good thigh support with seats. Easy to use 4WD system. Durable easy to use HVAC controls. Great roof rack and storage. Ample Dual glove compartment. Deep Center console. HUGE cup holders.,"Cup holders could use rubber inserts for smaller drinks. Could use Cylinder deactivation. Deeper wells for more rear-seat leg room would help. Independent rear suspension, like the Pathfinder, would help with ride over rough roads."
4.625,Greatest Bargain SUV out there,carmoose0082 ,10/28/2009,,,5,5,5,5,,5,4,3,5,"Love this SUV.  Very rugged yet great on or off the road.  Great list of standard features for a $20K base price mid size SUV.  No money wasters on this one only the things you need.  Not one complaint in almost 2 years of driving and 25K miles. 4.0L VQ engine is awesome, pulls hard and tows great and quiet to boot. ","Engine, roof rack, off road prowess.",
4.125,2nd Xterra,Xterra#2 4me ,09/29/2009,,,4,4,4,4,,5,4,3,5,"This is my second Xterra purchase. I bought a 2000 when they first came out. The changes and improvements are generous. The horse power increase is terrific. The A/C is improved and cargo area is easier to work with. I have had my new one since Feb 2008 and love it. The only change I did was buy an automatic, I have to deal with stop and go traffic in my commute. ","The hp, a/c and cargo area. This is a mans truck, it handles great off road. It is bounces around a little but over I'm happy.","Less bounce on the bumps, increased fuel miles and you have a top notch vehicle."
4.875,Excellent  SUV,Shawn ,08/19/2009,,,5,5,5,5,,5,4,5,5,"I have owned this xterra for a year now, and I must say it is absolutely wonderful! It has great power, handles excellent, it is very durable, and I have not had one problem with it. I must also say the sound system is excellent too! The gas mileage is not too bad for a suv, I get 22 mpg on the highway and around 18 mpg in city driving. As far as comfort it is good if you do not frequently drive long distances. It does well in the snow, and the heat is great, as well as the air conditioning is great too!  Over all it is a excellent vehicle !","The sound system, And the amount of Room it has.",Could use a little improvement in the comfort As far as if you Drive a lot of distance.
