4,Good Solid Ride (Whip),Michigan Driver ,03/04/2016,4,2,3,,,5,4,3,3,,,"I bought my Torrent used with around 90,000 miles. After a few months I started to have engine power problems transmission problems, losing power, running rough. I also had problems with the stabilitrac and antilock brakes. I went to the dealership and they had no answers or ideas on what the problem was. I did some research and a domino effect of thing were improved by a new egr valve as well as plugs and wires. I did all repairs myself to save hundreds. All the problems went away and I've put 10's of thousands of miles on it with no more issues.",,
3,Never buy a GM vehicle again!,Military Momma ,09/24/2015,2,5,5,,,3,1,3,5,,,Has same issue with the blend door actuator as the 06 model for which there is a recall. GM won't do anything for the same issue in the 08. My son is n active duty member of the US Army and can not afford the over $1000.00 repair Bill.  Ridiculous!!,,
3.75,Loved Until Recently,randy394 ,01/01/2015,,,4,3,4,3,,4,4,4,4,"Bought my 08 Torrent GXP in 2011 and, up until recently, I have loved it. However, Ive now had the power steering hose break three times and Im growing tired of repeatedly fixing it. My battery also died at only 44,000 miles and the all-wheel drive regularly goes out when the temperature dips below zero, which is the type of weather when you mostly need AWD. I love the comfort, look, features, and how the Torrent drives, but Im now looking at a new car as Im sick of these mounting piddly issues. I never once had my 04 Malibu 2LT in the shop beyond oil changes in the 7 years, 80K+ miles I owned it. ","Features for the price, overall drivability, good visibility for an SUV, decent power","Improve AWD system for cold weather, improve power steering hose quality"
1.25,Don't Buy,tk6227 ,07/11/2014,,,2,2,1,1,,1,1,1,1,I purchased by Pontiac Torrent in 2011 each year i have had problems.Within the first year the radio went out and the repair is $400. The next year my transmission went out $1500.The next year - when it rains the floors in my back seat get wet and causes and odor.Now i am seeing all these recalls for all these things that are wrong with the car.I called GM and the Dealership on several occassions and they just don't care. i am too far under to even get out of the car into something more reliable.,,
2,Don't buy,joslin3 ,11/28/2013,,,3,3,1,1,,1,3,1,3,"Absolutely horrible and because you now must deal with GM they don't want to recall these vehicles because that would cause them to fix a problem that Pontiac created.I have owned one for almost 2 years and I have had nothing but problems,within a month of owning it the radio didn't work, the lock on the drivers door costs 300 to fix because unless you actually try to open it while it is locked you would of never known it doesn't lock, the rear windshield wiper motor went, the wheel bearings are 300 a piece, and because of how they are made it is common for rocks and sticks to get into the cv shaft and cause 200 in damage.Stabilitrak & ABS light constantly on & off.",,If you try and talk to GM they will say it is normal wear and tear and refuse to reimburse you anything at all..Just recall the car and offer the customers a GM product. It's better than not taking care of your customers and in the long run you would be creating more business for GM.
4.5,WOW  What else can I say ?,jackay_boy ,10/15/2011,,,3,5,4,5,,5,4,5,5,"I have had this vehicle for several month's now, and look for reasons to take it out and play. All of the ponies under the hood are married perfectly with the 6 speed tranny. I think this 3.6 really puts out like Pontiac said it would. Hope I get to keep my license for as long as I own this beauty, which I have the feeling will be a long time.","Sound of the throaty exhaust when given the gas. Color of the interior lights very easy on the eyes at night. Lots of get up and go off the line. Lots of interior room. Cool looking exterior with the chrome wheels, and loss of the geeky looking roof rack.","Smaller windshield posts for better vision. Move the cup holders so they can be used.


"
4.125,Knew What I Was Getting,czuchster ,09/24/2010,,,4,4,4,5,,5,5,2,4,"There are some squeaks here and there, especially with the steering wheel, but I read the reviews before I bought the car and I knew what to expect. The only disappointment has been with the gas mileage, which hasn't quite been up to the EPA estimates. Even my Hondaphile and Toyotaphile friends have been impressed with the comfort and looks of my Torrent. On the safety front, I was in an accident three months ago that sent two other drivers to the hospital but I didn't get a scratch, or even feel sore the next day. I can't rave enough. I've looked at trading it in for something with better MPG, but I can't find anything I'd give up for Torrent for.","The biggest plus in my book has been the spacious back seat -- when family members who are six-foot-plus pile in the back, they can't believe their knees aren't bumping against the back of my seat. Definitely worth my investment.","Now that Pontiac is gone, that would be pointless, huh?"
4.625,Concerns with Manufacturing,Steven Lopez ,09/15/2010,,,4,5,3,5,,5,5,5,5,"I have a 2008 torrent and have had several issues go wrong with the SUV! My windshield wipers don't work on low speed, Air conditioner went out a few weeks ago, my back door, passenger side does not lock or unlock with auto unlock! These are just a few of things I have had trouble with right after the warranty went out! ","Run very good, took it to California and it performed well other than the air going out!",not sure what to add here!
5,loved it,lvetzal ,03/09/2010,,,5,5,5,5,,5,5,5,5,This by far was my favorite car I have owned.  I too was recently in a serious collision on a busy highway and walked away without a scratch only because of the vehicle I was driving. It had tons of room handled like a dream and gas wasn't so bad either! The only problem I had was the front wheel bearings went in my first 6 months of owning.  But were replaced by my warranty no problem. I would highly recommend this vehicle.,sounds system with the Pioneer speakers was great.,
4.25,Would recommend,Persy   ,01/20/2010,,,3,5,5,5,,4,4,4,4,"Bought in Pittsburgh in Feb 2008.  Has handled very well in snow and rain!  Doesn't have a lot of horsepower - but, that keeps the MPG lower.  Some of the inside features are breaking (mirror covers).  But, overall a very reliable car, and I drive a LOT. ","I like that it is a small SUV, easy to park and drive.","The rearview mirrors are too big, blocking the view.  Put window buttons on the door.  Do not have chrome cover for gear shift with sunroof - it blinds you! "
