5,Love this car very dependable and fast,Anthony ,04/06/2016,5,5,5,,,5,5,5,5,,,Don't make them anymore of course I had my mechanic check it out and there's everything good parts will be easy to find through GM or even after market love this car,,
1,NEVER BUY THIS CAR,kkh321 ,02/05/2016,1,,,,,1,,4,4,,,"I had this car for a less than a month and the transmission went out. Then the headlight went out a couple weeks later, and my other headlight flashes a little when i press my breaks almost like it has a shortage. No snow traction what so ever I got stuck three times, thank God I was not in a rush to get anywhere. I also had to recently replace the coil pack because of a misfire and it happened all of a sudden as I was driving and it was super scary. PLEASE DO NOT GET THIS CAR IT HAS BEEN NOTHING BUT A PAIN SINCE DAY ONE.",,
2,Broken down again!!,LANDA ,10/06/2015,,,,,,,,2,3,,,"I'm so over this car,I'm currently broke down right now,I was getting ready to drive and my steering wheel locked up,car ovetheating I've been to the shop so many times with different issues,I guess the saying you get what you pay for is right,this is foolery,2008 Saurn is trash ugggh!!!",,
2.75,Pedal positioning is painful,rojo8 ,12/21/2014,,,2,4,4,4,,3,1,3,1,"The gas and brake pedals are far apart and both are high off the floor, so it's impossible to pivot your foot comfortably on the heel. I have to completely let my foot off the gas pedal in order to hit the brake. No big deal obviously on high speed drives with minimal braking, but in-town driving is painful. Because it's so uncomfortable, it's also very unsafe. I'd find myself resisting moving back and forth between braking and accelerating, which obviously is not a safe driving practice. 
If you're small-feeted like me (size 8-9; not terribly small in fact) but you're used to stomping on your pedals, then no big deal. Pivoting is safer because it's more comfortable. What an idiotic design.",Reliability,"It's a discounted make, but to what seems to be the majority of car makers today: Do away with the misguided ""safe"" positioning of the pedals, supposedly there to minimize unintended acceleration. Making them more easily differentiable, also makes them totally uncomfortable for people, at least women, with small-average feet and thus unsafe. As simple is that. 
I've not been able to drive this car for the year and a half that we've owned it. Luckily I don't work, and my husband has big feet (sz 13) so he has no trouble with the pedals. "
1.75,2007 Saturn Aura owner,ssbowtie ,07/18/2014,,,3,3,1,1,,1,3,1,1,"I have 07 Aura XR with 88,000 miles on it and transmission went. GM said nothing they can do 5 year/100,000 warranty is up. In shop now for 2 days bring diagnosed. I will never buy another GM vehicle as long as I live. Probably will have to sue for replacement and that GM known defect",The body style,give longer power train warranty. All transmission issues with these cars that I have read about in the past week speak of the same problems and lack of help by GM
3.625,"3,5,R wave plate",angila_meyer ,06/08/2014,,,3,3,3,2,,4,5,4,5,We bought our Aura used with 44k miles on it. We currently have 66k.I really love this car.However recently the wave plate went out in the Transmission while I was on my way to work.So I stopped at this repair shop right across the street. I had them look at the car. (keeping it over night) They informed me that the wave plate was the issue and my car was undrivable.So my Fiance go a hold of GM and let them know the issue. They got back to us saying its a known issue that they fixed with the 2009 version but basically since we were past five years even though we are under the 100k for the warranty we are out of luck.So by admitting fault but are leaving us stuck with a 4k bill. ,I love this car. I wish GM had better customer service,
2.25,terrible,sbrke13 ,03/19/2014,,,1,5,2,1,,3,2,2,2,Nothing bur problem after problem with this Car. Doors wont always open. Locks on rear doors dont work. Nothing but electrical problems. On top of tht ems computer needs to be taken apart every cpl months and add dielectric grease. Car will randomly wont start due to vacuum leak caused by ems computer.it will pulsate and stahl out. Temper gauge freaks out to. and thts just the start of the problems. All in all worst car out there. Extremely cheaply made,,
4.5,Best car I've owned,bdog86 ,07/22/2013,,,4,4,4,5,,5,4,5,5,"I've owned many cars, trucks and suvs. But the 3.5L version of the Aura rocks ! Lots of space, plenty of power for a luxury sedan which surprised me, and just the defined look of the Aura catches you off guard.My Aura has 106,000km on her now and the only thing replaced so far was the driver side strut which was a quick fix. Very reliable car and is high enough off the ground to go on gravel roads into the woods without sacrificing any comfort at all ! Handles turns, and bumps beautifully. Also if your worried about a V6 eating gas... Don't be worried. I get at least 500-550km in the city with full tank and over 700km on highway but that's going around 120+km/hr.. ","Engine is great but kicks out abit more power if you get a better air intake for it. Smooth ride with a sense of luxury. Great features on the dash like temperature, oil life, individual TPMS, and Electronic Stability Control once your traction control kicks in. Theirs some of the great features I love about this car and the Traction control can be manually turnt off unlike some other vehicles. The exterior design of this vehicle looks great and I would recommend to anyone that can get one ! ","You cant ever have too much power, so by saying that maybe more power ! Bigger brakes for more quicker stopping response. Would like a more playful steering wheel cause it is abit lifeless. Besides that I love her !"
3.5,Frustrated & Deperate!,mandis ,06/29/2013,,,3,4,3,3,,4,4,4,3,I just started having steering problems. The steering wheel jerks hard while driving down the road and it feels like the steering is going out and I am going to loose control. When I come to a complete stop and let go of the wheel it starts shaking all by itself. It seems to only happen when I am driving it. I have taken it to a shop 2 times and both times they say there is nothing wrong. I am not imagining it and I am scared to death to put my kids in the car. Has this happened to anyone else and what did you do?,,
4,Great Used Car For The Price,andrew_aura1 ,11/03/2012,,,4,4,4,4,,3,4,5,4,"The Saturn Aura is a very well put together vehicle. It has great handiling capibilities but the steering lacks feedback. Power is adeqaute but more would be nice. The gas mileage is fair in the city I average around 21-23 mpg in the city and on the highway 30-32 mpg. The ride is very smoth and it feels like a cadillac compared to a honda with road and wind noise. Overall it is very nice and drives well for 71,200 miles and I hope to get it over 150,000 miles. They are quite a bargin compared to used malibus and accords. ","Good Stereo, LED brakelights, Interior Illumination, Driver Info Center","Needs a rear seat armrest, better cupholders, smaller diameter steering wheel, and could do with more horsepower."
4.875,Electrical problems,randy121 ,11/01/2012,,,5,5,5,4,,5,5,5,5,"Noticed people having electrical problems. The fix.UNHOOK CONNECTOR AND DISCONNECT FROM BCM.APPLY DIELECTRIC GREASE ON ALL CONNECTOR PINS.RECONNECT.CLEAR CODES.There is fretting on inside BCM connections causing shorts on different electrical items.Mine was ESC traction, Rear brake lights coming on, Cruise control not working, etc. Dealer charged me $30.49, thought I had a lemon, runs great now !!Got lucky to find reputal dealer.",,
2.125,Electrical,cmeans ,10/20/2012,,,3,4,1,1,,2,2,2,2,"I have a 2008 Saturn Aura.I start having real problems with it once it got to 50,000.Steering problems, front end problems (constantly pulling to the right.Now I am dealing with locks the locks that started acting like it was possessed.The car locked me in.And then it would not stay secure.I had to remove the fuse I then found out the relay switch was bad.The car is just at 65,000.Did GM have a recall on the electrical issues?",,
2.875,HEADACHE,emilyjooooo ,09/18/2012,,,2,4,2,2,,2,4,4,3,"I've had my Aura for about a year now. I bought it used at a dealership with about 73k miles on it. It seemed like a great car. I was loving it, untilthings start going wrong. FIRST the dealership never gave me my key fob, forcing me to use the auto locks, which both have stopped working. Then someone hit me, having me replace the strut, costing over $300. And after that I have had never ending problems. A clicking noise under the hood and a bumping noise on wheel still, both have been said nothing is wrong. AND my steering is jerky and it also eats up oil. AND I only get about 16 mpg city, which is what I mostly drive. Every time I try to get it fixed, they say there is nothing wrong!","Heated seats, CD changer, etc.",EVERYTHING. 
4.5,"Awesome Car, with Imperfections Here and There",allens_wife ,05/28/2012,,,4,4,4,4,,5,5,5,5,"So I've had my Aura for about a year and a half now. I've had to have the transmission completely overhauled, as well as the water pump replaced -- all under warranty.Also had to have work done on the EVAP system (measures the fuel/air ratio), NOT under warranty. Despite that, this car is powerful, fast. The handling is great, and the car is fun to drive. I bought my car used and the cup holder was missing from the console, which sucks, but I'm over that. I love my car and get complements on it every time I take on a new passenger. Gas mileage is more than satisfactory for a 3.6L DOHC engine.Awesome safety features. LOVE this car, wish I could drive Saturns forever.","Remote start (amazing in the winter), leather interior, satellite radio. ","Not that it matters, since Saturn is out of commission, but better placement of cup holders would have been great. "
3.5,Still going after 64K miles,burp ,01/10/2012,,,3,4,4,4,,4,4,3,2,"We have 64K miles on our Aura.It has been in the shop a few times but GM is honoring the warranty.You just have to find the right shop.We were getting 27MPG until we put on new tires, now we are only getting 23.Try to replace the tires with the ""low rolling resistance"" models.","Comfort on long trips.
It rides smooth and is not hard on the old body.","Better transmission.
Our 4 speed has trouble finding the proper gear when cruising at 40MPH."
4.75,Absolutely love this car!!!!,lbaldwin ,11/19/2011,,,4,4,5,5,,5,5,5,5,"I bought this car 1 month ago with 40,000.I owned a Saturn Ion 2 and put 100,000 on it and I loved that car.I actually went to the dealership to buy another Ion that they had with 36,000 but when the loan came through he had put it through for the Aura to surprise me.Omgosh I am so glad he did.This is a luxury car without the luxury price.I am soooo happy with this car.And to go along with the other reviews you definately get second looks.And the people at work think I paid a lot more than I did for it.It is far above my old ION.","The ride is awesome, how quiet it is, the sound system","My only complaint is I am 5'10 and it is difficult to get in and out of.
But once you are in it is awesome."
4.625,Better with Age,Adam ,10/19/2010,,,5,4,5,5,,5,5,4,4,"I wasn't sure about this car when I first purchased it, having come off of 10 years of German cars.  But I can say that I have grown to really like the car.  Great power, ride, and comfort.  MPG is ok if you're nice to it.  On highway road trips, I've gotten close to 30 mpg.  Just recently started to have one issue with the car, cruise control occasionally does not work.  Have to take it in to get it looked at.  Other than that, no problems at all.  I get a lot of compliments on it.  The Red Jewel paint is awesome.  The car looks more expensive than it is.  Many people are surprised it's a Saturn.  Too bad Saturn went away.  They finally had a good lineup of cars.  ","Power and handling is top notch.  The paddle shifters are kind of a waste, but can be fun on occasion.  Stereo is great.  Heated seats warm up quickly.  Remote start and ambient lighting are nice options to have.  ","Doesn't really matter, since Saturn is no more.  But they should have put a rear seat arm rest and bluetooth in this car.  "
4.125,Saturn XE V6,Steve ,09/08/2010,,,4,4,4,4,,4,5,4,4,"Bought car used-have driven 3 months 150 miles daily-rides great, especially on long trips-very comfortable- looks very good-interior finish a bit cheap, especially armrests-but that is a GM trait from 30 years ago I get 27 mpg on highway- it gets 30 mpg if I set cruise to 55 but EVERYONE passes me at that speed ",satellite radio is awesome-excellent highway cruiser,Onstar very overpriced- difficult to enter/exit car poor door configuration
4.75,Fourth American Made Vehicle,Michael ,09/05/2010,,,5,5,5,5,,4,5,4,5,"I bought my 2008 Aura used with 27K.  I usually lean towards Toyota and Honda.  I thought I would give America another try in quality since my last American vehicle was a '92 GMC Sonoma pick-up and was a lemon.  The car now has 42K and have not had one problem (knock on wood).  I was very amazed with the ride, handling, and gas mileage.  I am sorry that Saturn no longer exist because I think they might have had something going for it with the Aura.  Oh well maybe my next will be a Malibu.","Ride, handling, design, and GAS.",I wish it came in a manual tranny.
5,Saturn's gone  but i've got mine!,golferpal2 ,06/29/2010,,,5,5,5,5,,5,5,5,5,This is a wonderful car and finally they got it right. Gm is the loser. They lost me from being a future customer. All those gm cars and gm couldn't run the corporation correctly. Honda's are my next new car in 2011. ,"auto lights - Home links - tire pressure gauge and Auto-Start! Oh yeah, heated leather seats.",Make more Saturns
4.25,Great car,lacey ,06/05/2010,,,4,4,4,4,,4,5,4,5,Very nice car. Good ride. Owned a BMW but is pleased with the accommodations. Regret the co. not makes this car.,luxury features,parking.
1.5,Worst Car,Danielle ,05/02/2010,,,1,3,1,1,,1,1,3,1,I brought my car after leasing a Honda Accord coupe after 3 years. The Aura was definitely a large downgrade. They had to change my brake pads after 3000 miles. The car is rattling when you hit a bump. My two year old son got stuck in the seatbelt. My keyless remote goes out every 6 months they already replaced it twice and it needs to be replaced again. I will be buying a new or used foreign car next time.,None,everything the car is awful.
4.875,Great Car,haysja ,04/22/2010,,,5,5,5,5,,5,5,4,5,"I bought my 2008 Aura XR in Feb 2009.  I now have 31,000+ miles on it and it has been great.  Great road car.  Very comfy to drive on the highway.  Took many interstate trips during the past year and the Aura was great to drive.  I have had people stop and ask me what kind of car I had and they could not believe it was a Saturn.  My two sisters went out and bought Auras after seeing mine.  I bought a preowned 2007 for my son last night.  I love my Saturn.  My family now has four Auras.",Seats are great.  Sound system is very good.  ,Rear seat arm rest. 
4.125,Suprised & Disappointed!,USBrit2002 ,04/09/2010,,,3,5,4,4,,4,4,4,5,"Bought new. No prior preference. Just wanted good fit. In truth found it by mistake. Misread dealer's Aura advert for Acura! Then saw it - black, sleek stylish & GREAT price. I'm a tall Rugby player so I need room and selected model w/out sun-roof (who needs it anyway?). Agree with every previous positive comment. May not be a top luxury interior - but its roomy and at great price. Then, GM closes Saturn! Thought - why end a modern, distinctive, fair-priced range whilst keeping two mediocre look-alike clones; (Chevy & GMC)?                                                                                                                  ","Overall design/looks - attracts lots of compliments. Comfortable - love the heated seats, great power, ride quality and mpg economy. Spacious and, well, it just feels & rides GREAT!","I wish! But if they re-open then - tires that are up to the powerplant / transmission outputs. Little bit more attention to interior finish quality. Fairer OnStar rates(oh, my mistake  sorry, that's sourced direct from GM central!).  "
5,Fantastic so far,MetroDetroitDJ ,02/19/2010,,,5,5,5,5,,5,5,5,5,"After swearing to never again buy a GM car, researching several pre-owned Fords (Edge, MKZ, Fusion) and Toyotas (Avalon, Camry) I did the unthinkable for me:  I bought a 2008 Saturn XR (V6) with a great Moroccan Brown interior.  This fully loaded car has been great in the 3 weeks I've owned it.  25 MPG (great V6 regular gas economy) in mixed driving.  Handles well in MI's snowy weather and sometimes icy roads. Several people have commented on the car's beautiful interior.  The audio system (w/XM subscription) is stellar.  GM may has won me back- too bad about Saturn's demise.  I consider this car a near luxury mid-size with all of its amenities.  I have no regrets- so far, LOL!","heated seats, XM radio/audio system, power seats, ambient interior lighting, remote start, exterior and interior styling, trunk space, stability control, fun to drive factor, fold down rear seats, cargo nets, tilt/sliding moon roof, roomy/comfortable space for 6'-1"" driver, front adj. ctr. arm rest","maybe a rear center armrest, bluetooth function in radio), reduce ridiculously expensive OnStar subscriptions options (I will never pay $40 for 30 minutes of calling mins.- even if they are good for a year), incorporate GPS mapping system into stereo"
