2,"Outlook buyers, look out!",LCS ,06/21/2016,3,3,3,,,2,3,2,4,,,"My car may have been a lemon, but I had issue after issue with my 08 Outlook. GM actually extended our warranty after we filed lemon law paperwork, which at least helped with the numerous costly repairs it needed.  Oil leaks, fuel tank replaced, cylinder heads, power steering, A/C repair twice, and more.  The XR model was comfy inside, however, and spacious enough for 3 kids and 2 dogs.",,
1,Typical GM junk!,Deckman88 ,04/08/2016,1,2,2,,,1,4,1,3,,,"GM does not care about its consumers.   My Outlook needed a new transmission for $5000 (a common problem from a faulty wave plate) and it should have been recalled.  Also replace countless other items worth probably an additional 2500 in repairs including new front struts, alternator, gauge cluster and oil cooler. I was stupid to buy this vehicle as before it I had a Hyundai with 150k on it that never required one single repair!",,
2,Transmission/Leaking W/ electrical issues,Jenny ,03/26/2016,2,5,5,,,2,3,3,5,,,"I purchased my Saturn Outlook XR in march of 2015 with 74,000 miles on it. 2 months after i had transmission issues. the warranty covered it and i only had to pay my 100 dollar warranty deductible. now my vehicle is leaking from under the dash to the left of my break. and the sky light in the second and third row is now leaking water and the back headliner lights are even having water through them. yesterday 3/24/2016 it flooded really bad on the driver side. it was not the sunroof either. because it was not even wet in that area i can see water coming from under dash.  I am now having electrical problems because of water damage. my wipers wont turn off unless car is off my turning indicators went out after coming on, on their own and finally just failed. my windshield wiper fluid was spraying on its own and finally failed. My vehicle is going to dealer this coming up week and the dealer has already told me it wont be covered! I have seen so many people with the same or similar issues as my own! DO NOT BUY THIS VEHICLE, OR ACADIA, OR THE BUICK ENCLAVE. YOU WILL REGRET IT!!!!!!!!!!!!!! If anyone sees this and wants to contact me and has same problems i have contacted GM and i will not just go away!!![contact information removed]",,
2,This vehicle s**ks!,AS_2015 ,12/16/2015,2,3,3,,,2,3,2,3,,,"too many issues similar to the other consumers here... although I bought the vehicle used summer of last year, transmission was replaced (shortly after I bought it.. luckily I bought an extended warranty on it which covered about 2/3 of the costs.. ), acceleration (or lack of...), rack & pinion needed to be replaced this past summer, water pump, alternator/starter, electrical issues.. in other words.. I think you can use the word ""Lemon"" in this case and it sounds like the same for others posting their comments here as well... if this is what the GMC Acadia is like since the Outlook and the Acadia are similar in parts, service , etc. , I am going to steer away from GMC!!",,
2,Yet another transmission victim!,Tim ,09/13/2015,,,3,,,1,,2,4,,,"This past May I had my transmission replaced for the second time within three years. Since May I have had to take my car back to that same shop three more times and now my starter just went on me. This car has given me nothing but grief and if I didn't owe more on it than it was worth it would have been traded in by now! I am absolutely done with GM. Unfortunately, I may be done with American cars period at this point.",,
1,Transmission Failure ~ so far GM not doing anything ,Jessica Hudson Dostie ,02/26/2015,,,1,1,1,1,,1,1,1,1,"-25 f, 2 hours away from home, 7 pm at night, two kids in the car, and treacherous road conditions ~ transmission fails!  This problem is widespread & it isnt hundred of cars affected, its thousands and probably tens of thousands . So far GM is doing nothing ~ apparently it takes people dying to issue major recalls, and even then it takes many years and investigations by various agencies. UNACCEPTABLE and CRIMINAL ! I will certainly jump on the class action lawsuit wagon, if it exists, or when it does come to fruition. This is certainly the LAST GM product I will EVER buy! Furthermore, I will take to social media so I can to tell my story and make sure others know about these cars!",,
1.875,TRANSMISSION NEEDS TO BE RECALLED!!!!!!!!,jd1979 ,12/03/2014,,,3,3,1,1,,1,3,1,2,"Sudden acceleration, hard shifting, not catching gears, slight hesitation when shifting gears is a few. It would usually work fine after pulling over and restarting the car. As time went by the car would not go out of first gear at times. It never lasted long enough to get it a half hour away to GM. I attempted to and by the time I arrived the light went off and it would be fine. Months later we had to have it towed in.  AT 84,OOO MILES! two weeks later I received a call telling me what I already knew...that the 35 WAVE PLATE and VALVE CONTROL MODULE in my transmission needed replaced. Same problem EVERYONE IS HAVING w this car. Its a major flaw that needs to be RECALLED!!!!!",,
3.25,Worst Car I have ever Owned,antcoop ,11/07/2014,,,5,5,1,1,,3,4,3,4,"In the past 4 months I have replaced two engine mounts, bushing, power steering pump and week later the transmission needs to be rebuilt (it is stuck in low gear and won't go in reverse).  I have also had to replace the throttle body.  Stay away from this car at all cost!  It is a giant money pit!   ",,
2,So Dissappointed,scli1 ,09/19/2014,2,2,3,,,2,,2,3,,,"Purchase my 08 Saturn XE 3 yrs ago.  The Outlook drove nicely on the open road at highway speeds. (unfortunately thats where I test drove it). On side streets, in stop and go traffic its bulky, non responsive and just not pleasant to drive. Terrible turning and very hard on tires.We get 15.5 mpg in City driving.I've never gotten near the 24 MPG on the highway. Best on a 450 mile trip was 22.5. Never saw that again. 19 - 21 is about the best I get on the same trip. I have my Saturn serviced by a professional. Always problems. Stalling, hesitation, idiot lites, etc. Always resetting codes. Making repairs. Not reliable. Going back to Ford or Dodge. My Expedition is easier to handle!Update: w/ approximately 85k miles on vehicle, sold it to dealership per recommendation by my mechanic. Too many problems. Engine light always coming on. Poor mileage. Ate up tires. I no longer had any convenience in the vehicle",,
3,outlook transmission failure,jerry194 ,03/19/2014,,,4,4,1,1,,3,4,3,4,"Over all car is ""okay"".Transmission has serious problems.Had to be rebuilt at 58k miles, control module replaced at 111k, speed sensor at 115k, and now looking at another rebuild at 141k.Vehicle is unreliable and I would defiantly not recommend it.GM quality is long gone, never buy another.",,
