5,saturn,walter torres ,11/11/2016,5,5,5,,,5,5,5,5,,,"2008 saturn vue, great car",,
4,Wife 's favorite car,Phil S. ,10/19/2016,4,4,4,,,4,4,4,4,,,"We have a 2008. My wife loves this car. Just the right size and comfort. Almost lost that distinction a few months ago when the transmission went out. Completely! No go any direction! I was really upset, until the dealer said GM would pay for it. Woohoo! $4100 would have been hard pill to swallow.we had 92000 miles. Dealer said 125000 would be the mileage limit, so be aware!",,
5,Come Back Saturn!,Cait ,08/27/2016,5,4,4,,,5,4,4,4,,,"I LOVE this car. It's the second one I bought. After finding out Saturn was no longer making vehicles, I searched for the lowest mileage Vue I could, and swapped out my higher mileage one for it. I wish I were able to do that again. So reliable, inexpensive but stylish enough, and super functional.",,
5,Saturn VUE,Shirley Schoenfeld ,04/26/2016,5,5,5,,,5,5,5,5,,,"I have always loved this car.  Just checking trade-in value, should I trade for a newer vehicle - am looking for a similar vehicle",,
5,First car,Rikki ,03/25/2016,5,5,5,,,5,5,5,5,,,"I got this car in 2013 as a surprise since I was going to college the next year. I was extremely excited and absolutely loved it. It's been reliable and has never failed me 3 years later. I don't think I could trade this car because it has been good to me. My family loves it and my grandfather that owns many muscle cars and worked at a car dealership said it's a nice little vehicle. I live in Indiana so we get a lot of snow and this little car only being front wheel drive had done great, haven't gotten it stuck once. We drove through a foot of snow in it and it did very well, obviously you have to be cautious and make good choices with driving a two wheel drive in the snow but we did it.  The car has great speakers, but I ended up getting a touch screen installed because I wanted to use the Bluetooth and not have to pay I star to talk through the car when I got a call. I do recommend getting a new radio installed because it looks great but the factory radio works very well also. Over all this car is everything I could've asked for especially being a college student.",,
5,The Way things should be,Andrew Stahl ,02/12/2016,5,5,5,,,5,5,5,5,,,Test drive ask about vehicle history,,
5,Great mid-sized SUV,Sophia ,10/27/2015,5,5,4,,,5,5,5,5,,,Fun to drive handles the hills and curvy roads in our town like a champ! The Storage is awesome and the fir is open and roomy. Great style and looks!,,
4.25,"If you take care of your car, it will take care of you.",thenatural54 ,05/26/2015,,,3,5,5,4,,4,4,5,4,"I purchased my Vue in 2010, and it had 56,000 miles on it.  Here we are in 2015, and I now have over 245,000 miles on it.

I have been proactive in maintaining the car.  Tuneups were done before required.  Same with brakes.  I used synthetic oil during the entire time I've had it.

The only unexpected repairs were:
1.  Radiator (at 215K)
2.  Transmission (at 245K)
3.  Starter (at 247K)

I just put the car up for sale, but I have to say that I've read some bad reviews for this SUV, and I can only think that those people who've complained about it didn't take care of their cars.  Too bad, it's a great car, as far as I'm concerned.","Solid ride (no rattles), decent standard sound system","Now that it's no longer a Saturn Vue (it's a Chevy Captiva)I would suggest adding a little more leg room.  I've average sized (6' tall), and I have to say that I felt a little cramped at times."
4.875,Most Reliable SUV I've Owned!,rdsteve23 ,05/24/2015,,,4,5,5,5,,5,5,5,5,"I bought this SUV for my family vehicle for my wife to drive with our 2 kids. We take it on trips out of town, and she drives it around town. We both love it. We bought it brand new almost 7 years ago, and have had no problems. It gets decent gas milage while also giving ample power, especially for a 4 cylinder. It drives smooth and has plenty of room for our family of 4, plus sometimes we throw our big german shepherd in the back too. The exterior looks great and has held up well, as well as the interior (looks very upscale). It is very comfortable to drive, handles very well, and doesn't have a lot of road noise either. I am very impressed with Saturn, it's just too bad they went under...","I like that Saturn thought of a few things about the vehicle when they made it. For instance, the driver side window has extra power than the other windows, I think due to the fact that they know this one wears out first on vehicles. Also the drivers seat feels very comfortable with lumbar support, as well as the center console arm that extends to give you a good feel while driving. It has traction control, and disc brakes for all 4 wheels so your in maximum control (most vehicles only have 2 discs and 2 drums). The back of the front seats also have hard plastic guarding with a storage net to protect the back seat from kicking kids, and has storage areas through out the SUV. ","The cup holders in the front seats are not very good, and the center console is a bit small, so I gave it a 4 star interior rating instead of 5. Also you can only lock/unlock the doors from the drivers seat, which can be annoying if the front passenger wants to lock/unlock from inside. Other than those minor things, this SUV rocks!"
1.875,Don't  - just don't....,4norm79 ,03/04/2015,,,3,3,1,1,,1,3,1,2,"After owning this car for the past two years, I must caution anyone who is contemplating purchasing one. The car I bought was a ""certified"" vehicle with a 12 month/12000 warranty. Warning, that's not enough protection. Repairs done so far:transmission replacement, front engine cover, brake sensor malfunction, ignition replacement, body control module failure, ignition control module failure and two dead batteries. Save yourself some time, money and frustration and buy yourself a decent car.",Acceleration,
4.875,Had it 1 day...feel like we struck gold (so far),zionadams ,02/22/2013,,,5,5,5,5,,5,4,5,5,"I test drove a lot of cars, over about a one year period. I took them on freeways, up hills, even off-roading in one instance. This car was the winner.We bought an XE with 62k miles on it,that's got all the options of an XR with the smaller2.4 motor. My sports car freak husband, who is 6'7"" tall, loves it. We are not small people but this car fits our frames fine. Our needs for a good value combined with a solid feel were met, we hope, in the VE. The mileage estimates are 25/30. On the freeway, it does 85 without hesitation. No vibration, no lag in shifting. The engine is quiet, but not just because it's small. It's just a quiet vehicle, even the air system is quiet when blowing.","The leg room and head room are ample, lengthwise. I like to lean my legs to the side (I'm 5'6"" tall) and I wish it were a little wider but that's true for all but the fullest size SUV's I test drove. Overall, the dimensions of the cab will comfortably fit fluffy chicks and tall guys alike. The ergonomically designed dash is what sold me on the interior. Classic styling will appeal to grown ups; this car is sold as the Opel SUV in Europe. The full front/back leather seats are beautiful. Doors are trimmed in leather. The multi-compartment center console is nice. No big blind spots so far. Very comparable to the Jeep Compass, with a slightly shorter bed. Feels more Euro than Asian. ","So far, I'd say there aren't a lot of improvements I'd suggest. I was picky and this car checked all my boxes. It's comparable in quality to a high end Chrysler or the tricked out Kia SUV. If I could reposition the center console, I'd move it forward 6"", so that my forearm were better rested, but pushing the seat back solves the issue.
I do wish there'd been a larger concealed area under the trunk/tailgate area. There's 2 binnies large enough to keep dog toys or even work boots, around the spare tire edges. But, not large enough to hide an overnight bag. This feels like a woman's car but guys will enjoy it too. Now, let's just hope the motor holds up...I'll be back! "
2.375,Saturn Vue XR  built in Mexico,saturncrap ,12/05/2012,,,2,4,1,1,,3,4,1,3,"I own a 2008 saturn vue xr...with 70000 km on it.. what i have replaced. Battery on the first week I had it..and it goes on.Brake Booster/ total braking system with pedalsIgniton switch/wiper motors /sway bar links. Now leaking transmission/and moisture inside the windows in the winter This was an expensive purchase ..hoping to keep this vehicle for a few more years..$ 35,000.00 purchase.",Nice to drive / I like the looks of this vehicle,"I don't know where to start.


Not sure about purchasing another GM product. Althow this was assembled in Mexico.

Maybe the new ChevyTrax built in canada will be better. Should I take the chance."
3.625,Sad Sad Sad,lostinslc ,11/03/2012,,,4,5,2,2,,5,4,3,4,"I bought this 08 Saturn Vue brand new, first car ever I was able to take off the showroom floor. As a 22 year GM dedicated consumer I felt I was in good hands, boy I was wrong.In 4 years I have replaced the tires three times, the power steering pump twice, the engine mounts, and the battery fried out after one year. GM won't back their repairs and their product and they expect us to be happy with a $30,000 vehicle that keeps breaking down. Sorry to say, I may become a Ford man now, goodbye GM. ","The engine does have great power in the V6, able to leap tall buildings in a single bound if you can make sure it is running correctly. ",Stop making the parts so hard to find and replace. I have to special order air filters when other GM vehicles are readily available. 
3.875,Not a bad Vue from here,4norm78 ,08/28/2012,,,4,4,4,4,,4,4,4,3,"I purchased a 2008 Certified Pre Owned (CPO) Saturn Vue Redline a month ago with 47,000 miles on it.The five year, 50,000 mile warranty was done, but the 12 month, 12,000 mile bumper to bumper warranty tagged with free regular maintenance for 2 years or 24,000 miles made up for it. Ive been averaging over 19 mpg driving on my 12 mile loop to work each day.I did get a rather curious mpg reading driving around Arizona.From Phoenix to Prescott, going up the mountain, the car was getting 19 mpg.Going done the mountain, the car registered 29 mpg, averaging just short of 25 mpg for the trip.Driving from Phoenix to Tucson, which is relatively flat, the car only got 19 mpg.I looked at the XR model, but I liked the upgraded Redline interior much better.The car rides rather firm, but smooth.The engine has adequate pick up, but the transmission does seem to hunt for the right gear from time to time.No problem with the A/C, but I did have to take the car in for repairs to the passenger side windshield wiper  twice.My car has the remote start and rain sensing options.Im having no problems finding parts.Found a new cargo shade for less than the dealer price, delivered with no sales tax.When shopping, I looked at RX 330s and 350s, but the prices were just too high for a high mileage Lexus that uses premium gas and you see one of them every time you turn your head.The Saturn is out of production, but the current Chevy version of the car provides dealer service and warranty work options.","Remote start, leather seats",
3.875,ETC problems,torres7 ,12/20/2011,,,4,5,2,3,,5,4,5,3,"I bought this car new in 2008 and the service I received from saturn was great, but now they are no longer here. I have a problem with the ETC light coming on and my brakes lock. I thought this would be under the warranty . But the GM dealer wants $$$$ to check the problem first and then I know I'll be seeing a bigger bill for the repairs and on top of that I have three items on recall which I never received any notice.",,
4.75,So Far So Good,gtimes2 ,12/05/2011,,,4,5,5,5,,5,4,5,5,"Purchased a used 2008 Vue XR with 43K miles.Compared to all others out there, this was a really good buy! 1 owner Carfax with no history of any issues...hopefully that holds true.Love the look and the feel when driving. Rides better than the Hyundai Santa Fe we test drove. Rides a little harder when I'm the passenger. Seats could be a little softer and the cloth does stain easily, leather was my preference, but not in my budget.Gas mileage on V6 not so great 16-18, but it has more get up and go than the slug 4 cylinder we drove. So far, I really enjoy this SUV, almost as much as I did my 1993 Rodeo!","Nice to drive, turns well in tight places. Great get up and go with V6. Easy to get in and out of. Easy on eye and so far wallet.
Fairly comfortable.","Type of cloth stains easily, back seats are a little stiff on back. Loud wind noise when back windows are down a bit. Better great gas mileage on V6.
Sad to see Saturn go under."
4.875,Love this SUV!,jimbodean ,11/06/2011,,,5,5,5,5,,5,4,5,5,"I have had quite a few different vehicles over the years.I traded in a 2009 Malibu, loved the car but have knee trouble and could not climb out of it anymore as it was too low to the ground.Looked at all the small SUV's and nothing compared to the Vue.Gas mileage is adequate compared to the wife's 2009 Dodge Journey R/T.She actually likes driving the view more than her car as she says it looks like a Lexus.47,000 miles on it and still drives like a dream.I would by another if they were still making them.","Exterior looks, comfort, ride, power",
5,Saturn Good but not GM ROADSIDE ASSISTANCE!,creativ1 ,11/06/2011,,,5,5,5,5,,5,5,5,5,"I have a sad story. I own a saturn vue 2008 xr and was very happy with it. Recently though...onstar came to give the car a jump because the battery would keep going out every 5 days or so. The man they sent through onstar was called ""Wells Automotive Service""The young man crossed the jumpers on my car and messed up $600 on my car and blew out the 30 amp fuse, killed what was left of the batter and blew out the onstar batter for backup. However...roadside assistance did not rent me a car while it was at the dealer since October 16th 2011. They turned it over to the claims department and I got a claim number. The people at the claim's office said that they are only paying for $155 worth of da",,
2.25,Not Happy with my 2008 Saturn Vue,joyous83 ,09/12/2011,,,4,4,1,1,,2,2,2,2,"This car has given me nothing but trouble.I've lost count how many times it has been in the shop. I'm lucky that so far everything has been covered under the warranty. The wipers don't work right, have had problems with the AC, seats stain easily and many other problems.Now it's in the shop because the computer system needs to be replaced.This is the 1st time I have owned a GM car, not sure if I will purchase another one.",,
3.25,"The good, bad and the ugly!",cbruckner ,09/05/2011,,,4,4,3,1,,3,4,3,4,"I bought my 2008 Vue 14 months ago with 33,000. I loved the comfort ride and all the bells and whistles, with the heated leather seats and nice interior design. Other than having to change the battery, with under 50,000, I had no problems or issues. Until last week while I was driving home and the RPM's started reving up and going back down and then the transmission felt like it wasn't engaged and I was stranded alongside the road side waiting for a tow truck. Verdict...transmission needs to be pulled to determine the extent of the problems. Now I have a rental with no promise of when my vehicle will be up and running again. Thank God it is covered under the 100,000 power train warranty!","Interior design, heated seats, leather interior and comfort of ride.","Transmission should not be failing well before 100,000 miles!!! Buyer beware. Since my troubles I have gone out and looked up other reviews and this seems to be a common issue with this model. I would steer clear! I have a 1997 Ford Explorer with 180,000 with the original transmission that is still going strong, will not be buying another GM product in the future!"
2.75,not so happy vue owner,deehvue08 ,08/13/2011,,,2,4,3,2,,3,2,3,3,"we have a 2008 vue-xe and it's giving me headache lately. problems: won't start, key stucked in the ignition, no lights, battery dead, OnStar off... just sucks! hoping for a good suggestion from anyone who got the same issues as mine.","nothing, this got to be solved first.",mentioned above.
2.5,Not recommended,kevin137 ,05/22/2011,,,3,3,3,1,,3,3,1,3,"My truck has given me problems from the 45th day I brought it (brand new in 2007) through today 5/21/2011. I actually had to sue Saturn because of how many times it's been in a shop (over 50). My transmission has failed WHILE I was driving, which almost caused an accident, my transmission is about to fail again because of a powertrain malfunction according to OnStar. This has been the worst vehicle I've ever owned and can't wait until I purchase a new, safer car. I do not recommend.",OnStar,Make the seats more comfortable
4.625,So far loving this car!,tiffanie02 ,05/14/2011,,,4,5,5,5,,4,5,4,5,"I just bought a 2008 Saturn Vue with 38,600 miles and i am loving it. I have always owned SUV's large and small, mostly Ford and Nissian.When we bought our Nissian Armada, I thought i was in heaven. But the Vue is just perfect for my daily commute to work, hauling my to growing sons (14 and 9), and for all of my teaching materials.I love the trunk space, its enough to add a 3rd row.Although I do believe that there would be more leg room in the back seat if there wasn't so much spaceused for the trunk.The driver's seat is pretty comfy, fabric with heated seats. I set up the OnStar system, saved my fav radio stations, set the clock all in a matter of 45 minutes.","heated seats (it's for cold 8 months here)
Console
trunk space
electric blue color 
tinted windows
","limit trunk space to make more leg room for back seat;
quality cloth should be used for fabric seat"
4.875,seems to be a gm product,djcross ,04/21/2011,,,5,5,5,5,,5,4,5,5,"I just bought the Vue about a week ago i know thats not to long ago but so far i love the SUV i love the way it drives an rides,i`ve seen alot of people write different things about the gas mileage,well to me it depends on how you drive the car,not car gets the gas mileage they show on the window sticker,1 thing i like is the cost to put gas in it it`s alot better @ almost $4 a gallon to have the Vue than a truck the cost to fill a truck is around $110 compare that to a Vue @ $50 big difference,,it has plenty of storage in the back if people don`t have the room they needed they should`ve bought a bigger SUV,the Vue drives like a caddy,smooth very sleak,plenty of power under the hood.,i hopes",,
4.5,So far so good. ,DK ,12/05/2010,,,4,5,5,5,,5,4,4,4,"I decided to write this in defense of my vehicle, which I have had for 30,000 miles. I believe that if an owner takes care of a car, the car will work as intended. I find that most people that complain about vehicles are the ones that don't do routine maintenance and abuse their vehicles. My car has never failed me and I doubt that it will. I live in the Chicago suburbs. I love this car. It is great. It is quite fast. I love the heated leather seats as well. The exterior design was what initially caught my interest. I have owned 2 Chevrolets (Camaro,Cavalier) and a Buick LeSabre in comparison. I do love this car. ",Heated seats. Fast!,Space.
2.125,Do not but a saturn vue ,Janice  ,11/12/2010,,,2,5,1,1,,1,1,3,3,"I have had this vehicle for less than a year. With in that time it has been in the shop more than I can count. I have put over $2,000 in repairs with in the past 6 months. All of the parts that were needed had to be purchased from the dealer as they don't sell after marker parts as it is too new and they ""ASSUME"" you wouldn't need to replace parts. The main problems are in the front end. I have replaced both sway bars,axle boot, muffler ($610), battery, rear wiper, not just the blade as you MUST buy the entire wiper as well as they don't sell just the blade.  It looks like a very sharp vehicle but mechanically it is bad news.",,
2.5,Parts? Performance?  ,rcraft ,08/28/2010,,,4,4,1,1,,2,2,3,3,When I bought this Saturn I liked it very much till things started happening. Rear wiper will cycle one time each time you close the rear hatch. Had a transmission repaired and they messed up my front wheel alignment when they had to disconnect the steering linkage to fix the trans. Took a rock to my windshield and then could not find a windshield anywhere in USA that my mirror would attach to because the mount for the mirror was different than other vue's. Rear wiper blade can only be replaced by buying the complete arm at Chevy dealer for $47.00 (no refills around that fits). Now my windshield wipers stop working as I'm going through a rain storm and starts back up when it wants to.,   It runs,Should have gone Bankrupt a long time ago. Everything you do to this car would improve it.
1.5,Worst Car I've Ever Owned,Johnny ,07/28/2010,,,1,3,1,1,,2,1,2,1,"This car has been a nightmare.  No less than 5 recalls since purchased; the transmission needed to be replaced (not one of the recalls), and the seat fabric stains if you drip clean water on it!  Also, for a relatively weak four cylinder engine, the gas mileage is just not good. I will never, ever purchase another GM product.",Exterior styling is OK.,Go out of business.
3.75,The View On the Vue,BrittanyCJ ,07/26/2010,,,2,4,3,5,,4,4,3,5,"I am a 24 year old mother of one and the view is my second car.  I was excited about having my very first SUV! I love the car but must admit the seats are a TOTALLY HEADACHE! I hate the fact they become dirty so easily.  I have yet to find something that will clean them. Other than the interior, the car is awesome.  My son likes it and I do too.  I would recommend this car just with leather seats!",,Better interior!
