4,Love my little Toyota Box!,Amber abshire abshire ,11/19/2016,5,4,4,,,5,4,4,4,,,"I bought my 2008 Scion XB new in 2008. It was a great value for new at 16k and a Toyota product too! I've had next to zero issues with my car, routine oil changes, brakes and tires is all besides one sensor that was under $200 to repair. I love how easy this car is to drive and park, great visibility for me and although small looking, very spacious. Scion drivers are so friendly too, its like having a secret club where you get waved at all the time. I didn't use the warranty at all but I'd expect Scion to be competitive with the Kia Soul for a similar style and price point vehicle but sadly no. For the money it was a great problem free car that was fuel efficient and fun to drive! I'd recommend one for sure but sadly Scion stopped making them in 2015 😐",,
5,just want to say how impressed iam,maranda cobb ,09/26/2016,5,5,5,,,5,5,5,5,,,"my name is MARANDA COBB im 31 years old i have 3 kids and a husband i recently had a 2008 scion xb and i got in a bad car wreck on SEPTEMBER 19,2016 and it was a very bad wreck i was hit head on and the guy that hit me was doing 65 mph/ 70 mph i must say im very impressed with the safety of my 2008 scion xb  im very thankful to be alive i walked away with the left side of my face broken only because my head hit the door frame but other than that im ok . im very impressed of how the inside of the car is still impacted together the quality of the car im very satisfied with the quality of the scion xb . my car was totaled and im very upset about it because that was my only car and i really loved it . If i could i would get another one just like it i just cant afford it and it brake my heart that it happened to me but im impressed with the car i just wanted to let everyone know im one happy customer .",,
5,"Easy in, easy out!",Aggie ,06/24/2016,5,5,5,,,5,5,5,3,,,"We bought this car because my 80yr old parents could easily get in and out of this car easily.  There is enough headroom that my father could even wear his Stetson hat!  Not many cars have that much head room, and there was plenty of room in the front seat or the back seat for his long legs!  We have had this car for over 8 years, and the only thing it has needed was a new battery, which is pretty good for over 100,000 miles on it.",,
5,XB Decree,Carolyn ,05/27/2016,5,4,5,,,5,4,5,5,,,"Buy an XB if you want amazing interior leg room in a small wagon, a smooth ride with the automatic model, and an interior that can go completely flat from dashboard to rear hatch to create comfortable sleeping space.  Can do just one side like that, as well, if one person wants to drive and one person wants to sleep.This car is so, so roomy inside, and yet it's so small, really, that you often can't see it in parking lots.  It can be a real workhorse, too, because the interior seat configuration that can flatten out on one side or both and you can throw lumber inside, surfboards, bikes, animal kennels - whatever.  Very versatile. Only negatives I can think of are: 1) it rides low to the ground, so if you so much as drive up too far in a parking space and hit the cement stopper, you may cosmetically damage your front bumper (have done).  Also, there is somewhat of a blind spot over driver's left shoulder (which I suppose is normal in a lot of cars),",,
3,So long old fellow,Don't send me any e-mails ,05/21/2016,,,,,,,,2,,,,"Good little car for getting around town.  Can haul 4 thirty-three gallon garbage bins to the dump.  Noisy ride, can also feel every bump in the road.  Rear panel obstructs view, especially on the right side, contributed to a small fender bender of ""the other car"".  With some improvements I would have bought another one, but since Toyota is not making the line any more, I am out looking for a replacement.",,
5,Zippy and Practical,Terri Quinlan ,05/12/2016,5,4,4,,,5,5,5,3,,,"I love this car. That being said, it is a practical everyday vehicle which has good headroom for taller folks.  It would be a great commuter car. The gas mileage is good but not outstanding. You can't beat the price or the value it holds down the road. Well, built, reliable transportation.",,
4.25,great little used car,jjjjjohnson ,12/22/2014,,,4,5,3,5,,5,4,4,4,"Happy with it

PROS:
great little short distance commuter.
nice simple interior.
simple easy to clean exterior.
smooth auto trans.
nice strong 2.4 engine.
very reliable once you replace or update its weak cooling system and weak brakes.
strong a/c system.

CONS:
cheaply built car.
cheap interior pieces.
mpg is only so so.
paint and exterior trim is weak.
suspension is a little bumpy.
not a long distance freeway car.
can't take abuse

got this for about 6800.00 cash.
the cheaper you get it the better.  then upgrade the weak cooling system and braking system. runs about 600.00.  if you can afford it.  move up to a 2010 and up used model. they were more reliable cars.  ",simple econ-box car.  great go to the grocery store or hardware store car. always starts. never has let me down. especially since i upgraded the brakes and cooling system.,2007-2009 had a few issues. so do your homework before buying these years. weak parts of these years were the cooling system. they also go through batteries. the brakes and paint and trim were weak on some of these 2007-2009 models. so be prepare to inspect the car very very carefully. also some people complained of excessive oil on these early 2.4 engines. but it was rare. but check the oil and dipstick level just to be safe. also smell the automatic transmission oil on these early XB models. it should have no burnt smell to it. none
3.125,Potentially a good car...but not.,troytali ,07/25/2014,,,3,4,3,4,,2,4,2,3,"Having grown up on pocket rockets like the GTi, Honda Prelude Si, Civic Si, Mazdas, etc., the Scion xB was a bit more practical extension of that. I only wish Scion would make it with some performance. We know they use the same engine in the tC, so it's a mystery why they castrate the xB so deliberately. Put an engine with actual power below 4k rpm, close ratio 5 or 6 speed manual and auto choices, GOOD sound system, less body roll, NO MORE center gauges then maybe we have a car worth buying again. I've had two of these, and auto and the manual. Both have squeaks and rattles in the same places, and from new and almost new. Plasticky interior, peaky power delivery, lazy throttle response? Wow","Over 4k, engine wakes up a little bit. Decent seats, and good room inside in case I do actually need to carry anything. Looks cool.","Close-ratio manual and auto trans. 30-40 horses more, at least. The car weighs 3k + pounds, for pete's sake. 158 HP isn't working well. Did you folks at Scion actually drive this thing? Less body roll. Give us our money's worth in build quality, less rattles and squeaks please. For goodness sake, improve the audio systems. The Alpine audio I had in mine was terrible. Scion, I know you can get better power out of this without having terrible gas mileage. I've seen it done in other cars, similar in nature."
5,"Excellent, Reliable, Economical Vehicle",nicest2 ,01/12/2014,,,5,5,5,5,,5,5,5,5,Purchased a 2008 Scion XB with 48000 miles in 3/2009 and have put 195000 miles on it in just under 5 years. I have not had any problems with this car and it is still driving like new. The key to this longevity is to keep up on the maintenance and to take care of the car. I drive over 50000 highway miles per year and get an average of 25 to 28 mpg. Good job XB.,ROOM ROOM ROOM. I am 6'3 and 410 pounds and fit perfectly and still have room.,"Bigger arm rest, higher console to double as armrest, and more adjustment of steering wheel"
4.875,"Don't Let the ""Toaster"" Deceive You",cmoriarty7 ,11/05/2013,,,5,4,5,5,,5,5,5,5," As someone who is 6'4"", I'm astounded by having 4 inches of clearance over my head when I sit in the car. At the same time, I loved having plenty of leg room in the rear even with the front seats all the way back.The trunk has held up to 4 sets of golf clubs as well. You can't go wrong with the city MPG constantly between 25-27 and the highway between 28-30. The Toyota turning radius and engine is a joy and the engine has enough pep that sub-160 HP feel like a lot more. The acceleration capability is hard to comprehend with the thought of it being a box. I never had a vital part come close to failing after 60K miles. The car also handled in a way that tire wear was incredibly slow.","SAFETY!!! I was recently in an accident with a drunk driver in which I was rear ended at 70 mph while I was doing 40. My Scion ended up being totaled after the rear axle was snapped almost in half. The bumper was destroyed and even the trunk compartment holding the spare folded in half. None of the airbags were forced to deploy. However, the Scion xB diffused the energy so well (By bending the uprights of the frame forward.) that the dull back pain only lasted for a few hours. You may think that it coming out totaled is a shame but I'm very lucky to have walked away from that at all.

","The front end sits low, which means it will scratch very easily if you hit a parking block. However, the undercarriage is made of a carbon fiber sheet that covers things like the transmission, etc. The full black interior is always a negative in any car, but unfortunately every xB is that way. There also really isn't a way to completely stop the A/C unit.

One problem I did have was with the ABS. At one point, the ABS sensor behind the right rear tire had broken open and water got inside. While it didn't fry the sensors it caused numerous lights on the dash to come on. If this ever happens it is about $850 to fix. Mine eventually turned off."
