1,"HORRIBLE experience, worst car I've ever owned!",Wendy Costa ,10/28/2016,1,1,1,,,1,1,1,1,,,"We bought our first Smart in 2008...it shook so violently at speeds over 40mph we had to take it back..I know the car was new to the market then, I think they rushed it out with MANY problems...we had to go back to the dealer and ask them to replace it..they did, but they added that to my loan for the second car...the second car was ok but the loan was now very high, nearly $400 a month for 7yrs..I was too distracted as the recession hit us hard and we were scrambling to survive.  We moved far away from the original dealership and the car died in 2012 while still paying the loan off...no service shops near us could diagnose or fix the car..it had to go back to the dealer only.  I started reading online reviews abt the car..and that year...many people reported transmission problems..ours wouldn't go forward or in reverse..it could be a chip reset or transmission..but either way the tow truck, diagnostic fee and repair would be all on us...we couldn't afford all of that and we felt Smart should have RECALLED these cars.  We got no help from the dealer, or the 800 numbers. My friend's car was purchased the same year and needed the same thing..a new transmission...a 4k repair. My loan over 7yrs was approx. 35k and now the car needed a 4k fix...the car isn't even worth 4k for resale.  I am beyond disgusted and pissed.   I am looking to take a law suit against Smart.",,
4,Glad I did the smart thing,W. Blakely ,03/29/2016,5,5,4,,,5,4,4,4,,,"I bought a used 2013 Smart Fortwo with 27k miles on it from a Mercedes dealer.  Love this car.    I drive it 50 miles round trip daily to work averaging 38mpg.    At first I was skeptical about driving it at high speeds or in heavy traffic, but my experiences have been all good.     As with driving any car, I don't like having some idiot riding my tail when I'm going 70mph.On the inside the car doesn't really feel small.  It's narrower than most cars yes, but because the majority of the car is devoted to passenger space, there are no issues with leg room or head room, and I'm 6'1"" tall, 250lbs.    There is adequate space in the hatch for getting groceries or carrying a couple of suitcases.  I sometimes I forget I'm driving such a small car until I park, get out, and look back at it.  I've read other reviews complaining about the ride.    It's not a Lincoln Town Car, but I have no complaints.   I do try to avoid larger bumps and potholes to save wear and tear on the suspension and front end, but I do that with all of the cars I own. I've also read reviews complaining about the transmission.   No complaints from me though.  The transmission is an ""automatic manual"" transmission, with shifting controlled by a computer rather than my foot on a clutch pedal.   You can also shift manually if you want.   Either way, if you don't like the feeling of a manual transmission, you won't like the smart car.  Nuff said.The interior is not luxurious but it has all the amenities you would find on any mainstream car.Overall, driving the car reminds me a little of the old VW Beetle (1960's and 70's vintage) as both the VW and the smart are rear engine German cars.   The smart is about the same width or a little wider than the bug, but more comfortable.    The smart of course has all the electronic dash features as well as A/C and cruise.   The smart is also more fuel efficient than the VW was.   And the smart is much quieter; you can just hear the 1000cc Mitsubishi engine purring in the back.",,
3,Randamley doesnt go in Reverse,Emily ,09/03/2015,,3,3,,,1,1,2,3,,,"Personally believe that Smart car needs to fix the problems with the reverse issue. This nearly caused me to be in an accident at the end of my driveway. When I thought my car was in reverse is wasnt it actually was rolling down the drive way. I was stuck in the mioddle of the road trying to figure out why I couldnt get it into gear, had to shut it off while on coming traffic had to slam on the brakes! Very scarey and very close call. I feel that this is a saftey issue. Smart car has done nothing about it and does not want to recall it. My car is the 2008 Smart for two. I think that most people that have this car have the same problem. To help this get resolved people have to get on safecar.Gov and make the report for complaint, so then it will be forced into recall. I believe that people may have tried to make the report but the safecar.gov wasnt easliy working for that make or model until I called them directly. I just want people to be safe and companies to own up to their products. From my research its a computer update that is needed and yes its pretty expensive, well maybe just to me, to fix it is about $500.00",,
5,"Bought a 2008 with 29,600 miles",Charlie ,08/26/2015,5,5,5,,,5,5,5,5,,,"Had 2 previous owners  I LOVE IT! It's like new, love, love the interior. It's roomy, comfortable, the best looking red and black cloth seats and dash. Peppy engine. Love the transmission. The complaints about the transmission are unfounded.   Just let it shift, don't floor the gas, this car is a city car and if driven reasonably, the engine has power and the tranny shifts better than [non-permissible content removed]!  Really, it is not a sports car and if driven like you live in the city, it performs flawlessly.  I Iive in the mountains and it goes up the steepest hills and has hill ascent and descent control which helps a lot. All cars should have it.   On the highway it is stable, a little loud. And I'm averaging 38 to 40. It's all I need and the build quality is Mercedes. The AC is wonderful. Very cold and strong. The packaging is amazing, roomy and stylish. I WILL buy another!!!  (UPDATE:  6 MONTHS OF OWNERSHIP, NO PROBLEMS, DID OK ON THE ICE AND SNOW, GOOD TRACTION GOING UP AND DOWN MOUNTAINSIDES.  I WILL BUY ANOTHER, GREAT GAS MILEAGE AND NO PROBLEMS WHATSOEVER.)",,
3.75,2008 Smart hatch,smartguy1 ,02/24/2014,,,4,4,3,5,,4,3,2,5,"My wife and I purchased our smart in 2008, paid way to much. The original dealer dropped it,(like no one knew that was coming) and then went to Mercedes. Other then being treated like a red headed step child by the dealer, probably because this thing is so cheap the car is not bad. It took me a while to get the hang of the herky jerky response, and the A/C stop when you really stomp on the accelerator, which other cars I have had did, so no big deal. I now have 25K miles on it and drive it like you beat a rented mule. No real problems to speak of. I use Royal Purple in it and find that seems to work best for oil. I run with the big dogs on the highway and like it a lot.","doofas looking car, get a lot of laughs as I am 6'4"" at about 200 lbs. ",
1.375,Words Cannot Describe How Much I hate this car,ihatemysmart ,01/31/2014,,,1,1,1,1,,1,2,1,3,"Since I have owned this car, the battery died within the first year, random pieces of plastic have fallen off, it has had numerous transmission ""software"" problems that have left me stranded and ready to walk away from it, the engine blew at 23,000 miles, AND NOW it has yet ANOTHER transmission problem that the service department can't figure out -- I can't get it to shift out of Park when it is cold! THIS IS A PROBLEM! I tell everyone I see when I am at the dealership, I tell everyone that ever asks me about it. The guy in the parts department even agreed with me: ""Yeah, I have never heard of a car having that many problems in that combination."" ",easy parking,
4.375,Daimler Won't Back,1unhappysmarty ,12/10/2012,,,5,5,5,1,,4,5,5,5,My 08 smart just turned 50K miles and now I am told that it needs a new engine. Daimler wont back up their product or even work with me in any way. I am warning social media to consider other auto companies when it comes time to purchase a vehicle.,"I LOVE this car.
I really can't imagine driving anything else.
 I am so heartbroken that a cylinder went out and I need a new engine.

The clear roof and roomy interior is awesome.",Daimler needs to research how many engines fail.
1.875,58000mile valve job,notsmart ,04/19/2012,,,3,3,2,1,,1,1,1,3,58000 miles and had to replace fuel injectors..now it needs a valve job. 58000miles????? are they kidding me. every time i bring it to smart they break something. changed a tire and they broke the sensor. had an oil change and they broke the valve. got it back from service and they forgot to put on the engine cover.now it took them more than 2 hours to diagnose low compression in #2 cylinder..remove engine and try to do a valve job. with out changing the guides. now they want to replace the head because they don't know how to redo the heads. is this on the jobs training with my car. also had the no reverse shift problem in the past. smart does not want to help. buy a new one ..yeah right! ,,how about owning up to the problems of this car it's only going to get worse. smart????? maybe not so smart
4.75,Great car,jessebkaye ,03/23/2012,,,4,5,5,5,,5,4,5,5,"I just downsized from a huge full size sedan to the fortwo and I couldnt be happier.It may be a bit utilitarian in its features but its worth saving $500 a month in gas, is easy to find a space and helps keep life simple.Well worth the purchase, despite the funny looks people give. I'm 6'2 and its surprisingly spacious.","MPG, simple features, roof height",none really....
2.375,Stupid Car!,clins ,01/23/2012,,,3,3,1,1,,1,4,3,3,"Had issues from almost day 1. Went through a small puddle during rain storm - caused the passenger seat airbag light to go on. Has never turned off. Barely touch the key while it's in ignition it will turn the engine off. Completely unsafe when you are driving. Had it happen a few times (dog touched it). Have repeated issue with the engine not wanting to go into gear, especially reverse. Don't want to even attempt to do a u-turn because it might not go into R and you are stuck in middle of road. Goes through phases. Works for a few weeks then it doesn't. Someone suggested rain might affect it. Battery dies often too. I live on an island & to ship it over costs $400. Have not seen dealer.","Seat warmers are nice. Lots of leg room. I am almost 6' tall and have no issue. Can even fit my great dane in the passenger seat, or in the back if she curls up.","This car is completely unsafe. Between not wanting to go into gear, the insane shifting it does, and the fact that tapping the key while in the ignition will shut it off, I am amazed there have not been lawsuits. Thought maybe it was just my car, but there are a few others on the island that have Smart Cars and most have had similar problems. Unfortunately the only other alternative here is a golf cart, and that doesn't keep you very warm in the winter."
3.125,horn & door problems lies on extended warranty,kulumao ,11/09/2011,,,4,4,3,3,,3,2,2,4,"I love my 2008 Smart passiion. I have less than 12000 miles on it. The first time i had to use the horn, it does not work, the plastic part on the door hinge is missing.I bought a platinum ext warranty at the time and was told it covered bumper to bumper for 5 years. Now they told me the horn problem is not covered and the door hinge missing part is not covered either. what a rip off, never buy any ext warranty from mercedes benz again. I won't touch any MB either, Lexus gave much better service and had no problems.",,
2.25,I hate this car so much...,foxmajik ,04/12/2011,,,1,3,2,2,,1,5,2,2,"I've had to take this car in for work more than my used '92 Mazda Protege. For various reasons, from plastic pieces falling off the interior to the air dam in the front snapping off and dragging on the freeway. The gas mileage is atrocious for a car this small (around 25 mpg). The transmission is a confused and nervous little curmudgeon that can't decide what gear it wants to be in when you're under 15 mph and keeps jumping back and forth between 1st, 2nd and 3rd gear. Every time the gear shifts the car lurches back and lunges forward like I've slammed on the brakes. And this is normal for smart cars, every one I've been in does it, even after having the transmission firmware upgraded.",The heated seats are nice.,"There's really no fixing this car, it's been scrapped and redesigned several times and they still haven't gotten it right. Driving this car is like driving one of those little plastic ride-ons they sold at Wal-mart when I was a kid. The build quality is seriously disappointing. The transmission is a joke. This is the only car I've ever driven where I've had to take it to the dealership several times because parts kept falling off. The air conditioner wheezes and puffs and can barely keep the tiny cabin cool when cranked to the max."
3,2008 Piece of Junk,dispshannon ,02/11/2011,,,5,5,1,1,,1,4,2,5,I purchased this vehicle new and within 1 year was having trouble with the transmission ...Wont go into reverse.Dealership says nothing wrong.1 year later..NO WARRANTY and now it wont go into reverse or forward.How do you drive a car that wont do forward or reverse..YOU DONT...,Parking is easy..Can go anywhere when it will.,Replace ALL TRANSMISSIONS
3.125,Don't buy a 2008 dealer buyback = LEMON,Cindy ,11/30/2010,,,4,4,4,3,,2,2,2,4,"Really disappointed with this car.  Yes it's fun to drive, great to put the top down, and yes its cute- however when I went to trade it in- it turns out that a dealer buy back = LEMON in the car world.  Thus- hideous trade in value.  Shame on you Annapolis Smart- Mercedes.  Buy back = Lemon- run don't walk from the 2008- check the title history, if you see dealer buy back look elsewhere unless you plan on keeping it forever.",,
3.375,Ideal Key West Car!,Tom Lavender ,11/04/2010,,,4,4,3,2,,3,4,3,4,"I have a very early 2008 Passion Cabrio.  Really enjoy the car, but it's 150 miles to the dealer.  Have had many driveability problems.  It took Smart 2 1/2 years to figure what the backup problem was.  I had cruise control installed, the dealer blamed the backup problem on the cruise.  I had the cruise uninstalled still had the problem. I truly love the car but just don't understand Smarts logic as to marketing and service.  I'm out of warranty and ready to trade cars Smart Weston acts like they don't want my car back. It is a wonderful car, would be even better if the dealer wasn't 150 miles away.  They need better warranty and better service centers.   ","Size, easy parking, gas mileage is ok could be better for a car this size.  Really fun to drive!  Love the ability to put the top down or up while I'm driving.","Better dealer network, Information available to independent service shops.  CRUISE CONTROL that is factory installed.  Better designed Air Conditioning, you can't cool it down in south Florida with the current design.  Redesign the transmission for a smoother shift, current one is very jerky!"
3.75,Like no other car!,Gabe ,11/02/2010,,,3,5,3,2,,3,4,5,5,"Very enjoyable, and great response from other drivers and people. Lots of smart fans around! I really enjoyed it. I sold it for a VW Golf, that feels like a cruise ship in comparison! The transmission is AWFUL and needs getting used to. Slow and heaving when it shifts gears. Also, it had a bunch of repairs, recalls, bulletins under warranty, that were marvelously and fully and competently addressed by Smart Center Portland. Very safe and fun on the freeway.","Fuel mileage, fun to drive. Very well designed. Very comfortable (i'm 6 ft 4!). Exceptional customer care!","Premium gas. Awful transmission. Jiggly, harsh ride. Depreciates very quickly if you buy new! Cheap quality interior. If you want one, get yourself a good used one, with low miles, or negotiate if new. Do NOT pay MSRP!"
1.875,Lies and and verbal promises,michael ,10/21/2010,,,3,3,1,1,,1,2,2,2,We were one of the first people (71/72nd) in Florida to buy this car 28 months ago. We bought the convertible with all the extras 24k total from the start we started having mechanical problems. We also bought an extended warranty $1400. Time after time the car was having to be towed and it wasn't just one thing. It was the shifter twice the engine twice the a/c and it goes on and on. The car is now broke and sitting in our yard with 30k miles. The warranty doesn't cover transporting the car after 24k. This was after a sales person assured us the if anything go wrong including the tires for 70k miles it will be towed and fixed at no cost.,I have one and the best day i will have in this car will be the day someone buys this junk from me and my wife.,send it back to Europe
4.25,Two Year Update,Alan Griff ,09/13/2010,,,5,5,4,5,,3,3,5,4,"After two years, the honeymoon is over, but the marriage is still good.  I adapted to the fussy transmission.  A relaxed driving style works wonders. The ride actually improved with time.  Winter driving is okay, but winter parking after a snowstorm is painful because the smart is so light.  In the Summer, the AC occasionally blows hot air or the fan stops, and this is after the fan was replaced, a popular warranty fix, I've been told.  The driver side airbag cover popped a bit.  Unsightly.  But that's the extent of the bad stuff.  Overall, the smart is still mostly a pleasure.  I'm 5'9"" weigh in the high 200s and the car is comfortable and easy to enter and exit.  The ragtop of choice.",Price for a new convertible can't be beat. Parking space availability is glorious.  Riding solo means plenty of cargo space.  MPG is never under 30.  No more getting stuck behind garbage trucks!  Joy!  Perfect size for the city.  Love the rain sensor wipers and auto headlight.,"30+ MPG is good, but I want more, especially with the premium fuel requirement.  A CVT would be most welcome.  HVAC controls feel flimsy.  Cupholders and window switches placement are not quite close enough to hand.  Speedometer is optimistic.  Cruise control should be standard."
1.875,Smart Car - a Dissappointment,Walter Martin ,09/03/2010,,,2,2,3,2,,2,1,2,1,"Very dissatisfied with our smart car.  The transmission is a joke with very rough head snapping gear shifts, which, because there are five gears, seem to happen all the time in city driving.  (At one point our transmission failed to be able to go into reverse.  The merecedes dealership fixed this for no charge saying there were ""thousands of smart cars with the same problem.""  If thats the case mercedes should do a recall and fix them all.)  The suspension is rough with even minor bumps being uncomfortable.  The car was so uncontrollable on ice that special winter tires had to be purchased for it.  With the winter tires it is about the same as any car on ice with summer tires. Costly mistake","The fuel economy, while OK is no better than our old 4 door Toyota, which offered a lot greater convenience and capacity.  Having to purchase Winter tires wiped out any possible financial savings by fuel economy.  There is no spare and no jack making it unsuitable for road trips.  ",Fix the transmission - get rid of the useless paddle feature. Get a spare tire.  Extra internal space would be useful.
3.875,Fun runabout!,risean ,09/01/2010,,,4,4,4,5,,3,3,4,4,"I find that I get over 40 MPG I have 24,000 miles on the car now and love it. It parks anywhere and I haven't had a lick of trouble with it. The car is amazingly  stable on the highway and has plenty of space for two and a weekends worth of gear and supplies. I love it and would buy another one.","gas mileage, drivability, built in safety features. amazingly fun.","I thought about this for a long time and these trivial things are really all i could come up with. The transmission software could be refined sometimes it has a mind of its own,  also the sound system could be better, and the brakes pads are very dusty."
