5,Forester fog taxi,Greg ,11/13/2016,5,5,5,,,5,5,4,5,,,Great car great in bad weather great animal transported (220pd 180 pds),,
5,"175,000 miles few problems",Bob in Silver Spring Md ,08/16/2016,5,5,5,,,5,5,5,5,,,"Purchased used in September 2009..  Hard to believe it's at 175,000 miles and still runs smooth and responsive. Replaced rear brake pads one time. Most expensive repair.  Right rear wheel bearing which is a common problem on Subaru. $450.00 repair. Most expensive maintenance item.  Timing belt with water pump and pulleys. I paid $600.00.  The dealer charges $1200 or more. Tires are an issue.  Buy good ones and they will last.  Yokohama seem to last longest.  The seats are not good for long trips. Get a small memory foam pillow and that will take care of that. Weird stalling and idle problems started at 142,000 miles and traced to small valve on intake manifold. Remove electric hook up, remove two Phillips screws, spray valve with intake manifold cleaner and problem solved. Remove spark plug wires and inspect for oil. Valve cover gasket leaks common problem on these cars but I haven't had to replace them yet. Overall it's a good safe solid car. Nothing fancy but reliable when you work through the issues. Make sure when replacing plug wires to use spark plug grease on both ends of wires. Another issue. Headlights started leaking at 160,000 miles.  Don't even try to fix them. Order new ones off Ebay for $300.  You have to remove the entire front end to replace them.  It's time consuming not difficult. It's 8 years old at this point and has held up well.",,
3,Used 2008 Forester,rich davis ,05/19/2016,3,3,4,,,3,3,3,3,,,"Overall car condition was good and got a pretty nice purchase price. Car dealer, Baker Chrysler Jeep, were extremely nice and helpful. I would definitely buy another vehicle from them. Car has things to fix, but nothing major. CD player doesn't work and back panel of lift gate rattles. But otherwise in good shape. Only had for a month so far",,
5,Best car I've ever owned,danieluga ,06/20/2015,,,5,5,5,5,,5,5,5,5,"Really hate to be the obnoxious reviewer who gives all five stars, but this car has earned it. It's more comfortable than Cadillacs I've owned and has great fuel economy for an AWD (though I wish Subaru would introduce a fleet of hybrids). I usually get 30mpg hwy, but I don't really drive city. 113,000 miles so far and no issues whatsoever. Definitely will buy another one in the future.","all wheel drive, fuel economy, heated seats, quality interior surfaces","more legroom in rear, digital speedometer like Prius or Honda would be easier to use"
5,Fantastic Car!  Buy it if you can!,luvmycar7 ,12/15/2011,,,5,5,5,5,,5,5,5,5,"This is a fabulous car!I have owned my 2008 Subaru Forester for about 2 and a half years now.It has been without a single problem the entire time.One of the things I love most about my Subaru is its versatility.It gets good gas mileage, but I have also used it for hauling huge items of furniture, kayaks, pontoon rafts, 5 people, all the luggage of a long trip for me and my entire family, and building supplies for my house.It is such as safe car as well.My wife was rear ended while in our in our 1998 Subaru Forester by a Ford F250 going fast when she was at a stop.The car completely absorbed the impact and saved her life.After that, we had to get another Subaru Forester.","Storage Ability, fuel efficient, and safe.","It is fabulous.
They did a great job making this car."
3,Quality problems,asdf ,08/20/2010,,,3,3,1,1,,4,4,4,4,"I have now had the XT 'newer' version for a little over two years.  At 9k miles the engine seized up!  I had poor customer service until I called Subaru's US headquarters and tried to talk to president to complain about the quality of their cars.  In the end; Subaru fixed the car.  I have had LED puddle lights short out each winter (one time I actually witnessed smoke!) Now, I need to take back to dealer again with separate electrical problems.  I would be satisfied with this car if I didn't have to take to dealer so much.  The XT engine is nice, and the cargo space is just right for a small family.  The fake color plastic bits by door window switches scratch very easily.  ","Engine, cargo space, AWD, gas mileage, sun roof","Improve radio/speakers, improve side mirrors(they shake), improve cheap interior, better quality control, improve customer service, steering wheel control buttons to small, improve the road wind noise."
4.375,A good solid B+,walorado ,04/08/2010,,,5,4,4,4,,5,4,4,5,"Had a Subaru or two along the way, and decided on the 08 Premium because of a value package.  Great vehicle with a couple of small hiccups.  Had a minor issue with the AC but was resolved under warranty.  Replaced the driver's door speaker 3 times, also under warranty.  In fact, the stereo is a real weak point in the car for me.  Really lame speakers, and I paid for the ""upgrade.""  Seats are comfortable and fit my rather copious rump easily.  Plenty peppy even here in the high country of Colorado.  AWD system is very good, but the 2008 model lacks stability control.  Without it, the car's rear end can slip out if you aren't careful in the snow.  I'd buy the car again, though.",Really like the peppy engine.  Reliability has been great.  AWD is solid.  Seat bottom is long and supportive enough to make the car good for longer trips.  Sirius radio is a nice feature and worth the money.  Cargo space is excellent for a smaller SUV.  Fit & finish is very good overall.,"Speakers are a huge disappointment in a car this good.  Crummy, actually.  Will be buying aftermarket speakers now that I'm out of warranty.  Dealer tried to charge me $800 for the 30K service, but talked them down to $499.  Ripoff!  Don't be afraid to shop around."
4.375,Great Subaru,Carter ,02/16/2010,,,4,4,5,5,,4,5,4,4,"Love this car.  Right before the major 2009 redesign they were making the nicest Forester they could.  Everything about the car feels tight and smooth.  I had a 2002 Outback before this car, and this car is much better.  The automatic and the 4 cyl. engine feel strong compared to the Outback's weak, noisy 4 cyl. and jerky manual transmission. The interior feels premium, with just a few hard plastics to distract.  Interior like a greenhouse with panoramic sunroof; bright and cheery in beige.","Great engine transmission.  Sharp and smooth responses to acceleration, steering and braking.  Heated everything.  Bright, open interior.",Stereo could be better.
5,The Best Car I've ever had !!!!! Period ,farside7 ,01/01/2010,,,5,5,5,5,,5,5,5,5,"I had a Chrysler 300 Limited Brand new, Chevy Impala brand new, a coup deville and to me this is the best car I've ever owned, period. The ride is smooth, the vehicle has great power. I put a remote start on It and a trailer hitch. I get about 26 to 27 on the hwy. The interior room is awesome ! I'm 5'10"" and 280 pound! I still have plenty of room!","Really fun to drive. Color is pearl blue, 6 CD disk changer, great air & heat. Braking is great, the turning radius is wonderful ! The 3 12volt socket are great. ","Maybe even better fuel, but other than that ""NONE""."
4.25,Not Fancy but  dependable,Soyoung Chung ,09/14/2009,,,4,3,4,5,,5,5,4,4,"I waited for 2 years to review to avoid premature review. Finally, I feel comfortable to say ""Yes, it is very dependable and reliable"". I don't feel stylish nor luxurious, however very humble and sort of old friend. As other review, engine sounds a bit loud and when I accelerate, response is a little slow/hesitant. Although I am not driving the fastest car...I will be on time and safe! That's all that counts!!! Thank you ""SUBARU"".  ",All wheel drive...saved me several times last winter.,"Fuel economy, although it's not bad, there is room for improvement."
4.875,Best For Business,Computer Bob ,06/29/2009,,,4,5,5,5,,5,5,5,5,"Can't say enough good things about my Forester.  29 MPG city, 31 hwy, smooth engine, superb visibility, plenty of thoughtful features (except too-small and tightly cramped cup holders).  Seats give great support and comfortable for short & long drives.  Beautiful paint and workmanship.  Easy to do maintenance (oil, filter, brakes, etc.).  Love the tire pressure monitor, outside temp gauge, stereo, storage space.",Fuel mileage.,"Bigger, and wider-spaced cup holders."
4.25,Cold Start,High Plains Drifter ,06/18/2009,,,4,4,4,5,,4,4,5,4,When I try to start it up in the morning it is noisy and has a rough idle. The shop has a bulletin for PZEV models that says ethanol in the gas will effect the engine this way on cold starts. All gas in this area has ethanol in it. I have had a lot of cars and never seen an engine start like this every morning. Can't Subaru do better than this?,"AWD, stereo, gas mileage.",If they can't design a smooth running engine get rid of the PZEV models.
5,I love my car,Audrey ,06/13/2009,,,5,5,5,5,,5,5,5,5,"My husband and I really love this car.  It is the first Subaru we've owned, and we'll probably keep buying Subaru cars forever if they are like this one.  We've had it for 2 years, I love the turning radius on it (I can make u- turns on really narrow streets).  It's easy to handle.","The moonroof is my favorite, and I enjoy the spaciousness of the front passenger side on long car rides (I just put the seat all the way back and put my feet up on the dash and I'm so comfy)! We also like the Ipod hook up and extra spaces throughout to store things.","Better gas mileage (I'll always ask for that in any car though). I'm not sure if this can be improved, but when I went uphill on a very steep hill it rolled back a teensy bit (kind of scary when it happened)."
4.875,Best Car Ever Owned,Michigan Winters ,10/22/2008,,,5,4,5,5,,5,5,5,5,"This car is absolutely fantastic.  My Wife and I were looking for an AWD or 4x4 vehicle that could handle our tough Michigan Winters.  Along with that, we LOVE to travel.  This car fits the bill - it can outhandle snowy roads/ slushy roads/ muddy roads better than any truck or sports utility vehicle I know of.  Add the fact that I average around 28 mpg and it's quite the vehicle.  It's built with extreme quality, which in itself makes it look expensive.  It doesn't need the fancy bells and whistles.  ","Best AWD system in the world, handles bad weather with ease, boxer engine, excellent transmission, dual sunglasses holders, and it's a Subaru!",rear leg room
5,On my radar since '98,B Noble ,08/21/2008,,,5,5,5,5,,5,5,5,5,"Finally, my '95 manual VW Jetta got tired and I could finally get my dream car, that I first saw debuted in '98 at the NYC auto show. It fit me like a glove. I'm (5'2"") and the driver's seat can be raised significantly with a touch of a power lever. Last April when I went looking to buy, I almost had a heart attack when I realized that the design of the '09 was seriously changed (not for the better) and it was bigger I didn't need bigger. I went hunting and had to purchase MY '08 a state away to get the one I wanted. I now have 3,000 miles on it and get 26+ mpg avg. It rides like a dream and I love the style of the dash board above all other new cars (including the Forester '09s). ",Good visibility from the windshield to the larger than avg. side view mirrors to the wide rear view window. Ease of the hatch door to open. The dark gray color and contrasting trim gives a handsome profile. I especially like the dashboard compartment for driver ease of reach.,"The arm rest between the two front seats is useless when the seat is moved forward for short people. Thus, I'd like to see fold down arm rests for two front seats it would be that much more luxurious on long trips that I do."
4.625,Can't get this car any more; too bad,osvolant ,08/02/2008,,,4,5,5,5,,5,5,4,4,"I love the turbo engine.  Getting 24 mpg routinely in suburban/highway driving.  Leather seats in Limited trim very comfortable and main reason I didn't buy the Sport.  Noisy at highway speeds.  Very practical for light off-roading, trailer towing, hauling bikes, dogs, etc. with enough zip to make it fun (more sports car than SUV feel). Good in snow and mud, even towing trailer.  Manual trans not available with turbo in '09- glad I got mine.","Turbo engine, sporty firm ride, crisp shifting manual trans.","Firmer brake pedal feel, less road noise, 6th gear ratio for lower engine rpms at 70+ mph."
