5,Love my Suzuki!!!,Johana ,03/18/2016,4,4,4,,,5,4,5,5,,,"Bought my 08 Suzuki Forename in 2011 at 40k miles and love it!! Has been very reliable vehicle for me and my family the past 5 years now! As long as you keep regular maintenance like changing oil every 3,000 miles and so forth the car is worth it!! Has never left us stranded great little car and great on gas!!  Still running strong at 112k miles!",,
1,Great on gas.. Horrible on everything else,Krystal E ,02/07/2016,1,1,2,,,1,1,1,2,,,"I've had this car 2 years, bought at 60k miles. My engine has always stayed on. Transmission continuously slips. Door handle paint chips. Speakers blown out. And for some reason, it won't go out of park as of today. I've had nothing but headache out of this car and if you Google it, its just a common trouble car.",,
5,Great car if you know how to take care of one!,Danny ,11/30/2015,,3,4,,,5,4,4,4,,,"Always great!  Bought in 08, 130,000 miles. Great on gas. Regular maintnence. Cheap parts!!",,
4,Great for a Student/ or someone on a budget even,Cherron White ,11/20/2015,4,4,5,,,5,4,5,5,,,"I bought this car used at 90k miles, the only problems I had the first year was one of the headlights (easily fixed not a big issue), year two the car is now at 137k miles, I have only had to do the regular with this car occasional oil changes, one alignment (due to me), new tires ( because as I said I bought it used and the tires were pretty through). The most expensive issue I've had with this car was the alternator, which is not really expensive compared to other issues that could have arisen. As far as comfort this car is extremely roomy for someone who not too tall or too overweight, it's not made to be a family car in my opinion( for a big family at least...get an SUV or mini van if that's what you're looking for) However, I can comfortably fit five people in my car with enough space for everyone. The trunk space is perfect, and the interior space is as well granted I don't have a back seat full of car seats. When it comes to the sound system, I have the original still in mine because it sounds just fine.",,
2.125,You'll regret getting this one,jmm16 ,05/21/2014,,,4,1,1,1,,3,4,2,1,"I got this back in March with 51,000 miles. The speakers are blown out, windows off track, airbag and check engine light are always on when car is on, the transmission slips. It wont go into reverse half the time, the air/heat wont completely turn off, it makes a bad noise when turning sharp to the right. Does anyone know what to do to get the engine light to go off and stay and the transmission to stop whacking out? I've been told it could be the transmission fluid but no local shop can do it cause it's a foreign car. I've been told transmission sensors or a new trans as well and even a catalytic converter problem. ",Compact car,Everything
1.5,"Never buy, can't drive my family safely around!!",maloney1124 ,04/25/2013,,,3,1,1,1,,1,3,1,1,"I got my Suzuki two years ago this month... Bought it wil 18,000 miles on it. To start, they replaced the transmission a day before I got it. Dealer never said anything and said nothing was wrong with it, that it belonged to an elderly woman who only used it to run errands... I get the car n 6 months later (4,000 miles if that!) they had to replace the transmission again! 35,000 miles currently n on its 3rd transmission and current will need replaced yet again cause its slipping. It randomly shuts off, speakers blown out, outside door handle paint is all off n dealer repainted them, check engine light goes on n off, gas light doesn't come on until your out of gas, Nd much more! Don't buy!!!","Steering wheel has station buttons and volume control, which as a kid who needed a car ASAP was pretty cool.",Improving the whole car is my suggestion.
3.625,It gets me where I need to go (:,mwaskey ,04/12/2013,,,3,4,3,5,,3,3,5,3,I love my little baby car she gets me where I need to go. I live in Alaska so that is kind of saying something haven't gotten stuck or had problems with the car starting up in the freezing cold. ,,I suggest the airbag light be addressed I want my air bags to be deployed if I were in a vehicle accident I mean that's what they are there for. 
1,DO NOT BUY THIS CAR WHATEVER YOU DO!,mckinnley ,01/25/2012,,,1,1,1,1,,1,1,1,1,"I have had this car for a little less than 2 years now, bought it in 2010 with about 35k on the engine. I have gotten regular oil changes by a friend at his home of mine who used to own a shop for years. I have taken good care of the motor just blew out of nowhere. I got to school one morning and it just started knocking and now I have to spend 4k on a new engine! It is still under warranty but they want reciepts for oil changes when I got mine done for free. So basically im screwed even though the car was taken care of. Many other problems. headlights burned out, transmission slipping, windows not powering right, AC this summer(I fixed), bateries run out quick..... Just dont buy it!!!!!!!!!",,
4.375,I like mine.,brian171 ,03/06/2011,,,5,5,4,4,,4,4,5,4,"I bought my 2008 Suzuki Forenza last October with 30,400 miles on the odometer. My car has the 2.0 liter 4cyl and 5 speed manual transmission. I use the car daily for a 33 mile commute. I am pleased with the gas mileage I get. I am averaging 29-30 mpg and my commute is includes mixed city/country driving. The car now has about 36,800 miles. A few things have required repair - two new rear struts, new drive belt on the engine and new valve gasket on the engine. All of these items were repaired at no cost to me under the warranty.","My favorite feature about this car is the warranty and dealer service. The car does not have the reliability of a Toyota or a Honda, but the excellent warranty makes up for that. I added a set of factory alloy wheels to my car and I think it looks pretty sharp. I enjoy the 5speed manual and I think it provides better performance and reliability than the automatic based on other reviews I've read. The interior and trunk are roomy. ",This car is out of production so I don't think I'll offer any improvements. 
1,Please don't buy a suzuki,need new car ,10/18/2010,,,1,1,1,1,,1,1,1,1,"i bought my car about 2 years ago. it seemed ok at first until it started turning off out of nowhere. That is when all my problems began. i took it back over and over again only for them to look at me like I'm stupid tell me they couldn't find anything and sent me home. now my check engine light stays on all the time, my air bags won't turn on and quite frankly this car is worse than the 92 buick lesabre that i got rid of to get this. my sister has an 07 forenza and we seem to have the same problems within months of each other. coincidence i think NOT!",,
1.75,Yyou have got to be kidding me!,SERIOUSLY? ,10/10/2010,,,1,3,1,1,,2,2,3,1,"After the first week of having this car it completely died on me with no explanation. The air smells like mold whenever I turn the a/c or the heat on, me being pregnant doesn't help my tolerance level at all. The transmission is going out, shifts horribly, the driver side airbags do not work (the light is on 24/7) and the passenger side sensor doesn't work when it should. The cars only 2 years old has 40k miles, I cannot believe that there are this many problems with it so soon. Blown speakers, windows are off the tracks.",the dtec engine,"transmission, windows, small trunk"
2.75,Can I Give It Back??,Can I Give It Back?? ,04/06/2010,,,4,4,3,2,,2,4,1,2,"I have been less than impressed with this vehicle.  I feel like I am driving a manual transmission because it jerks pretty severely when you step on the gas.  I had to have my speakers replaced because they blew out - I don't blast my radio!  My fuses blew out on my cigarette lighters and turn signals within a year.  My engine light is on again, this time due to a bad transmission sensor! The gas mileage is horrible! I was in a pinch and needed a new car, but at this point, I would have been better off keeping my old one!",MP3 connection for the iPod.,Recall to fix the transmission issues.  Use better quality OEM parts!
4.375,"Happy Anniversary, Suzi",RAYT721 ,02/21/2010,,,5,5,5,5,,5,4,3,3,"Our first year anniversary with the car just passed on Feb 5th. I'm upset that we missed the tax credit by 12 days or so but got a great price on the car ... around $12,000 new with only 8 miles on it. I can't say about the airbag issue that others mentioned but would be a concern. The gas mileage is fine for my family ... 10K average yearly miles, around 20 mpg. I mostly drive city. I would recommend the car to others. The car came loaded with air, CD, defroster, cruise, etc. We got a 6% interest rate through credit union because the purchase price had built in equity. Former car was a Hyundai Accent. I liked that one too. For me a car is transportation, not for status.  ","Looks, price, included options, no service needed yet",The gas mileage is horrible! 
2,I hate this car,LW ,02/16/2010,,,3,4,1,1,,1,3,2,1,"We bought this 2008 Suzuki Forenza new. We took it back to the dealer three times within the first 3 months for them to check the transmission. It was shifting from one gear to the next unpredictably. When driven down hill it jumps into gears. When driven up hill it drags then jumps into gears  and will excelarate unpredictably. The mechanics in the Suzuki dealership told us the car will stop doing this after 6K miles that because it was new this was expected and normal. It is past the 6k mile point, we have about 12k miles on the car and we still have the same unpredictable shifting and excelaration I am not comfortable driving this car any more and am wondering why there hasnt been a reca",,Recall
1,Road Hazard,tester ,01/21/2010,,,1,1,1,1,,1,1,1,1,"Engine Light ON and breaks fail before 30,000 miles. NOT WORTH THE MONEY",FAILED BREAKS,BAN SUZUKI FROM AMERICAN ROADS BEFORE PEOPLE DIE.
4.625,Love this car!!!,Love this car!!! ,01/13/2010,,,5,4,4,5,,5,5,4,5,"First I would like to know who reviewed this car?  It can't be what I am driving because I love this car.  I owned a honda civic for 2 years prior to this, also 2008 sedan model and the forenza drives better.  My car payment went down 200 bucks!  Smoother ride and quiet.  I got 26mpg on my first gas tank.  Not bad city/highway.  If you are thinking of getting one of these cars, just get in it and drive.  You'll be sold!  11k for a new car, nuts!!!","Roomy interior, smooth quiet ride, great sound system. PRICE",mixed material cloth seats leave something to be desired...
