5,2008 toyota sequoia,jose chavez ,04/26/2016,4,4,4,,,4,4,4,4,,,,,
5,This vehicle saved my family's life!,Lowe ,01/15/2016,5,,,,,5,5,5,5,,,"We were driving home from a ski vacation in Whistler, BC when a group of young snowboarders going too fast, lost control of their truck and crossed the center line, hitting us head on at over 50 miles per hour. We rolled and all 6 airbags deployed. It was a 2008 Sequoia... And it saved our lives! Yes, we already thought it was the best vehicle we had ever owned because it was comfortable, powerful, looked great and we could even fit a twin matters in the back for road trips. It wasn't a until I pulled my precious children from this crushed vehicle that I thanked God that I made the choice to buy it. I've since been told there are no know fatalities in the Sequoia.. I don't know if that's a fact or not... But I know for sure that we are not fatalities because of our Sequoia. Honestly, I didn't know it had a built-in roll bar or 6 airbags or such a good safety rating before this crash. I just knew it was comfortable, could tow the boat and fit the kids and all their friends. Now I know... And want everyone else to know too. Just thought I would share this if your are considering buying a Sequoia.",,
5,Second Sequoia,Steve ,01/06/2016,4,5,5,,,5,5,5,5,,,"Great vehicle. This is second one for us. We buy them with 60-70k miles. As long as they are local trade ins with clean car fax and documented service history I have no qualms about driving them to 200k miles and expect few repairs.  Fuel economy is only downside,",,
4.75,"Loving the Sequoia's power, comfort and reliability",sjhanks ,12/05/2014,,,5,5,5,5,,5,5,4,4,"Need a big SUV to haul people, gear or tow.  It's the best.

Had a Yukon XL and it was plagued with problems.  Didn't tow really well either.

So we purchased the Toyota and spent a little more on it than other similar SUV's, it's my third Toyota and I think a few extra bucks is worth it.  I do miss the Yukon XL's rear storage.  But we just fold one side of the third row down and we have lots of storage.  I also have 3 kids almost 6 foot or over 6 foot and they can fit really comfortably in the 3rd row because it is so roomy.

Love all the power too, it tows so much better than the 2003 GMC.  Pulls right up the hills with no problems","Comfort for adults in all 3 rows.

Power to tow or cruse.

19 MPG on a 12 hour road trip doing 80-85 MPH is not bad either

Towing is great, no hunting for a gear while climbing grades.

Sound system rocks

Very good turning radius for it's size

Hope it lasts for ever!!!","Wish the rear storage had just about 8 more inches, but don't take it from and of the other seat's leg room."
3.875,Engine failure at 138k miles,tmaracle ,09/18/2014,,,5,5,2,1,,5,5,3,5,"I bought brand new. Always kept up with oil changes.  Mostly highway miles.  A valve spring broke, hit the cylinder head which broke and destroyed the engine block and everything.  For the dealership to build me a new engine is $15k in parts, not including labor. You can't buy new engines like ford and GM.  I bought a used engine for $6k and the labor cost ended up in a bill for $9850.  The new engine is not working properly but the dealership is working with me.  I am disappointed.  I wanted to keep this truck forever.  Now I'm faced with a tough decision.  I also lost 3mpg's.  Now around 13.4 mpg's when I used to average 16.4.  ","Size, comfort and drivability","Sell assembled engines, improved strength of valve springs.  Seal electronics on running boards to prevent corrosion."
4.75,Great & powerful SUV ,fortyniner66 ,02/23/2014,,,4,5,5,5,,5,5,4,5,"I love this SUV .Have had 3 4runners, Acura mdx among many other vehicles. Last year We sold our dodge mega cab 2500 diesel and bought a crv.Last year we bought a boat and with several vehicles in our family already with kids driving we decided a used Tahoe or Yukon might be a option. We checked out the older sequoias however the power & towing stats on the 08 sequoia were impressive. We found a used sr5 with nearly all the options we wanted and fell in love with the car. Dream to drive..be realistic about the mileage ..it is what you would expect with the size and power..if mileage is your hang up you will want to pass. If you want power,space reliability and pure fun then give it a shot!",,
4.125,Great but a couple problems,tmaracle ,05/16/2011,,,4,5,3,3,,5,5,4,4,"We like this truck. I am encountering some issues.I added the running boards with LED's underneath that light up when the door is opened.The dealership is fixing them for the third time because the wires got corroded at the connection. It is not a water proof connector, bad design. I now also have a leaking oil pan. It appears to be the valve seal that is faulty because the hose and pan are oily.Hopefully the dealership will fix both issues under the extended warranty. So far they told me the light bulbs are not covered. LED's are not light bulbs, they are diodes that rarely fail. This is an electrical issue. Is anyone else having problems. Albeit, these seem to be minor.","This is a great overall vehicle. I like the hands free, the sound quality of the stereo.
It drives great, handles great and is relatively good on gas for its size.
",Better connectors and wiring for LED's on running boards. Better valve seals in the oil pan. Bluetooth needs noise reduction features and maybe a better location of the microphone.
4.25,Good Family Vehicle,mwaltjr17 ,03/01/2011,,,4,4,5,5,,4,5,4,3,"Bought this to replace a Buick Enclave.There is a ton of room in second row, and third row (with second row seats moved forward).I love being able to independently move each seat in the second row.It handles much better than other vehicles its size.We are very happy with this purchase.","Interior is terrific.
Lots of storage options and cargo space.
Very capable in bad weather.
Power third row is very nice.","I'd like the ability to add more than one phone to the bluetooth.
Nav maps need an update.
Quick release on the middle seat (2nd row).
"
4.875,Love our Sequoia! ,Sequoia Rocks ,09/03/2010,,,5,5,5,5,,5,5,4,5,"So, let me start by saying we have a 2004 Toyota 4Runner, with 130,000 miles.  We have NEVER had any issues with it and it drives like the day we drove it off the new car lot.  Since then, we've had 3 girls and grown to a family of 5 and needed something new.  So, we made a mistake.  We bought a Acura MDX.  Sold it.  Bought a Cadillac Escalade.  Sold it.  Finally came back to our first love Toyota and found the Sequoia used with 44k.  In short, this thing is now a member of the family.   Yes, Toyota hit a rough spot, but they are still Toyota.  They will recover and the 2008 Toyota Sequoia has exceeded ALL expectations.  Not enough time to list all the things we love.  Find one used, buy it.","So quiet, so tight, so big, so perfect, love the Sequoia!","Seats could be more comfortable, that is truly my only suggestion.  Get a freakin' pad, this thing is OUTSTANDING! "
4.625,Love our Sequoia,B&C ,08/27/2010,,,5,5,5,5,,5,5,2,5,"We debated on a mini-van, but wanted a larger 4wd. We looked at all the full size SUV's and chose the Sequoia that we purchased through a broker with 15,000 mi. It's an SR5, but loaded with almost every option available. Of course the mileage is horrible, but if you can get past that fact, you will love this SUV. It accelerates as good or better than my Mercedes E320. I have had 5 full size guys with 5 bikes and even my 6'3"" buddy was comfortable in the 3rd row. We are very happy. On road trips we average around 18 mph. We put in an aftermarket DVD - if this is a requirement, get one with the factory DVD, aftermarket will not work with factory BT, poor steering wheel connections, etc. ","Power, large, very comfortable seats, comfortable on the road and very fun to drive.",Nothing that I can think of.
