5,Outstanding Tacoma,Dan Pierelli ,07/22/2016,4,5,5,,,5,5,5,5,,,,,
5,My 1st Used Toyota Tacoma,Winston ,12/02/2015,,,5,,,5,5,5,5,,,"I sold my 2011 Silverado v8 with 31k miles on it and brought this 2008 used Tacoma (4 cylinder 2.7). I drove it off the lot with 42k miles. I love this little basic truck, it's comfortable for my 6'1 350lb frame. I brought it to drive back and forth to work (40 miles round trip) and to fool around on the weekends. I barely use my other truck at home. I'm sure I'll get 300k miles out of this truck. It's fun and basic and easy on your wallet at the gas pump. I get about 23 mpg on the highway which is better then my Silverado. Perfect little truck!",,
3.75,not happy/08 tacoma ,Randy Bly ,04/30/2015,,,4,4,1,4,,4,5,4,4,"Nice truck,but toyota won't fix the rear springs in the truck till they brake.call the 1-800 number and received a letter about the springs.they know it's a problem but will not do anything about it.Had a recall on the frame because of rust,it's was painted by toyota.I have had like 4 things that were recalled by toyota .but not the rear springs.not sure what my next truck will be.",,Put 4 leaf springs in the tacoma's not3
4,Mixed bag,rmw288 ,06/23/2014,,,4,,,5,,4,5,,,"I bought my Tacoma used in 2011 with about 25,000 miles on it.I drove it for 3 years and 55,000 miles.I never had any kind of trouble with the engine or drive train, as far as reliability.It never broke down.My complaint was the truck always revved a little high while at idle.Also, the shifting was always weird.At low speed it would stay in low gear too long and rev high before shifting.Under load, the engine would knock.3 of the 4 automatic door locks eventually quit working.The compass/thermo stopped working.The A/C fan would intermittantly stop working.Car was totaled in an accident in 2014, and I replaced it with a full-sized truck for towing.",,
4,"Good truck, disappointed in 6 speed gearbox",gazzbc ,04/26/2014,,,4,,,5,,4,4,,,"I bought this truck second-hand to tow a 23' trailer, weighing 5500 pounds loaded.The truck is underpowered for what I'm asking it to do, but gets the job done.Just don't expect to win any drag races.The Sport package handles extremely well for a 4wd live rear axle truck, and is stable towing even with P rated tires.  *Update* - upgraded to LT tires.  Towing more stable and the effect of the stiffer, heavier tires on handling is barely noticeable.My only real beef is with the 6 speed manual gearbox.It is the slowest, clumsiest tranny I've ever encountered.Forget quickly flicking through the gears - each shift is a two-stage affair with a forced pause at neutral.And it's not just my truck - I drove several examples, and they are all the same.It's a pity, because it is fun to drive otherwise.",,
3.625,Disappointed,richiew13 ,03/07/2013,,,4,4,3,4,,4,4,3,3,"I bought this truck in May 2011, hoping it would be a reliable and economical vehicle for me to keep for a long time, eventually becoming my #2 vehicle.Ever since I got it, I haven't been happy with the way the engine idles.It sometimes revs fast, and sometimes wavers up and down.I also dislike the way the transmission shifts.It can sometimes be harsh and/or wait too long to shift.As of now, 3 of my automatic door lock mechanisms have quit working.The A/C blower is noisy, and will occasionally stop working.(If you kick it, it will work again.)I hate the way the brakes make a ""clunk"" sound the first time you hit them after going in reverse.Other than that, I've enjoyed it.",,
4.25,Love it!!!!,fatvette ,04/08/2012,,,5,4,5,5,,4,4,4,3,This has been an awesome truck for what I use it for.I bought it new in 2008 and it currently has 31000 mile on it.Although the miles are relativity low I have not had any failures of any type.The truck has been flawless.The truck is very comfortable considering the bench seat but I did add an aftermarket center console/armrest.Having a place to rest your arm made a big improvement over holding it in your lap or resting on the seat.Engine power in more then adequate.Brakes are a little spongy and road noise on this base model is noticeable.,"This is the base model so features are somewhat limited.
I added as options an automatic transmission and air conditioning.",Intermittent windshield wipers and a standard center console/armrest.
2,Tacoma has known suspension problems,jjgarvey ,11/14/2011,,,1,3,1,2,,3,2,2,2,"I have had two Tacoma double cabs - 2004 and 2008.I bought the second because I was happy with the first. Unfortunately, the quality of the 08 Tacoma is disappointing and Toyota's response to documented suspension problems has been unsatisfactory. There is a widely known noise problem with newer Tacomas' suspension that the company has not addressed.The truck is now an embarrassment to drive because it groans so loud.Toyota Customer Cares does not at all! Recently, the truck got stuck in wet grass and I popped a ABS sensor before I could get it us stuck...4x4?",Former reputation,"engine, suspension, interior, features, suspension, audio, brakes, exterior temp display - failed"
4.5,Performance and Reliability,demonoid123 ,07/19/2011,,,3,5,5,5,,5,4,4,5,MPG: 18 gal=370 miles city maximum. (Never gone past 3 gallon reserve to test out full mileage.) 18gal=400 highway maximum.18 gal=~$60@$3.40-85octane(w/15%ethanol-Costco) I add LUCAS gas treatment also.Cons: Interior has cheap look and feel. Small spacing for legs. Paint scratches and chips easily. Frame rusts easily. ( Even after power-wash every time exposed to salty roads)Pros: Performance: Will do the job on any terrain(Even with the crappy tires sold by manufacturer: Firestone Destination LE) Engine is reliable and OK Design (accessibility-wise)Bottom line: Not fancy interior but great exterior look and performance.,"Performance. Exterior look. Accessories. 

LSD. 115-Volt jack. Tow package. Bed liner.","Interior: Follow American manufacturer example.

Stainless steel frame. Anti-corrosive spray from factory.

Improve paint quality."
3.375,uncomfortable,bob1971 ,04/29/2011,,,1,5,3,5,,5,1,4,3,"This is a reliable great quality truck and all but they put these adjustable lumbar supports in them that kill my back . After a while of driving this thing I can feel the bar pressing against my back . If you turn it the other way ( to take the pressure off ) there is a big indention there which is just as bad . It is so bad , I sold the truck .",motor has a lot of zip to it .,new seat with no adjustable lumbar support
