5,Best looking front end,Jolene Foley ,09/23/2016,,,,,,,,,,,,"It's been a great truck, so good I won't trade it I on a new one, besides it still looks new",,
5,Tundra,wyldfyre ,08/14/2016,5,5,5,,,5,5,5,5,,,,,
5,the Tundra continues on and on!,Donald ,07/28/2016,,,,,,,,5,,,,,,
3,No more Toyotas for me!,Glenn MacNichol ,04/11/2016,3,2,3,,,3,3,2,3,,,"I am a Toyota fan from way back.  At the time I purchased my 2008 Tundra, new, my family owned three Toyotas, and my extended family owned 7 more.  I was quite excited to replace my 1999 F150 with a Tundra, planning to keep it for a long time, lots of miles.  I was quite disappointed with the result.  I purchased through Mike Johnson Toyota, Hickory NC in 2008.  Within a week of driving the truck I noticed unpredictable acceleration, as if the transmission would downshift and upshift at incorrect times.  At times, this was dangerous, say, when pressing the accelerator into a turn at an intersection.  I brought it to the dealership, and was told I would 'get used to it,' that 'it will learn.'  It never learned, and the dealer refused to acknowledge a problem.  I later moved, and a second dealer's chief mechanic agreed it was not normal, but also stated that when he had worked on such problems in the past, it did not always correct, and he would need the regional manager to weigh in.  Well, the regional manager never responded to my inquiry, and 8 years later the problem is not fixed, and never even officially acknowledged by Toyota.  I drive the vehicle only when I need, mostly on the highway, but it is by far the WORST DRIVING truck I have ever owned.Also, radio/aux input failed within 6 mo of purchase.  Dealer stated covered under warranty, but radios were on backorder.  I finally got one after 2 years, only to find the aux input was also defective, independent of the radio.  Dealer would not fix it, stating it was 'no longer under warranty.'Also, dealer sold me a bedliner, which cracked in the corner before seeing any hauling use.  Dealer noted it was 'aftermarket' and Toyota was not responsible for it, and dealer would not stand behind the product they sold.All the while I tried unsuccessfully to get these problems fixed, dealer repeatedly provided me with unwanted 'Recall repairs' I guess because Toyota was paying them to provide them.Toyota makes mostly good vehicles, but when a lemon comes off the assembly line they and their dealerships turn a deaf ear.2-3 stars for the Tundra, zero stars for Toyota as a company.Since 2008, I have purchased Honda, Hyundai, and am looking at an F150 to replace the Tundra soon.",,
4,loud noise at start up,dscarpola@comcast.net ,12/03/2015,,,3,,,3,2,4,4,,,"i just bought 2008 tundra 5.7 with 164000 when i start makes loud rattling noise for about 3 seconds then stops. After started if i listen close i can here what i think are the lifters making slight noise. My mechanic did not listen to it but when i told him he said i will need to replace motor soon that because who ever owned it before me didn't change oil enough clogged up timing chain, said it could lock up engine in a week or 2 years, and told me to purchase a 36 mo. engine replacement warrantee with him since i have 30 days to get one. all the forums I've been too says this is common to 5.7  and toyota knows it. I guess i am ok with noise just do not want motor blow mechanic says it could cost up 13k to replace",,
5,great truck only one problem gas tank to small ,pappapump1313 ,06/21/2013,5,5,5,,,4,5,5,5,,,I luv my truck but I'm limited on distance before I run out of gas you would think Toyota would be smarter bigger truck bigger tank and I can't add an auxiliary tank because of emissions so I have to carry gas cans when in the mountains or desert especially pulling my toy hauler because that gas goes to my toys glad my son needs a truck I'm buying a F250 ,,
4.25,Excellent,dufour ,06/02/2013,,,3,4,5,3,,5,4,5,5,I bought my truck 3 years ago. It has 29 km. I pull a camper (5200 pounds) and the tundra is doing a great job. Gaz millage is high but what else can I expect from a 5.7 liters engine. The power is impressive. This is my thirdtoyota truck (old tacoma V6 3.0 and the last model V6 4.0 liter) and I have no fear about atrting the engine even when I going to my cabin on winter and start it after a week end of minus 35 (I live in northern Quebec).I change to rear brakes at 51km and a little noise is coming once in a while from the dash board on the passenger side. Toyota tried to fix the problem under warranty but the noise came back again in a short period of time. This is for the bad side.,Engine is just great and the fiability is there.,Chassis should be stronger
2.625,Problems Galore,aternie ,12/20/2012,,,3,1,2,2,,4,4,2,3,"I bought this Tundra hoping to get that Toyota quality. At 45,000 miles, the radio just quit working. At 60,000 miles the drivers door lock actuator quit working immediately followed by the front passenger door lock actuator and then the drivers side rear door lock actuator. The driver's door is just a nuisance but the other doors are now totally useless since there are no keyholes for those doors. At 65,000 miles I have an oil leak and a water pump leak. In other words, at less than 80,000 miles, I have about $4,500.00 in repairs. So much for Toyota quality. As others have said, the body dents too easily. Other than that it is a powerful truck. I just would not recommend one. ",Very Powerful truck. Nice and roomy cab.,Better job of engineering a full sized truck.
5,Great Truck,hounddoc ,12/09/2012,,,5,5,5,5,,5,5,5,5,"I bought my Toyota about a year ago with the original tires. Mine seem fine, so I'm not sure about previous reviews, besides who buys a full size pick-up for gas milage? The Tundra fits the bill in every sense. Great family truck, hauls and tows very nicely and looks great on the road with an aggressive front. Buy this now, you won't regret it!",,
4.125,1st truck and Disappointed,hrs73 ,11/09/2012,,,3,5,4,5,,5,4,3,4,"This is my first truck and I bought a Toyota for its reliability and hopefully good re-sale value.I have been very disappointed in the tires.I have 69k and need a third set of tires. The dealer blamed the alignment, so on the second set of tires they have done all the aligments.So now the dealership is blaming the tire maker.All I travel is roads and highways.I keep it aligned but the tires are wearing out unevenly.The radio was replaced twice and the truck has a bounce that has made my child car sick on two occasions.The truck dents easily and is not as good on gas mileage as I would hope a 6 cyclinder would be.I like the acceleration and the look of the truck.","The look, acceleration, turning ability, roomy inside.","Better tires, hold alignments, better gas mileage, and need little to no bounce."
