5,Feels like it was just built at 108k,Calvin Luchs ,05/19/2016,5,4,4,,,5,5,4,5,,,"A hand full of these had intermittent water pump failure. this was pretty rare, but if you're looking used inspect near the water pump for pink crust, it's a dead give away. That out of the way, I am a regular sized college student. I got this to be reliable, hearty, and get good fuel economy. I have slammed 15000 miles on it in the year I've owned it, and It has had literally nothing wrong. No squeaks, rattles, nothing. I put oil in it. That is it. If you're a guy living in america, your buddies may jag you off about this car at first but the fact of the matter is I drove to my friends house to help him fix his Lincoln in my little Toyota. Another friend with a jeep attempted to join us but his car caught fire. You will outlast anything but perhaps old Honda motorcycles with this car. For some anecdotal stuff:-I have driven in one pittsburgh winter and with half life all seasons I had no trouble getting up steep, 4 to 5 inch deep snow packed gradients. AWD cop cars were sliding down the hill past me, but the yaris kept on going. -I put my girlfriend, her dog and it's crate, and a week and a half worth of food in the back (Seats down) and drove 790 miles to Maryland and averaged 39 mpg doing it. coming back i actually got 42. On a straight highway drive at 60 miles per hour i can actually get 49 mpg reliably, with the 5 speed manual. -I learned to drive stick in this car, and even with me buggering the clutch repeatedly while learning, The shifts are quick and easy, and the clutch is a little on the tighter side when new, but it wears nicely and lasts a long time. There is nothing difficult about working on this car, and usually i don't need to jack it up for routine maintenance because it sits rather high on it's wheels, which also gives good visibility. The suspension isn't sophisticated, but it works pretty well, and the seats are awesome. You can take some pretty serious bumps without suffering in this car. Had one minor accident, sun got in my eyes and I lost sight of the road and at about 15 miles an hour slammed into a lady in a big old saturn station wagon. No damage whatsoever. Tires are cheap as dirt, and so is just about everything else for this car. Overall I love it. and If you're worried your more ""Merica"" friends will give you garbage, they probably will, but by the time their dodge has eaten it's 9th transmission in 45k miles, they'll come to love the car of the person who's repeatedly bailed them out and helped keep their scrap on the road :) Comfy, reliable, cheap and easy to fix and run, and everything is bolted together to a german- like standard of build quality, with a toyota- like standard of precision and engineering. Fantastic car.",,
5,Literally the best car,Chris ,04/09/2016,5,4,5,,,5,5,4,4,,,"We got the car when I was about 7 and my sister and I have grown up with if for along time. We were both small when the car was purchased but have grow to be 6' and 6' 3"". I still say that I had more leg room then most other cars I have been in especially bigger cars like SUVs or mini vans. The cars that are twice the size cant't compare with the room this car has. I have been on lots of long 8+ hour car rides with it and it is perfectly fine. It was so roomy that are 6' 6"" family friend got one after only riding in it once or twice.",,
5,Yea for Yaris,Liz ,04/06/2016,5,5,5,,,5,4,5,4,,,I am short. Sight lines amazing. I get cold. Heater amazing. I drive a lot. Comfort amazing. I dont love gas stations. Mileage amazing. I love security. Locks logically amazing. I adore Yaris 2008. Truly amazing. Daily amazing. Forever amazing.,,
5,Can't be beat for several reasons!!!,Pamela James ,01/07/2016,5,5,4,,,5,4,5,4,,,Great car!,,
4,Feedback on Yaris,Bob Howard ,11/22/2015,5,3,1,,,4,2,4,4,,,Great buy!,,
4,Wonderful value,Bob ,11/18/2015,4,3,4,,,5,4,4,4,,,,,
4,"For the value, you really can't beat it at all.",Kristina ,09/23/2015,,4,4,,,5,4,5,3,,,"I bought this car in 2010 after I graduated college because an affordable fuel efficienct car, and that's exactly what I got. This is a commuter car that is very basic and great on gas. It cost me around $25 to fill up and that last me for weeks. It sits a little lower to the ground so getting in and out is easier. I've had this car for over five years and the only maintenance I've done to 1. Replace timing belt ($20) and 2. Replace the battery ($110). I'd like to make not here that the original manufacturers battery from 06/2008 lasted me until 09/2015 which is terrific, it was a Panasonic battery too. I've driven to car both city and highway and talk about low maintenance. My only complain is there's not enough power to it, perhaps the manual version might be a little quicker but there have been times where I've floored it, and it took a while for transmission to kick in. Also, I've had problems with visibility and seeing out of the windshield and behind me. I've driven it in all sorts of terrain, it does pretty good in the snow with all weather tires and does great in the rain. The interior is basic but it does have a few perks like MP3 port where I plug in my I phone. My 2008 has $70,000 miles and it's still going strong, no surprise though after 70k miles I had to change the battery though. If you're on a budget and want a reliable vehicle that's great on gas, this car is great for you.",,
4,2008 sedan still going strong,Bob ,07/24/2015,5,4,4,,,5,5,,5,,,"Bought it new in 2008. Coming up on 195,000 miles. Most reliable car I have ever had.  Just routine  things like oil changes and tires. Replaced the belt at 150,000 miles. It has a timing chain, not a belt so as long as you change the oil on schedule that will never be a problem.My Mechanic says its in excellent shape, it will last me several more years.  I am retired, so I drive it on vacations a lot, it has been in 45 of the lower 48 states. Engine is amazing for a 1.5 I regularly cruise at 80 to 85, and you dont even feel it. Regularly gets 40 mpg combined. Only thing I do not have that I should have gotten is cruise control, and you can get one with it. Great little car, was only 13,000 brand new.  I am a big guy, and what sold me on it was the great drivers head room.",,
4.875,Still Going Strong,Cindy Sanders ,04/07/2015,,,4,5,5,5,,5,5,5,5,"Rather than write a review of a vehicle I've had for a few months, I've waited 5.5 years.  I bought this car brand new November of 2008.  I love this car.  For the price, this vehicle can't be beat.  I consistently get around 40 mpg and that includes stop and go traffic.  I'm also just over 142,000 miles with only replacing the serpentine belt and standard oil changes.  I'm still using the original brakes and clutch.  The paint is still in excellent condition and the interior still looks great.  For a base model, no bells and whistles, great for everyday use, with great reliability, you can't get anything better.  ",I love having the AUX jack to listen to my Ipod.,My only complaint is the cup holders.  They are right below the air vents.  I've always disliked that feature.
4.875,The Most Reliable Car Ever,teamyaris ,07/20/2014,,,5,5,5,5,,5,4,5,5,"First, a little about myself.I am a 55 year old male who has owned more than a dozen cars in his lifetime, including trucks, SUVs, minivans, and a variety of small cars including Hondas, Toyotas, and Fords, dating back to the 1970s.Without a doubt, this is the most reliable and lowest cost of ownership car I have ever owned.I bought it new for $12,000 and it is now nearing 100K miles.Other than oil changes and topping off the fluids, and changing tires, it is maintenance free.Manual transmission has been fun to drive, easy to keep up with the traffic flow at speeds up to 70 mph.Mileage is 38-42mpg.Who needs a hybrid?Headroom is fine and the hatchback is convenient.","Reliability and quality of exterior design and 38-42mpg.
","Add a driver's side armrest?
Other than that, can't think of anything. "
3.75,camshaft,mselder ,05/01/2013,,,2,4,4,4,,4,4,4,4,"I have a toyota yaris and this car is good on gas and reliable. however it went from good to bad in no time. I use my car to commute to/from work and i drove 150 miles per day. I got a oil change on april 16th and the 23rd my camshaft broke with no clear reason why. there was evidence of oil burns and foul play i don't think. I'm thinking that the camshaft was faulty and finally gave out or toyota yaris 2008 is no good after 84,000 miles.There have been many recall for yaris 2008. I seen many people complaining about break pads or something to that nature.but if you google recall there have be some recalls. My car should not be having my major engine problem especially before 120,ooo",,
4.625,2008 yaris hatchback is a beast!!!,logek_aok ,04/24/2013,,,4,5,4,5,,5,4,5,5,"First off as a guy always driving big cars this was a change...But a good one idrove a toyota avalon but the gas was killing me.So did the research and the Yaris kept coming up.I drove every where in this car fromchicago philly new york new jersey south carolina virginia and so on..Never a break down low maintenance just put gas and change oil thats it.Did a couple of up grades weathertech window vents and mats..Go on ebay and getoem parts thats don't come standard like armrest, cargo cover and cargo net..way cheaper than dealer ",mpg and ease to park every where,seats should be more comfortable 
4.375,Best value in a compact car,davedietrich ,03/22/2013,,,4,4,5,5,,4,4,5,4,"I have done extensive research before buying the Yaris. Reliability is bulletproof, low maintenance costs, drives like it is a bigger car. With the right tires (Michelin Defender) the drive is very smooth and quiet. Fuel economy is exceptional. Peppy for an auto with only a 1.5 engine. Surprisingly good room in the back and front seats. The seats are quite comfortable and supportive. Only negative is the small cargo area in the hatchback. Will be driving this car for a very long time. If you need a car that does not break the bank or your budget for as long as you own it, yo really can not go wrong with a Yaris.","Style, fuel economy, roomy interior, love the centre dash display, controlled ride, side air bags not standard on early year models",More cargo space please! This has been rectified in the 2012/2013 Yaris model years. 
5,very pleased ,heatherx360 ,08/04/2012,,,5,5,5,5,,5,5,5,5,"I bought this car in February after my volkswagen beetle and bmw both croaked, and costed over 5500.00 to repair each.I didnt like it at first but fell in love after. The style it cute, plenty of room, better mpg than prius cost is almost half, doesnt have all that eletrical junk that seems to always fail, cheap to fix and easy to work on, cheap car but everything is built with great quality unlike volkswagens cheap plastic everything, very easy to park. Im a delivery driver and couldnt ask for a better car. Parents owned 7 toyotas and none had less than 250k miles one had 326k still running today. the yaris has everything plus the toyota reliability and it wont break your bank",I really love everything about this car,could use a 6th gear
4.375,Another weekend road trip success,dadinfo ,03/12/2012,,,3,4,5,5,,4,5,5,4,Just did 400 miles I-70 Colorado mountains averaged 70 plus mph 39 to 40 miles per gallon! ,Center mount Gages,Dash padding is needed very hard plastics
4.5,Worth it.,Elaine ,11/01/2010,,,5,5,3,5,,4,4,5,5,"I bought this car brand new and I must say I have not been disappointed.  For $13,500 there is no way I could have gotten a better new car than this.  It is fun to drive (had a 00 Volvo before this) and you get great gas mileage. Makes great U-turns and I can actually parallel park with this car. As far as built quality, well that is where it really could do better. Too much cheap plastic and the inside cloth on the driver's door is fading for some reason.  As far as reliability goes, I see it lasting forever.  I've put 17K miles on it and have done only the oil changes.","Cup holders, cute looks, roomy, Aux input, seats high up, cool looking dashboard at night, fun to drive, no blind spots.","The outside is already dented in 3 places just from shopping carts at the parking lot, you feel every small rock on the road, very noisy inside, when turning air on it smells disgusting, original tires are dangerous in the water (mine has slipped)."
4,It's good enough so far,Duder ,10/23/2010,,,4,4,2,5,,4,4,5,4,I bought the little hatch back because I needed it's versatility and high fuel economy. The seat isn't exactly comfortable but supports my back better than the competition. I like it's French Styling with it's typical center mounted speedometer. All the storage bins are great and so is the extensible sun visor. The optional arm rest is well positioned for me and I like that the center console doesn't rob knee room. The thing that irritates me the most are all the rattles and vibrations that come and go. The good side of this annoyance is that it keeps me just irritated enough on long trips to keep me wide awake. In this respect the rattles add to the safety of the car.,Economy and maneuverability and funny looks.,Placing a digital speedometer display in front of the driver just below the windshield and putting a storage bin where the speedometer currently is. Clean up the front nose a little and add telescopic steering like the ones sold in the UK have.
5,This car deserves better press!,Jon ,10/23/2010,,,5,5,5,5,,5,5,5,5,"A great, well-designed little car. Very comfortable for me (I'm 6'2"", 220#) with more headroom than my Dad's minivan and more knee room than my friend's Mazda 3. As a tall person who usually finds the steering wheel partially blocking the speedometer, I actually found the center-mount speedo an improvement. Have driven the car through Wyoming blizzards and ugly urban commutes and found it pleasant, sturdy and nimble. It also holds a lot, like me, my 2-man crew, 2 tool boxes, & 25 gallons of paint (never thought the Yaris would muscle in on my pick-up!). Best mileage I've had was 42mpg on a run between S.F. and Reno. The worst was 25 mpg in urban stop & go commuting (using no freeways at all).","Had no idea the car would be so much fun to drive. Super-responsive steering and quick acceleration in the 0-50mph range (much like a Mini or Jetta). The engine can dog a bit on sustained climbs at highways speeds, but nothing as bad as the Hyundais or Ford Focuses I've driven in similar conditions.","The main issue with the Yaris cockpit design is visibility--the A-pillars to the left and right of the windshield eat a lot of space, and frequently block the turn signals of vehicles around you in multi-lane environments like freeways. Can also create a blind spot for pedestrians in crosswalks."
4.875,Lovin' the Yaris,Bobbi Jones ,10/13/2010,,,5,5,5,5,,5,4,5,5,"This little car is out performing the gas mileage that it's supposed to get! I'm averaging 36.8 to 38.5 miles to the gallon! That's the AVERAGE! It's helping to make the payments with the money that I'm saving. It's cute, fun to drive. If I had to list a negative, I'd say the light gas pedal won't support the weight of my foot and you notice it on a long trip if you don't have cruise control. Not too much else, I'm happy with my purchase!","Exceptional gas mileage, tight turn radius, cute body style.","Weightier gas pedal, arm rest support."
4.75,This little guy is a champ!,J ,10/07/2010,,,5,5,5,5,,4,4,5,5,"Bought the base automatic all the options. It is a perfect second car. Has a ton of interior space and clever storage. This car is way more spacious than the Lexus IS I downgraded from.  The backseat is fine for two average sized people when needed.  I consistently get 36-38 mpg driving mostly highway at 70-80 mph.  Also great in the snow with the skinny tires.  This car shines as commuter car.  It has plenty of go and decent handling.  That is noticeably reduced with two passengers or heavy cargo.  Still, 95% of the time, this car meets my needs like a champ.  I just can't understand driving a huge 6-7 seater for only one person. Its great for road trips too. What more do you really need!?",Dual upper glove boxes and fold out cup holders. High seating position for a small car. Remote key and power windows and doors. Great visibility. Could not be easier to parallel park. General ease of use.,"I would have paid more for better seats and an upgraded stereo without the silly exterior cladding of the ""S"" model.  Steering wheel audio controls, auto dimming mirror, etc. A better sounding horn would be useful to keep that texting soccer mom/dad from drifting their giant ""Mini""van into my lane."
4.875,Great on fuel,convair580 ,09/28/2010,,,5,5,5,5,,5,4,5,5,I just took a trip from Spokane to Glacier and setting the cruise control at 60 mph to 70 mph with the AC I got 48 miles per gallon with an automatic transmission! On the way back I got 42 miles per gallon. On  the average we get between 35-40 miles per gallon. So why buy a Prius and save money a guy a Yaris.,I like the horsepower for a little engine and the color is great.,"I would like to see body trim along the side of the car to help protect it against others banging their door into your car,"
3,Not for adults,Jack ,09/14/2010,,,3,4,5,5,,2,1,3,1,"Sold my 2008 hatchback after two years.  A fine car for short commutes, but a back-breaker on longer trips.  Even though car was loaded, Toyota found ways to unnecessarily cheapen the design.  Middle position instrument cluster is the first tip off. Intermittent wipers are not speed- adjustable. Even the pedal spacing  spacing is parsimonious. The dealer- option speed control stalk is invisible from the driver's position. A height adjustable drivers seat is not an option, nor was satellite radio. They say you get what you pay for, but at over 15 grand loaded it was not exactly a cheap ride, even at 30+ mpg.","Fold flat rear seats, rear styling",Offer comfort options for adults (they will gladly pay)
