4,Steer Away If You Want a Safe Car,Hayley ,08/24/2015,3,2,3,,,2,3,4,5,,,"I am 19 years old  and received this car as a birthday present less than 2 years ago, the car seemed great at first running fantastically until small little headaches started happening. First it was my keys getting stuck in the ignition when trying to turn the car off, i couldn't even go to class that day because i couldn't turn the car off. Then it was the multiple windows breaking in the car that would go down but then not come up (driver, passenger side, and driver's back window). The car did fairly well in the snow, coming from Connecticut we get our fair share- the car has good control but there's absolutely no weight to the car so i found myself skidding and struggling to get up hills. My last experience with this car was the accident i got in it about a week ago. I rear ended the back of a pick up truck on the highway going 40 miles per hour, easy to say my car was totaled. It was a horrifying experience because i felt no security in the car whatsoever when getting into the accident, there's so little to the car if i hit any harder the entire front of my car would've been gone probably. It's a cute, fun summer car that's nice to drive around if you live in the right conditions. But please take this from me, if you're considering buying your child this car, PLEASE look into better safety features. This car has absolutely no protection to it if you were to get in a serious accident.",,
4.75,Love my Beetle!,karmagirl7 ,11/25/2014,,,3,5,5,5,,5,5,5,5,"I absolutely LOVE this car!  The only weird thing is the crayon smell in the car, but everything else is awesome!  I love the entertainment package and the MP3 option, when I am bored wtih everything else.  This car handles like a champ - I feel like I am in a true high performance vehicle.",The entertainment package and the ease to drop the top!,Get rid of the funky smell!
2.25,Got a Smoking Hot Deal!!,karinalynne ,01/05/2014,,,4,4,1,1,,1,3,1,3,"I bought this car less than a month ago, the second day I drove it, it stalled out at an intersection and I had to have it towed back to the dealership (burnt a coil and blew a fuse).Within a week later, the same thing happened again and again. Finally had to take it to a mechanic, said all 5 coils and spark plugs needed to be replaced.A week after that, I decided to just trade it in for something more reliable.On the way to the dealership, it stalled, started smoking and then caught on fire.It is now totaled and it is the worst car I have ever purchased. Save your time, its a cute car, but its NOT worth it.","Gets up to speed quick, when it runs.","Blows coils faster than you can replace them.
Then blows fuse and possibly melts the connector, concluding to never ending problems."
1.875,Never ever going back again,notlovingmybug ,10/29/2012,,,1,4,1,1,,1,2,1,4,"I consider this car a lesson learned in poor decisions.I purchased this car new in 2008 and have had numerous problems.So many in fact I'm not sure I can list much less remember them all.I will make this short (as possible) and sweet(as possible).The passenger side window motor stopped working, the radio buttons stick, the console top has broken twice, the compressor is barely working therefore I have almost zero air conditioning and the transmission is failing.Not to mention the car has an odd odor that I cannot get rid of.A light continually stays on that I was told needed a computer upgrade but the dealership never seemed to have the ""disc"".Too many problems to list.","Fun car to drive.
The ONLY good thing I can say is I was hit from behind by a Cadillac Escalade and the car took most of the impact.
My daughter and I were both very much ok and the Escalade took the impact much worse. That's it otherwise the car has been nothing but one problem after another.",
5,realy is fun to drive!,dave ,11/28/2009,,,5,5,5,5,,5,5,5,5,"nice looking really fun to drive! great acceleration fantastic breaking wonderful power top quietest convertible i have ever been in roomy and not cramped even for a 6'2"" man not much room in back seat for adult (but who cares!)  ", best factory stereo i ever heard,bigger back window 
3.5,Not what I expected,maciosaig ,10/28/2009,,,3,5,5,5,,1,4,3,2,"I bought this car for my wife and after buying an 07 Passat and being extremely satisfied with that car I figured Id be just as pleased with the bug. Was I in for a shock I've owned convs in the past so I was away of frame/body flex but this car takes it to new extremes. The handling sucks, power is poor and comfort is great for the driver and front passenger, and my small 3 year just about fits in the back seat. Now there is a rattle in the front end somewhere and the thing is noisy on the highway. For the money they charge these cars should be much more powerful and handle better. I'm not sure how the fit and finish will stand up over the next few years, but I'm not confident",The retro look and power top,"Much more power, better fuel economy, better handling, better build quality, and much lower price-its built in Mexico with super low production costs there is no reason this car should cost this much. I would not recommend this car at all."
4.875,Love my New Beetle!,Karen1963 ,10/06/2009,,,5,5,5,5,,5,5,4,5,"I wanted this car for a long time before my husband bought this one for me as a surprise Christmas gift in 2007.  It is so easy to drive, and the seats are a good fit for me.  I have the automatic, so the gas mileage isn't the best, but I really love the experience of driving it every day.  This is the best car purchase we have ever had and I will likely own this car the rest of it's life!",The New Beetle is so distinctive and the salsa red really gets everyones attention.  I just love the way it looks!,"I would love to get better gas mileage and I think the car is very reliable, so the warranty should last longer."
4,Has been great!,eldaino2 ,09/19/2009,,,3,5,5,4,,3,4,4,4,"My wife's 08 beetle has been pretty great. its a fairly smooth riding car (an impressive feat considering its based of the mkIV platform and thus has a torsion beam rear suspension) and is a a great long distance cruiser. the stock tires are not the greatest and in typical stock fashion has grown loud and tiresome, but the car itself is very quiet, peppy with great low end tq, and style my wife loves.(and i actually don't mind it either.)","great shade of red, solid tuetonic driving experience, great highway cruiser, good range on gas tank, fairly inexpensive to maintain, decent steering feel, low end torque, engine growl.","armrest location, cup holder placement is slightly weird, a chassis this stout and that weighs this much should get better rear seat side impact ratings. (maybe actual airbags back there? only a big deal if you carry people in the back, in our case thats a no.)"
5,My New Beetle is simply awesome!!:),MeowlGal ,06/14/2009,,,5,5,5,5,,5,5,5,5,"I love my new car!! This is my first beetle,I used to own a Volkswagen cabriolet convertible and loved it! I traded in my Toyota truck and got my beetle..I named her ""Rubi""!! What a cute and fun car. This car is in mint condition!! I am so happy I bought her!!:)",The seats are so comfy..you just melt into them when you sit down. I also love the hatchback..very cool!,None!!
5,Great Time Travel,OBX  NC ,01/03/2009,,,5,5,5,5,,5,5,5,5,"Love the car, brings back super memories, makes the day fun and exciting.  . My fuel mileage averages 25-29 mpg without pampering.  Have owned a Miata, will take the Beetle any day,anytime.  ","The heated front seats, great on cold mornings or just to ride with top down on cool days.  Harvest moon beige, cream top with cream interior is just a fabulous color combination. ","The adjustable armrest is difficult to lower, the release button is difficult to reach.  The car tends to bottom out on minor bumps. Some utility of the large dash would be of benefit(storage or bin)."
