3,Check engine light,Tim ,09/05/2016,3,5,5,,,2,5,,5,,,"This is a sweet car with nice get up and go.  It has several nice conviniences and a lot storage. I average 25mpg with 80% driving on the highway. My only complaint is the check engine light is constantly on and VW dealers charge $100 just to look at it.  This car is like a boat, it's a blast to have but is very high maintenance and costs a lot to maintain.  I don't like having to fill up with premium gas when filling up either.",,
4,So far  a good value for me,Schooder ,01/28/2016,4,,4,,,4,4,5,4,,,"I bought this car used at a dealer.7/2015   I live at 7000' above sea level  and occasionally drive to 5400' (New Mexico) This is important to understand reference to performance. The 4 cylinder Turbo accelerates nicely at this altitude. It accelerates close to or better that my 2006 Toyota 4runner V8.  I wanted to change the shifter handle for esthetic  reasons and ended up damaging a small piece of plastic and ended up with a $1100  repair bill the replace the entire shifter module  which had to remove from the bottom of the vehicle. The makers obviously  was not intending this to be removed, so be careful if you want to change out the leather shift handle. I really like the way the windows operate. Typical German engineering,  all the windows  come up/down with one touch   instead of just the driver door. There is a full size spare tire. The cruise control works great, one button push is all that is needed. And accelerates good. I bought it at 76,000  and now has 86,000 miles(1/2016).  I think the ride could be smoother. I wonder if different tires would help. I think VW has always been a poor man's Audi. It doesn't feel as solid as or as smooth on the road as smooth as A4s I have owned.",,
4,"Pass on the left, if you can!",Doug ,08/19/2015,3,5,5,,,4,5,5,5,,,"When merging on to the highway, this car is like a thoroughbred race horse jumping out of the gate.  Left signal on, metal down, take to the express lane and hit cruise at 82.  Slow down for the inevitable traffic delays with the left (-) paddle shifter & open the sunroof if it is a nice day.  The sound system will easily drown out anyone else's sound system.  I bought this car for its' storage.  Right away it needed: igniters, fuel pump, axle, alignment, brakes, lights.  Timing belt broke two weeks after dealer ""inspected"" it.  Now, with rebuilt engine, performs like new.  Body & paint are in great shape.  Glass is all like new.  Plastic body panels require ArmorAll.  For an ""old"" car, the design is still fresh.  Turns heads wherever I go.Blacked out all the chrome & lowered it, with some 18's.",,
4.75,It's a Keeper!,digdoug78 ,05/25/2015,,,5,5,5,4,,5,5,4,5,"I've enjoyed this car from the first time I drove it. I picked it up used. The previous owner put 18's and dropped it about an inch. Low but not too low.  Drives nice.  Good power getting on the highway, passing, easily cruise at 80+.  Controls are easy and intuitive.  You can do everything but brake from the steering wheel! You can change from radio to cd to aux from the wheel! You can speed up and slow down, from the wheel! You can turn on wipers, check fuel, driving range, real time mpg, direction, from the freakin' wheel! The seats are super comfortable. I'm 6' and I have tons of room.
The paddle shifters can be fun to use. Used properly, really fun to use. 
This is a keeper!","Power. Maneuverability. Brakes. Seats. Sound System. The back seats are comfortable.  They fold split, so it is super easy to load.  The drive with a load is good, too.  Jack and spare are easily accessed. There is space for after market electronics (Sirius, cd changer, sub woofer, etc). Back seat flips up for a little more storage. That's how I know that the previous owner had little kids, girls. Picked up the seats to find glitter, m&m's, doll parts. Other than that, it looks like they took good care of it.","How do so many leaves find their way under the hood? They clog up the sunroof drains and create rust problems.
Brushed silver on the dash looks great at night, but during the day the reflection is blinding. Mine now sports faux carbon fiber.
The auto lift gate doesn't work.  "
5,120K mile update,deeper ,07/08/2014,4,,5,,,4,,5,5,,,"50k mile review: Have driven VW for decades and this one is no different when it comes to small things needing repair, mostly under warranty. Engine strong, gas mileage consistently exceeds EPA. With Good Year Assurance Comfort tires ride is quiet and smooth though not as sharp as stock. Fully loaded and air-condition running can easily achieve 32-34 mpg at 75mph+. Also fully loaded car doesn't seem to bog down due to turbo torque even going up hills. My daughter now drives the car after my son put miles on it but every time I get back in and drive it I smile. Wish they still sold a wagon in the US. 120K update: still runs great but annual $2,000+ maintenance over the past two years has reduced my Great rating on maintenance to poor. Still is an excellent fun driving car. Everything still works.",,
4,Love my Passat!!!!!,tiffanyrenee ,03/06/2014,,,4,4,3,4,,5,4,3,5,"I bought my White, Passat 2.0T Komfort in 2011 used with 49, 000 miles. I had an oil consumption problem at first. I had to add oil every 500 to 600 miles but the VW dealership ran three oil consumption test found that there was a problem and fixed it. Other than some other recalls I am now at 83,000 miles and love the ride. I keep up the maintenance, bought new tires, new brake and rotors, and I am good to go. Did I say I love this car? I do.",,
4.75,"2008 Passat Lux Wagon 133,000 miles",mrvinsurance ,12/27/2013,,,5,5,5,4,,5,5,4,5,"I just bought this car, with 133,000 miles on it.This one was very clean inside and out, and all options worked on it.At 135,000 miles I changed the timing belt and changed oil with synthetic as recommended.I am exclusively using premium gas.Overall, very happy with it. Super smooth and respectably fast on highway. Very comfy & attractive interior. I am prepared to spend a little more for maintenance than my Japanese cars, but feel it is worth it as the overall build quality is much nicer.Again, bought it with high mileage, but it drives great.","Quiet body/frame.

Comfy & toasty leather seats.

2.0 Turbo feels like an electric motor - quiet, smooth, amazing torque.

It feels like a Benz or a BMW, without the price tag.","Common problem with heater door behind dash. 

A little more expensive than average to maintain.

Otherwise, no real complaints - excellent vehicle. "
4,Wish the execution was better.,squashpup ,08/08/2013,,,5,4,4,2,,4,5,4,4,"The car itself, in everyday use, is great.Comfortable, good power, good gas mileage, styling is excellent inside and out, roomy, sporty handling, fun to drive with a good feel on the road.","The Lux is so well equipped, it's hard to believe they sold it at this price point.
A used one seems like quite a bargain when one is comparision shopping.
Ours has nav, power heated seats, heated mirrors, passenger side mirror pivots down in reverse, umbrella storage in the door that drains to the outside, 12v. socket in the rear, sunshades in the rear window and rear side windows, trip computer, wood on the dash, paddle shifters on the wheel, Ipod connectivity, 6-CD changer, automatic wipers, automatic lights which stay on for a bit when you arrive home to let you get in the front door easily, garage door opener, ","If this car would quit shedding its tires, we'd keep it, but we have to put a new set on every 18,000 miles or so.
Long before that, tire noise and vibration become unbearably intense, so much so that it is hard to carry on a conversation sometimes at highway speed.
VW refuses to acknowledge there's a problem.
Our car has been back to VW twice, once for a blown relay that immobilized the car, once for a whining PCV valve that sounded like the engine was about to blow up.
Now, the ""check engine"" light is on and the engine stumbles under hard acceleration. 

Good car, bad execution.
I would ONLY buy a used VW if it had very low miles and was certified."
4.625,Great Car....,kaperej ,01/05/2013,,,5,5,5,4,,5,4,4,5,Overall this is a really good German Engineering...although this Passat doesn't get the best MPG or is the cheapest it is the best for your money. The overall quality is very good and will last along time. The two years we have had our Passat we have only had one big issue. The engine cam had shattered and at high RPM..This costed$2700 and Volkswagen knew it was a problem but refused to pay for it. Other than that it has been a great car.,Great build quality...The 2.0L Turbo engine.,Make the engine more powerful
5,Best european affordable car!,corneliu ,07/21/2012,,,5,5,5,5,,5,5,5,5,"I own the 08 passat 20T and the 08 passat vr6, and both are a blast. I had no issues with none of them in 4 years. I only did the regular service and thats it! With the 2.0T i got a personal record of 32 mpg/hwy, with the vr6 29mpg wich is not bad at all. I like the sprint from the turbo and the pull of vr6 from 80mph and up! great cars","break hold feature is helping alot when in stop and go traffic, also the rear view mirror that dimms at night and the self leveling headlights from the vr6",
